visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Western food,Tōkyō-to Suginami-ku Asagayaminami,total_area_visitors,total_genre_visitors
2016-01-06,air_0728814bd98f7367,0,0,0,0,0,0,1,-0.8307504297562015,-1.1042481502596893,0.0,-1.2724485729823392,-0.6270617160538561,1,7.0,1,1,-1.3257640480584367,-1.3257640480584367
2016-01-07,air_0728814bd98f7367,0,0,0,0,1,0,0,-0.8903259092498692,-0.8220767069913679,0.0,0.22098713695235644,-0.9427917031042747,1,12.0,1,1,-1.2556091030824492,-1.2556091030824492
2016-01-08,air_0728814bd98f7367,1,0,0,0,0,0,0,-1.1524580190220068,-1.1512767241377428,0.0,0.9803612267496592,-1.0893806256633978,1,5.0,1,1,-0.9166553579420553,-0.9166553579420553
2016-01-09,air_0728814bd98f7367,0,0,1,0,0,0,0,-1.1286278272245398,-1.0572195763816357,0.0,0.9803612267496592,-1.2585216901546934,1,20.0,1,1,-0.6550519367495451,-0.6550519367495451
2016-01-10,air_0728814bd98f7367,0,0,0,1,0,0,0,-0.9975617723384709,-0.7750481331133146,0.0,1.0056736964095692,-1.2359695482225208,1,20.0,1,1,-0.9446659403683653,-0.9446659403683653
2016-01-11,air_0728814bd98f7367,0,1,0,0,0,0,0,-1.0333070600346714,-1.1630338676072562,1.0,-0.3358871955656656,-0.976619916002534,1,14.0,1,1,-1.3113732901146444,-1.3113732901146444
2016-01-12,air_0728814bd98f7367,0,0,0,0,0,1,0,-1.4503354164903453,-1.727376754143899,0.0,-1.297761042642249,-1.2697977611207798,1,2.0,1,1,-1.3658525880447152,-1.3658525880447152
2016-01-13,air_0728814bd98f7367,0,0,0,0,0,0,1,-1.4265052246928782,-1.304119589241417,0.0,0.9044238177699288,-1.4727670385103349,1,6.0,1,1,-1.1592424204231258,-1.1592424204231258
2016-01-14,air_0728814bd98f7367,0,0,0,0,1,0,0,-1.2358636903131415,-0.9749195720950421,0.0,0.9803612267496592,-1.4051106127138164,1,9.0,1,1,-1.0654455159680507,-1.0654455159680507
2016-01-15,air_0728814bd98f7367,1,0,0,0,0,0,0,-1.1762882108194739,-1.1630338676072562,0.0,0.44879936389154734,-1.0442763417990522,1,7.0,1,1,-0.7858536473458002,-0.7858536473458002
2016-01-16,air_0728814bd98f7367,0,0,1,0,0,0,0,-1.0571372518321385,-1.0689767198511493,0.0,0.8791113481100188,-1.0893806256633978,1,19.0,1,1,-0.636549533678955,-0.636549533678955
2016-01-17,air_0728814bd98f7367,0,0,0,1,0,0,0,-1.1882033067182076,-1.398176736997524,0.0,-0.25994978658593537,-1.0555524127651388,1,7.0,1,1,-1.2468718571880038,-1.2468718571880038
2016-01-18,air_0728814bd98f7367,0,1,0,0,0,0,0,-1.5575712795789471,-1.6333196063877917,0.0,-1.0193238763832382,-1.213417406290348,1,8.0,1,1,-1.5336591047821506,-1.5336591047821506
2016-01-19,air_0728814bd98f7367,0,0,0,0,0,1,0,-1.3430995534017436,-1.4099338804670374,0.0,1.0562986357293898,-1.2697977611207798,1,7.0,1,1,-1.2944127539666035,-1.2944127539666035
2016-01-20,air_0728814bd98f7367,0,0,0,0,0,0,1,-1.462250512389079,-1.4099338804670374,0.0,1.0562986357293898,-1.4389388256120756,1,1.0,1,1,-1.167979666317571,-1.167979666317571
2016-01-21,air_0728814bd98f7367,0,0,0,0,1,0,0,-1.2954391698068093,-1.3158767327109304,0.0,0.7525489998104683,-1.4614909675442485,1,7.0,1,1,-1.044630312513637,-1.044630312513637
2016-01-22,air_0728814bd98f7367,1,0,0,0,0,0,0,-1.2120334985156747,-1.2570910153633634,0.0,0.9044238177699288,-0.9878959869686205,1,8.0,1,1,-0.7329162163382784,-0.7329162163382784
2016-01-23,air_0728814bd98f7367,0,0,1,0,0,0,0,-1.3788448410979441,-1.5745338890402247,0.0,-1.069948815703058,-1.0330002708329658,1,12.0,1,1,-0.658906604055918,-0.658906604055918
