visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Tōkyō-to Minato-ku Shibakōen,total_area_visitors,total_genre_visitors
2016-07-01,air_2c6c79d597e48096,1,0,0,0,0,0,0,1.103000410304792,1.1736920554032348,0.0,-0.18290193645484487,1.0425032697985588,1,25.0,1,1,1.2877670014497453,1.2877670014497453
2016-07-02,air_2c6c79d597e48096,0,0,1,0,0,0,0,1.2661732248778967,1.3142899569924418,0.0,0.4931002926712886,1.1971958410862023,1,4.0,1,1,1.4349796937483965,1.4349796937483965
2016-07-04,air_2c6c79d597e48096,0,1,0,0,0,0,0,1.3594148332053855,1.548619792974453,0.0,0.5471804710013791,1.21929477984158,1,23.0,1,1,-1.1172939452188864,-1.1172939452188864
2016-07-05,air_2c6c79d597e48096,0,0,0,0,0,1,0,0.6484475697082845,0.5878674654482058,0.0,-1.3726658597168397,0.84361282100016,1,3.0,1,1,-0.4999163145979885,-0.4999163145979885
2016-07-06,air_2c6c79d597e48096,0,0,0,0,0,0,1,0.8116203842813898,0.740181858836513,0.0,-0.26402220394998105,0.8767612291332265,1,3.0,1,1,-0.07447867752437493,-0.07447867752437493
2016-07-07,air_2c6c79d597e48096,0,0,0,0,1,0,0,1.3127940290416409,1.8883980551483706,0.0,2.088465553408964,1.03145380042087,1,33.0,1,1,-0.1364629690185438,-0.1364629690185438
2016-07-08,air_2c6c79d597e48096,1,0,0,0,0,0,0,1.0680348071819836,1.0799601210104302,0.0,-0.8048239872508878,1.0535527391762478,1,29.0,1,1,1.096883558325657,1.096883558325657
2016-07-09,air_2c6c79d597e48096,0,0,1,0,0,0,0,0.730033976994837,0.5058520228545014,0.0,-1.3726658597168397,0.854662290377849,1,8.0,1,1,1.3782781543702078,1.3782781543702078
2016-07-12,air_2c6c79d597e48096,0,0,0,0,0,1,0,1.277828425918833,1.3142899569924418,0.0,0.33085975768101644,1.3297894736184683,1,6.0,1,1,-0.485828975622041,-0.485828975622041
2016-07-13,air_2c6c79d597e48096,0,0,0,0,0,0,1,1.0447244051001114,0.8221973014302174,0.0,-1.3726658597168397,1.2082453104638913,1,13.0,1,1,-0.4178575650630945,-0.4178575650630945
2016-07-14,air_2c6c79d597e48096,0,0,0,0,1,0,0,1.1379660134275997,1.4431713667825479,0.0,-0.3181023822800717,0.9651569841547372,1,8.0,1,1,-0.21499988380945093,-0.21499988380945093
2016-07-15,air_2c6c79d597e48096,1,0,0,0,0,0,0,0.7067235749129649,0.4004035966625963,0.0,-1.3726658597168397,0.9320085760216706,1,30.0,1,1,0.8975477118160005,0.8975477118160005
2016-07-19,air_2c6c79d597e48096,0,0,0,0,0,1,0,1.3011388280007052,1.3728724159879442,0.0,0.3038196685159712,1.2303442492192687,1,6.0,1,1,-0.8161770746080091,-0.8161770746080091
2016-07-20,air_2c6c79d597e48096,0,0,0,0,0,0,1,1.1845868175913443,1.0916766128095305,0.0,-0.12882175812475438,1.1861463717085137,1,18.0,1,1,-0.36397349348009544,-0.36397349348009544
2016-07-21,air_2c6c79d597e48096,0,0,0,0,1,0,0,0.6601027707492207,0.4355530720598981,0.0,-1.3726658597168397,0.9209591066439816,1,7.0,1,1,-0.15653742705926893,-0.15653742705926893
2016-07-22,air_2c6c79d597e48096,1,0,0,0,0,0,0,0.6134819665854762,0.24808920327428866,0.0,-1.3726658597168397,0.8657117597555376,1,15.0,1,1,0.9574189024637773,0.9574189024637773
2016-07-23,air_2c6c79d597e48096,0,0,1,0,0,0,0,0.730033976994837,0.7636148424347144,0.0,-0.9941046114062051,0.7994149434894049,1,24.0,1,1,1.2543095713818702,1.2543095713818702
2016-07-25,air_2c6c79d597e48096,0,1,0,0,0,0,0,0.9981036009363669,0.8573467768275188,0.0,-1.1563451463964771,0.9430580453993597,1,14.0,1,1,-1.0285437096704173,-1.0285437096704173
2016-07-26,air_2c6c79d597e48096,0,0,0,0,0,1,0,0.8932067915679424,0.798764317832016,0.0,-1.3456257705517947,0.9762064535324257,1,24.0,1,1,-0.3414337511185795,-0.3414337511185795
2016-07-27,air_2c6c79d597e48096,0,0,0,0,0,0,1,0.9747931988544948,0.7870478260329156,0.0,-1.2915455922217038,1.086701147309314,1,26.0,1,1,-0.15019812452009257,-0.15019812452009257
2016-07-28,air_2c6c79d597e48096,0,0,0,0,1,0,0,1.2078972196732165,1.2322745143987377,0.0,0.03341877686551779,1.1861463717085137,1,25.0,1,1,0.06146414359351816,0.06146414359351816
2016-07-29,air_2c6c79d597e48096,1,0,0,0,0,0,0,1.289483626959769,1.384588907787045,0.0,1.736944394263374,1.141948494197758,1,23.0,1,1,1.189155628618113,1.189155628618113
2016-07-30,air_2c6c79d597e48096,0,0,1,0,0,0,0,1.289483626959769,1.4431713667825479,0.0,1.547663770108057,1.0535527391762478,1,17.0,1,1,1.300445606528098,1.300445606528098
2016-08-01,air_2c6c79d597e48096,0,1,0,0,0,0,0,1.3127940290416409,1.27914048159514,0.0,-0.8589041655809785,1.3297894736184683,1,4.0,1,1,-1.0799624969326256,-1.0799624969326256
2016-08-02,air_2c6c79d597e48096,0,0,0,0,0,1,0,1.1379660134275997,1.0330941538140275,0.0,-0.9129843439110691,1.097750616687003,1,14.0,1,1,-0.7453881962538732,-0.7453881962538732
2016-08-03,air_2c6c79d597e48096,0,0,0,0,0,0,1,1.2428628227960248,1.3377229405906428,0.0,-0.26402220394998105,1.1971958410862023,1,12.0,1,1,-0.32100710960345563,-0.32100710960345563
2016-08-04,air_2c6c79d597e48096,0,0,0,0,1,0,0,1.394380436328194,1.4548878585816487,0.0,0.9257417193120139,1.3076905348630905,1,9.0,1,1,-0.20091254483350346,-0.20091254483350346
2016-08-05,air_2c6c79d597e48096,1,0,0,0,0,0,0,1.46431164257381,1.5017538257780507,0.0,1.547663770108057,1.3297894736184683,1,14.0,1,1,0.7954145042403813,0.7954145042403813
