visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Western food,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-01-05,air_2cee51fa6fdf6c0d,0,0,0,0,0,1,0,-0.5324344278183645,-0.5281977444266737,0.0,0.7626121237519962,-0.7587352619455962,1,2.0,1,1,-1.402821218701959,-1.402821218701959
2016-01-07,air_2cee51fa6fdf6c0d,0,0,0,0,1,0,0,-0.8090426336834088,-0.8393561040937988,0.0,-0.1252901600319565,-0.8311540971494836,1,14.0,1,1,-1.2688637997802552,-1.2688637997802552
2016-01-08,air_2cee51fa6fdf6c0d,1,0,0,0,0,0,0,-1.047931538748674,-1.0882827918274989,0.0,0.8366039807339919,-1.0001313792918878,1,20.0,1,1,-0.9329515648796326,-0.9329515648796326
2016-01-09,air_2cee51fa6fdf6c0d,0,0,1,0,0,0,0,-0.9850660374157096,-1.001158451120704,0.0,0.8859318853886562,-1.0363407968938316,1,32.0,1,1,-0.6736955716053082,-0.6736955716053082
2016-01-10,air_2cee51fa6fdf6c0d,0,0,0,1,0,0,0,-0.909627435816152,-0.8393561040937988,0.0,0.93525979004332,-1.0846200203630898,1,28.0,1,1,-0.9607108018805179,-0.9607108018805179
2016-01-11,air_2cee51fa6fdf6c0d,0,1,0,0,0,0,0,-1.0102122379488956,-1.138068129374239,1.0,-0.49524944494193673,-0.9156427382206858,1,6.0,1,1,-1.3241276018829353,-1.3241276018829353
2016-01-12,air_2cee51fa6fdf6c0d,0,0,0,0,0,1,0,-1.4754169478128334,-1.6857068423883792,0.0,-1.309159871743893,-1.2656671083728086,1,3.0,1,1,-1.378118044490162,-1.378118044490162
2016-01-13,air_2cee51fa6fdf6c0d,0,0,0,0,0,0,1,-1.362259045413497,-1.2376388044677191,0.0,0.8366039807339919,-1.482923613984471,1,1.0,1,1,-1.1733618376212456,-1.1733618376212456
2016-01-14,air_2cee51fa6fdf6c0d,0,0,0,0,1,0,0,-1.1485163408814176,-1.0260511198940738,0.0,0.93525979004332,-1.3501557494440106,1,8.0,1,1,-1.0804065944531431,-1.0804065944531431
2016-01-15,air_2cee51fa6fdf6c0d,1,0,0,0,0,0,0,-1.1988087419477893,-1.0882827918274989,0.0,0.6886202667699999,-1.1328992438323482,1,13.0,1,1,-0.8033235682424704,-0.8033235682424704
2016-01-16,air_2cee51fa6fdf6c0d,0,0,1,0,0,0,0,-1.085650839548453,-0.9762657823473337,0.0,0.93525979004332,-1.1570388555669773,1,48.0,1,1,-0.6553591948707784,-0.6553591948707784
2016-01-17,air_2cee51fa6fdf6c0d,0,0,0,1,0,0,0,-1.1736625414146034,-1.374548482721254,0.0,-0.5445773495966006,-1.0966898262304046,1,31.0,1,1,-1.2602049552111716,-1.2602049552111716
2016-01-19,air_2cee51fa6fdf6c0d,0,0,0,0,0,1,0,-1.261674243280754,-1.374548482721254,0.0,0.93525979004332,-1.2656671083728086,1,7.0,1,1,-1.3073192565429497,-1.3073192565429497
2016-01-21,air_2cee51fa6fdf6c0d,0,0,0,0,1,0,0,-1.223954942480975,-1.262531473241089,0.0,0.515972600478676,-1.253597302505494,1,13.0,1,1,-1.059778170626797,-1.059778170626797
2016-01-22,air_2cee51fa6fdf6c0d,1,0,0,0,0,0,0,-1.1736625414146034,-1.1629607981476089,0.0,0.6886202667699999,-1.0122011851592023,1,22.0,1,1,-0.7508611570297878,-0.7508611570297878
2016-01-23,air_2cee51fa6fdf6c0d,0,0,1,0,0,0,0,-1.412551446479869,-1.648367839228324,0.0,-1.259831967089229,-1.0604804086284607,1,34.0,1,1,-0.6775156500916686,-0.6775156500916686
2016-01-24,air_2cee51fa6fdf6c0d,0,0,0,1,0,0,0,-1.4879900480794264,-1.2998704764011442,0.0,0.9105958377159882,-1.5191330315864147,1,37.0,1,1,-1.375571325499255,-1.375571325499255
2016-01-25,air_2cee51fa6fdf6c0d,0,1,0,0,0,0,0,-1.538282449145798,-1.399441151494624,0.0,1.05857955167998,-1.688110313728819,1,14.0,1,1,-1.4002744997110521,-1.4002744997110521
2016-01-26,air_2cee51fa6fdf6c0d,0,0,0,0,0,1,0,-1.4251245467464617,-1.250085138854404,0.0,0.81194002840666,-1.5312028374537294,1,13.0,1,1,-1.2273522802284724,-1.2273522802284724
2016-01-27,air_2cee51fa6fdf6c0d,0,0,0,0,0,0,1,-1.1107970400816387,-0.7771244321603737,0.0,1.0092516470253163,-1.5070632257191001,1,4.0,1,1,-1.07556782837042,-1.07556782837042
