visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Minato-ku Shibakōen,total_area_visitors,total_genre_visitors
2016-07-01,air_2e7cb1f1a2a9cd6a,1,0,0,0,0,0,0,1.0895210649305551,1.1704924598623603,0.0,-0.154057752712882,1.0342075212686104,1,33.0,1,1,1.298549048438673,1.298549048438673
2016-07-02,air_2e7cb1f1a2a9cd6a,0,0,1,0,0,0,0,1.2517810746005216,1.3102893592068432,0.0,0.5057928562917969,1.1887055560082769,1,35.0,1,1,1.4523871644869129,1.452387164486913
2016-07-04,air_2e7cb1f1a2a9cd6a,0,1,0,0,0,0,0,1.344501080126217,1.5432841914476478,0.0,0.5585809050121711,1.2107767038282296,1,20.0,1,1,-1.2147535699666645,-1.2147535699666647
2016-07-05,air_2e7cb1f1a2a9cd6a,0,0,0,0,0,1,0,0.6375110379927904,0.5880053792603475,0.0,-1.315394824561117,0.835567190889039,1,32.0,1,1,-0.5695903703672273,-0.5695903703672275
2016-07-06,air_2e7cb1f1a2a9cd6a,0,0,0,0,0,0,1,0.7997710476627574,0.7394520202168705,0.0,-0.23323982579344366,0.8686739126189676,1,28.0,1,1,-0.12500557566322262,-0.12500557566322285
2016-07-07,air_2e7cb1f1a2a9cd6a,0,0,0,0,1,0,0,1.298141077363369,1.8811266981968158,0.0,2.0630402935428394,1.023171947358634,1,36.0,1,1,-0.1897795192624816,-0.1897795192624818
2016-07-08,air_2e7cb1f1a2a9cd6a,1,0,0,0,0,0,0,1.0547510628584194,1.0772945269660381,0.0,-0.7611203129971866,1.0452430951785867,1,25.0,1,1,1.0990747448545914,1.0990747448545914
2016-07-09,air_2e7cb1f1a2a9cd6a,0,0,1,0,0,0,0,0.7186410428277737,0.5064571879760654,0.0,-1.315394824561117,0.8466027647990153,1,14.0,1,1,1.393133727444409,1.393133727444409
2016-07-11,air_2e7cb1f1a2a9cd6a,0,1,0,0,0,0,0,1.3676810815076408,1.5083349666115273,0.0,1.9838582204622774,1.067314242998539,1,21.0,1,1,-1.263702061436559,-1.2637020614365593
2016-07-12,air_2e7cb1f1a2a9cd6a,0,0,0,0,0,1,0,1.2633710752912337,1.3102893592068432,0.0,0.34742871013067383,1.3211324429279914,1,27.0,1,1,-0.5548690195492139,-0.5548690195492141
2016-07-13,air_2e7cb1f1a2a9cd6a,0,0,0,0,0,0,1,1.0315710614769955,0.8210002115011525,0.0,-1.315394824561117,1.1997411299182532,1,33.0,1,1,-0.4838385018522992,-0.4838385018522995
2016-07-14,air_2e7cb1f1a2a9cd6a,0,0,0,0,1,0,0,1.1242910670026904,1.4384365169392856,0.0,-0.2860278745138179,0.9569585038987771,1,32.0,1,1,-0.2718510500729063,-0.2718510500729065
2016-07-15,air_2e7cb1f1a2a9cd6a,1,0,0,0,0,0,0,0.69546104144635,0.4016095134677033,0.0,-1.315394824561117,0.9238517821688486,1,37.0,1,1,0.8907676307797018,0.8907676307797018
2016-07-16,air_2e7cb1f1a2a9cd6a,0,0,1,0,0,0,0,0.9156710545698765,0.8326499531131926,0.0,-0.8930904347981224,0.824531616979063,1,40.0,1,1,1.3353524254837064,1.3353524254837064
2016-07-19,air_2e7cb1f1a2a9cd6a,0,0,0,0,0,1,0,1.2865510766726573,1.368538067267044,0.0,0.32103468577048677,1.2218122777382054,1,22.0,1,1,-0.900084696231628,-0.9000846962316283
2016-07-20,air_2e7cb1f1a2a9cd6a,0,0,0,0,0,0,1,1.1706510697655383,1.0889442685780781,0.0,-0.10126970399250787,1.177669982098301,1,33.0,1,1,-0.42752933497339796,-0.42752933497339823
2016-07-21,air_2e7cb1f1a2a9cd6a,0,0,0,0,1,0,0,0.6491010386835026,0.43655873830382413,0.0,-1.315394824561117,0.9128162082588722,1,21.0,1,1,-0.21075744417815068,-0.2107574441781509
2016-07-22,air_2e7cb1f1a2a9cd6a,1,0,0,0,0,0,0,0.6027410359206546,0.2501628725111799,0.0,-1.315394824561117,0.8576383387089913,1,26.0,1,1,0.9533333717562588,0.9533333717562588
2016-07-23,air_2e7cb1f1a2a9cd6a,0,0,1,0,0,0,0,0.7186410428277737,0.7627515034409513,0.0,-0.9458784835184968,0.7914248952491344,1,26.0,1,1,1.263585840245891,1.263585840245891
2016-07-25,air_2e7cb1f1a2a9cd6a,0,1,0,0,0,0,0,0.9852110587141477,0.855949436337273,0.0,-1.1042426296796197,0.9348873560788249,1,8.0,1,1,-1.12200905981318,-1.1220090598131804
2016-07-26,air_2e7cb1f1a2a9cd6a,0,0,0,0,0,1,0,0.8809010524977406,0.7977007282770717,0.0,-1.2890008002009299,0.9679940778087531,1,21.0,1,1,-0.4039751736645765,-0.4039751736645768
2016-07-27,air_2e7cb1f1a2a9cd6a,0,0,0,0,0,0,1,0.962031057332724,0.7860509866650317,0.0,-1.2362127514805554,1.078349816908515,1,42.0,1,1,-0.20413283631004464,-0.20413283631004486
2016-07-28,air_2e7cb1f1a2a9cd6a,0,0,0,0,1,0,0,1.1938310711469622,1.2287411679225615,0.0,0.05709444216861521,1.177669982098301,1,40.0,1,1,0.017055459730606654,0.017055459730606466
2016-07-29,air_2e7cb1f1a2a9cd6a,1,0,0,0,0,0,0,1.2749610759819454,1.3801878088790844,0.0,1.719917976860406,1.1335276864583959,1,37.0,1,1,1.195499592712579,1.195499592712579
2016-07-30,air_2e7cb1f1a2a9cd6a,0,0,1,0,0,0,0,1.2749610759819454,1.4384365169392856,0.0,1.535159806339096,1.0452430951785867,1,43.0,1,1,1.311798264174885,1.311798264174885
2016-08-01,air_2e7cb1f1a2a9cd6a,0,1,0,0,0,0,0,1.298141077363369,1.2753401343707222,0.0,-0.813908361717561,1.3211324429279914,1,18.0,1,1,-1.175741990298929,-1.1757419902989292
2016-08-02,air_2e7cb1f1a2a9cd6a,0,0,0,0,0,1,0,1.1242910670026904,1.0306955605178767,0.0,-0.8666964104379352,1.0893853908184914,1,29.0,1,1,-0.8261099083711108,-0.826109908371111
2016-08-03,air_2e7cb1f1a2a9cd6a,0,0,0,0,0,0,1,1.228601073219098,1.3335888424309235,0.0,-0.23323982579344366,1.1887055560082769,1,33.0,1,1,-0.3826292149784571,-0.38262921497845737
2016-08-04,air_2e7cb1f1a2a9cd6a,0,0,0,0,1,0,0,1.3792710821983527,1.4500862585513261,0.0,0.9280972460547913,1.2990612951080387,1,37.0,1,1,-0.2571296992548929,-0.2571296992548931
2016-08-05,air_2e7cb1f1a2a9cd6a,1,0,0,0,0,0,0,1.448811086342624,1.4966852249994869,0.0,1.535159806339096,1.3211324429279914,1,27.0,1,1,0.7840378373491047,0.7840378373491046
2016-08-06,air_2e7cb1f1a2a9cd6a,0,0,1,0,0,0,0,1.495171089105472,1.5898831578958095,0.0,1.0072793191353528,1.4535593298477054,1,13.0,1,1,0.5440798190154863,0.5440798190154862
2016-08-08,air_2e7cb1f1a2a9cd6a,0,1,0,0,0,0,0,1.4256310849612002,1.4733857417754068,0.0,-0.10126970399250787,1.3983814602978246,1,20.0,1,1,-1.1573403017764121,-1.1573403017764126
2016-08-09,air_2e7cb1f1a2a9cd6a,0,0,0,0,0,1,0,1.819691108445405,1.9976241143172184,0.0,0.8225211486140426,1.442523755937729,1,37.0,1,1,-0.3329446559676619,-0.3329446559676621
2016-08-10,air_2e7cb1f1a2a9cd6a,0,0,0,0,0,0,1,1.495171089105472,1.5665836746717285,0.0,-0.022087630911946213,1.4756304776676579,1,50.0,1,1,0.6618506255595935,0.6618506255595934
2016-08-17,air_2e7cb1f1a2a9cd6a,0,0,0,0,0,0,1,1.448811086342624,1.601532899507849,0.0,1.3240076114575987,1.1445632603683722,1,20.0,1,1,-0.8437755293527268,-0.8437755293527271
2016-08-18,air_2e7cb1f1a2a9cd6a,0,0,0,0,1,0,0,1.2401910739098096,1.2869898759827627,0.0,-1.0250605565990583,1.3873458863878483,1,26.0,1,1,-0.5706944716785782,-0.5706944716785786
2016-08-19,air_2e7cb1f1a2a9cd6a,1,0,0,0,0,0,0,1.3213210787447933,1.368538067267044,0.0,0.5057928562917969,1.365274738567896,1,21.0,1,1,0.7476024940745215,0.7476024940745214
2016-08-20,air_2e7cb1f1a2a9cd6a,0,0,1,0,0,0,0,1.1011110656212668,1.1005940101901184,0.0,-0.8930904347981224,1.2659545733781103,1,6.0,1,1,0.6313038226122156,0.6313038226122156
