visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō,total_area_visitors,total_genre_visitors
2016-07-01,air_40953e2d8b4f2857,1,0,0,0,0,0,0,1.07710936415338,1.1548456939546499,0.0,-0.16326206700320567,1.022151358096441,1,14.0,1,1,1.2929949183194502,1.292994918319451
2016-07-02,air_40953e2d8b4f2857,0,0,1,0,0,0,0,1.2378091943736784,1.2928396780888343,0.0,0.5021725079493286,1.1753061764018735,1,17.0,1,1,1.449135429242062,1.4491354292420624
2016-07-03,air_40953e2d8b4f2857,0,0,0,1,0,0,0,1.490337499005576,1.706821630491388,0.0,0.688494188936038,1.3065817349493876,1,5.0,1,1,-0.5003797059376275,-0.5003797059376272
2016-07-04,air_40953e2d8b4f2857,0,1,0,0,0,0,0,1.3296376687852776,1.5228296516458084,0.0,0.5554072739455311,1.1971854361597927,1,8.0,1,1,-1.2579226632368055,-1.2579226632368052
2016-07-05,air_40953e2d8b4f2857,0,0,0,0,0,1,0,0.6294455513968339,0.5798707600622138,0.0,-1.334426918919666,0.8252380202751706,1,2.0,1,1,-0.6031037262814509,-0.6031037262814506
2016-07-06,air_40953e2d8b4f2857,0,0,0,0,0,0,1,0.7901453816171327,0.7293642428742468,0.0,-0.24311421599750996,0.8580569099120491,1,26.0,1,1,-0.1518651205529465,-0.15186512055294607
2016-07-07,air_40953e2d8b4f2857,0,0,0,0,1,0,0,1.2837234315794779,1.856315113303422,0.0,2.0725981048373097,1.0112117282174815,1,10.0,1,1,-0.2176084935729935,-0.21760849357299308
2016-07-08,air_40953e2d8b4f2857,1,0,0,0,0,0,0,1.0426736862490302,1.06284970453186,0.0,-0.7754618759595372,1.0330909879754007,1,33.0,1,1,1.0905352127690782,1.0905352127690788
2016-07-09,air_40953e2d8b4f2857,0,0,1,0,0,0,0,0.7097954665069831,0.49937426931727247,0.0,-1.334426918919666,0.8361776501541301,1,10.0,1,1,1.3889951846044053,1.3889951846044057
2016-07-11,air_40953e2d8b4f2857,0,1,0,0,0,0,0,1.3525947873881774,1.4883311556122625,0.0,1.9927459558430052,1.0549702477333196,1,24.0,1,1,-1.3076037348940002,-1.307603734894
2016-07-12,air_40953e2d8b4f2857,0,0,0,0,0,1,0,1.2492877536751283,1.2928396780888343,0.0,0.34246820996072025,1.3065817349493876,1,1.0,1,1,-0.5881620505950766,-0.5881620505950763
2016-07-13,air_40953e2d8b4f2857,0,0,0,0,0,0,1,1.0197165676461306,0.8098607336191882,0.0,-1.334426918919666,1.1862458062808332,1,12.0,1,1,-0.5160684654083205,-0.5160684654083202
2016-07-14,air_40953e2d8b4f2857,0,0,0,0,1,0,0,1.1115450420577293,1.41933416354517,0.0,-0.2963489819937126,0.9455739489437248,1,9.0,1,1,-0.30090833552453033,-0.30090833552452995
2016-07-15,air_40953e2d8b4f2857,1,0,0,0,0,0,0,0.6868383479040834,0.39587878121663417,0.0,-1.334426918919666,0.9127550593068464,1,6.0,1,1,0.8791105018068816,0.8791105018068821
