visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Other,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-01-04,air_4b251b9f8373f1ae,0,1,0,0,0,0,0,-0.665057816369303,-0.4737335832675933,0.0,0.3257792515350224,-0.692524557223998,1,15.0,1,1,-1.4797389738092173,-1.4797389738092173
2016-01-05,air_4b251b9f8373f1ae,0,0,0,0,0,1,0,-0.7958329020305942,-0.9382684561804763,0.0,-1.3418063726234468,-0.5876769851859209,1,22.0,1,1,-1.3466605932682458,-1.3466605932682458
2016-01-06,air_4b251b9f8373f1ae,0,0,0,0,0,0,1,-0.8433874786347001,-0.9835889315866113,0.0,-1.3418063726234468,-0.715824017676904,1,20.0,1,1,-1.2810293451651935,-1.2810293451651935
2016-01-07,air_4b251b9f8373f1ae,0,0,0,0,1,0,0,-0.8909420552388061,-1.164870833211151,0.0,-1.2422490219274187,-0.5760272549594679,1,17.0,1,1,-1.2102098561053782,-1.2102098561053782
2016-01-08,air_4b251b9f8373f1ae,1,0,0,0,0,0,0,-1.0811603616552297,-1.3461527348356905,0.0,-1.3418063726234468,-0.7740726688091689,1,27.0,1,1,-0.8680453650068568,-0.8680453650068568
2016-01-09,air_4b251b9f8373f1ae,0,0,1,0,0,0,0,-1.0336057850511238,-1.3121623782810896,0.0,-1.2920276972754328,-0.7274737479033571,1,11.0,1,1,-0.6039639003076189,-0.6039639003076189
2016-01-10,air_4b251b9f8373f1ae,0,0,0,1,0,0,0,-1.0336057850511238,-1.1082202389534823,0.0,-0.39601154101118075,-0.9255191617530578,1,15.0,1,1,-0.8963212782212153,-0.8963212782212153
2016-01-15,air_4b251b9f8373f1ae,1,0,0,0,0,0,0,-1.2832673122226796,-1.0968901201019485,0.0,0.8982340180371834,-1.2750110685466478,1,24.0,1,1,-0.7360046326572378,-0.7360046326572378
2016-01-16,air_4b251b9f8373f1ae,0,0,1,0,0,0,0,-1.0811603616552297,-0.8816178619228077,0.0,0.5995619659490994,-1.286660798773101,1,22.0,1,1,-0.585286232863272,-0.585286232863272
2016-01-21,air_4b251b9f8373f1ae,0,0,0,0,1,0,0,-1.639926636753474,-1.6180755872725003,0.0,-1.31691703494944,-1.5546045939815198,1,26.0,1,1,-0.9972325648302561,-0.9972325648302561
2016-01-22,air_4b251b9f8373f1ae,1,0,0,0,0,0,0,-1.2832673122226796,-1.3914732102418257,0.0,-1.0929129958833768,-1.228412147640836,1,20.0,1,1,-0.6825657508025788,-0.6825657508025788
