visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Tōkyō-to Minato-ku Roppongi,total_area_visitors,total_genre_visitors
2016-01-04,air_4c665a2bfff0da3b,0,1,0,0,0,0,0,-0.7584947965028399,-0.56214663931211,0.0,0.8923138151469735,-0.8537261558722457,1,1.0,1,1,-1.499950073184977,-1.499950073184977
2016-01-05,air_4c665a2bfff0da3b,0,0,0,0,0,1,0,-0.5429573758908476,-0.5369598976079447,0.0,0.7690189472595481,-0.7685347984922127,1,4.0,1,1,-1.3711273233607404,-1.3711273233607404
2016-01-06,air_4c665a2bfff0da3b,0,0,0,0,0,0,1,-0.796530811904956,-1.0532881025433287,0.0,-1.3023348332491989,-0.5251309202635469,1,9.0,1,1,-1.3075948560984951,-1.3075948560984951
2016-01-07,air_4c665a2bfff0da3b,0,0,0,0,1,0,0,-0.8218881555063671,-0.8517941689100081,0.0,-0.11870410152991495,-0.8415559619608124,1,8.0,1,1,-1.2390400594084043,-1.2390400594084043
2016-01-08,air_4c665a2bfff0da3b,1,0,0,0,0,0,0,-1.06278291971977,-1.1036615859516588,0.0,0.8429958679920031,-1.0119386767208784,1,8.0,1,1,-0.9078174336419947,-0.9078174336419947
2016-01-09,air_4c665a2bfff0da3b,0,0,1,0,0,0,0,-0.9993895607162429,-1.0155079899870811,0.0,0.8923138151469735,-1.0484492584551783,1,13.0,1,1,-0.6521808657646598,-0.6521808657646598
2016-01-10,air_4c665a2bfff0da3b,0,0,0,1,0,0,0,-0.9233175299120102,-0.8517941689100081,0.0,0.9416317623019435,-1.0971300341009114,1,2.0,1,1,-0.9351891290237526,-0.9351891290237526
2016-01-12,air_4c665a2bfff0da3b,0,0,0,0,0,1,0,-1.4938577609437542,-1.7081433868516207,0.0,-1.3023348332491989,-1.2796829427724108,1,2.0,1,1,-1.34676902563569,-1.34676902563569
2016-01-13,air_4c665a2bfff0da3b,0,0,0,0,0,0,1,-1.3797497147374056,-1.2547820361766495,0.0,0.8429958679920031,-1.4987464331782099,1,7.0,1,1,-1.1448713826363015,-1.1448713826363015
2016-01-14,air_4c665a2bfff0da3b,0,0,0,0,1,0,0,-1.1642122941254134,-1.0406947316912463,0.0,0.9416317623019435,-1.364874300152444,1,12.0,1,1,-1.0532138705781215,-1.0532138705781215
2016-01-15,air_4c665a2bfff0da3b,1,0,0,0,0,0,0,-1.214926981328235,-1.1036615859516588,0.0,0.6950420265270927,-1.1458108097466446,1,5.0,1,1,-0.7799991497033273,-0.7799991497033273
2016-01-16,air_4c665a2bfff0da3b,0,0,1,0,0,0,0,-1.1008189351218862,-0.990321248282916,0.0,0.9416317623019435,-1.1701511975695111,1,7.0,1,1,-0.6341004798244161,-0.6341004798244161
2016-01-17,air_4c665a2bfff0da3b,0,0,0,1,0,0,0,-1.1895696377268243,-1.3933091155495572,0.0,-0.5379066523471613,-1.109300228012345,1,3.0,1,1,-1.230502099381067,-1.230502099381067
2016-01-19,air_4c665a2bfff0da3b,0,0,0,0,0,1,0,-1.2783203403317622,-1.3933091155495572,0.0,0.9416317623019435,-1.2796829427724108,1,8.0,1,1,-1.2769586465886376,-1.2769586465886378
2016-01-20,air_4c665a2bfff0da3b,0,0,0,0,0,0,1,-1.4051070583388163,-1.3303422612891447,0.0,0.9662907358794285,-1.4744060453553434,1,11.0,1,1,-1.153409342663639,-1.153409342663639
