visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Creative cuisine,Hyōgo-ken Himeji-shi Yasuda,total_area_visitors,total_genre_visitors
2016-07-01,air_4c727b55acdee495,1,0,0,0,0,0,0,0.9192183933109321,0.8634119390047005,0.0,0.36554923187100924,0.9254286044508943,1,10.0,1,1,1.416673121753798,1.4166731217537978
2016-07-02,air_4c727b55acdee495,0,0,1,0,0,0,0,1.1300233988635375,1.1428962845291717,0.0,1.0528714641655958,1.0581962472719884,1,22.0,1,1,1.577900280998711,1.5779002809987108
2016-07-03,air_4c727b55acdee495,0,0,0,1,0,0,0,1.2459661519174703,1.2288914677674703,0.0,0.6129852354970605,1.3237315329141766,1,13.0,1,1,-0.43512494411899444,-0.4351249441189944
2016-07-04,air_4c727b55acdee495,0,1,0,0,0,0,0,1.151103899418798,1.1428962845291717,0.0,0.0906203389531746,1.231815472499573,1,12.0,1,1,-1.2173466640919215,-1.2173466640919215
2016-07-05,air_4c727b55acdee495,0,0,0,0,0,1,0,1.2881271530279916,1.3471348447201312,0.0,1.1628430213327297,1.231815472499573,1,8.0,1,1,-0.5411954436222267,-0.5411954436222266
2016-07-06,air_4c727b55acdee495,0,0,0,0,0,0,1,1.2354259016398403,1.1321468866243842,0.0,1.107857242749163,1.3747960109222896,1,11.0,1,1,-0.07525666762257383,-0.07525666762257383
2016-07-07,air_4c727b55acdee495,0,0,0,0,1,0,0,1.2670466524727308,1.2396408656722577,0.0,1.4652648035423477,1.2420283681011957,1,20.0,1,1,-0.14314178730464244,-0.14314178730464244
2016-07-08,air_4c727b55acdee495,1,0,0,0,0,0,0,0.8559768916451503,0.5839275934802296,0.0,-1.4489814613866991,1.0275575604671203,1,18.0,1,1,1.2076178100056094,1.2076178100056092
2016-07-09,air_4c727b55acdee495,0,0,1,0,0,0,0,0.7927353899793685,0.7129203683376778,0.0,-1.256531236344215,0.9764930824590073,1,15.0,1,1,1.5158008249259096,1.5158008249259094
2016-07-10,air_4c727b55acdee495,0,0,0,1,0,0,0,1.0878623977530162,1.0246529075765107,0.0,0.9703927962902457,1.068409142873611,1,9.0,1,1,-0.2723549412449435,-0.2723549412449435
2016-07-11,air_4c727b55acdee495,0,1,0,0,0,0,0,1.1300233988635375,1.121397488719597,0.0,-0.18430855396466003,1.1705380988898373,1,13.0,1,1,-1.2686462147607576,-1.2686462147607573
2016-07-12,air_4c727b55acdee495,0,0,0,0,0,1,0,1.0984026480306468,0.8956601327190626,0.0,-1.256531236344215,1.2624541593044407,1,12.0,1,1,-0.5257670073308475,-0.5257670073308474
2016-07-13,air_4c727b55acdee495,0,0,0,0,0,0,1,1.035161146364865,0.7021709704328902,0.0,-1.2840241256359985,1.2522412637028184,1,8.0,1,1,-0.45132480222494264,-0.4513248022249426
2016-07-14,air_4c727b55acdee495,0,0,0,0,1,0,0,0.9508391441438226,1.0783998971004474,0.0,0.25557767470387555,1.068409142873611,1,23.0,1,1,-0.22915531962908167,-0.22915531962908167
2016-07-15,air_4c727b55acdee495,1,0,0,0,0,0,0,0.761114639146478,0.777416755766402,0.0,-0.40425166829892767,0.8437254396379135,1,17.0,1,1,0.9893054364825933,0.9893054364825932
