visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Koganei-shi Honchō,total_area_visitors,total_genre_visitors
2016-01-12,air_500641aca4cf673c,0,0,0,0,0,1,0,-1.4515300823688628,-1.7121227163924475,0.0,-1.2692411591254218,-1.2629707143196995,1,16.0,1,1,-1.3779057085731283,-1.377905708573128
2016-01-13,air_500641aca4cf673c,0,0,0,0,0,0,1,-1.3912428904493894,-1.254692417907932,0.0,0.8985957355297532,-1.5047016453053375,1,10.0,1,1,-1.1829829168561854,-1.182982916856185
2016-01-14,air_500641aca4cf673c,0,0,0,0,1,0,0,-1.2224387530748635,-1.0019019897980683,0.0,0.9224181189875024,-1.4277872581735436,1,10.0,1,1,-1.0944918484772248,-1.0944918484772246
2016-01-15,air_500641aca4cf673c,1,0,0,0,0,0,0,-1.0898069308520217,-1.1102407447022957,0.0,0.06481231450853207,-0.8564232394802176,1,15.0,1,1,-0.8307157323229537,-0.8307157323229534
2016-01-16,air_500641aca4cf673c,0,0,1,0,0,0,0,-1.0054048621647587,-0.9898643503642653,0.0,0.827128585156506,-1.076178631285343,1,28.0,1,1,-0.6898573467663071,-0.6898573467663067
2016-01-19,air_500641aca4cf673c,0,0,0,0,0,1,0,-1.282725944994337,-1.4713699277163867,0.0,0.9462405024452519,-1.1530930184171369,1,16.0,1,1,-1.3105070318351804,-1.3105070318351801
2016-01-20,air_500641aca4cf673c,0,0,0,0,0,0,1,-1.3671280136815998,-1.2908053362093412,0.0,0.8747733520720041,-1.2959340230904686,1,10.0,1,1,-1.1912259204860063,-1.191225920486006
2016-01-21,air_500641aca4cf673c,0,0,0,0,1,0,0,-1.3068408217621263,-1.2908053362093412,0.0,0.6127271340367633,-1.3948239494027748,1,16.0,1,1,-1.0748541045355926,-1.0748541045355922
2016-01-22,air_500641aca4cf673c,1,0,0,0,0,0,0,-1.2465536298426527,-1.2065418601727198,0.0,0.8747733520720041,-1.1750685575976494,1,12.0,1,1,-0.7807728279775678,-0.7807728279775674
2016-01-23,air_500641aca4cf673c,0,0,1,0,0,0,0,-1.3550705752977052,-1.6398968797896292,0.0,-1.150129241836676,-1.0212397833340616,1,24.0,1,1,-0.7109497384073196,-0.7109497384073192
