visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Yakiniku/Korean food,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-07-01,air_52e2a1fd42bc917a,1,0,0,0,0,0,0,1.0755430261752041,1.1598919075164327,0.0,-0.1356494804021556,1.011487226679597,1,10.0,1,1,1.2732465053501598,1.2732465053501605
2016-07-02,air_52e2a1fd42bc917a,0,0,1,0,0,0,0,1.2375490204941983,1.2995209781999655,0.0,0.5298891438589143,1.1652076834507814,1,8.0,1,1,1.4284029577380377,1.4284029577380384
2016-07-04,air_52e2a1fd42bc917a,0,1,0,0,0,0,0,1.3301238743907666,1.532236096005853,0.0,0.5831322337997996,1.1871677487038081,1,10.0,1,1,-1.2615941964604116,-1.2615941964604112
2016-07-05,air_52e2a1fd42bc917a,0,0,0,0,0,1,0,0.624240613429434,0.5781041130017126,0.0,-1.3069974591016387,0.8138466394023594,1,12.0,1,1,-0.610902184412684,-0.6109021844126835
2016-07-06,air_52e2a1fd42bc917a,0,0,0,0,0,0,1,0.7862466077484287,0.7293689395755395,0.0,-0.21551411531348416,0.846786737281899,1,11.0,1,1,-0.16250746076541936,-0.16250746076541883
2016-07-07,air_52e2a1fd42bc917a,0,0,0,0,1,0,0,1.2838364474424822,1.8696730168243914,0.0,2.100560297115039,1.0005071940530836,1,10.0,1,1,-0.22783649334978903,-0.2278364933497885
2016-07-08,air_52e2a1fd42bc917a,1,0,0,0,0,0,0,1.040827455963991,1.0668058603940773,0.0,-0.7479450147223399,1.0224672593061102,1,22.0,1,1,1.0720627800051121,1.0720627800051128
2016-07-09,air_52e2a1fd42bc917a,0,0,1,0,0,0,0,0.7052436105889311,0.4966538217696515,0.0,-1.3069974591016387,0.8248266720288727,1,21.0,1,1,1.368641740430745,1.3686417404307458
2016-07-11,air_52e2a1fd42bc917a,0,1,0,0,0,0,0,1.3532675878649085,1.4973288283349702,0.0,2.0206956622037104,1.0444273245591364,1,7.0,1,1,-1.3109621585838274,-1.310962158583827
2016-07-12,air_52e2a1fd42bc917a,0,0,0,0,0,1,0,1.2491208772312696,1.2995209781999655,0.0,0.37015987403625733,1.29696807496894,1,8.0,1,1,-0.5960546770071454,-0.596054677007145
2016-07-13,air_52e2a1fd42bc917a,0,0,0,0,0,0,1,1.017683742489849,0.8108192308076007,0.0,-1.3069974591016387,1.1761877160772947,1,10.0,1,1,-0.5244154537754219,-0.5244154537754213
2016-07-14,air_52e2a1fd42bc917a,0,0,0,0,1,0,0,1.1102585963864169,1.4275142929932036,0.0,-0.2687572052543697,0.9346269982940046,1,7.0,1,1,-0.3106113471356665,-0.310611347135666
2016-07-15,air_52e2a1fd42bc917a,1,0,0,0,0,0,0,0.6820998971147892,0.39193201875700207,0.0,-1.3069974591016387,0.901686900414465,1,9.0,1,1,0.8619705502167415,0.8619705502167422
2016-07-16,air_52e2a1fd42bc917a,0,0,1,0,0,0,0,0.9019651751191389,0.8224549866978947,0.0,-0.8810527395745539,0.8028666067758464,1,8.0,1,1,1.3103652738640061,1.3103652738640068
2016-07-17,air_52e2a1fd42bc917a,0,0,0,1,0,0,0,1.1102585963864169,0.9504483014911334,0.0,-1.280375914131196,1.1871677487038081,1,15.0,1,1,0.39353169157199985,0.39353169157200046
2016-07-19,air_52e2a1fd42bc917a,0,0,0,0,0,1,0,1.2722645907054115,1.357699757651437,0.0,0.34353832906581466,1.198147781330321,1,7.0,1,1,-0.9442287256670248,-0.9442287256670243
2016-07-20,air_52e2a1fd42bc917a,0,0,0,0,0,0,1,1.1565460233347014,1.0784416162843715,0.0,-0.0824063904612702,1.1542276508242684,1,14.0,1,1,-0.46762373794923684,-0.46762373794923634
2016-07-21,air_52e2a1fd42bc917a,0,0,0,0,1,0,0,0.6358124701665053,0.4268392864278853,0.0,-1.3069974591016387,0.8907068677879516,1,12.0,1,1,-0.24899419140268148,-0.24899419140268098
2016-07-22,air_52e2a1fd42bc917a,1,0,0,0,0,0,0,0.589525043218221,0.24066719218317476,0.0,-1.3069974591016387,0.8358067046553856,1,9.0,1,1,0.9250724566902805,0.925072456690281
2016-07-23,air_52e2a1fd42bc917a,0,0,1,0,0,0,0,0.7052436105889311,0.7526404513561287,0.0,-0.9342958295154395,0.7699265088963068,1,13.0,1,1,1.2379836752620057,1.2379836752620064
2016-07-25,air_52e2a1fd42bc917a,0,1,0,0,0,0,0,0.9713963155415648,0.8457264984784835,0.0,-1.0940250993380962,0.9126669330409783,1,9.0,1,1,-1.1680548998055187,-1.1680548998055182
2016-07-26,air_52e2a1fd42bc917a,0,0,0,0,0,1,0,0.8672496049079257,0.7875477190270115,0.0,-1.280375914131196,0.9456070309205176,1,10.0,1,1,-0.4438677261003751,-0.4438677261003746
2016-07-27,air_52e2a1fd42bc917a,0,0,0,0,0,0,1,0.9482526020674228,0.7759119631367174,0.0,-1.2271328241903103,1.0554073571856495,1,9.0,1,1,-0.24231281307018912,-0.24231281307018862
2016-07-28,air_52e2a1fd42bc917a,0,0,0,0,1,0,0,1.1796897368088433,1.2180706869679045,0.0,0.0773228793613867,1.1542276508242684,1,8.0,1,1,-0.01922901430197221,-0.019229014301971666
2016-07-29,air_52e2a1fd42bc917a,1,0,0,0,0,0,0,1.2606927339683403,1.3693355135417316,0.0,1.7544802124992827,1.1103075203182156,1,15.0,1,1,1.16931395351139,1.1693139535113906
