visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Chūō-ku Tsukiji,total_area_visitors,total_genre_visitors
2016-01-04,air_546b353cbea4a45b,0,1,0,0,0,0,0,-0.7758194678914456,-0.5714278229207617,0.0,0.9441051640702594,-0.8693913605637779,1,15.0,1,1,-1.466986869139919,-1.4669868691399188
2016-01-05,air_546b353cbea4a45b,0,0,0,0,0,1,0,-0.5628305208057194,-0.5466560418817796,0.0,0.8220355514338676,-0.7855977092638884,1,11.0,1,1,-1.3394141771016255,-1.3394141771016252
2016-01-06,air_546b353cbea4a45b,0,0,0,0,0,0,1,-0.8134057526712795,-1.0544775531809092,0.0,-1.2287339408575138,-0.5461872769784895,1,12.0,1,1,-1.2764982100729931,-1.276498210072993
2016-01-07,air_546b353cbea4a45b,0,0,0,0,1,0,0,-0.8384632758578356,-0.8563033048690538,0.0,-0.05686565954815303,-0.857420838949508,1,20.0,1,1,-1.2086086488128487,-1.2086086488128485
2016-01-08,air_546b353cbea4a45b,1,0,0,0,0,0,0,-1.0765097461301174,-1.1040211152588733,0.0,0.8952773190157024,-1.0250081415492873,1,13.0,1,1,-0.8806001092446042,-0.880600109244604
2016-01-09,air_546b353cbea4a45b,0,0,1,0,0,0,0,-1.0138659381637274,-1.0173198816224365,0.0,0.9441051640702594,-1.0609197063920972,1,14.0,1,1,-0.6274441628606218,-0.6274441628606215
2016-01-12,air_546b353cbea4a45b,0,0,0,0,0,1,0,-1.5024876403015694,-1.6985438601944398,0.0,-1.2287339408575138,-1.288359617063226,1,7.0,1,1,-1.31529224507879,-1.3152922450787898
2016-01-13,air_546b353cbea4a45b,0,0,0,0,0,0,1,-1.3897287859620675,-1.252651801492765,0.0,0.8952773190157024,-1.5038290061200852,1,7.0,1,1,-1.1153537569719907,-1.1153537569719905
2016-01-14,air_546b353cbea4a45b,0,0,0,0,1,0,0,-1.1767398388763415,-1.0420916626614183,0.0,0.992933009124816,-1.372153268363116,1,10.0,1,1,-1.024585662246889,-1.0245856622468887
2016-01-15,air_546b353cbea4a45b,1,0,0,0,0,0,0,-1.2268548852494536,-1.1040211152588733,0.0,0.7487937838520324,-1.1566838793062566,1,13.0,1,1,-0.7540221360526129,-0.7540221360526128
2016-01-16,air_546b353cbea4a45b,0,0,1,0,0,0,0,-1.1140960309099515,-0.9925481005834544,0.0,0.992933009124816,-1.1806249225347965,1,6.0,1,1,-0.609539223627177,-0.6095392236271768
2016-01-18,air_546b353cbea4a45b,0,1,0,0,0,0,0,-1.5776602098612376,-1.686157969674949,0.0,-0.8869390254756169,-1.372153268363116,1,6.0,1,1,-1.4776800967376709,-1.4776800967376706
2016-01-19,air_546b353cbea4a45b,0,0,0,0,0,1,0,-1.2894986932158436,-1.3888965972071656,0.0,0.992933009124816,-1.288359617063226,1,12.0,1,1,-1.2461592852607675,-1.2461592852607672
2016-01-20,air_546b353cbea4a45b,0,0,0,0,0,0,1,-1.4147863091486237,-1.3269671446097107,0.0,1.0173469316520942,-1.4798879628915451,1,7.0,1,1,-1.1238088671655617,-1.1238088671655615
2016-01-21,air_546b353cbea4a45b,0,0,0,0,1,0,0,-1.2519124084360096,-1.2774235825317468,0.0,0.5778963261610842,-1.2763890954489563,1,11.0,1,1,-1.0044426056092635,-1.0044426056092635
2016-01-22,air_546b353cbea4a45b,1,0,0,0,0,0,0,-1.2017973620628974,-1.178336458375819,0.0,0.7487937838520324,-1.0369786631635571,1,20.0,1,1,-0.7027941154680349,-0.7027941154680348
2016-01-23,air_546b353cbea4a45b,0,0,1,0,0,0,0,-1.4398438323351794,-1.6613861886359667,0.0,-1.179906095802957,-1.084860749620637,1,11.0,1,1,-0.6311743585342561,-0.631174358534256
2016-01-25,air_546b353cbea4a45b,0,1,0,0,0,0,0,-1.5651314482679595,-1.4136683782461474,0.0,1.1150026217612077,-1.7073278735626742,1,8.0,1,1,-1.3369273799858692,-1.336927379985869
2016-01-26,air_546b353cbea4a45b,0,0,0,0,0,1,0,-1.4523725939284575,-1.265037692012256,0.0,0.8708633964884241,-1.551711092577165,1,20.0,1,1,-1.1680738558260224,-1.1680738558260222
2016-01-27,air_546b353cbea4a45b,0,0,0,0,0,0,1,-1.1391535540965074,-0.794373852271599,0.0,1.0661747767066512,-1.527770049348625,1,18.0,1,1,-1.0198607477269521,-1.019860747726952
2016-01-28,air_546b353cbea4a45b,0,0,0,0,1,0,0,-0.9512221301973376,-0.7200585091546532,0.0,1.0661747767066512,-1.1447133576919868,1,18.0,1,1,-1.0253317013816157,-1.0253317013816157
2016-01-29,air_546b353cbea4a45b,1,0,0,0,0,0,0,-1.2519124084360096,-1.487983721363093,0.0,-1.2287339408575138,-1.084860749620637,1,16.0,1,1,-0.8855737034761166,-0.8855737034761164
