visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Chūō-ku Tsukiji,total_area_visitors,total_genre_visitors
2016-01-04,air_54ed43163b7596c4,0,1,0,0,0,0,0,-0.7197199570290819,-0.5318514866105295,0.0,0.9207402566015707,-0.804800339834093,1,24.0,1,1,-1.486300031389729,-1.486300031389729
2016-01-05,air_54ed43163b7596c4,0,0,0,0,0,1,0,-0.5064796262084788,-0.506689009878445,0.0,0.7973475689158608,-0.7216409142875978,1,5.0,1,1,-1.346624910208333,-1.346624910208333
2016-01-06,air_54ed43163b7596c4,0,0,0,0,0,0,1,-0.7573506036444824,-1.0225197828861727,0.0,-1.2756495842040658,-0.4840425555833257,1,2.0,1,1,-1.2777402987874884,-1.2777402987874884
2016-01-07,air_54ed43163b7596c4,0,0,0,0,1,0,0,-0.7824377013880828,-0.8212199690294985,0.0,-0.09107978242125074,-0.7929204218988795,1,19.0,1,1,-1.2034102635389092,-1.2034102635389092
2016-01-08,air_54ed43163b7596c4,1,0,0,0,0,0,0,-1.0207651299522862,-1.0728447363503413,0.0,0.8713831815272864,-0.95923927299187,1,23.0,1,1,-0.8442845620998031,-0.8442845620998031
2016-01-09,air_54ed43163b7596c4,0,0,1,0,0,0,0,-0.9580473855932853,-0.9847760677880464,0.0,0.9207402566015707,-0.9948790267975107,1,5.0,1,1,-0.5671124892681048,-0.5671124892681048
2016-01-12,air_54ed43163b7596c4,0,0,0,0,0,1,0,-1.4472457915934922,-1.676744177920364,0.0,-1.2756495842040658,-1.2205974675665694,1,25.0,1,1,-1.3202146046438195,-1.3202146046438195
2016-01-13,air_54ed43163b7596c4,0,0,0,0,0,0,1,-1.3343538517472908,-1.2238195967428471,0.0,0.8713831815272864,-1.4344359904004143,1,25.0,1,1,-1.101308566768883,-1.101308566768883
2016-01-14,air_54ed43163b7596c4,0,0,0,0,1,0,0,-1.1211135209266876,-1.0099385445201305,0.0,0.9700973316758544,-1.3037568931130648,1,21.0,1,1,-1.0019295819127239,-1.0019295819127239
2016-01-15,air_54ed43163b7596c4,1,0,0,0,0,0,0,-1.1712877164138884,-1.0728447363503413,0.0,0.7233119563044347,-1.0899183702792197,1,22.0,1,1,-0.7056985256839539,-0.705698525683954
2016-01-18,air_54ed43163b7596c4,0,1,0,0,0,0,0,-1.5225070848242934,-1.6641629395543218,0.0,-0.9301500586840782,-1.3037568931130648,1,11.0,1,1,-1.4980076926193586,-1.4980076926193588
2016-01-19,air_54ed43163b7596c4,0,0,0,0,0,1,0,-1.2340054607728892,-1.3622132187693106,0.0,0.9700973316758544,-1.2205974675665694,1,5.0,1,1,-1.2445232134383066,-1.2445232134383066
2016-01-20,air_54ed43163b7596c4,0,0,0,0,0,0,1,-1.359440949490891,-1.2993070269390998,0.0,0.9947758692129963,-1.410676154529987,1,10.0,1,1,-1.110565787276032,-1.110565787276032
2016-01-21,air_54ed43163b7596c4,0,0,0,0,1,0,0,-1.1963748141574886,-1.2489820734749313,0.0,0.5505621935444409,-1.2087175496313558,1,17.0,1,1,-0.9798756154103981,-0.9798756154103981
2016-01-22,air_54ed43163b7596c4,1,0,0,0,0,0,0,-1.146200618670288,-1.148332166546594,0.0,0.7233119563044347,-0.9711191909270835,1,19.0,1,1,-0.6496106602582861,-0.6496106602582862
2016-01-25,air_54ed43163b7596c4,0,1,0,0,0,0,0,-1.5099635359524932,-1.3873756955013947,0.0,1.0934900193615644,-1.6363945952990455,1,10.0,1,1,-1.3439021982944657,-1.3439021982944657
2016-01-26,air_54ed43163b7596c4,0,0,0,0,0,1,0,-1.3970715961062916,-1.236400835108889,0.0,0.8467046439901446,-1.4819556621412688,1,17.0,1,1,-1.159030059342871,-1.159030059342871
2016-01-27,air_54ed43163b7596c4,0,0,0,0,0,0,1,-1.0834828743112872,-0.7583137771992878,0.0,1.0441329442872807,-1.4581958262708414,1,19.0,1,1,-0.9967564292763759,-0.9967564292763759
2016-01-28,air_54ed43163b7596c4,0,0,0,0,1,0,0,-0.8953296412342844,-0.682826347003035,0.0,1.0441329442872807,-1.078038452344006,1,14.0,1,1,-1.002746395486884,-1.002746395486884
2016-01-29,air_54ed43163b7596c4,1,0,0,0,0,0,0,-1.1963748141574886,-1.4628631256976474,0.0,-1.2756495842040658,-1.0186388626679381,1,21.0,1,1,-0.8497299859275378,-0.8497299859275379
2016-02-01,air_54ed43163b7596c4,0,1,0,0,0,0,0,-1.2841796562600898,-1.601256747724111,0.0,-1.2756495842040658,-1.0186388626679381,1,29.0,1,1,-1.393183283935465,-1.393183283935465
2016-02-03,air_54ed43163b7596c4,0,0,0,0,0,0,1,-1.2465490096446894,-1.2867257885730576,0.0,0.4765265809330148,-1.1493179599552876,1,14.0,1,1,-1.1546737202806834,-1.1546737202806834
2016-02-04,air_54ed43163b7596c4,0,0,0,0,1,0,0,-1.2340054607728892,-1.2489820734749313,0.0,0.1803841304873112,-1.1968376316961422,1,23.0,1,1,-1.1143775839554462,-1.1143775839554462
2016-02-05,air_54ed43163b7596c4,1,0,0,0,0,0,0,-0.9329602878496849,-0.7708950155653299,0.0,0.9454187941387125,-1.2562372213722102,1,26.0,1,1,-0.7141389326169427,-0.7141389326169428
2016-02-08,air_54ed43163b7596c4,0,1,0,0,0,0,0,-1.3218103028754904,-1.2741445502070154,0.0,0.08166998033874319,-1.1730777958257148,1,16.0,1,1,-1.338184503275344,-1.338184503275344
2016-02-09,air_54ed43163b7596c4,0,0,0,0,0,1,0,-1.0458522276958866,-0.5947576784407401,0.0,0.8467046439901446,-1.2562372213722102,1,14.0,1,1,-1.1051203634482971,-1.1051203634482971
