visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Tōkyō-to Toshima-ku Minamiikebukuro,total_area_visitors,total_genre_visitors
2016-01-05,air_573ecdf81b157d22,0,0,0,0,0,1,0,-0.5966552815950689,-0.5888796923753117,0.0,0.7930645396653656,-0.8135260524748252,1,42.0,1,1,-1.4843130052846754,-1.4843130052846754
2016-01-06,air_573ecdf81b157d22,0,0,0,0,0,0,1,-0.8477650437949042,-1.1019804725766424,0.0,-1.2861388451308404,-0.5744154785156735,1,28.0,1,1,-1.4207887904568253,-1.4207887904568253
2016-01-07,air_573ecdf81b157d22,0,0,0,0,1,0,0,-0.8728760200148878,-0.9017460217663671,0.0,-0.09802262524729423,-0.8852592246625708,1,31.0,1,1,-1.3522428985674853,-1.352242898567485
2016-01-08,air_573ecdf81b157d22,1,0,0,0,0,0,0,-1.1114302941047312,-1.1520390852792115,0.0,0.8673218034080871,-1.052636626433977,1,44.0,1,1,-1.0210632963622117,-1.0210632963622117
2016-01-09,air_573ecdf81b157d22,0,0,1,0,0,0,0,-1.0486528535547723,-1.064436513049716,0.0,0.916826645903235,-1.0885032125278498,1,52.0,1,1,-0.7654599339323646,-0.7654599339323646
2016-01-10,air_573ecdf81b157d22,0,0,0,1,0,0,0,-0.9733199248948219,-0.9017460217663671,0.0,0.9663314883983827,-1.13632532731968,1,50.0,1,1,-1.0484314363473328,-1.0484314363473328
2016-01-12,air_573ecdf81b157d22,0,0,0,0,0,1,0,-1.5383168898444513,-1.752742437710038,0.0,-1.2861388451308404,-1.3156582577890437,1,30.0,1,1,-1.4599578715364483,-1.4599578715364483
2016-01-13,air_573ecdf81b157d22,0,0,0,0,0,0,1,-1.4253174968545255,-1.3022149233869182,0.0,0.8673218034080871,-1.5308577743522804,1,38.0,1,1,-1.2580864536645455,-1.2580864536645453
2016-01-14,air_573ecdf81b157d22,0,0,0,0,1,0,0,-1.2118741989846655,-1.0894658194010003,0.0,0.9663314883983827,-1.399346958674747,1,41.0,1,1,-1.1664408472923506,-1.1664408472923506
2016-01-15,air_573ecdf81b157d22,1,0,0,0,0,0,0,-1.2620961514246325,-1.1520390852792115,0.0,0.7188072759226438,-1.1841474421115104,1,44.0,1,1,-0.8932616151472882,-0.8932616151472881
2016-01-16,air_573ecdf81b157d22,0,0,1,0,0,0,0,-1.1490967584347067,-1.0394072066984315,0.0,0.9663314883983827,-1.2080584995074255,1,53.0,1,1,-0.7473818965110002,-0.7473818965110001
2016-01-18,air_573ecdf81b157d22,0,1,0,0,0,0,0,-1.613649818504402,-1.7402277845343959,0.0,-0.9396049476648062,-1.399346958674747,1,31.0,1,1,-1.6239156275941007,-1.6239156275941007
2016-01-19,air_573ecdf81b157d22,0,0,0,0,0,1,0,-1.3248735919745913,-1.4398761083189826,0.0,0.9663314883983827,-1.3156582577890437,1,34.0,1,1,-1.3901565603817356,-1.3901565603817356
2016-01-20,air_573ecdf81b157d22,0,0,0,0,0,0,1,-1.450428473074509,-1.3773028424407714,0.0,0.9910839096459564,-1.506946716956365,1,39.0,1,1,-1.2666233046690787,-1.2666233046690785
2016-01-21,air_573ecdf81b157d22,0,0,0,0,1,0,0,-1.287207127644616,-1.3272442297382026,0.0,0.5455403271896269,-1.303702729091086,1,38.0,1,1,-1.1461030551933158,-1.1461030551933156
2016-01-22,air_573ecdf81b157d22,1,0,0,0,0,0,0,-1.2369851752046488,-1.2271270043330647,0.0,0.7188072759226438,-1.0645921551319344,1,43.0,1,1,-0.8415383414139399,-0.8415383414139399
2016-01-23,air_573ecdf81b157d22,0,0,1,0,0,0,0,-1.4755394492944924,-1.715198478183111,0.0,-1.2366340026356928,-1.112414269923765,1,50.0,1,1,-0.7692261917284822,-0.7692261917284822
2016-01-25,air_573ecdf81b157d22,0,1,0,0,0,0,0,-1.60109433039441,-1.464905414670267,0.0,1.090093594636252,-1.7341017622175592,1,19.0,1,1,-1.4818021667539303,-1.4818021667539303
2016-01-26,air_573ecdf81b157d22,0,0,0,0,0,1,0,-1.4880949374044843,-1.3147295765625604,0.0,0.8425693821605132,-1.5786798891441107,1,25.0,1,1,-1.3113162305163406,-1.3113162305163406
2016-01-27,air_573ecdf81b157d22,0,0,0,0,0,0,1,-1.17420773465469,-0.839172755888156,0.0,1.0405887521411044,-1.5547688317481954,1,39.0,1,1,-1.1616702540839352,-1.161670254083935
2016-01-28,air_573ecdf81b157d22,0,0,0,0,1,0,0,-0.9858754130048137,-0.7640848368343027,0.0,1.0405887521411044,-1.1721919134135528,1,40.0,1,1,-1.1671940988515743,-1.167194098851574
2016-01-29,air_573ecdf81b157d22,1,0,0,0,0,0,0,-1.287207127644616,-1.53999333372412,0.0,-1.2861388451308404,-1.112414269923765,1,44.0,1,1,-1.0260849734237019,-1.0260849734237019
2016-01-30,air_573ecdf81b157d22,0,0,1,0,0,0,0,-1.550872377954443,-1.8904036226421024,0.0,-1.2861388451308404,-1.2439250856012982,1,49.0,1,1,-0.7285506075304122,-0.7285506075304121
2016-02-01,air_573ecdf81b157d22,0,1,0,0,0,0,0,-1.3750955444145585,-1.6776545186561846,0.0,-1.2861388451308404,-1.112414269923765,1,28.0,1,1,-1.5272483441604159,-1.5272483441604159
2016-02-02,air_573ecdf81b157d22,0,0,0,0,0,1,0,-1.2118741989846655,-1.177068391630496,0.0,0.8178169609129394,-1.112414269923765,1,19.0,1,1,-1.3811175416710533,-1.3811175416710533
2016-02-03,air_573ecdf81b157d22,0,0,0,0,0,0,1,-1.3374290800845832,-1.3647881892651292,0.0,0.471283063446905,-1.2439250856012982,1,38.0,1,1,-1.3072988888671486,-1.3072988888671486
2016-02-04,air_573ecdf81b157d22,0,0,0,0,1,0,0,-1.3248735919745913,-1.3272442297382026,0.0,0.1742540084760186,-1.2917472003931287,1,41.0,1,1,-1.2701384786121217,-1.2701384786121217
2016-02-05,air_573ecdf81b157d22,1,0,0,0,0,0,0,-1.0235418773347889,-0.8516874090637981,0.0,0.9415790671508089,-1.3515248438829166,1,44.0,1,1,-0.9010452145925979,-0.9010452145925978
2016-02-06,air_573ecdf81b157d22,0,0,1,0,0,0,0,-1.1239857822147232,-1.2771856170356337,0.0,-1.0386146326551018,-0.8972147533605282,1,54.0,1,1,-0.680844675446256,-0.680844675446256
2016-02-08,air_573ecdf81b157d22,0,1,0,0,0,0,0,-1.4127620087445336,-1.3522735360894869,0.0,0.07524432348572298,-1.2678361429972134,1,31.0,1,1,-1.4765294058393656,-1.4765294058393656
2016-02-09,air_573ecdf81b157d22,0,0,0,0,0,1,0,-1.1365412703247149,-0.6764822646048073,0.0,0.8425693821605132,-1.3515248438829166,1,31.0,1,1,-1.2616016276075885,-1.2616016276075885
2016-02-10,air_573ecdf81b157d22,0,0,0,0,0,0,1,-1.2118741989846655,-1.1645537384548537,0.0,1.164350858378974,-1.2319695569033406,1,38.0,1,1,-0.9419718826437423,-0.9419718826437423
2016-02-11,air_573ecdf81b157d22,0,0,0,0,1,0,0,-1.2118741989846655,-1.0769511662253581,1.0,1.164350858378974,-1.220014028205383,1,40.0,1,1,-1.0142840323292002,-1.0142840323292
2016-02-12,air_573ecdf81b157d22,1,0,0,0,0,0,0,-1.0612083416647644,-1.0268925535227893,0.0,-0.6920807351890673,-1.2439250856012982,1,43.0,1,1,-0.9587945007997343,-0.9587945007997342
2016-02-13,air_573ecdf81b157d22,0,0,1,0,0,0,0,-0.20743515018532419,0.21205811086579027,0.0,-0.14752746774244205,-0.43094913414018243,1,49.0,1,1,-0.7714859464061528,-0.7714859464061526
2016-03-17,air_573ecdf81b157d22,0,0,0,0,1,0,0,-0.3204345431752501,0.036852966406798957,0.0,1.535637177092582,-0.6581041794013766,1,37.0,1,1,-1.0080069360023374,-1.0080069360023374
2016-03-18,air_573ecdf81b157d22,1,0,0,0,0,0,0,-0.10699124530538998,0.16199949816322112,0.0,0.5950451696847744,-0.5146378350258857,1,41.0,1,1,-0.6364028334520685,-0.6364028334520685
2016-03-19,air_573ecdf81b157d22,0,0,1,0,0,0,0,-0.09443575719539826,-0.426189201091963,0.0,-0.8158428414269367,0.2026938868515694,1,36.0,1,1,-0.6190780475899276,-0.6190780475899276
2016-03-20,air_573ecdf81b157d22,0,0,0,1,0,0,0,-0.2827680788452747,-0.1383521780521919,1.0,0.0009870597430013794,-0.43094913414018243,1,34.0,1,1,-0.8292352326132891,-0.829235232613289
2016-03-22,air_573ecdf81b157d22,0,0,0,0,0,1,0,-0.5840997934850771,-0.32607197568682517,0.0,0.8920742246556612,-0.7776594663809524,1,27.0,1,1,-1.139323791160304,-1.139323791160304
2016-03-23,air_573ecdf81b157d22,0,0,0,0,0,0,1,-0.5213223529351183,-0.26349870980861406,0.0,0.1742540084760186,-0.5265933637238432,1,40.0,1,1,-1.0391413337835762,-1.0391413337835762
2016-03-24,air_573ecdf81b157d22,0,0,0,0,1,0,0,-1.17420773465469,-1.3272442297382026,0.0,-0.9148525264172322,-0.9330813394544011,1,33.0,1,1,-1.0981460392560851,-1.0981460392560851
2016-03-25,air_573ecdf81b157d22,1,0,0,0,0,0,0,-0.9482089486748384,-0.7140262241317339,0.0,0.9910839096459564,-1.1243697986217225,1,36.0,1,1,-0.4995621335264627,-0.49956213352646267
2016-03-26,air_573ecdf81b157d22,0,0,1,0,0,0,0,-0.9607644367848301,-0.951804634468936,0.0,0.2485112722187402,-0.8135260524748252,1,45.0,1,1,-0.5053370621471763,-0.5053370621471763
2016-03-28,air_573ecdf81b157d22,0,1,0,0,0,0,0,-0.5464333291551018,-0.4136745479163206,0.0,-0.5930710501987718,-0.3472604332544794,1,34.0,1,1,-1.1747266144438093,-1.1747266144438093
2016-03-29,air_573ecdf81b157d22,0,0,0,0,0,1,0,-0.33299003128524185,-0.1884107907547606,0.0,1.1395984371314,-0.5385488924218007,1,33.0,1,1,-0.9023006338579704,-0.9023006338579703
2016-03-30,air_573ecdf81b157d22,0,0,0,0,0,0,1,-0.09443575719539826,-0.013205646295769737,0.0,-0.39505168021818077,-0.29943831846264907,1,48.0,1,1,-0.986915892344079,-0.9869158923440788
2016-03-31,air_573ecdf81b157d22,0,0,0,0,1,0,0,-0.09443575719539826,0.011823660055514608,0.0,0.9663314883983827,-0.359215961952437,1,25.0,1,1,-0.9515130690605735,-0.9515130690605735
2016-04-01,air_573ecdf81b157d22,1,0,0,0,0,0,0,-0.3581010075052253,-0.2134400971060454,0.0,-0.22178473148516364,-0.45486019153609775,1,44.0,1,1,-0.7463775610987021,-0.7463775610987021
2016-04-02,air_573ecdf81b157d22,0,0,1,0,0,0,0,-0.6468772340350359,-0.8516874090637981,0.0,-1.2861388451308404,-0.502682306327928,1,50.0,1,1,-0.7634512631077686,-0.7634512631077685
2016-04-04,air_573ecdf81b157d22,0,1,0,0,0,0,0,-0.006547340425455986,0.2245727640414322,0.0,-1.1128718963978232,-0.26357173236877646,1,25.0,1,1,-1.3954293212963003,-1.3954293212963
2016-04-05,air_573ecdf81b157d22,0,0,0,0,0,1,0,-0.6092107697050606,-0.9142606749420092,0.0,-1.2861388451308404,-0.3353049045565219,1,27.0,1,1,-1.1925535680120993,-1.1925535680120993
2016-04-06,air_573ecdf81b157d22,0,0,0,0,0,0,1,-0.13210222152537365,0.011823660055514608,0.0,0.7683121184177918,-0.5505044211197584,1,23.0,1,1,-1.1260163469473552,-1.1260163469473552
2016-04-07,air_573ecdf81b157d22,0,0,0,0,1,0,0,-0.23254612640530764,-0.0006909931201273414,0.0,-1.162376738892971,-0.012505629711666992,1,41.0,1,1,-1.241012751655479,-1.241012751655479
2016-04-08,air_573ecdf81b157d22,1,0,0,0,0,0,0,0.056230100124503066,0.3497192957978544,0.0,-0.19703231023758963,-0.04837221580553983,1,45.0,1,1,-0.6866196040669698,-0.6866196040669696
2016-04-09,air_573ecdf81b157d22,0,0,1,0,0,0,0,0.18178498122442072,0.42480721485170786,0.0,0.5702927484372006,-0.1201053879932853,1,41.0,1,1,-0.594973997694775,-0.594973997694775
2016-04-11,air_573ecdf81b157d22,0,1,0,0,0,0,0,-0.5087668648251266,-0.37613058838939384,0.0,0.2485112722187402,-0.5385488924218007,1,38.0,1,1,-1.4175247003668567,-1.4175247003668567
2016-04-12,air_573ecdf81b157d22,0,0,0,0,0,1,0,-0.6468772340350359,-0.6264236519022384,0.0,1.535637177092582,-0.8135260524748252,1,27.0,1,1,-1.255324531280726,-1.2553245312807257
