visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Western food,Tōkyō-to Suginami-ku Asagayaminami,total_area_visitors,total_genre_visitors
2016-07-01,air_57c9eea1a2b66e65,1,0,0,0,0,0,0,1.0790492183529683,1.2188892671066562,0.0,-0.6103301651649206,1.000130863095423,1,15.0,1,1,1.2926156610521902,1.2926156610521902
2016-07-02,air_57c9eea1a2b66e65,0,0,1,0,0,0,0,1.1998889451712165,1.3406046246799626,0.0,-0.0992824831214483,1.1441376059741992,1,30.0,1,1,1.450030283795012,1.450030283795012
2016-07-03,air_57c9eea1a2b66e65,0,0,0,1,0,0,0,1.5624081256259617,1.8053359899598582,0.0,0.3848679524986831,1.2469995651733252,1,23.0,1,1,-0.5153929604508917,-0.5153929604508917
2016-07-04,air_57c9eea1a2b66e65,0,1,0,0,0,0,0,1.3426995314109647,1.5619052748132465,0.0,0.3041762132286613,1.2572857610932378,1,15.0,1,1,-1.2791174937581713,-1.2791174937581713
2016-07-05,air_57c9eea1a2b66e65,0,0,0,0,0,1,0,0.6176611705014748,0.5328572516934759,0.0,-1.3634530650184582,0.8046931406170835,1,15.0,1,1,-0.6189552122553799,-0.6189552122553799
2016-07-06,air_57c9eea1a2b66e65,0,0,0,0,0,0,1,0.8373697647164718,0.8426781618800734,0.0,-0.8793026293983269,0.8458379242967342,1,20.0,1,1,-0.16403448432875561,-0.16403448432875561
2016-07-08,air_57c9eea1a2b66e65,1,0,0,0,0,0,0,1.0460929292207188,1.1193039745466782,0.0,-0.7986108901283049,1.0207032549352482,1,18.0,1,1,1.088503877495708,1.088503877495708
2016-07-09,air_57c9eea1a2b66e65,0,0,1,0,0,0,0,0.7165300378982233,0.4443369916401626,0.0,-1.3634530650184582,0.8664103161365593,1,20.0,1,1,1.3893992927385663,1.3893992927385663
2016-07-10,air_57c9eea1a2b66e65,0,0,0,1,0,0,0,1.1229909371959677,1.3406046246799626,0.0,1.6490385343956928,0.8355517283768215,1,33.0,1,1,-0.35647197768182265,-0.35647197768182265
2016-07-11,air_57c9eea1a2b66e65,0,1,0,0,0,0,0,1.331714101700215,1.57297030731991,0.0,1.3800660701622864,1.0927066263746363,1,12.0,1,1,-1.3292039646308875,-1.3292039646308875
2016-07-12,air_57c9eea1a2b66e65,0,0,0,0,0,1,0,1.2767869531464657,1.3627346896932906,0.0,0.6538404167320895,1.2572857610932378,1,14.0,1,1,-0.6038916119929089,-0.6038916119929089
