visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Chiyoda-ku Kudanminami,total_area_visitors,total_genre_visitors
2016-07-04,air_5bd22f9cc1426a90,0,1,0,0,0,0,0,1.483925269091209,1.6793982353433252,0.0,0.5001124560689141,1.349458668175092,1,1.0,1,1,-1.2242935238830606,-1.2242935238830606
2016-07-05,air_5bd22f9cc1426a90,0,0,0,0,0,1,0,0.7651586061585708,0.7081725074817511,0.0,-1.4205969794310989,0.9682927949582222,1,8.0,1,1,-0.5694174700146425,-0.5694174700146425
2016-07-08,air_5bd22f9cc1426a90,1,0,0,0,0,0,0,1.1893487678893082,1.2056295876059722,0.0,-0.8524998224522218,1.1812972535205908,1,1.0,1,1,1.1243691975491952,1.1243691975491952
2016-07-14,air_5bd22f9cc1426a90,0,0,0,0,1,0,0,1.260047128177764,1.572800289602421,0.0,-0.36555940218461286,1.0916111657048566,1,7.0,1,1,-0.26719572011187565,-0.26719572011187565
2016-07-29,air_5bd22f9cc1426a90,1,0,0,0,0,0,0,1.4132269088027527,1.5135792086352515,0.0,1.690411261167514,1.2709833413363243,1,23.0,1,1,1.222245709878645,1.222245709878645
2016-07-30,air_5bd22f9cc1426a90,0,0,1,0,0,0,0,1.4132269088027527,1.572800289602421,0.0,1.501045542174555,1.1812972535205908,1,33.0,1,1,1.3402952438332487,1.3402952438332487
2016-08-01,air_5bd22f9cc1426a90,0,1,0,0,0,0,0,1.4367930288989046,1.4069812628943472,0.0,-0.9066043135930673,1.4615662779447594,1,9.0,1,1,-1.1846946295818328,-1.1846946295818328
2016-08-02,air_5bd22f9cc1426a90,0,0,0,0,0,1,0,1.260047128177764,1.1582527228322366,0.0,-0.9607088047339126,1.2261402974284576,1,43.0,1,1,-0.8297988787689422,-0.8297988787689422
2016-08-03,air_5bd22f9cc1426a90,0,0,0,0,0,0,1,1.3660946686104487,1.4662023438615164,0.0,-0.3114549110437675,1.327037146221158,1,17.0,1,1,-0.379641636948381,-0.379641636948381
2016-08-04,air_5bd22f9cc1426a90,0,0,0,0,1,0,0,1.519274449235437,1.584644505795855,0.0,0.8788438940548323,1.4391447559908257,1,17.0,1,1,-0.25225274113028023,-0.25225274113028023
2016-08-05,air_5bd22f9cc1426a90,1,0,0,0,0,0,0,1.5899728095238932,1.63202137056959,0.0,1.501045542174555,1.4615662779447594,1,32.0,1,1,0.8045894473430539,0.8045894473430539
