visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Chūō-ku Tsukiji,total_area_visitors,total_genre_visitors
2016-07-01,air_6607fe3671242ce3,1,0,0,0,0,0,0,1.0772203338349278,1.1526574817645758,0.0,-0.18170151295556683,1.0231959500092525,1,39.0,1,1,1.4000425073785927,1.4000425073785925
2016-07-02,air_6607fe3671242ce3,0,0,1,0,0,0,0,1.2391069212615917,1.2919163771199738,0.0,0.48509303000064224,1.1775158347399772,1,33.0,1,1,1.5556057150194202,1.55560571501942
2016-07-03,air_6607fe3671242ce3,0,0,0,1,0,0,0,1.493500130074921,1.7096930631861673,0.0,0.6717955020283806,1.3097900216520273,1,52.0,1,1,-0.38670141578794465,-0.3867014157879449
2016-07-04,air_6607fe3671242ce3,0,1,0,0,0,0,0,1.3316135426482572,1.5240145360456365,0.0,0.5384365934371388,1.1995615325586524,1,20.0,1,1,-1.1414434853946387,-1.141443485394639
2016-07-05,air_6607fe3671242ce3,0,0,0,0,0,1,0,0.6262505545749345,0.5724120844504176,0.0,-1.3552599085584949,0.8247846696411776,1,23.0,1,1,-0.4890456313411206,-0.4890456313411209
2016-07-06,air_6607fe3671242ce3,0,0,0,0,0,0,1,0.7881371420015989,0.7232758877520984,0.0,-0.2617168581103121,0.8578532163691901,1,22.0,1,1,-0.039475404474805825,-0.03947540447480612
2016-07-07,air_6607fe3671242ce3,0,0,0,0,1,0,0,1.2853602319549242,1.8605568664878491,0.0,2.0587281513772955,1.0121731010999149,1,24.0,1,1,-0.10497570242883844,-0.10497570242883873
2016-07-08,air_6607fe3671242ce3,1,0,0,0,0,0,0,1.0425303508149282,1.0598182181943105,0.0,-0.7951524924752792,1.03421879891859,1,30.0,1,1,1.1983313625428786,1.1983313625428784
2016-07-09,air_6607fe3671242ce3,0,0,1,0,0,0,0,0.7071938482882665,0.4911777288264351,0.0,-1.3552599085584949,0.8358075185505153,1,45.0,1,1,1.4956878288228337,1.4956878288228332
2016-07-10,air_6607fe3671242ce3,0,0,0,1,0,0,0,1.0772203338349278,1.233891837388558,0.0,1.7653385524765632,0.8247846696411776,1,55.0,1,1,-0.22964956501179826,-0.22964956501179853
