visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Fukuoka-ken Fukuoka-shi Momochi,total_area_visitors,total_genre_visitors
2016-07-01,air_67f87c159d9e2ee2,1,0,0,0,0,0,0,1.0786863430311868,1.2037293956991066,0.0,0.5793843572117687,0.9188596125446313,1,64.0,1,1,1.4112272705504116,1.4112272705504116
2016-07-02,air_67f87c159d9e2ee2,0,0,1,0,0,0,0,1.3631474981683611,1.2586984625305675,0.0,0.024089660955430366,1.447522403489097,1,74.0,1,1,1.5715695140504513,1.5715695140504513
2016-07-03,air_67f87c159d9e2ee2,0,0,0,1,0,0,0,1.3290121595519002,1.2367108357979837,0.0,-0.16100857113001585,1.447522403489097,1,52.0,1,1,-0.4304069663962175,-0.4304069663962175
2016-07-04,air_67f87c159d9e2ee2,0,1,0,0,0,0,0,1.408661282990309,1.4345994763912422,0.0,0.44717133429359296,1.3814395546210387,1,29.0,1,1,-1.2083353630901903,-1.2083353630901903
2016-07-05,air_67f87c159d9e2ee2,0,0,0,0,0,1,0,1.3745259443738478,1.4236056630249498,0.0,1.399105099304459,1.2492738568849224,1,29.0,1,1,-0.5358952844883489,-0.5358952844883489
2016-07-06,air_67f87c159d9e2ee2,0,0,0,0,0,0,1,1.3062552671409262,1.3246613427283207,0.0,1.6899737497244456,1.2492738568849224,1,23.0,1,1,-0.07251387265091343,-0.07251387265091343
2016-07-07,air_67f87c159d9e2ee2,0,0,0,0,1,0,0,1.1128216816476477,1.0827974486698937,0.0,0.6322695663790392,1.1391357754381586,1,36.0,1,1,-0.14002639622987753,-0.14002639622987753
2016-07-08,air_67f87c159d9e2ee2,1,0,0,0,0,0,0,0.7487114030720644,0.5770820338204544,0.0,-1.4038109865608688,0.852776763676573,1,55.0,1,1,1.2033193854379198,1.2033193854379198
2016-07-09,air_67f87c159d9e2ee2,0,0,1,0,0,0,0,0.8966312037433951,0.840933554611466,0.0,-0.10812336196274547,0.9298734206893078,1,58.0,1,1,1.509810898731058,1.509810898731058
2016-07-10,air_67f87c159d9e2ee2,0,0,0,1,0,0,0,0.999037219592778,0.8959026214429268,0.0,-0.6369754536354489,1.117108159148806,1,25.0,1,1,-0.2685303473602922,-0.2685303473602922
