visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Hyōgo-ken Himeji-shi Yasuda,total_area_visitors,total_genre_visitors
2016-01-06,air_683371d9baabf410,0,0,0,0,0,0,1,-0.8711323642597127,-0.9038021935867444,0.0,-0.8159844976572748,-0.7731092975162128,1,8.0,1,1,-1.3951903682507647,-1.3951903682507647
2016-01-07,air_683371d9baabf410,0,0,0,0,1,0,0,-0.8481162116516076,-0.7969462748351176,0.0,0.43459329966452664,-0.7951945995257582,1,21.0,1,1,-1.3261156366318179,-1.326115636631818
2016-01-08,air_683371d9baabf410,1,0,0,0,0,0,0,-1.1128019666448172,-1.0462767519222467,0.0,-0.7899307935464038,-1.0381329216307569,1,65.0,1,1,-0.9923809443043796,-0.9923809443043796
2016-01-09,air_683371d9baabf410,0,0,1,0,0,0,0,-1.1128019666448172,-0.9512937130319119,0.0,0.5388081161080102,-1.1485594316784835,1,28.0,1,1,-0.7348055714542414,-0.7348055714542415
2016-01-10,air_683371d9baabf410,0,0,0,1,0,0,0,-1.1358181192529224,-0.927547953309328,0.0,0.4867007078862684,-1.1816873846928015,1,42.0,1,1,-1.01996023275297,-1.01996023275297
2016-01-11,air_683371d9baabf410,0,1,0,0,0,0,0,-0.9747050509961861,-0.8919293137254526,1.0,-0.008319670220278061,-1.0270902706259843,1,21.0,1,1,-1.3810211925340576,-1.3810211925340576
2016-01-12,air_683371d9baabf410,0,0,0,0,0,1,0,-1.089785814036712,-1.2124970699803328,0.0,-0.5033400483268243,-0.9608343645973482,1,19.0,1,1,-1.4346616434615913,-1.4346616434615913
2016-01-13,air_683371d9baabf410,0,0,0,0,0,0,1,-1.17034234816508,-1.034403872060955,0.0,-0.47728634421595356,-1.0381329216307569,1,31.0,1,1,-1.2312327635288691,-1.2312327635288693
2016-01-14,air_683371d9baabf410,0,0,0,0,1,0,0,-1.319947340117764,-1.1650055505351653,0.0,0.06984144211233471,-1.3141991967500737,1,25.0,1,1,-1.1388801003753324,-1.1388801003753324
2016-01-15,air_683371d9baabf410,1,0,0,0,0,0,0,-1.2739150349015538,-1.1412597908125817,0.0,0.5388081161080102,-1.2921138947405282,1,47.0,1,1,-0.8635932578793105,-0.8635932578793105
2016-01-16,air_683371d9baabf410,0,0,1,0,0,0,0,-1.2508988822934484,-1.0106581123383713,0.0,0.6690766366623643,-1.3473271497643915,1,55.0,1,1,-0.7165880598184753,-0.7165880598184753
2016-01-19,air_683371d9baabf410,0,0,0,0,0,1,0,-1.665189629239342,-1.7823953033223423,0.0,-0.0864807825528906,-1.3252418477548462,1,22.0,1,1,-1.3643218068679386,-1.3643218068679386
2016-01-20,air_683371d9baabf410,0,0,0,0,0,0,1,-1.4465361794623428,-1.4262089074835864,0.0,0.5388081161080102,-1.3583698007691642,1,40.0,1,1,-1.2398354773568698,-1.2398354773568698
2016-01-21,air_683371d9baabf410,0,0,0,0,1,0,0,-1.3659796453339745,-1.44995466720617,0.0,-0.8420382017681456,-1.2589859417262104,1,51.0,1,1,-1.1183853997850954,-1.1183853997850957
2016-01-22,air_683371d9baabf410,1,0,0,0,0,0,0,-1.2739150349015538,-1.3430987484545434,0.0,0.01773403389059294,-1.0933461766546202,1,39.0,1,1,-0.811470932921424,-0.811470932921424
2016-01-23,air_683371d9baabf410,0,0,1,0,0,0,0,-1.3889957979420797,-1.4143360276222947,0.0,-0.7117696812137912,-1.203772686702347,1,118.0,1,1,-0.7386008863783594,-0.7386008863783594
2016-01-24,air_683371d9baabf410,0,0,0,1,0,0,0,-1.9643996131447097,-2.281056257496601,0.0,0.06984144211233471,-1.7227772839266622,1,32.0,1,1,-1.4321314335121793,-1.4321314335121793
