visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Fukuoka-ken Yame-shi Motomachi,total_area_visitors,total_genre_visitors
2016-01-02,air_68c1de82037d87e6,0,0,1,0,0,0,0,-0.6360931968060067,-0.683881340595916,1.0,-1.0788532249228096,-0.6051467025716679,1,24.0,1,1,-1.8826772355230132,-1.882677235523013
2016-01-03,air_68c1de82037d87e6,0,0,0,1,0,0,0,-0.4550118270701032,-0.5075489136757728,1.0,-1.1288874085131337,-0.39892146329784156,1,8.0,1,1,-1.7469412022600317,-1.7469412022600315
2016-01-04,air_68c1de82037d87e6,0,1,0,0,0,0,0,-0.6700459536314886,-0.5957151271358444,0.0,0.7223773843288579,-0.5725848226863269,1,2.0,1,1,-1.5504014812342646,-1.5504014812342646
2016-01-05,air_68c1de82037d87e6,0,0,0,0,0,1,0,-0.7719042241079344,-0.9924630877061662,0.0,-1.2789899592841059,-0.44233730314496283,1,14.0,1,1,-1.4209728844611984,-1.4209728844611984
2016-01-06,air_68c1de82037d87e6,0,0,0,0,0,0,1,-0.7719042241079344,-1.0585877478012198,0.0,-1.2789899592841059,-0.67027046234235,1,13.0,1,1,-1.3571416271832535,-1.3571416271832535
2016-01-07,air_68c1de82037d87e6,0,0,0,0,1,0,0,-0.964303179452332,-1.1357331845787826,0.0,-0.9037335823566752,-0.6485625424187893,1,1.0,1,1,-1.2882644207133762,-1.2882644207133762
2016-01-08,air_68c1de82037d87e6,1,0,0,0,0,0,0,-1.1340669635797416,-1.554522698514122,0.0,-1.2789899592841059,-0.9633273813104191,1,32.0,1,1,-0.9554840715054344,-0.9554840715054344
2016-01-09,air_68c1de82037d87e6,0,0,1,0,0,0,0,-1.2925131620986572,-1.378190271593979,0.0,-1.0288190413324854,-1.126136780737124,1,35.0,1,1,-0.6986452576360751,-0.6986452576360751
2016-01-10,air_68c1de82037d87e6,0,0,0,1,0,0,0,-1.1906548916222115,-1.047566971118711,0.0,0.7473944761240198,-1.1369907406989044,1,26.0,1,1,-0.982984494601466,-0.982984494601466
2016-01-12,air_68c1de82037d87e6,0,0,0,0,0,1,0,-1.1793373060137173,-1.3561487182289613,0.0,-1.1539045003082957,-1.1695526205842455,1,24.0,1,1,-1.3965000308803264,-1.3965000308803261
2016-01-13,air_68c1de82037d87e6,0,0,0,0,0,0,1,-1.371736261358115,-1.565543475196631,0.0,-1.1288874085131337,-1.2889461801638291,1,31.0,1,1,-1.1936528733646437,-1.1936528733646437
2016-01-14,air_68c1de82037d87e6,0,0,0,0,1,0,0,-1.3038307477071511,-1.212878621356345,0.0,0.17200136483529277,-1.1152828207753438,1,22.0,1,1,-1.1015643006118774,-1.1015643006118774
2016-01-15,air_68c1de82037d87e6,1,0,0,0,0,0,0,-1.371736261358115,-1.1908370679913272,0.0,0.6723432007385337,-1.2998001401256094,1,13.0,1,1,-0.8270646645707548,-0.8270646645707548
2016-01-16,air_68c1de82037d87e6,0,0,1,0,0,0,0,-1.2359252340561873,-0.9814423110236573,0.0,1.0726166694611265,-1.386631819819852,1,28.0,1,1,-0.6804798405451185,-0.6804798405451185
2016-01-17,air_68c1de82037d87e6,0,0,0,1,0,0,0,-1.0435262787117898,-1.378190271593979,0.0,-1.2789899592841059,-0.9416194613868583,1,17.0,1,1,-1.2796863070870912,-1.2796863070870912
2016-01-19,air_68c1de82037d87e6,0,0,0,0,0,1,0,-1.6886286583959462,-2.0724992025920423,0.0,-1.1288874085131337,-1.2672382602402683,1,7.0,1,1,-1.3263613371124658,-1.3263613371124658
2016-01-20,air_68c1de82037d87e6,0,0,0,0,0,0,1,-1.6207231447449824,-1.7088135720692472,0.0,-0.20325501209213792,-1.386631819819852,1,30.0,1,1,-1.202230986990929,-1.202230986990929
2016-01-21,air_68c1de82037d87e6,0,0,0,0,1,0,0,-1.6433583159619705,-1.7198343487517562,0.0,-1.2289557756937817,-1.5277332993229964,1,20.0,1,1,-1.081128206384551,-1.081128206384551
2016-01-22,air_68c1de82037d87e6,1,0,0,0,0,0,0,-1.337783504532633,-1.422273378324015,0.0,-0.5284772054292445,-1.3432159799727308,1,25.0,1,1,-0.775091387893851,-0.775091387893851
2016-01-23,air_68c1de82037d87e6,0,0,1,0,0,0,0,-1.5188648742685367,-1.7749382321643008,0.0,-1.2539728674889439,-1.256384300278488,1,29.0,1,1,-0.7024297195300244,-0.7024297195300244
2016-01-24,air_68c1de82037d87e6,0,0,0,1,0,0,0,-2.2092375963866693,-2.4141432797498195,0.0,-1.2789899592841059,-1.7990822983675048,1,6.0,1,1,-1.39397705628436,-1.39397705628436
2016-01-26,air_68c1de82037d87e6,0,0,0,0,0,1,0,-1.6207231447449824,-1.8410628922593546,0.0,-1.2789899592841059,-1.2238224203931471,1,27.0,1,1,-1.2471399347991272,-1.2471399347991272
2016-01-27,air_68c1de82037d87e6,0,0,0,0,0,0,1,-1.2585604052731754,-1.2679825047688897,0.0,-0.8787164905615131,-1.2129684604313666,1,26.0,1,1,-1.0967706488795417,-1.0967706488795417
2016-01-28,air_68c1de82037d87e6,0,0,0,0,1,0,0,-0.8737624945843802,-0.7389852240084607,0.0,-1.2789899592841059,-0.735394222113032,1,12.0,1,1,-1.1023211929906673,-1.1023211929906673
2016-01-29,air_68c1de82037d87e6,1,0,0,0,0,0,0,-0.28524804294269357,-0.661839787230898,0.0,-1.2789899592841059,-0.051594744520870796,1,28.0,1,1,-0.9605300206973668,-0.9605300206973668
2016-01-30,air_68c1de82037d87e6,0,0,1,0,0,0,0,-0.6134580255890186,-0.7389852240084607,0.0,0.021898814064320586,-0.6485625424187893,1,31.0,1,1,-0.661557531075372,-0.661557531075372
2016-01-31,air_68c1de82037d87e6,0,0,0,1,0,0,0,-0.93035042262685,-0.838172214151041,0.0,0.09695008944980668,-0.865641741654396,1,15.0,1,1,-1.2118182904556003,-1.2118182904556003
2016-02-02,air_68c1de82037d87e6,0,0,0,0,0,1,0,-1.2925131620986572,-1.2569617280863807,0.0,-0.9537677659469993,-1.158698660622465,1,9.0,1,1,-1.3172786285669875,-1.3172786285669875
2016-02-03,air_68c1de82037d87e6,0,0,0,0,0,0,1,-1.1567021347967295,-1.234920174721363,0.0,-0.8036652151760271,-1.0827209408900027,1,9.0,1,1,-1.2431031754455812,-1.2431031754455812
2016-02-04,air_68c1de82037d87e6,0,0,0,0,1,0,0,-1.3038307477071511,-1.2018578446738362,0.0,0.3971551909917513,-1.3106541000873897,1,12.0,1,1,-1.2057631514252816,-1.2057631514252816
2016-02-05,air_68c1de82037d87e6,1,0,0,0,0,0,0,-1.315148333315645,-1.245940951403872,0.0,-0.4284088382485963,-1.2346763803549274,1,35.0,1,1,-0.83488588581825,-0.83488588581825
2016-02-06,air_68c1de82037d87e6,0,0,1,0,0,0,0,-1.3943714325751029,-1.378190271593979,0.0,-0.47844302183892035,-1.2455303403167077,1,37.0,1,1,-0.6136210137520142,-0.6136210137520142
2016-02-07,air_68c1de82037d87e6,0,0,0,1,0,0,0,-1.473594531834561,-1.389211048276488,0.0,-0.32834047106794817,-1.386631819819852,1,27.0,1,1,-1.2191349167839023,-1.2191349167839023
