visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Chūō-ku Tsukiji,total_area_visitors,total_genre_visitors
2016-07-01,air_70f834596eb99fee,1,0,0,0,0,0,0,1.062458502947235,1.1450397132718604,0.0,-0.15835393486102167,1.0077285047460158,1,28.0,1,1,1.3616372819967648,1.3616372819967648
2016-07-02,air_70f834596eb99fee,0,0,1,0,0,0,0,1.226330589421567,1.2859427614396848,0.0,0.4960810972396993,1.1638624201626966,1,50.0,1,1,1.5178147050458421,1.5178147050458421
2016-07-03,air_70f834596eb99fee,0,0,0,1,0,0,0,1.4838438681669457,1.7086519059431577,0.0,0.679322906227901,1.2976914905198518,1,25.0,1,1,-0.43216130187553226,-0.43216130187553237
2016-07-04,air_70f834596eb99fee,0,1,0,0,0,0,0,1.319971781692614,1.520781175052725,0.0,0.5484358998077568,1.1861672652222226,1,21.0,1,1,-1.1898833448026347,-1.189883344802635
2016-07-05,air_70f834596eb99fee,0,0,0,0,0,1,0,0.6059576906258816,0.5579436792392585,0.0,-1.3101595913582906,0.8069848992102832,1,16.0,1,1,-0.5349096065130832,-0.5349096065130833
2016-07-06,air_70f834596eb99fee,0,0,0,0,0,0,1,0.7698297771002137,0.7105886480877346,0.0,-0.2368861387131084,0.840442166799572,1,30.0,1,1,-0.08356432650522332,-0.08356432650522341
2016-07-07,air_70f834596eb99fee,0,0,0,0,1,0,0,1.2731511855570903,1.8612968747916347,0.0,2.040547772997401,0.9965760822162527,1,23.0,1,1,-0.14932324147325587,-0.14932324147325599
2016-07-08,air_70f834596eb99fee,1,0,0,0,0,0,0,1.0273430558455925,1.051104347826644,0.0,-0.760434164393685,1.0188809272757788,1,9.0,1,1,1.1591297143111192,1.1591297143111192
2016-07-11,air_70f834596eb99fee,0,1,0,0,0,0,0,1.3433820797603755,1.4855554130107693,0.0,1.9620155691453143,1.0411857723353046,1,21.0,1,1,-1.239576161227341,-1.2395761612273413
2016-07-12,air_70f834596eb99fee,0,0,0,0,0,1,0,1.238035738455448,1.2859427614396848,0.0,0.3390166895355261,1.2976914905198518,1,30.0,1,1,-0.519964398565803,-0.5199643985658031
