visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Niigata-ken Niigata-shi Teraohigashi,total_area_visitors,total_genre_visitors
2016-07-01,air_754ae581ad80cc9f,1,0,0,0,0,0,0,1.2250766332825838,1.2511212630119413,0.0,1.3521136529365538,1.1051972901568816,1,22.0,1,1,1.2793057917894042,1.279305791789404
2016-07-02,air_754ae581ad80cc9f,0,0,1,0,0,0,0,1.4388770928432442,1.725892832839008,0.0,-0.5530134927653815,1.3989718183717565,1,4.0,1,1,1.4297477061856587,1.4297477061856585
2016-07-03,air_754ae581ad80cc9f,0,0,0,1,0,0,0,0.9471360358537252,0.6524962401865094,0.0,-1.010244007733846,1.2031221328951736,1,17.0,1,1,-0.4486167704508317,-0.4486167704508317
2016-07-05,air_754ae581ad80cc9f,0,0,0,0,0,1,0,0.8295457830953622,0.7144229666856918,0.0,-0.9340389219057686,1.0616751378287523,1,2.0,1,1,-0.5475917141325782,-0.5475917141325781
2016-07-06,air_754ae581ad80cc9f,0,0,0,0,0,0,1,0.9898961277658574,1.137588931096773,0.0,-0.8324321408016654,1.0943167520748496,1,27.0,1,1,-0.11282177970512457,-0.11282177970512458
2016-07-07,air_754ae581ad80cc9f,0,0,0,0,1,0,0,0.9043759439415933,0.7350652088520864,0.0,-0.9340389219057686,1.1160778282389143,1,2.0,1,1,-0.17616574366144233,-0.17616574366144233
2016-07-08,air_754ae581ad80cc9f,1,0,0,0,0,0,0,0.9898961277658574,0.9002031461832397,0.0,-0.5022101022133298,1.0290335235826549,1,2.0,1,1,1.0842351755148347,1.0842351755148345
2016-07-09,air_754ae581ad80cc9f,0,0,1,0,0,0,0,0.9898961277658574,0.9105242672664369,0.0,-0.9086372266297428,1.2357637471412704,1,29.0,1,1,1.3718023755210726,1.3718023755210724
2016-07-10,air_754ae581ad80cc9f,0,0,0,1,0,0,0,1.1288664264802863,1.1272678100135758,0.0,1.0218916143482182,1.2575248233053355,1,13.0,1,1,-0.2967352205101153,-0.2967352205101153
2016-07-11,air_754ae581ad80cc9f,0,1,0,0,0,0,0,0.9898961277658574,0.8589186618504514,0.0,0.8694814426920636,1.1487194424850116,1,3.0,1,1,-1.2263798733463014,-1.2263798733463012
2016-07-12,air_754ae581ad80cc9f,0,0,0,0,0,1,0,1.0754163115901214,1.0343777202648021,0.0,2.495189940357715,0.9528697570084282,1,11.0,1,1,-0.5331953586879605,-0.5331953586879605
2016-07-13,air_754ae581ad80cc9f,0,0,0,0,0,0,1,1.0433462426560225,0.8589186618504514,0.0,-0.9848423124578202,1.1269583663209464,1,14.0,1,1,-0.46373294366768025,-0.46373294366768025
2016-07-14,air_754ae581ad80cc9f,0,0,0,0,1,0,0,1.1502464724363528,0.9930932359320138,0.0,-0.9086372266297428,1.3228080517975298,1,1.0,1,1,-0.2564254252651858,-0.2564254252651858
2016-07-15,air_754ae581ad80cc9f,1,0,0,0,0,0,0,1.0540362656340554,0.9827721148488165,0.0,0.36144753717154754,1.0943167520748496,1,16.0,1,1,0.8805267459734947,0.8805267459734946
2016-07-16,air_754ae581ad80cc9f,0,0,1,0,0,0,0,1.1609364954143855,1.1479100521799703,0.0,-0.4768084069373041,1.2901664375514326,1,29.0,1,1,1.3152966804009483,1.315296680400948
2016-07-17,air_754ae581ad80cc9f,0,0,0,1,0,0,0,1.2143866103045506,1.0963044467639849,0.0,-0.9594406171817943,1.3880912802897243,1,14.0,1,1,0.42632173169580717,0.4263217316958071
2016-07-18,air_754ae581ad80cc9f,0,1,0,0,0,0,0,1.1074863805242205,1.0550199624311962,1.0,0.38684923244757324,1.3119275137154975,1,2.0,1,1,-1.0392272525662716,-1.0392272525662716
2016-07-19,air_754ae581ad80cc9f,0,0,0,0,0,1,0,1.0861063345681545,1.0137354780984078,0.0,0.7424729663119346,1.2575248233053355,1,2.0,1,1,-0.8707898938642449,-0.8707898938642448
2016-07-20,air_754ae581ad80cc9f,0,0,0,0,0,0,1,1.0219661966999563,0.8898820251000428,0.0,0.9710882237961667,1.2684053613873678,1,2.0,1,1,-0.4086668840920177,-0.4086668840920177
