visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Asian,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-05-01,air_764f71040a413d4d,0,0,0,1,0,0,0,0.04215465824958424,0.34537340223601526,0.0,0.9250553912589096,-0.2912619022243156,1,65.0,1,1,-1.3245339961918232,-1.3245339961918234
2016-05-07,air_764f71040a413d4d,0,0,1,0,0,0,0,0.42570777193678744,0.5222617987565488,0.0,1.5471583697733395,0.13942030473152775,1,49.0,1,1,-1.148236146883283,-1.1482361468832831
2016-05-08,air_764f71040a413d4d,0,0,0,1,0,0,0,0.4384928757263611,0.5980711115510633,0.0,1.6466948463356483,0.36091401116596133,1,51.0,1,1,-1.5018765734962658,-1.501876573496266
2016-05-09,air_764f71040a413d4d,0,1,0,0,0,0,0,0.08050996961830466,-0.05894293266806165,0.0,-1.314515331393038,0.2378619520357204,1,21.0,1,1,-1.946408335752763,-1.9464083357527633
2016-05-10,air_764f71040a413d4d,0,0,0,0,0,1,0,0.06772486582873102,0.04213615105795768,0.0,-1.289631212252461,0.22555674612269655,1,36.0,1,1,-1.7776847644145155,-1.7776847644145157
2016-05-12,air_764f71040a413d4d,0,0,0,0,1,0,0,0.4896332908846546,0.7244199662085874,0.0,1.9453042760225745,0.3978296289050337,1,49.0,1,1,-1.4551249956796308,-1.455124995679631
2016-05-13,air_764f71040a413d4d,1,0,0,0,0,0,0,0.42570777193678744,0.5348966842223013,0.0,1.4476218932110305,0.2747775697747928,1,36.0,1,1,-1.0842465571342572,-1.0842465571342572
2016-05-14,air_764f71040a413d4d,0,0,1,0,0,0,0,0.24671631888275947,0.3201036313045105,0.0,0.9001712721183325,0.016368245601286798,1,46.0,1,1,-0.917351259788839,-0.9173512597888391
2016-05-15,air_764f71040a413d4d,0,0,0,1,0,0,0,-0.034555964487856125,0.18111989118123387,0.0,1.7959995611791115,-0.21743066674617106,1,62.0,1,1,-1.5562024292831937,-1.556202429283194
2016-05-16,air_764f71040a413d4d,0,1,0,0,0,0,0,0.14443548856617186,0.13058034931822443,0.0,-0.8666011868626485,-0.008242166224761522,1,32.0,1,1,-1.8829411100016884,-1.8829411100016886
2016-05-17,air_764f71040a413d4d,0,0,0,0,0,1,0,0.05493976203915786,-0.223196443722843,0.0,-1.314515331393038,0.07789427516640728,1,18.0,1,1,-1.704031440703392,-1.7040314407033923
2016-05-19,air_764f71040a413d4d,0,0,0,0,1,0,0,0.18279079993489225,0.3580082877017678,0.0,1.5720424889139166,0.06558906925338323,1,31.0,1,1,-1.4843773795648996,-1.4843773795648998
2016-05-20,air_764f71040a413d4d,1,0,0,0,0,0,0,-0.08569637964615016,-0.1852917873255857,0.0,-0.8914853060032256,0.016368245601286798,1,34.0,1,1,-1.083724193136306,-1.0837241931363062
2016-05-21,air_764f71040a413d4d,0,0,1,0,0,0,0,0.15722059235574548,0.5096269132907966,0.0,1.6964630846168025,-0.1805150490070987,1,70.0,1,1,-0.7979910862569828,-0.797991086256983
2016-05-22,air_764f71040a413d4d,0,0,0,1,0,0,0,0.5791290174116687,0.8886734772633688,0.0,1.9453042760225745,0.32399839342688896,1,57.0,1,1,-1.5603813412668037,-1.560381341266804
2016-05-23,air_764f71040a413d4d,0,1,0,0,0,0,0,0.7197651590969767,1.090831644715407,0.0,1.7959995611791115,0.10250468699245538,1,40.0,1,1,-1.7701104864442228,-1.770110486444223
2016-05-24,air_764f71040a413d4d,0,0,0,0,0,1,0,0.706980055307403,0.8886734772633688,0.0,0.8504030338371779,0.4593556584701542,1,43.0,1,1,-1.6546680428970009,-1.654668042897001
2016-05-26,air_764f71040a413d4d,0,0,0,0,1,0,0,0.6558396401491094,0.623340882482568,0.0,-0.41868704233225895,0.7423753944697085,1,29.0,1,1,-1.404716869877337,-1.4047168698773371
2016-05-27,air_764f71040a413d4d,1,0,0,0,0,0,0,0.19557590372446543,0.016866380126452512,0.0,-1.2398629739713065,0.11480989290547944,1,29.0,1,1,-1.100701023069721,-1.1007010230697212
2016-05-28,air_764f71040a413d4d,0,0,1,0,0,0,0,0.18279079993489225,0.23165943304424377,0.0,-1.2647470931118836,0.10250468699245538,1,49.0,1,1,-0.8985461558625947,-0.8985461558625949
2016-05-29,air_764f71040a413d4d,0,0,0,1,0,0,0,0.4896332908846546,0.7117850807428349,0.0,1.2734330592269905,0.22555674612269655,1,73.0,1,1,-1.4211713358128009,-1.421171335812801
2016-05-30,air_764f71040a413d4d,0,1,0,0,0,0,0,-0.060126172067003374,-0.12211735999682367,0.0,-1.314515331393038,0.13942030473152775,1,41.0,1,1,-1.7565290224974908,-1.756529022497491
2016-05-31,air_764f71040a413d4d,0,0,0,0,0,1,0,0.32342694162019986,0.33273851677026267,0.0,-0.16984585092648707,0.25016715794874467,1,36.0,1,1,-1.5206816774225103,-1.5206816774225105
2016-06-04,air_764f71040a413d4d,0,0,1,0,0,0,0,0.4896332908846546,0.623340882482568,0.0,0.6762141998531377,0.25016715794874467,1,49.0,1,1,-0.9802961215419622,-0.9802961215419624
