visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Tōkyō-to Toshima-ku Minamiikebukuro,total_area_visitors,total_genre_visitors
2016-01-06,air_7c7774c66fb237f7,0,0,0,0,0,0,1,-0.8001009935882798,-1.0558180897424667,0.0,-1.2843809141256342,-0.5304081159289677,1,13.0,1,1,-1.3181576741989225,-1.3181576741989223
2016-01-07,air_7c7774c66fb237f7,0,0,0,0,1,0,0,-0.825286564662786,-0.8554738436762598,0.0,-0.09980703325679806,-0.8433680254753783,1,7.0,1,1,-1.2491375926337551,-1.2491375926337551
2016-01-08,air_7c7774c66fb237f7,1,0,0,0,0,0,0,-1.0645494898705936,-1.1059041512590184,0.0,0.862659244949131,-1.0118848998465224,1,29.0,1,1,-0.9156669421412436,-0.9156669421412436
2016-01-09,air_7c7774c66fb237f7,0,0,1,0,0,0,0,-1.0015855621843284,-1.018253543605053,0.0,0.9120164899853329,-1.0479956586403392,1,15.0,1,1,-0.6582953559385318,-0.6582953559385318
2016-01-10,air_7c7774c66fb237f7,0,0,0,1,0,0,0,-0.9260288489608102,-0.8554738436762598,0.0,0.9613737350215342,-1.0961433370320945,1,3.0,1,1,-0.9432244106049917,-0.9432244106049916
2016-01-11,air_7c7774c66fb237f7,0,1,0,0,0,0,0,-1.0267711332588345,-1.1559902127755701,1.0,-0.4699863710283093,-0.9276264626609504,1,6.0,1,1,-1.3039997087496573,-1.3039997087496573
2016-01-12,air_7c7774c66fb237f7,0,0,0,0,0,1,0,-1.4927041981371967,-1.7069368894576393,0.0,-1.2843809141256342,-1.2766971310011774,1,7.0,1,1,-1.3575977208075896,-1.3575977208075893
2016-01-13,air_7c7774c66fb237f7,0,0,0,0,0,0,1,-1.3793691283019196,-1.2561623358086738,0.0,0.862659244949131,-1.4933616837640773,1,13.0,1,1,-1.154329788285998,-1.1543297882859977
2016-01-14,air_7c7774c66fb237f7,0,0,0,0,1,0,0,-1.1652917741686177,-1.0432965743633287,0.0,0.9613737350215342,-1.3609555681867498,1,10.0,1,1,-1.0620501920541807,-1.0620501920541807
2016-01-15,air_7c7774c66fb237f7,1,0,0,0,0,0,0,-1.21566291631763,-1.1059041512590184,0.0,0.7145875098405267,-1.14429101542385,1,12.0,1,1,-0.7869811490398877,-0.7869811490398877
