visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-07-01,air_7fbf7649eb13ad9b,1,0,0,0,0,0,0,1.0920754884318764,1.1645054817174034,0.0,-0.23133437459461337,1.0433574028870665,1,16.0,1,1,1.2553481011524728,1.2553481011524734
2016-07-02,air_7fbf7649eb13ad9b,0,0,1,0,0,0,0,1.2534328873605176,1.3026746549705575,0.0,0.43149396571111165,1.1976418125299335,1,16.0,1,1,1.4331854588262856,1.433185458826286
2016-07-03,air_7fbf7649eb13ad9b,0,0,0,1,0,0,0,1.5069945142483825,1.7171821747300198,0.0,0.6170859009967145,1.3298855922238202,1,14.0,1,1,-0.787228822751773,-0.7872288227517726
2016-07-05,air_7fbf7649eb13ad9b,0,0,0,0,0,1,0,0.6425798771306608,0.5888005931625944,0.0,-1.3979122535326896,0.8449917333462371,1,16.0,1,1,-0.9042270843792813,-0.904227084379281
2016-07-06,air_7fbf7649eb13ad9b,0,0,0,0,0,0,1,0.8039372760593024,0.7384838641868443,0.0,-0.31087377543130057,0.8780526782697087,1,20.0,1,1,-0.39028562966644464,-0.3902856296664443
2016-07-07,air_7fbf7649eb13ad9b,0,0,0,0,1,0,0,1.2995350013401292,1.8668654457542706,0.0,1.9957688488326228,1.0323370879125757,1,14.0,1,1,-0.46516451710805,-0.4651645171080496
2016-07-08,air_7fbf7649eb13ad9b,1,0,0,0,0,0,0,1.0574989029471673,1.072392699548634,0.0,-0.8411364476758805,1.0543777178615572,1,16.0,1,1,1.0247551636902563,1.024755163690257
2016-07-09,air_7fbf7649eb13ad9b,0,0,1,0,0,0,0,0.7232585765949814,0.5082019087649208,0.0,-1.3979122535326896,0.8560120483207277,1,13.0,1,1,1.3646882947461807,1.3646882947461811
2016-07-10,air_7fbf7649eb13ad9b,0,0,0,1,0,0,0,1.0920754884318764,1.2451041661150766,0.0,1.7041243790981033,0.8449917333462371,1,16.0,1,1,-0.6076896721815601,-0.6076896721815599
2016-07-19,air_7fbf7649eb13ad9b,0,0,0,0,0,1,0,1.2880094728452265,1.360245143826038,0.0,0.2459020304255086,1.2307027574534053,1,17.0,1,1,-1.2862795896211086,-1.2862795896211083
2016-07-20,air_7fbf7649eb13ad9b,0,0,0,0,0,0,1,1.172754187896197,1.0839067973197298,0.0,-0.17830810737015554,1.1866214975554432,1,16.0,1,1,-0.7400040698766696,-0.7400040698766693
2016-07-21,air_7fbf7649eb13ad9b,0,0,0,0,1,0,0,0.654105405625564,0.43911732213834387,0.0,-1.3979122535326896,0.9221339381676706,1,16.0,1,1,-0.4894150658817517,-0.4894150658817514
2016-07-22,air_7fbf7649eb13ad9b,1,0,0,0,0,0,0,0.6080032916459519,0.2548917578008048,0.0,-1.3979122535326896,0.867032363295218,1,16.0,1,1,0.8562776669466443,0.8562776669466449
2016-07-23,air_7fbf7649eb13ad9b,0,0,1,0,0,0,0,0.7232585765949814,0.761512059729037,0.0,-1.0267283829614835,0.8009104734482752,1,16.0,1,1,1.2149305198629698,1.2149305198629705
2016-07-24,air_7fbf7649eb13ad9b,0,0,0,1,0,0,0,0.8961415040185258,0.9802799173798643,0.0,0.5375465001600275,0.7127479536523509,1,16.0,1,1,-0.8123302679736748,-0.8123302679736745
2016-07-26,air_7fbf7649eb13ad9b,0,0,0,0,0,1,0,0.884615975523623,0.7960543530423252,0.0,-1.3713991199204605,0.9772355130401232,1,16.0,1,1,-0.7127753835342676,-0.7127753835342674
2016-07-27,air_7fbf7649eb13ad9b,0,0,0,0,0,0,1,0.9652946749879436,0.7845402552712293,0.0,-1.3183728526960026,1.0874386627850283,1,14.0,1,1,-0.4817569978479512,-0.48175699784795084
2016-07-28,air_7fbf7649eb13ad9b,0,0,0,0,1,0,0,1.1958052448860028,1.2220759705728843,0.0,-0.019229305696781405,1.1866214975554432,1,16.0,1,1,-0.22606261516383291,-0.22606261516383255
2016-07-29,air_7fbf7649eb13ad9b,1,0,0,0,0,0,0,1.2764839443503233,1.3717592415971342,0.0,1.6510981118736456,1.142540237657481,1,16.0,1,1,1.1362225984044643,1.136222598404465
2016-07-30,air_7fbf7649eb13ad9b,0,0,1,0,0,0,0,1.2764839443503233,1.4293297304526151,0.0,1.4655061765880428,1.0543777178615572,1,16.0,1,1,1.2706642372200738,1.2706642372200745
2016-07-31,air_7fbf7649eb13ad9b,0,0,0,1,0,0,0,1.3110605298350324,1.1875336772595957,0.0,0.43149396571111165,1.3078449622748387,1,16.0,1,1,-0.7612764810816711,-0.7612764810816708
2016-08-02,air_7fbf7649eb13ad9b,0,0,0,0,0,1,0,1.1266520739165848,1.026336308464249,0.0,-0.9471889821247964,1.098458977759519,1,16.0,1,1,-1.2007644965770026,-1.2007644965770023
2016-08-03,air_7fbf7649eb13ad9b,0,0,0,0,0,0,1,1.2303818303707117,1.3257028505127497,0.0,-0.31087377543130057,1.1976418125299335,1,15.0,1,1,-0.6880993865364659,-0.6880993865364656
2016-08-04,air_7fbf7649eb13ad9b,0,0,0,0,1,0,0,1.3802137008044502,1.4408438282237115,0.0,0.8557041035067755,1.3078449622748387,1,16.0,1,1,-0.5430215421183555,-0.5430215421183552
2016-08-05,air_7fbf7649eb13ad9b,1,0,0,0,0,0,0,1.4493668717738677,1.486900219308096,0.0,1.4655061765880428,1.3298855922238202,1,16.0,1,1,0.6605714838606304,0.6605714838606309
2016-08-06,air_7fbf7649eb13ad9b,0,0,1,0,0,0,0,1.4954689857534798,1.579013001476866,0.0,0.9352435043434627,1.4621293719177062,1,20.0,1,1,0.3831792417474105,0.383179241747411
2016-08-07,air_7fbf7649eb13ad9b,0,0,0,1,0,0,0,1.437841343278965,1.5099284148502887,0.0,1.5715587110369584,1.3188652772493294,1,30.0,1,1,-0.9871894880787873,-0.987189488078787
2016-08-09,air_7fbf7649eb13ad9b,0,0,0,0,0,1,0,1.8181837836107622,1.9820064234652324,0.0,0.7496515690578595,1.4511090569432155,1,14.0,1,1,-0.6306638762829618,-0.6306638762829615
2016-08-10,air_7fbf7649eb13ad9b,0,0,0,0,0,0,1,1.4954689857534798,1.5559848059346733,0.0,-0.09876870653346835,1.4841700018666872,1,17.0,1,1,0.5193226734594203,0.5193226734594207
2016-08-11,air_7fbf7649eb13ad9b,0,0,0,0,1,0,0,1.2880094728452265,1.337216948283846,1.0,-0.09876870653346835,1.3960074820707629,1,16.0,1,1,0.1636479581117949,0.16364795811179533
2016-08-12,air_7fbf7649eb13ad9b,1,0,0,0,0,0,0,1.2188563018758085,1.3141887527416534,0.0,0.06031009513990555,1.285804332325858,1,16.0,1,1,-0.3319992229647405,-0.3319992229647401
2016-08-13,air_7fbf7649eb13ad9b,0,0,1,0,0,0,0,1.1958052448860028,1.3026746549705575,1.0,0.5110333665477986,1.1866214975554432,1,16.0,1,1,-0.1418238667920269,-0.14182386679202652
2016-08-14,air_7fbf7649eb13ad9b,0,0,0,1,0,0,0,1.138177602411488,1.1414772861752107,1.0,-0.3904131762679875,1.2086621275044243,1,32.0,1,1,-1.3292498602552116,-1.3292498602552114
