visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Musashino-shi Midorichō,total_area_visitors,total_genre_visitors
2016-07-01,air_88f31db64991768a,1,0,0,0,0,0,0,1.1018562826367846,1.2240471212226964,0.0,-0.6378935478801094,1.027797140650684,1,14.0,1,1,1.364345786490765,1.3643457864907653
2016-07-02,air_88f31db64991768a,0,0,1,0,0,0,0,1.2225797166885712,1.3446806650625232,0.0,-0.12205270143996048,1.1723218352428693,1,28.0,1,1,1.5187908340550562,1.5187908340550567
2016-07-03,air_88f31db64991768a,0,0,0,1,0,0,0,1.5847500188439323,1.8052814688145873,0.0,0.36663862676649633,1.2755537599515732,1,19.0,1,1,-0.4095553459402442,-0.40955534594024423
2016-07-04,air_88f31db64991768a,0,1,0,0,0,0,0,1.3652528660225014,1.564014381134935,0.0,0.28519007206542024,1.2858769524224436,1,8.0,1,1,-1.1588724666588626,-1.1588724666588628
2016-07-05,air_88f31db64991768a,0,0,0,0,0,1,0,0.6409122617117798,0.5441126013982196,0.0,-1.3980800584234867,0.8316564837041465,1,4.0,1,1,-0.51116392986412,-0.51116392986412
2016-07-06,air_88f31db64991768a,0,0,0,0,0,0,1,0.8604094145332107,0.8511798038995961,0.0,-0.9093887302170299,0.8729492535876282,1,8.0,1,1,-0.06482513211851294,-0.06482513211851292
2016-07-07,air_88f31db64991768a,0,0,0,0,1,0,0,1.3103785778171437,1.8930149552435525,0.0,1.3983203196467944,1.027797140650684,1,11.0,1,1,-0.12985462582979343,-0.1298546258297934
2016-07-08,air_88f31db64991768a,1,0,0,0,0,0,0,1.06893170971357,1.125346948990111,0.0,-0.8279401755159538,1.0484435255924247,1,14.0,1,1,1.164084504720799,1.1640845047207993
2016-07-09,air_88f31db64991768a,0,0,1,0,0,0,0,0.7396859804814236,0.4563791149692552,0.0,-1.3980800584234867,0.8935956385293689,1,22.0,1,1,1.4593036267396235,1.459303626739624
2016-07-10,air_88f31db64991768a,0,0,0,1,0,0,0,1.1457557132010705,1.3446806650625232,0.0,1.6426659837500224,0.8626260611167577,1,16.0,1,1,-0.2536323553370603,-0.2536323553370603
