visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Tōkyō-to Shinjuku-ku Kabukichō,total_area_visitors,total_genre_visitors
2016-01-01,air_8d50c64692322dff,1,0,0,0,0,0,0,-0.9550577530861585,-0.9233110029892767,1.0,0.8863175218493284,-0.9388879618432401,1,1.0,1,1,-2.5644224405558314,-2.5644224405558314
2016-01-02,air_8d50c64692322dff,0,0,1,0,0,0,0,-0.98064648647791,-0.7595198490920391,1.0,0.4962303969403591,-1.0632439832794307,1,2.0,1,1,-2.414258982936449,-2.414258982936449
2016-01-04,air_8d50c64692322dff,0,1,0,0,0,0,0,-0.7375535192562712,-0.532732097542018,0.0,0.8603117135220639,-0.8394031446942875,1,9.0,1,1,-2.079630770271936,-2.079630770271936
2016-01-05,air_8d50c64692322dff,0,0,0,0,0,1,0,-0.5200492854263836,-0.5075334584809045,0.0,0.7302826718857408,-0.752353929688954,1,1.0,1,1,-1.9492858400540962,-1.9492858400540962
2016-01-06,air_8d50c64692322dff,0,0,0,0,0,0,1,-0.7759366193438982,-1.0241055592337305,0.0,-1.4542052276044874,-0.5036418868165726,1,2.0,1,1,-1.8850026678413994,-1.8850026678413994
2016-01-07,air_8d50c64692322dff,0,0,0,0,1,0,0,-0.8015253527356498,-0.8225164467448227,0.0,-0.2059264278957857,-0.8269675425506684,1,2.0,1,1,-1.8156378219359992,-1.8156378219359992
2016-01-09,air_8d50c64692322dff,0,0,1,0,0,0,0,-0.98064648647791,-0.9863076006420604,0.0,0.8603117135220639,-1.0383727789921924,1,4.0,1,1,-1.2218442509436176,-1.2218442509436176
2016-01-11,air_8d50c64692322dff,0,1,0,0,0,0,0,-1.0062352198696614,-1.1249001154781844,1.0,-0.596013552804755,-0.9140167575560019,1,23.0,1,1,-1.87077398150183,-1.87077398150183
2016-01-13,air_8d50c64692322dff,0,0,0,0,0,0,1,-1.364477487354182,-1.2256946717226382,0.0,0.8083000968675343,-1.4984900583060983,1,1.0,1,1,-1.7203564401978122,-1.7203564401978122
2016-01-14,air_8d50c64692322dff,0,0,0,0,1,0,0,-1.1469732535242945,-1.0115062397031738,0.0,0.912323330176593,-1.3616984347262884,1,3.0,1,1,-1.6276158953059767,-1.6276158953059767
2016-01-16,air_8d50c64692322dff,0,0,1,0,0,0,0,-1.0830014200449158,-0.9611089615809467,0.0,0.912323330176593,-1.1627288004283831,1,3.0,1,1,-1.2035502256498856,-1.2035502256498856
2016-01-17,air_8d50c64692322dff,0,0,0,1,0,0,0,-1.172561986916046,-1.3642871865587622,0.0,-0.6480251694592841,-1.1005507897102877,1,9.0,1,1,-1.8069989766584036,-1.8069989766584036
2016-01-29,air_8d50c64692322dff,1,0,0,0,0,0,0,-1.2237394536995487,-1.4650817428032161,0.0,-1.4542052276044874,-1.0632439832794307,1,4.0,1,1,-1.4855831155949193,-1.4855831155949193
2016-01-30,air_8d50c64692322dff,0,0,1,0,0,0,0,-1.4924211543129393,-1.8178626896588046,0.0,-1.4542052276044874,-1.2000356068592404,1,6.0,1,1,-1.1844939493022482,-1.1844939493022482
2016-01-31,air_8d50c64692322dff,0,0,0,1,0,0,0,-1.1341788868284188,-1.0367048787642874,0.0,-0.12790900291399188,-1.2249068111464785,1,5.0,1,1,-1.738650465491544,-1.738650465491544
2016-04-29,air_8d50c64692322dff,1,0,0,0,0,0,0,0.10687468267152722,0.24842571335249924,1.0,0.9903407551583869,0.03108900535904745,1,6.0,1,1,-1.1186862749817403,-1.1186862749817403
2016-04-30,air_8d50c64692322dff,0,0,1,0,0,0,0,0.1324634160632786,0.28622367194416953,0.0,1.406433688394621,-0.08083141393352422,1,9.0,1,1,-1.1631509197928944,-1.1631509197928944
