visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,total_area_visitors,total_genre_visitors
2016-07-01,air_8f273fb9ad2fed6f,1,0,0,0,0,0,0,1.0445574493874206,1.051305734297472,0.0,0.9065134996777029,1.0160696772130102,1,20.0,1,1,1.4019332184050726,1.4019332184050726
2016-07-02,air_8f273fb9ad2fed6f,0,0,1,0,0,0,0,1.2572234124397796,1.2824705682336026,0.0,1.7232831712449324,1.1643418447538099,1,43.0,1,1,1.5552867670504424,1.5552867670504424
2016-07-03,air_8f273fb9ad2fed6f,0,0,0,1,0,0,0,1.2891233068976335,1.2121160535573887,0.0,1.3693496468991326,1.344386619624781,1,48.0,1,1,-0.3594313439069365,-0.3594313439069365
2016-07-04,air_8f273fb9ad2fed6f,0,1,0,0,0,0,0,1.321023201355487,1.2925212131873476,0.0,1.1515444011478717,1.3232048814046666,1,9.0,1,1,-1.1034528669997827,-1.1034528669997827
2016-07-05,air_8f273fb9ad2fed6f,0,0,0,0,0,1,0,1.321023201355487,1.4633821774010092,0.0,1.6143805483693017,1.2596596667443238,1,15.0,1,1,-0.460321836436785,-0.460321836436785
2016-07-06,air_8f273fb9ad2fed6f,0,0,0,0,0,0,1,1.2253235179819257,1.1618628287886645,0.0,1.2059957125856868,1.2278870594141524,1,15.0,1,1,-0.017137418342032397,-0.017137418342032397
2016-07-07,air_8f273fb9ad2fed6f,0,0,0,0,1,0,0,1.2891233068976335,1.3025718581410926,0.0,1.5327035812125784,1.280841404964438,1,11.0,1,1,-0.08170733356113542,-0.08170733356113542
2016-07-08,air_8f273fb9ad2fed6f,1,0,0,0,0,0,0,1.0126575549295667,0.8603434801763203,0.0,-1.5165698593050778,0.9631153316627246,1,16.0,1,1,1.2030872294916986,1.2030872294916986
2016-07-09,air_8f273fb9ad2fed6f,0,0,1,0,0,0,0,0.7255585048088822,0.5387228416564863,0.0,-1.2170876463970937,0.8148431641219251,1,40.0,1,1,1.4962199696056946,1.4962199696056946
2016-07-10,air_8f273fb9ad2fed6f,0,0,0,1,0,0,0,1.1296238346083642,1.0814576691587063,0.0,0.49812866389408816,1.1113874992035244,1,39.0,1,1,-0.20461029718840537,-0.20461029718840537
2016-07-11,air_8f273fb9ad2fed6f,0,1,0,0,0,0,0,1.2040569216766899,1.2020654086036444,0.0,0.0352925166726581,1.2490687976342665,1,13.0,1,1,-1.1522471779324004,-1.1522471779324004
2016-07-12,air_8f273fb9ad2fed6f,0,0,0,0,0,1,0,1.1508904309136,0.9709005746675131,0.0,-1.271538957834909,1.2596596667443238,1,21.0,1,1,-0.44564685570517065,-0.44564685570517065
2016-07-13,air_8f273fb9ad2fed6f,0,0,0,0,0,0,1,1.1189905364557462,0.8301915453150859,0.0,-1.4893442035861704,1.2596596667443238,1,20.0,1,1,-0.3748400736751315,-0.3748400736751315
2016-07-14,air_8f273fb9ad2fed6f,0,0,0,0,1,0,0,1.0658240456926564,1.1015589590661963,0.0,0.17142079526719634,1.1537509756437527,1,13.0,1,1,-0.16352035113988528,-0.16352035113988528
2016-07-15,air_8f273fb9ad2fed6f,1,0,0,0,0,0,0,0.8531580826402975,0.6291786462401895,0.0,-1.4621185478672625,1.0160696772130102,1,23.0,1,1,0.9954362521393559,0.9954362521393559
2016-07-16,air_8f273fb9ad2fed6f,0,0,1,0,0,0,0,1.0020242567769486,0.9809512196212581,0.0,-0.2641896962353262,0.9525244625526677,1,32.0,1,1,1.4386206702341084,1.4386206702341084
2016-07-17,air_8f273fb9ad2fed6f,0,0,0,1,0,0,0,1.140257132760982,0.940748639806279,0.0,-1.2987646135538167,1.1749327138638668,1,42.0,1,1,0.532440610056924,0.532440610056924
2016-07-18,air_8f273fb9ad2fed6f,0,1,0,0,0,0,0,1.1508904309136,1.0915083141124513,1.0,1.3148983354613175,1.1219783683135813,1,37.0,1,1,-0.9614724284214141,-0.9614724284214141
2016-07-19,air_8f273fb9ad2fed6f,0,0,0,0,0,1,0,1.161523729066218,1.2020654086036444,0.0,1.7777344826827475,1.09020576098341,1,15.0,1,1,-0.7897751538615265,-0.7897751538615265
2016-07-20,air_8f273fb9ad2fed6f,0,0,0,0,0,0,1,1.1083572383031282,1.2623692783261127,0.0,2.1588936627474546,0.9737062007727818,1,19.0,1,1,-0.31870827237670674,-0.31870827237670674
2016-07-21,air_8f273fb9ad2fed6f,0,0,0,0,1,0,0,1.0764573438452745,1.1015589590661963,0.0,0.9065134996777029,0.9842970698828387,1,14.0,1,1,-0.10261918110368583,-0.10261918110368583
2016-07-22,air_8f273fb9ad2fed6f,1,0,0,0,0,0,0,1.1083572383031282,1.2724199232798576,0.0,1.1787700568667794,0.9842970698828387,1,22.0,1,1,1.0578049202487168,1.0578049202487168
2016-07-23,air_8f273fb9ad2fed6f,0,0,1,0,0,0,0,1.0551907475400384,1.1116096040199404,0.0,1.2332213683045945,1.0266605463230674,1,31.0,1,1,1.3670801391674887,1.3670801391674887
2016-07-24,air_8f273fb9ad2fed6f,0,0,0,1,0,0,0,1.0020242567769486,0.9709005746675131,0.0,-0.20973838479751084,1.0160696772130102,1,63.0,1,1,-0.3810769404860676,-0.3810769404860676
2016-07-25,air_8f273fb9ad2fed6f,0,1,0,0,0,0,0,1.0232908530821847,0.8904954150375549,0.0,-1.189861990678186,1.196114452083981,1,16.0,1,1,-1.0110004883906125,-1.0110004883906125
2016-07-26,air_8f273fb9ad2fed6f,0,0,0,0,0,1,0,0.927591169708623,0.7397357407313826,0.0,-1.5165698593050778,1.0690240227632957,1,23.0,1,1,-0.2952283032061238,-0.2952283032061238
2016-07-27,air_8f273fb9ad2fed6f,0,0,0,0,0,0,1,1.0977239401505103,1.1015589590661963,0.0,0.3620003852995499,1.0584331536532388,1,12.0,1,1,-0.09601543977445938,-0.09601543977445938
2016-07-28,air_8f273fb9ad2fed6f,0,0,0,0,1,0,0,1.2040569216766899,1.1719134737424095,0.0,-0.2641896962353262,1.196114452083981,1,13.0,1,1,0.12447614571804583,0.12447614571804583
2016-07-29,air_8f273fb9ad2fed6f,1,0,0,0,0,0,0,1.1934236235240718,1.1819641186961545,0.0,0.7159339096453491,1.1537509756437527,1,15.0,1,1,1.2992083532837724,1.2992083532837724
2016-07-30,air_8f273fb9ad2fed6f,0,0,1,0,0,0,0,1.2784900087450155,1.413128952632285,0.0,1.7505088269638398,1.3126140122946095,1,45.0,1,1,1.4151407010635255,1.4151407010635255
2016-07-31,air_8f273fb9ad2fed6f,0,0,0,1,0,0,0,1.2997566050502514,1.3628757278635608,0.0,1.3693496468991326,1.3126140122946095,1,39.0,1,1,-0.3370519982912246,-0.3370519982912246
2016-08-01,air_8f273fb9ad2fed6f,0,1,0,0,0,0,0,1.352923095813341,1.3226731480485818,0.0,1.3148983354613175,1.2914322740744952,1,22.0,1,1,-1.0645641680610047,-1.0645641680610047
