visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Tōkyō-to Chūō-ku Tsukiji,total_area_visitors,total_genre_visitors
2016-01-04,air_9152d9926e5c4a3a,0,1,0,0,0,0,0,-0.7322248329779256,-0.5402743681498208,0.0,0.921789256258879,-0.8231542351479784,1,79.0,1,1,-1.492206023427881,-1.492206023427881
2016-01-05,air_9152d9926e5c4a3a,0,0,0,0,0,1,0,-0.5205336640137236,-0.5155000133448233,0.0,0.7995350654295789,-0.7399247512349942,1,64.0,1,1,-1.363572870053269,-1.363572870053269
2016-01-06,air_9152d9926e5c4a3a,0,0,0,0,0,0,1,-0.7695820980892552,-1.0233742868472677,0.0,-1.2543353405026625,-0.5021262257693251,1,73.0,1,1,-1.3001339074728075,-1.3001339074728075
2016-01-07,air_9152d9926e5c4a3a,0,0,0,0,1,0,0,-0.7944869414968084,-0.8251794484072895,0.0,-0.0806951085413818,-0.8112643088746949,1,76.0,1,1,-1.2316800071389498,-1.2316800071389498
2016-01-08,air_9152d9926e5c4a3a,1,0,0,0,0,0,0,-1.0310829538685635,-1.0729229964572624,0.0,0.8728875799271586,-0.9777232767006634,1,67.0,1,1,-0.9009448623024722,-0.9009448623024723
2016-01-09,air_9152d9926e5c4a3a,0,0,1,0,0,0,0,-0.9688208453496805,-0.986212754639772,0.0,0.921789256258879,-1.013393055520514,1,31.0,1,1,-0.6456845306546071,-0.6456845306546072
2016-01-12,air_9152d9926e5c4a3a,0,0,0,0,0,1,0,-1.454465291796967,-1.6675075117771974,0.0,-1.2543353405026625,-1.2393016547128994,1,41.0,1,1,-1.3392504219492976,-1.3392504219492976
2016-01-13,air_9152d9926e5c4a3a,0,0,0,0,0,0,1,-1.342393496462978,-1.2215691252872463,0.0,0.8728875799271586,-1.4533203276320017,1,269.0,1,1,-1.1376499242627716,-1.1376499242627716
2016-01-14,air_9152d9926e5c4a3a,0,0,0,0,1,0,0,-1.130702327498776,-1.010987109444769,0.0,0.9706909325905988,-1.3225311386258838,1,64.0,1,1,-1.0461273102632913,-1.0461273102632915
2016-01-15,air_9152d9926e5c4a3a,1,0,0,0,0,0,0,-1.1805120143138823,-1.0729229964572624,0.0,0.7261825509319987,-1.1085124657067813,1,66.0,1,1,-0.7733146964785396,-0.7733146964785397
2016-01-16,air_9152d9926e5c4a3a,0,0,1,0,0,0,0,-1.0684402189798932,-0.9614383998347745,0.0,0.9706909325905988,-1.1322923182533482,1,33.0,1,1,-0.6276307547423808,-0.627630754742381
2016-01-18,air_9152d9926e5c4a3a,0,1,0,0,0,0,0,-1.5291798220196267,-1.6551203343746987,0.0,-0.9120236061806223,-1.3225311386258838,1,43.0,1,1,-1.5029881395976825,-1.5029881395976827
2016-01-19,air_9152d9926e5c4a3a,0,0,0,0,0,1,0,-1.2427741228327653,-1.3578280767147313,0.0,0.9706909325905988,-1.2393016547128994,1,47.0,1,1,-1.2695427871770908,-1.2695427871770908
2016-01-20,air_9152d9926e5c4a3a,0,0,0,0,0,0,1,-1.367298339870531,-1.295892189702238,0.0,0.9951417707564587,-1.4295404750854346,1,93.0,1,1,-1.146175318443545,-1.146175318443545
2016-01-21,air_9152d9926e5c4a3a,0,0,0,0,1,0,0,-1.2054168577214355,-1.2463434800922435,0.0,0.5550266837709787,-1.227411728439616,1,93.0,1,1,-1.0258168123620368,-1.025816812362037
2016-01-22,air_9152d9926e5c4a3a,1,0,0,0,0,0,0,-1.1556071709063294,-1.1472460608722541,0.0,0.7261825509319987,-0.9896132029739468,1,73.0,1,1,-0.721660837618559,-0.7216608376185591
2016-01-23,air_9152d9926e5c4a3a,0,0,1,0,0,0,0,-1.3922031832780841,-1.6303459795697013,0.0,-1.2054336641709424,-1.0371729080670806,1,48.0,1,1,-0.6494457339696542,-0.6494457339696542
2016-01-25,air_9152d9926e5c4a3a,0,1,0,0,0,0,0,-1.51672740031585,-1.3826024315197285,0.0,1.0929451234198988,-1.6554490742778203,1,46.0,1,1,-1.361065401176571,-1.361065401176571
2016-01-26,air_9152d9926e5c4a3a,0,0,0,0,0,1,0,-1.4046556049818608,-1.2339563026897449,0.0,0.8484367417612987,-1.5008800327251355,1,69.0,1,1,-1.190808264448771,-1.190808264448771
2016-01-27,air_9152d9926e5c4a3a,0,0,0,0,0,0,1,-1.0933450623874463,-0.7632435613947962,0.0,1.044043447088179,-1.4771001801785686,1,61.0,1,1,-1.041363119397565,-1.041363119397565
2016-01-28,air_9152d9926e5c4a3a,0,0,0,0,1,0,0,-0.9065587368307976,-0.6889204969798044,0.0,1.044043447088179,-1.0966225394334979,1,56.0,1,1,-1.0468795509263007,-1.046879550926301
2016-01-29,air_9152d9926e5c4a3a,1,0,0,0,0,0,0,-1.2054168577214355,-1.4569254959347204,0.0,-1.2543353405026625,-1.0371729080670806,1,61.0,1,1,-0.9059598000558684,-0.9059598000558684
2016-01-30,air_9152d9926e5c4a3a,0,0,1,0,0,0,0,-1.4669177135007436,-1.8037664632046824,0.0,-1.2543353405026625,-1.1679620970731988,1,18.0,1,1,-0.6088247381671452,-0.6088247381671453
2016-02-01,air_9152d9926e5c4a3a,0,1,0,0,0,0,0,-1.2925838096478715,-1.5931844473622057,0.0,-1.2543353405026625,-1.0371729080670806,1,62.0,1,1,-1.4064505878448064,-1.4064505878448064
