visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Chiyoda-ku Kudanminami,total_area_visitors,total_genre_visitors
2016-07-01,air_a85f0c0c889f6b7e,1,0,0,0,0,0,0,1.0939870087047947,1.1715839801603238,0.0,-0.18091304582454726,1.040481059372137,1,67.0,1,1,1.3874095328238791,1.3874095328238791
2016-07-02,air_a85f0c0c889f6b7e,0,0,1,0,0,0,0,1.2570389767635948,1.311907379825448,0.0,0.4801614106441189,1.1959026978454335,1,50.0,1,1,1.548651750481933,1.548651750481933
2016-07-03,air_a85f0c0c889f6b7e,0,0,0,1,0,0,0,1.5132634979988522,1.73287757882082,0.0,0.6652622584553453,1.3291212451082595,1,6.0,1,1,-0.4645614886505628,-0.4645614886505628
2016-07-04,air_a85f0c0c889f6b7e,0,1,0,0,0,0,0,1.3502115299400521,1.5457797126006543,0.0,0.533047367161612,1.2181057890559046,1,26.0,1,1,-1.2468562671446615,-1.2468562671446615
2016-07-05,air_a85f0c0c889f6b7e,0,0,0,0,0,1,0,0.6397708119695653,0.5869031482223068,0.0,-1.3444040892093998,0.8406532384778984,1,44.0,1,1,-0.5706418950045457,-0.5706418950045457
2016-07-06,air_a85f0c0c889f6b7e,0,0,0,0,0,0,1,0.8028227800283657,0.7389201645261909,0.0,-0.2602419806007874,0.8739578752936049,1,32.0,1,1,-0.10465960091141381,-0.10465960091141381
2016-07-07,air_a85f0c0c889f6b7e,0,0,0,0,1,0,0,1.303625253351823,1.884894595124705,0.0,2.040297127910171,1.0293795137669013,1,21.0,1,1,-0.1725510609779628,-0.1725510609779628
2016-07-08,air_a85f0c0c889f6b7e,1,0,0,0,0,0,0,1.0590473012636232,1.0780350470502411,0.0,-0.7891015457757202,1.0515826049773727,1,74.0,1,1,1.178334695573484,1.178334695573484
2016-07-09,air_a85f0c0c889f6b7e,0,0,1,0,0,0,0,0.7212967959989653,0.5050478317509841,0.0,-1.3444040892093998,0.8517547840831341,1,50.0,1,1,1.4865464943983284,1.4865464943983284
2016-07-10,air_a85f0c0c889f6b7e,0,0,0,1,0,0,0,1.0939870087047947,1.2534392966316463,0.0,1.7494243670639575,0.8406532384778984,1,8.0,1,1,-0.3017762832637237,-0.3017762832637237
2016-07-11,air_a85f0c0c889f6b7e,0,1,0,0,0,0,0,1.3735046682341663,1.5106988626843736,0.0,1.960968193133931,1.0737856961878436,1,24.0,1,1,-1.2981606091267697,-1.2981606091267697
2016-07-12,air_a85f0c0c889f6b7e,0,0,0,0,0,1,0,1.268685545910652,1.311907379825448,0.0,0.32150354109163887,1.3291212451082595,1,59.0,1,1,-0.5552120177166936,-0.5552120177166936
2016-07-13,air_a85f0c0c889f6b7e,0,0,0,0,0,0,1,1.0357541629695088,0.8207754809975136,0.0,-1.3444040892093998,1.2070042434506691,1,53.0,1,1,-0.4807628598028074,-0.4807628598028074
2016-07-14,air_a85f0c0c889f6b7e,0,0,0,0,1,0,0,1.1289267161459657,1.4405371628518115,0.0,-0.3131279371182806,0.9627702401354888,1,26.0,1,1,-0.25857262685773796,-0.25857262685773796
2016-07-15,air_a85f0c0c889f6b7e,1,0,0,0,0,0,0,0.6980036577048511,0.39980528200214116,0.0,-1.3444040892093998,0.9294656033197823,1,84.0,1,1,0.9600019319503774,0.9600019319503774
2016-07-16,air_a85f0c0c889f6b7e,0,0,1,0,0,0,0,0.9192884714989373,0.8324690976362737,0.0,-0.9213164370694534,0.8295516928726632,1,39.0,1,1,1.4259842260435092,1.4259842260435092
2016-07-17,air_a85f0c0c889f6b7e,0,0,0,1,0,0,0,1.1289267161459657,0.9610988806626377,0.0,-1.3179611109506533,1.2181057890559046,1,6.0,1,1,0.4731893035186453,0.4731893035186453
2016-07-19,air_a85f0c0c889f6b7e,0,0,0,0,0,1,0,1.2919786842047662,1.3703754630192493,0.0,0.29506056283289234,1.2292073346611398,1,35.0,1,1,-0.917042640116824,-0.917042640116824
2016-07-20,air_a85f0c0c889f6b7e,0,0,0,0,0,0,1,1.1755129927341947,1.0897286636890011,0.0,-0.12802708930705414,1.1848011522401982,1,27.0,1,1,-0.42174357917677335,-0.42174357917677335
2016-07-21,air_a85f0c0c889f6b7e,0,0,0,0,1,0,0,0.6514173811166226,0.4348861319184223,0.0,-1.3444040892093998,0.9183640577145467,1,22.0,1,1,-0.19453863611315197,-0.19453863611315197
2016-07-22,air_a85f0c0c889f6b7e,1,0,0,0,0,0,0,0.6048311045283937,0.24778826569825665,0.0,-1.3444040892093998,0.8628563296883693,1,78.0,1,1,1.0255789104237485,1.0255789104237485
2016-07-23,air_a85f0c0c889f6b7e,0,0,1,0,0,0,0,0.7212967959989653,0.7623073978037119,0.0,-0.9742023935869467,0.7962470560569567,1,51.0,1,1,1.3507635742652304,1.3507635742652304
2016-07-25,air_a85f0c0c889f6b7e,0,1,0,0,0,0,0,0.9891678863812801,0.8558563309137943,0.0,-1.1328602631394267,0.9405671489250179,1,45.0,1,1,-1.1496480402311937,-1.1496480402311937
2016-07-26,air_a85f0c0c889f6b7e,0,0,0,0,0,1,0,0.8843487640577657,0.7973882477199926,0.0,-1.3179611109506533,0.973871785740724,1,57.0,1,1,-0.3970557755162101,-0.3970557755162101
2016-07-27,air_a85f0c0c889f6b7e,0,0,0,0,0,0,1,0.9658747480871658,0.7856946310812325,0.0,-1.26507515443316,1.0848872417930788,1,41.0,1,1,-0.18759519133361854,-0.18759519133361854
2016-07-28,air_a85f0c0c889f6b7e,0,0,0,0,1,0,0,1.198806131028309,1.2300520633541256,0.0,0.03063078024542587,1.1848011522401982,1,25.0,1,1,0.04423871491635844,0.04423871491635844
