visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-07-01,air_af24e3e817dea1e5,1,0,0,0,0,0,0,1.0562731994462624,1.1378201355723825,0.0,-0.1587184742851275,0.998439194785663,1,24.0,1,1,1.3959297414647922,1.3959297414647922
2016-07-02,air_af24e3e817dea1e5,0,0,1,0,0,0,0,1.2202693022280406,1.2789467200956122,0.0,0.5040683848525471,1.154408510605012,1,13.0,1,1,1.5572178986352556,1.5572178986352556
2016-07-03,air_af24e3e817dea1e5,0,0,0,1,0,0,0,1.4779774637422638,1.7023264736653008,0.0,0.6896487054110958,1.2880964955930256,1,8.0,1,1,-0.456568924983522,-0.456568924983522
2016-07-04,air_af24e3e817dea1e5,0,1,0,0,0,0,0,1.3139813609604856,1.5141576943009945,0.0,0.5570913335835609,1.1766898414363478,1,12.0,1,1,-1.2390865870450052,-1.2390865870450052
2016-07-05,air_af24e3e817dea1e5,0,0,0,0,0,1,0,0.5994269131255938,0.5497927000589257,0.0,-1.325223346367435,0.7979072173036428,1,9.0,1,1,-0.5626795547009321,-0.5626795547009321
2016-07-06,air_af24e3e817dea1e5,0,0,0,0,0,0,1,0.7634230159073725,0.7026798332924241,0.0,-0.23825289738164865,0.8313292135506463,1,13.0,1,1,-0.09656449761499934,-0.09656449761499934
2016-07-07,air_af24e3e817dea1e5,0,0,0,0,1,0,0,1.267125331594263,1.8552136068988,0.0,2.068245372417459,0.9872985293699951,1,12.0,1,1,-0.16447530063414187,-0.16447530063414187
2016-07-08,air_af24e3e817dea1e5,1,0,0,0,0,0,0,1.0211311774215956,1.0437357458902294,0.0,-0.7684823846917882,1.009579860201331,1,20.0,1,1,1.18679533671266,1.18679533671266
2016-07-09,air_af24e3e817dea1e5,0,0,1,0,0,0,0,0.6814249645164829,0.4674688590870414,0.0,-1.325223346367435,0.8090478827193107,1,12.0,1,1,1.4950949481461537,1.4950949481461537
2016-07-10,air_af24e3e817dea1e5,0,0,0,1,0,0,0,1.0562731994462624,1.2201439765442665,0.0,1.7766191543968821,0.7979072173036428,1,11.0,1,1,-0.2937373404717143,-0.2937373404717143
2016-07-11,air_af24e3e817dea1e5,0,1,0,0,0,0,0,1.3374093756435967,1.4788760481701875,0.0,1.988710949320938,1.0318611910326665,1,8.0,1,1,-1.2904055461446982,-1.2904055461446982
2016-07-12,air_af24e3e817dea1e5,0,0,0,0,0,1,0,1.2319833095695965,1.2789467200956122,0.0,0.34499953865950506,1.2880964955930256,1,11.0,1,1,-0.5472452812874907,-0.5472452812874907
2016-07-13,air_af24e3e817dea1e5,0,0,0,0,0,0,1,0.9977031627384845,0.7850036742643085,0.0,-1.325223346367435,1.16554917602068,1,18.0,1,1,-0.4727749120676355,-0.4727749120676355
2016-07-14,air_af24e3e817dea1e5,0,0,0,0,1,0,0,1.091415221470929,1.4083127559085724,0.0,-0.29127584611266255,0.9204545368759887,1,10.0,1,1,-0.25052137491407817,-0.25052137491407817
2016-07-15,air_af24e3e817dea1e5,1,0,0,0,0,0,0,0.6579969498333718,0.36162392069461935,0.0,-1.325223346367435,0.8870325406289852,1,15.0,1,1,0.9684003679124631,0.9684003679124631
2016-07-16,air_af24e3e817dea1e5,0,0,1,0,0,0,0,0.8805630893229285,0.7967642229745774,0.0,-0.9010397565193231,0.7867665518879752,1,17.0,1,1,1.4345154249983958,1.4345154249983958
2016-07-17,air_af24e3e817dea1e5,0,0,0,1,0,0,0,1.091415221470929,0.926130258787538,0.0,-1.298711872001928,1.1766898414363478,1,14.0,1,1,0.4814490417183842,0.4814490417183842
2016-07-18,air_af24e3e817dea1e5,0,1,0,0,0,0,0,1.4194074270344859,1.4788760481701875,1.0,0.663137231045589,1.3326591572556967,1,12.0,1,1,-1.0897599917699587,-1.0897599917699587
2016-07-19,air_af24e3e817dea1e5,0,0,0,0,0,1,0,1.2554113242527076,1.3377494636469573,0.0,0.3184880642939982,1.1878305068520154,1,9.0,1,1,-0.9091789928326934,-0.9091789928326934
2016-07-20,air_af24e3e817dea1e5,0,0,0,0,0,0,1,1.1382712508371515,1.0554962946004982,0.0,-0.10569552555411371,1.1432678451893443,1,18.0,1,1,-0.41373881626122183,-0.41373881626122183
