visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Taitō-ku Higashiueno,total_area_visitors,total_genre_visitors
2016-07-01,air_b2d97bd2337c5ba7,1,0,0,0,0,0,0,1.069714608176728,1.144888216852008,0.0,-0.17507684751642333,1.0159747537194377,1,62.0,1,1,1.4265026175476239,1.4265026175476239
2016-07-02,air_b2d97bd2337c5ba7,0,0,1,0,0,0,0,1.2322078415683329,1.284319403041481,0.0,0.4909763767308399,1.171132324504714,1,51.0,1,1,1.5880738878377716,1.5880738878377716
2016-07-03,air_b2d97bd2337c5ba7,0,0,0,1,0,0,0,1.4875543511837122,1.7026129616099002,0.0,0.6774712795200734,1.3041245280349516,1,41.0,1,1,-0.4292477859523752,-0.4292477859523752
2016-07-04,air_b2d97bd2337c5ba7,0,1,0,0,0,0,0,1.3250611177921072,1.516704713357269,0.0,0.5442606346706207,1.193297691759754,1,30.0,1,1,-1.2131390207572073,-1.2131390207572073
2016-07-05,air_b2d97bd2337c5ba7,0,0,0,0,0,1,0,0.6170548865858277,0.5639249410625367,0.0,-1.3473305221916065,0.8164864484240819,1,49.0,1,1,-0.5355446743011567,-0.5355446743011567
2016-07-06,air_b2d97bd2337c5ba7,0,0,0,0,0,0,1,0.7795481199774331,0.7149753927677989,0.0,-0.25500323442609507,0.8497344993066412,1,45.0,1,1,-0.06861143384541854,-0.06861143384541854
2016-07-07,air_b2d97bd2337c5ba7,0,0,0,0,1,0,0,1.2786344796802198,1.8536634133151633,0.0,2.062861985954381,1.0048920700919177,1,54.0,1,1,-0.13664144238863868,-0.13664144238863868
2016-07-08,air_b2d97bd2337c5ba7,1,0,0,0,0,0,0,1.0348946295928123,1.0519340927256924,0.0,-0.7878458138239055,1.0270574373469576,1,38.0,1,1,1.2170011139656618,1.2170011139656618
2016-07-09,air_b2d97bd2337c5ba7,0,0,1,0,0,0,0,0.6983015032816302,0.4825900824520103,0.0,-1.3473305221916065,0.8275691320516018,1,41.0,1,1,1.5258418913863032,1.5258418913863032
2016-07-10,air_b2d97bd2337c5ba7,0,0,0,1,0,0,0,1.069714608176728,1.2262230754625338,0.0,1.769798567285585,0.8164864484240819,1,24.0,1,1,-0.266130379104427,-0.266130379104427
2016-07-11,air_b2d97bd2337c5ba7,0,1,0,0,0,0,0,1.3482744368480506,1.4818469168099013,0.0,1.9829355990447093,1.049222804601997,1,36.0,1,1,-1.2645480613040723,-1.2645480613040723
2016-07-12,air_b2d97bd2337c5ba7,0,0,0,0,0,1,0,1.2438145010963046,1.284319403041481,0.0,0.33112360291149656,1.3041245280349516,1,20.0,1,1,-0.5200833087231521,-0.5200833087231521
2016-07-13,air_b2d97bd2337c5ba7,0,0,0,0,0,0,1,1.011681310536869,0.7963102513783251,0.0,-1.3473305221916065,1.182215008132234,1,55.0,1,1,-0.44548221980928004,-0.44548221980928004
2016-07-14,air_b2d97bd2337c5ba7,0,0,0,0,1,0,0,1.1045345867606429,1.4121313237151645,0.0,-0.3082874923658761,0.9383959683267994,1,49.0,1,1,-0.22283855548601417,-0.22283855548601417
2016-07-15,air_b2d97bd2337c5ba7,1,0,0,0,0,0,0,0.6750881842256867,0.37801669280990563,0.0,-1.3473305221916065,0.9051479174442401,1,37.0,1,1,0.998222791036897,0.998222791036897
2016-07-16,air_b2d97bd2337c5ba7,0,0,1,0,0,0,0,0.895614715257151,0.8079295168941143,0.0,-0.9210564586733582,0.8054037647965624,1,28.0,1,1,1.4651560314926353,1.4651560314926353
2016-07-17,air_b2d97bd2337c5ba7,0,0,0,1,0,0,0,1.1045345867606429,0.9357414375677983,0.0,-1.3206883932217162,1.193297691759754,1,41.0,1,1,0.5104167070508527,0.5104167070508527
2016-07-18,air_b2d97bd2337c5ba7,0,1,0,0,0,0,0,1.4295210535438532,1.4818469168099013,1.0,0.650829150550183,1.3484552625450306,1,32.0,1,1,-1.0635503087900129,-1.0635503087900129
2016-07-19,air_b2d97bd2337c5ba7,0,0,0,0,0,1,0,1.2670278201522482,1.3424157306204278,0.0,0.30448147394160613,1.2043803753872735,1,25.0,1,1,-0.8826523315273593,-0.8826523315273593
2016-07-20,air_b2d97bd2337c5ba7,0,0,0,0,0,0,1,1.1509612248725303,1.0635533582414816,0.0,-0.12179258957664245,1.1600496408771945,1,56.0,1,1,-0.38634249647341257,-0.38634249647341257
2016-07-21,air_b2d97bd2337c5ba7,0,0,0,0,1,0,0,0.6286615461137998,0.412874489357274,0.0,-1.3473305221916065,0.8940652338167201,1,22.0,1,1,-0.15867388833729518,-0.15867388833729518
2016-07-22,air_b2d97bd2337c5ba7,1,0,0,0,0,0,0,0.5822349080019124,0.22696624110464297,0.0,-1.3473305221916065,0.8386518156791213,1,45.0,1,1,1.0639335947434165,1.0639335947434165
2016-07-23,air_b2d97bd2337c5ba7,0,0,1,0,0,0,0,0.6983015032816302,0.738213923799378,0.0,-0.9743407166131393,0.772155713914003,1,40.0,1,1,1.3897818742998629,1.3897818742998629
2016-07-24,air_b2d97bd2337c5ba7,0,0,0,1,0,0,0,0.872401396201207,0.958979968599377,0.0,0.5975448926104019,0.6834942448938448,1,27.0,1,1,-0.452053300179932,-0.452053300179932
2016-07-25,air_b2d97bd2337c5ba7,0,1,0,0,0,0,0,0.9652546724249815,0.8311680479256931,0.0,-1.1341934904324824,0.91623060107176,1,43.0,1,1,-1.1157324176157783,-1.1157324176157783
2016-07-26,air_b2d97bd2337c5ba7,0,0,0,0,0,1,0,0.8607947366732356,0.773071720346746,0.0,-1.3206883932217162,0.9494786519543189,1,24.0,1,1,-0.36160431154860523,-0.36160431154860523
2016-07-27,air_b2d97bd2337c5ba7,0,0,0,0,0,0,1,0.942041353369038,0.7614524548309568,0.0,-1.2674041352819352,1.0603054882295164,1,15.0,1,1,-0.15171627382719313,-0.15171627382719313
2016-07-28,air_b2d97bd2337c5ba7,0,0,0,0,1,0,0,1.1741745439284739,1.202984544430955,0.0,0.038060184242700856,1.1600496408771945,1,41.0,1,1,0.0805907439823256,0.0805907439823256
2016-07-29,air_b2d97bd2337c5ba7,1,0,0,0,0,0,0,1.2554211606242762,1.3540349961362173,0.0,1.7165143093458042,1.1157189063671153,1,50.0,1,1,1.3182730585015918,1.3182730585015918
2016-07-30,air_b2d97bd2337c5ba7,0,0,1,0,0,0,0,1.2554211606242762,1.4121313237151645,0.0,1.5300194065565706,1.0270574373469576,1,24.0,1,1,1.440417846567828,1.440417846567828
2016-07-31,air_b2d97bd2337c5ba7,0,0,0,1,0,0,0,1.2902411392081918,1.1681267478835868,0.0,0.4909763767308399,1.2819591607799117,1,24.0,1,1,-0.4056692034459183,-0.4056692034459183
2016-08-01,air_b2d97bd2337c5ba7,0,1,0,0,0,0,0,1.2786344796802198,1.2494616064941126,0.0,-0.8411300717636866,1.3041245280349516,1,14.0,1,1,-1.172166401975495,-1.172166401975495
2016-08-02,air_b2d97bd2337c5ba7,0,0,0,0,0,1,0,1.1045345867606429,1.0054570306625346,0.0,-0.8944143297034676,1.0713881718570364,1,39.0,1,1,-0.8049589694978864,-0.8049589694978864
2016-08-03,air_b2d97bd2337c5ba7,0,0,0,0,0,0,1,1.2089945225123893,1.3075579340730599,0.0,-0.25500323442609507,1.171132324504714,1,27.0,1,1,-0.3391853314604986,-0.3391853314604986
2016-08-04,air_b2d97bd2337c5ba7,0,0,0,0,1,0,0,1.3598810963760226,1.423750589230954,0.0,0.9172504402490882,1.2819591607799117,1,26.0,1,1,-0.2073771899080096,-0.2073771899080096
2016-08-05,air_b2d97bd2337c5ba7,1,0,0,0,0,0,0,1.4295210535438532,1.4702276512941117,0.0,1.5300194065565706,1.3041245280349516,1,39.0,1,1,0.8861278905963639,0.8861278905963639
2016-08-06,air_b2d97bd2337c5ba7,0,0,1,0,0,0,0,1.4759476916557406,1.5631817754204276,0.0,0.99717682715876,1.4371167315651887,1,39.0,1,1,0.6341076316748894,0.6341076316748894
2016-08-07,air_b2d97bd2337c5ba7,0,0,0,1,0,0,0,1.4179143940158816,1.4934661823256907,0.0,1.6365879224361324,1.2930418444074316,1,10.0,1,1,-0.610918831493929,-0.610918831493929
2016-08-08,air_b2d97bd2337c5ba7,0,1,0,0,0,0,0,1.4063077344879096,1.4469891202625333,0.0,-0.12179258957664245,1.3817033134275898,1,47.0,1,1,-1.1528396950029893,-1.1528396950029893
2016-08-09,air_b2d97bd2337c5ba7,0,0,0,0,0,1,0,1.8009341584389504,1.9698560684730575,0.0,0.810681924369526,1.4260340479376687,1,36.0,1,1,-0.28700322263473316,-0.28700322263473316
2016-08-10,air_b2d97bd2337c5ba7,0,0,0,0,0,0,1,1.4759476916557406,1.5399432443888483,0.0,-0.04186620266697068,1.459282098820228,1,63.0,1,1,0.7577985562989259,0.7577985562989259
2016-08-11,air_b2d97bd2337c5ba7,0,0,0,0,1,0,0,1.2670278201522482,1.3191771995888495,1.0,-0.04186620266697068,1.3706206298000698,1,35.0,1,1,0.43465601571863033,0.43465601571863033
