visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Tōkyō-to Minato-ku Shibakōen,total_area_visitors,total_genre_visitors
2016-07-01,air_b3a824511477a4ed,1,0,0,0,0,0,0,1.1031241053522303,1.1761941225239634,0.0,-0.19145326416791422,1.0515666230102194,1,16.0,1,1,1.354684937356294,1.3546849373562937
2016-07-03,air_b3a824511477a4ed,0,0,0,1,0,0,0,1.5220274844688186,1.7363375953007512,0.0,0.6589680338923969,1.3400144382142285,1,13.0,1,1,-0.6626837892911448,-0.6626837892911446
2016-07-05,air_b3a824511477a4ed,0,0,0,0,0,1,0,0.6493121113092588,0.5927113383814758,0.0,-1.3607825490008423,0.8518719817151362,1,4.0,1,1,-0.778238132100569,-0.7782381321005688
2016-07-06,air_b3a824511477a4ed,0,0,0,0,0,0,1,0.8122189809657102,0.7444168622585222,0.0,-0.27118026086106856,0.8851544219309835,1,6.0,1,1,-0.2706394189595347,-0.2706394189595345
2016-07-07,air_b3a824511477a4ed,0,0,0,0,1,0,0,1.3125757949105243,1.8880431191777982,0.0,2.0409026432404027,1.0404724762716036,1,13.0,1,1,-0.34459419835756616,-0.344594198357566
2016-07-08,air_b3a824511477a4ed,1,0,0,0,0,0,0,1.0682154904258476,1.0828368770611654,0.0,-0.802693572148763,1.0626607697488353,1,12.0,1,1,1.1269378326191741,1.1269378326191741
2016-07-09,air_b3a824511477a4ed,0,0,1,0,0,0,0,0.7307655461374842,0.5110237486015272,0.0,-1.3607825490008423,0.8629661284537521,1,8.0,1,1,1.4626757231818284,1.4626757231818284
2016-07-10,air_b3a824511477a4ed,0,0,0,1,0,0,0,1.1031241053522303,1.2578817123039114,0.0,1.7485703220321704,0.8518719817151362,1,9.0,1,1,-0.48536039777995565,-0.48536039777995543
2016-07-12,air_b3a824511477a4ed,0,0,0,0,0,1,0,1.2776671799841421,1.3162299907181603,0.0,0.31348438155539543,1.3400144382142285,1,5.0,1,1,-0.7614302276919255,-0.7614302276919253
2016-07-13,air_b3a824511477a4ed,0,0,0,0,0,0,1,1.0449430804749262,0.8261044520384708,0.0,-1.3607825490008423,1.2179788240894553,1,6.0,1,1,-0.6803320889202206,-0.6803320889202202
2016-07-14,air_b3a824511477a4ed,0,0,0,0,1,0,0,1.1380327202786122,1.4445962032295072,0.0,-0.32433159198983796,0.9739075958399094,1,4.0,1,1,-0.4382982654357538,-0.43829826543575356
2016-07-15,air_b3a824511477a4ed,1,0,0,0,0,0,0,0.7074931361865627,0.40599684745587966,0.0,-1.3607825490008423,0.9406251556240621,1,12.0,1,1,0.8891059852368682,0.8891059852368682
2016-07-16,air_b3a824511477a4ed,0,0,1,0,0,0,0,0.9285810307203182,0.8377741077213203,0.0,-0.9355718999706866,0.8407778349765207,1,5.0,1,1,1.3967046983779026,1.3967046983779026
2016-07-17,air_b3a824511477a4ed,0,0,0,1,0,0,0,1.1380327202786122,0.9661403202326677,0.0,-1.3342068834364575,1.2290729708280712,1,8.0,1,1,0.3588166011441652,0.35881660114416525
2016-07-20,air_b3a824511477a4ed,0,0,0,0,0,0,1,1.1845775401804557,1.0945065327440149,0.0,-0.13830193303914495,1.1957905306122238,1,8.0,1,1,-0.6160418545571591,-0.6160418545571588
2016-07-21,air_b3a824511477a4ed,0,0,0,0,1,0,0,0.6609483162847197,0.441005814504429,0.0,-1.3607825490008423,0.9295310088854463,1,11.0,1,1,-0.3685454621398832,-0.368545462139883
2016-07-22,air_b3a824511477a4ed,1,0,0,0,0,0,0,0.6144034963828763,0.25429132357883283,0.0,-1.3607825490008423,0.8740602751923676,1,6.0,1,1,0.9605395789736032,0.9605395789736032
2016-07-23,air_b3a824511477a4ed,0,0,1,0,0,0,0,0.7307655461374842,0.7677561736242221,0.0,-0.9887232310994561,0.8074953947606734,1,8.0,1,1,1.3147661643857655,1.3147661643857653
2016-07-24,air_b3a824511477a4ed,0,0,0,1,0,0,0,0.9053086207693962,0.9894796315983672,0.0,0.5792410371992427,0.7187422208517475,1,2.0,1,1,-0.6874754482938941,-0.6874754482938937
2016-07-25,air_b3a824511477a4ed,0,1,0,0,0,0,0,0.9983982605730828,0.8611134190870198,0.0,-1.1481772244857644,0.951719302362678,1,2.0,1,1,-1.4089547450349171,-1.4089547450349167
2016-07-26,air_b3a824511477a4ed,0,0,0,0,0,1,0,0.8936724157939357,0.802765140672771,0.0,-1.3342068834364575,0.9850017425785248,1,2.0,1,1,-0.5891492075033294,-0.5891492075033292
2016-07-27,air_b3a824511477a4ed,0,0,0,0,0,0,1,0.9751258506221613,0.7910954849899215,0.0,-1.281055552307688,1.0959432099646822,1,9.0,1,1,-0.3609819051559936,-0.36098190515599343
2016-07-28,air_b3a824511477a4ed,0,0,0,0,1,0,0,1.2078499501313773,1.2345424009382122,0.0,0.021152060347163548,1.1957905306122238,1,10.0,1,1,-0.10844314141612471,-0.10844314141612454
2016-07-29,air_b3a824511477a4ed,1,0,0,0,0,0,0,1.2893033849596027,1.3862479248152586,0.0,1.6954189909034012,1.1514139436577608,1,13.0,1,1,1.237029606495789,1.237029606495789
2016-07-30,air_b3a824511477a4ed,0,0,1,0,0,0,0,1.2893033849596027,1.4445962032295072,0.0,1.5093893319527083,1.0626607697488353,1,6.0,1,1,1.369812051324073,1.3698120513240728
2016-07-31,air_b3a824511477a4ed,0,0,0,1,0,0,0,1.3242119998859851,1.1995334338896628,0.0,0.47293837494170393,1.3178261447369966,1,14.0,1,1,-0.6370517350679634,-0.6370517350679632
2016-08-02,air_b3a824511477a4ed,0,0,0,0,0,1,0,1.1380327202786122,1.036158254329766,0.0,-0.9089962344063018,1.107037356703298,1,6.0,1,1,-1.0711158664211824,-1.071115866421182
2016-08-03,air_b3a824511477a4ed,0,0,0,0,0,0,1,1.2427585650577597,1.3395693020838597,0.0,-0.27118026086106856,1.2068846773508395,1,6.0,1,1,-0.5647777461107963,-0.5647777461107961
2016-08-04,air_b3a824511477a4ed,0,0,0,0,1,0,0,1.3940292297387502,1.4562658589123572,0.0,0.8981490239718595,1.3178261447369966,1,8.0,1,1,-0.4214903610271103,-0.42149036102711007
2016-08-05,air_b3a824511477a4ed,1,0,0,0,0,0,0,1.4638464595915148,1.502944481643756,0.0,1.5093893319527083,1.3400144382142285,1,10.0,1,1,0.7672486782742027,0.7672486782742027
2016-08-06,air_b3a824511477a4ed,0,0,1,0,0,0,0,1.5103912794933583,1.5963017271065545,0.0,0.9778760206650138,1.473144199077617,1,6.0,1,1,0.49327983641331336,0.4932798364133134
2016-08-07,air_b3a824511477a4ed,0,0,0,1,0,0,0,1.4522102546160542,1.526283793009456,0.0,1.6156919942102468,1.3289202914756126,1,4.0,1,1,-0.8601766660927062,-0.8601766660927059
2016-08-09,air_b3a824511477a4ed,0,0,0,0,0,1,0,1.8362050188062602,2.0047396760062957,0.0,0.7918463617143204,1.4620500523390012,1,15.0,1,1,-0.5080510687316244,-0.5080510687316242
2016-08-10,air_b3a824511477a4ed,0,0,0,0,0,0,1,1.5103912794933583,1.5729624157408548,0.0,-0.058574936345990584,1.4953324925548483,1,10.0,1,1,0.6277430716824616,0.6277430716824616
2016-08-11,air_b3a824511477a4ed,0,0,0,0,1,0,0,1.3009395899350638,1.3512389577667097,1.0,-0.058574936345990584,1.4065793186459226,1,5.0,1,1,0.27645786954181195,0.276457869541812
2016-08-12,air_b3a824511477a4ed,1,0,0,0,0,0,0,1.2311223600822987,1.3278996464010098,0.0,0.10087905704031767,1.2956378512597653,1,12.0,1,1,-0.21307234635993064,-0.21307234635993044
2016-08-13,air_b3a824511477a4ed,0,0,1,0,0,0,0,1.2078499501313773,1.3162299907181603,1.0,0.5526653716348581,1.1957905306122238,1,13.0,1,1,-0.02524401459333928,-0.025244014593339126
2016-08-17,air_b3a824511477a4ed,0,0,0,0,0,0,1,1.4638464595915148,1.6079713827894035,0.0,1.2967840074376304,1.1625080903963767,1,8.0,1,1,-1.0912853517115546,-1.0912853517115544
2016-08-18,air_b3a824511477a4ed,0,0,0,0,1,0,0,1.2543947700332203,1.2928906793524608,0.0,-1.0684502277926102,1.4065793186459226,1,13.0,1,1,-0.7794987249312173,-0.779498724931217
2016-08-19,air_b3a824511477a4ed,1,0,0,0,0,0,0,1.3358482048614462,1.3745782691324087,0.0,0.47293837494170393,1.3843910251686913,1,6.0,1,1,0.72564911486281,0.72564911486281
