visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,total_area_visitors,total_genre_visitors
2016-01-03,air_b60cc7d6aee68194,0,0,0,1,0,0,0,-0.6550209162420417,-0.5085732309165167,1.0,-0.18275802135901545,-0.7121664820095847,1,20.0,1,1,-1.694685213050823,-1.694685213050823
2016-01-04,air_b60cc7d6aee68194,0,1,0,0,0,0,0,-0.5506903530234776,-0.4272652849079199,0.0,0.4917017318372709,-0.5308190489249159,1,17.0,1,1,-1.4964967932354214,-1.4964967932354214
2016-01-05,air_b60cc7d6aee68194,0,0,0,0,0,1,0,-0.9100511818874207,-1.089344273835065,0.0,-1.3068576100194926,-0.6781638383062093,1,23.0,1,1,-1.3659824679911325,-1.3659824679911325
2016-01-06,air_b60cc7d6aee68194,0,0,0,0,0,0,1,-0.9100511818874207,-1.019651748684839,0.0,-1.1319976740056406,-0.7688375548485437,1,7.0,1,1,-1.3016157539817659,-1.3016157539817659
2016-01-07,air_b60cc7d6aee68194,0,0,0,0,1,0,0,-0.9332357514915461,-0.8686512775260166,0.0,0.19194184152781027,-0.8708454859586698,1,4.0,1,1,-1.2321607621850974,-1.2321607621850974
2016-01-08,air_b60cc7d6aee68194,1,0,0,0,0,0,0,-1.002789460303922,-1.100959694693436,0.0,-1.1070176831465188,-0.916182344229837,1,9.0,1,1,-0.8965888421125496,-0.8965888421125496
2016-01-09,air_b60cc7d6aee68194,0,0,1,0,0,0,0,-1.1071200235224863,-1.0661134321183228,0.0,0.26688181410517536,-1.0521929190433388,1,32.0,1,1,-0.6375955027388924,-0.6375955027388924
2016-01-10,air_b60cc7d6aee68194,0,0,0,1,0,0,0,-1.0607508843142355,-0.9151129609595005,0.0,0.5916216952737576,-1.0635271336111305,1,29.0,1,1,-0.9243199560533439,-0.9243199560533439
2016-01-11,air_b60cc7d6aee68194,0,1,0,0,0,0,0,-0.9911971755018595,-0.9034975401011296,1.0,0.4167617592599058,-1.0068560607721715,1,103.0,1,1,-1.287368576177321,-1.287368576177321
2016-01-12,air_b60cc7d6aee68194,0,0,0,0,0,1,0,-0.9216434666894835,-0.9964209069680972,0.0,-0.25769799393638054,-0.7575033402807518,1,17.0,1,1,-1.341304320722719,-1.341304320722719
2016-01-13,air_b60cc7d6aee68194,0,0,0,0,0,0,1,-1.199858301938988,-1.2403447449938874,0.0,-0.9071777562735451,-1.142866635585673,1,15.0,1,1,-1.1367555536731904,-1.1367555536731904
2016-01-14,air_b60cc7d6aee68194,0,0,0,0,1,0,0,-1.3273734347616772,-1.1822676407020325,0.0,-0.23271800307725893,-1.31287985410255,1,6.0,1,1,-1.0438944840549342,-1.0438944840549342
2016-01-15,air_b60cc7d6aee68194,1,0,0,0,0,0,0,-1.2462274411472383,-1.100959694693436,0.0,0.6415816769920011,-1.1768692792890485,1,20.0,1,1,-0.767092172425721,-0.767092172425721
2016-01-16,air_b60cc7d6aee68194,0,0,1,0,0,0,0,-1.2114505867410506,-1.089344273835065,0.0,0.6915416587102445,-1.31287985410255,1,18.0,1,1,-0.6192777027046062,-0.6192777027046062
2016-01-17,air_b60cc7d6aee68194,0,0,0,1,0,0,0,-1.2346351563451756,-1.4145760578694517,0.0,-1.3068576100194926,-1.029524489907755,1,9.0,1,1,-1.2235106899466845,-1.2235106899466845
2016-01-18,air_b60cc7d6aee68194,0,1,0,0,0,0,0,-1.1071200235224863,-0.9848054861097262,0.0,-0.0078980853451634,-1.2335403521280073,1,6.0,1,1,-1.5074365904781202,-1.5074365904781202
2016-01-19,air_b60cc7d6aee68194,0,0,0,0,0,1,0,-1.7099188332297455,-1.8327312087708068,0.0,0.017081905513958225,-1.4602246434838433,1,12.0,1,1,-1.2705772594792253,-1.2705772594792253
2016-01-20,air_b60cc7d6aee68194,0,0,0,0,0,0,1,-1.5012577067926174,-1.39134521615271,0.0,0.5166817226963926,-1.5395641454583857,1,15.0,1,1,-1.1454056259116032,-1.1454056259116032
2016-01-21,air_b60cc7d6aee68194,0,0,0,0,1,0,0,-1.3621502891678652,-1.4610377413029356,0.0,-0.4825179116684761,-1.3242140686703416,1,25.0,1,1,-1.0232869590163622,-1.0232869590163622
2016-01-22,air_b60cc7d6aee68194,1,0,0,0,0,0,0,-1.1766737323348624,-1.100959694693436,0.0,0.1419818598095668,-1.1768692792890485,1,8.0,1,1,-0.7146829112165134,-0.7146829112165134
2016-01-23,air_b60cc7d6aee68194,0,0,1,0,0,0,0,-1.3505580043658025,-1.4958840038780488,0.0,-0.9321577471326669,-1.2448745666957992,1,25.0,1,1,-0.6414117110793688,-0.6414117110793688
2016-01-24,air_b60cc7d6aee68194,0,0,0,1,0,0,0,-2.057687377291626,-2.1811938345219355,0.0,0.042061896373080075,-1.8002510805175973,1,32.0,1,1,-1.3387601818290684,-1.3387601818290684
2016-01-25,air_b60cc7d6aee68194,0,1,0,0,0,0,0,-1.7099188332297455,-1.6120382124617583,0.0,0.5416617135555144,-1.7322457931108466,1,10.0,1,1,-1.3634383290974816,-1.3634383290974816
2016-01-26,air_b60cc7d6aee68194,0,0,0,0,0,1,0,-1.3389657195637399,-1.5307302664531615,0.0,-1.2568976283012492,-1.2675429958313826,1,8.0,1,1,-1.1906912982185884,-1.1906912982185884
