visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Creative cuisine,Tōkyō-to Nakano-ku Nakano,total_area_visitors,total_genre_visitors
2016-07-01,air_b711b43ae472cb6b,1,0,0,0,0,0,0,1.116303284447729,1.2613060155449491,0.0,-0.6337399747027488,1.0296544085508423,1,21.0,1,1,1.3114336243148328,1.311433624314833
2016-07-03,air_b711b43ae472cb6b,0,0,0,1,0,0,0,1.6100358670748913,1.8598808969551743,0.0,0.3690903883121025,1.2828155225176445,1,15.0,1,1,-0.40869984508664403,-0.40869984508664364
2016-07-04,air_b711b43ae472cb6b,0,1,0,0,0,0,0,1.3856119658807267,1.6114158518414965,0.0,0.28777981833792543,1.2933639022662613,1,29.0,1,1,-1.1353048598640227,-1.1353048598640223
2016-07-05,air_b711b43ae472cb6b,0,0,0,0,0,1,0,0.6450130919399831,0.561086342951855,0.0,-1.3926386277950684,0.8292351933271237,1,18.0,1,1,-0.5072286316072452,-0.5072286316072449
2016-07-08,air_b711b43ae472cb6b,1,0,0,0,0,0,0,1.0826396992686043,1.1596612243620805,0.0,-0.8234646379758286,1.050751168048076,1,21.0,1,1,1.1172423432451388,1.117242343245139
2016-07-09,air_b711b43ae472cb6b,0,0,1,0,0,0,0,0.746003847477357,0.4707354174559722,0.0,-1.3926386277950684,0.8925254718188244,1,12.0,1,1,1.40351325389954,1.40351325389954
2016-07-10,air_b711b43ae472cb6b,0,0,0,1,0,0,0,1.1611880646865618,1.3855385381017886,0.0,1.6429559845742105,0.860880332572974,1,15.0,1,1,-0.2575029435895761,-0.25750294358957576
2016-07-11,air_b711b43ae472cb6b,0,1,0,0,0,0,0,1.3743907708210186,1.6227097175284813,0.0,1.3719207513269536,1.124589826288393,1,8.0,1,1,-1.1829569638903499,-1.1829569638903494
2016-07-12,air_b711b43ae472cb6b,0,0,0,0,0,1,0,1.3182847955224775,1.408126269475759,0.0,0.6401256215593596,1.2933639022662613,1,11.0,1,1,-0.4928971717497032,-0.4928971717497028
2016-07-13,air_b711b43ae472cb6b,0,0,0,0,0,0,1,1.0826396992686043,0.7982575223785482,0.0,-1.3926386277950684,1.2511703832717942,1,12.0,1,1,-0.42374787793706314,-0.42374787793706276
2016-07-15,air_b711b43ae472cb6b,1,0,0,0,0,0,0,0.7347826524176487,0.36909062627310346,0.0,-1.3926386277950684,1.0191060288022253,1,17.0,1,1,0.9144521862609198,0.91445218626092
2016-07-16,air_b711b43ae472cb6b,0,0,1,0,0,0,0,0.9479853585521054,0.8095513880655337,0.0,-1.148706917872537,0.9347189908132912,1,32.0,1,1,1.3472622739586877,1.347262273958688
2016-07-17,air_b711b43ae472cb6b,0,0,0,1,0,0,0,1.1948516498656867,1.024134836118256,0.0,-1.25712101117144,1.2300736237745606,1,11.0,1,1,0.46229462775547014,0.46229462775547037
2016-07-18,air_b711b43ae472cb6b,0,1,0,0,0,0,0,1.4417179411792678,1.4984771949716424,1.0,0.3419868649873769,1.3355574212607282,1,13.0,1,1,-0.9966479857423041,-0.9966479857423035
2016-07-19,air_b711b43ae472cb6b,0,0,0,0,0,1,0,1.3631695757613103,1.3629508067278175,0.0,0.07095163174011981,1.3355574212607282,1,15.0,1,1,-0.8289699054090628,-0.8289699054090623
2016-07-21,air_b711b43ae472cb6b,0,0,0,0,1,0,0,0.6674554820593995,0.4142660890210452,0.0,-1.3926386277950684,0.9558157503105251,1,5.0,1,1,-0.1578992975796593,-0.15789929757965895
2016-07-22,air_b711b43ae472cb6b,1,0,0,0,0,0,0,0.6113495067608583,0.24485810371626443,0.0,-1.3926386277950684,0.8714287123215909,1,5.0,1,1,0.9753608906554733,0.9753608906554734
2016-07-23,air_b711b43ae472cb6b,0,0,1,0,0,0,0,0.7235614573579408,0.5159108802039135,0.0,-1.365535104470343,0.7870416743326568,1,29.0,1,1,1.2773964071531707,1.2773964071531707
2016-07-24,air_b711b43ae472cb6b,0,0,0,1,0,0,0,0.8918793832535643,0.9224900449353877,0.0,0.31488334166265103,0.723751395840956,1,30.0,1,1,-0.4298387483765185,-0.4298387483765181
2016-07-25,air_b711b43ae472cb6b,0,1,0,0,0,0,0,1.026533723970063,0.9111961792484021,0.0,-1.2842245344961656,0.9558157503105251,1,21.0,1,1,-1.0450166627615083,-1.0450166627615078
2016-07-26,air_b711b43ae472cb6b,0,0,0,0,0,1,0,0.9143217733729807,0.7982575223785482,0.0,-1.365535104470343,0.998009269304992,1,32.0,1,1,-0.34599970820989784,-0.3459997082098975
2016-07-27,air_b711b43ae472cb6b,0,0,0,0,0,0,1,0.9367641634923971,0.7304943282566357,0.0,-1.3926386277950684,1.008557649053609,1,22.0,1,1,-0.1514501406437654,-0.15145014064376505
2016-07-29,air_b711b43ae472cb6b,1,0,0,0,0,0,0,1.3182847955224775,1.4420078665367155,0.0,1.1821960880538738,1.1878801047800938,1,37.0,1,1,1.211113405312039,1.211113405312039
2016-07-30,air_b711b43ae472cb6b,0,0,1,0,0,0,0,1.3407271856418939,1.5549465234065694,0.0,1.778473601197839,1.0823963072939262,1,36.0,1,1,1.3243319381866205,1.3243319381866208
2016-07-31,air_b711b43ae472cb6b,0,0,0,1,0,0,0,1.307063600462769,1.238718284170978,0.0,0.3690903883121025,1.3250090415121116,1,12.0,1,1,-0.3868443688038925,-0.3868443688038921
2016-08-01,air_b711b43ae472cb6b,0,1,0,0,0,0,0,1.2846212103433525,1.1257796273011242,0.0,-0.9860857779241828,1.3566541807579617,1,29.0,1,1,-1.0973264912415366,-1.097326491241536
2016-08-02,air_b711b43ae472cb6b,0,0,0,0,0,1,0,1.2846212103433525,1.3742446724148032,0.0,-0.5524294047285715,1.272267142769028,1,31.0,1,1,-0.7569543196249143,-0.7569543196249139
2016-08-05,air_b711b43ae472cb6b,1,0,0,0,0,0,0,1.4753815263583925,1.6452974489024523,0.0,0.992471424780794,1.3039122820148779,1,16.0,1,1,0.8105491022937404,0.8105491022937406
2016-08-06,air_b711b43ae472cb6b,0,0,1,0,0,0,0,1.5539298917763502,1.6678851802764234,0.0,0.5046080049357311,1.4621379782441293,1,9.0,1,1,0.576946306615806,0.5769463066158063
2016-08-07,air_b711b43ae472cb6b,0,0,0,1,0,0,0,1.486602721418101,1.487183329284657,0.0,1.5345418912753082,1.4304928389982794,1,34.0,1,1,-0.5770944984127624,-0.577094498412762
2016-08-08,air_b711b43ae472cb6b,0,1,0,0,0,0,0,1.452939136238976,1.4758894635976714,0.0,0.016744585090668354,1.3777509402551955,1,15.0,1,1,-1.079412166419609,-1.0794121664196086
2016-08-09,air_b711b43ae472cb6b,0,0,0,0,0,1,0,1.8456809633287639,1.9163502253901015,0.0,1.0195749481055196,1.4304928389982794,1,17.0,1,1,-0.27685041439725777,-0.27685041439725744
2016-08-10,air_b711b43ae472cb6b,0,0,0,0,0,0,1,1.5202663065972253,1.5097710606586272,0.0,0.5588150515851825,1.5148798769872132,1,5.0,1,1,0.6915979854761419,0.6915979854761422
2016-08-12,air_b711b43ae472cb6b,1,0,0,0,0,0,0,1.2285152350448114,1.3064814782928906,0.0,-0.5795329280532973,1.3039122820148779,1,21.0,1,1,-0.025333293897395925,-0.025333293897395606
2016-08-13,air_b711b43ae472cb6b,0,0,1,0,0,0,0,1.2397364301045193,1.3064814782928906,1.0,-0.416911788104943,1.2933639022662613,1,16.0,1,1,0.13482077001063578,0.13482077001063605
2016-08-14,air_b711b43ae472cb6b,0,0,0,1,0,0,0,1.1611880646865618,1.1596612243620805,1.0,-0.6337399747027488,1.219525244025944,1,24.0,1,1,-0.8651568415493563,-0.8651568415493558
2016-08-15,air_b711b43ae472cb6b,0,1,0,0,0,0,0,1.2172940399851029,1.2613060155449491,1.0,-1.148706917872537,1.2828155225176445,1,37.0,1,1,-1.3724905205063427,-1.372490520506342
2016-08-17,air_b711b43ae472cb6b,0,0,0,0,0,0,1,1.5202663065972253,1.735648374398335,0.0,1.344817228002228,1.1667833452828602,1,8.0,1,1,-0.7741520714539647,-0.7741520714539643
2016-08-19,air_b711b43ae472cb6b,1,0,0,0,0,0,0,1.3519483807016017,1.3968324037887734,0.0,0.5046080049357311,1.3566541807579617,1,14.0,1,1,0.775078739146324,0.7750787391463242
2016-08-20,air_b711b43ae472cb6b,0,0,1,0,0,0,0,1.0601973091491879,0.9789593733703146,0.0,-1.2029139645219884,1.2406220035231776,1,18.0,1,1,0.6618602062717424,0.6618602062717425
2016-08-21,air_b711b43ae472cb6b,0,0,0,1,0,0,0,1.3856119658807267,1.5888281204675252,0.0,0.694332668208811,1.1984284845287103,1,17.0,1,1,-0.7623286170714926,-0.7623286170714921
2016-08-23,air_b711b43ae472cb6b,0,0,0,0,0,1,0,1.1836304548059782,1.2500121498579637,0.0,-0.010358938234057497,1.1140414465397765,1,17.0,1,1,-0.5706453414768685,-0.5706453414768681
2016-08-24,air_b711b43ae472cb6b,0,0,0,0,0,0,1,1.1836304548059782,1.238718284170978,0.0,-0.4982223580791202,1.1773317250314768,1,16.0,1,1,-0.38756094179676964,-0.38756094179676925
2016-08-26,air_b711b43ae472cb6b,1,0,0,0,0,0,0,1.4417179411792678,1.543652657719584,0.0,1.6971630312236623,1.2300736237745606,1,17.0,1,1,1.0620662227936022,1.0620662227936024
2016-08-27,air_b711b43ae472cb6b,0,0,1,0,0,0,0,0.8694369931341479,0.8208452537525189,0.0,-1.3926386277950684,0.8925254718188244,1,15.0,1,1,1.122616640691717,1.1226166406917173
2016-08-28,air_b711b43ae472cb6b,0,0,0,1,0,0,0,0.6786766771191075,0.4255599547080304,0.0,-1.3926386277950684,0.860880332572974,1,15.0,1,1,-0.23278117533531617,-0.2327811753353158
2016-08-29,air_b711b43ae472cb6b,0,1,0,0,0,0,0,1.0489761140894793,1.114485761614139,0.0,-0.6337399747027488,1.0191060288022253,1,8.0,1,1,-1.3581590606488005,-1.3581590606488
2016-08-30,air_b711b43ae472cb6b,0,0,0,0,0,1,0,0.9367641634923971,0.9337839106223728,0.0,-1.3113280578208915,0.8925254718188244,1,15.0,1,1,-0.5960836827240055,-0.5960836827240051
2016-08-31,air_b711b43ae472cb6b,0,0,0,0,0,0,1,1.206072844925395,1.3629508067278175,0.0,1.8597841711720164,0.8186868135785071,1,15.0,1,1,-0.18297935233035778,-0.18297935233035742
2016-09-02,air_b711b43ae472cb6b,1,0,0,0,0,0,0,1.2172940399851029,1.227424418483993,0.0,0.5317115282604566,1.1140414465397765,1,13.0,1,1,0.5962937774234878,0.5962937774234879
2016-09-03,air_b711b43ae472cb6b,0,0,1,0,0,0,0,1.2734000152836442,1.3177753439798763,0.0,0.6401256215593596,1.3039122820148779,1,10.0,1,1,1.1559372848605023,1.1559372848605023
2016-09-04,air_b711b43ae472cb6b,0,0,0,1,0,0,0,1.2397364301045193,1.3516569410408321,0.0,0.016744585090668354,1.2089768642773273,1,29.0,1,1,-0.6978370477125536,-0.6978370477125532
2016-09-05,air_b711b43ae472cb6b,0,1,0,0,0,0,0,1.4304967461195597,1.543652657719584,0.0,1.3177137046775023,1.3144606617634949,1,16.0,1,1,-1.2707371555177944,-1.270737155517794
2016-09-06,air_b711b43ae472cb6b,0,0,0,0,0,1,0,1.5090451115375174,1.487183329284657,0.0,1.3177137046775023,1.4304928389982794,1,13.0,1,1,-0.5960836827240055,-0.5960836827240051
2016-09-07,air_b711b43ae472cb6b,0,0,0,0,0,0,1,1.3182847955224775,1.3064814782928906,0.0,-0.5795329280532973,1.3777509402551955,1,16.0,1,1,-0.5032874801464211,-0.5032874801464208
2016-09-09,air_b711b43ae472cb6b,1,0,0,0,0,0,0,1.2846212103433525,1.3064814782928906,0.0,-0.4982223580791202,1.1456865857856264,1,12.0,1,1,0.9008372993962549,0.9008372993962551
