visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Tōkyō-to Chūō-ku Ginza,total_area_visitors,total_genre_visitors
2016-01-02,air_ba495cccc8f0f237,0,0,1,0,0,0,0,-0.9790325762633718,-0.7752387743648635,1.0,0.5467158078869613,-1.047927119771746,1,8.0,1,1,-1.8385146282769786,-1.8385146282769784
2016-01-03,air_ba495cccc8f0f237,0,0,0,1,0,0,0,-0.7291329567725989,-0.4275191984023295,1.0,0.7461504824341414,-1.0001107798361957,1,13.0,1,1,-1.70122540930311,-1.7012254093031098
2016-01-04,air_ba495cccc8f0f237,0,1,0,0,0,0,0,-0.7416279377471378,-0.5517047612460917,0.0,0.8957264883445263,-0.8327535900617707,1,12.0,1,1,-1.5024367446550737,-1.5024367446550735
2016-01-05,air_ba495cccc8f0f237,0,0,0,0,0,1,0,-0.5292132611799808,-0.5268676486773392,0.0,0.7710798167525388,-0.7490749951745583,1,17.0,1,1,-1.371527136228318,-1.3715271362283177
2016-01-06,air_ba495cccc8f0f237,0,0,0,0,0,0,1,-0.7791128806707536,-1.036028456336764,0.0,-1.3229842659928508,-0.5099932954968083,1,17.0,1,1,-1.3069654774915358,-1.3069654774915356
2016-01-07,air_ba495cccc8f0f237,0,0,0,0,1,0,0,-0.804102842619831,-0.8373315557867447,0.0,-0.12637621870977112,-0.8207995050778832,1,18.0,1,1,-1.2373001303170634,-1.2373001303170634
2016-01-08,air_ba495cccc8f0f237,1,0,0,0,0,0,0,-1.0415074811360652,-1.085702681474269,0.0,0.8458678197077311,-0.9881566948523083,1,30.0,1,1,-0.9007118778513894,-0.9007118778513893
2016-01-09,air_ba495cccc8f0f237,0,0,1,0,0,0,0,-0.9790325762633718,-0.9987727874836356,0.0,0.8957264883445263,-1.0240189498039707,1,20.0,1,1,-0.6409341363729542,-0.6409341363729539
2016-01-10,air_ba495cccc8f0f237,0,0,0,1,0,0,0,-0.90406269041614,-0.8373315557867447,0.0,0.9455851569813211,-1.0718352897395207,1,20.0,1,1,-0.9285269798368014,-0.9285269798368013
2016-01-11,air_ba495cccc8f0f237,0,1,0,0,0,0,0,-1.004022538212449,-1.135376906611774,1.0,-0.5003162334857335,-0.9044780999650958,1,5.0,1,1,-1.292675149866003,-1.292675149866003
