visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,total_area_visitors,total_genre_visitors
2016-07-01,air_baf28ac9f13a307d,1,0,0,0,0,0,0,1.0723120760602582,1.0824587211777814,0.0,0.9694013857197818,1.038822126897693,1,3.0,1,1,1.3824079351100957,1.3824079351100966
2016-07-02,air_baf28ac9f13a307d,0,0,1,0,0,0,0,1.28964375785784,1.319327928751774,0.0,1.8001835073284536,1.1901045450971468,1,8.0,1,1,1.542469496848346,1.5424694968483468
2016-07-04,air_baf28ac9f13a307d,0,1,0,0,0,0,0,1.354843262397114,1.3296265899506434,0.0,1.2186360222023835,1.3521928503108471,1,4.0,1,1,-1.2325691106088252,-1.2325691106088248
2016-07-05,air_baf28ac9f13a307d,0,0,0,0,0,1,0,1.354843262397114,1.5047038303314204,0.0,1.6894125577806307,1.2873575282253669,1,15.0,1,1,-0.5613061495390832,-0.5613061495390826
2016-07-06,air_baf28ac9f13a307d,0,0,0,0,0,0,1,1.2570440055882026,1.1957439943653425,0.0,1.2740214969762946,1.2549398671826266,1,12.0,1,1,-0.09873589456347082,-0.09873589456347022
2016-07-07,air_baf28ac9f13a307d,0,0,0,0,1,0,0,1.3222435101274772,1.3399252511495128,0.0,1.6063343456197632,1.30896930225386,1,19.0,1,1,-0.16613023634799712,-0.16613023634799653
2016-07-08,air_baf28ac9f13a307d,1,0,0,0,0,0,0,1.039712323790621,0.8867841583992652,0.0,-1.4952522417192777,0.9847926918264593,1,19.0,1,1,1.174863996205475,1.1748639962054759
2016-07-09,air_baf28ac9f13a307d,0,0,1,0,0,0,0,0.7463145533638861,0.5572270000354488,0.0,-1.1906321304627647,0.8335102736270059,1,14.0,1,1,1.4808189910113643,1.4808189910113652
2016-07-11,air_baf28ac9f13a307d,0,1,0,0,0,0,0,1.2353108374084445,1.2369386391608201,0.0,0.08323378933719858,1.27655164121112,1,9.0,1,1,-1.283497789343723,-1.2834977893437225
2016-07-12,air_baf28ac9f13a307d,0,0,0,0,0,1,0,1.180977916959049,1.0000694315868268,0.0,-1.2460176052366763,1.2873575282253669,1,28.0,1,1,-0.5459892536789636,-0.545989253678963
2016-07-13,air_baf28ac9f13a307d,0,0,0,0,0,0,1,1.1483781646894118,0.8558881748026572,0.0,-1.4675595043323222,1.2873575282253669,1,8.0,1,1,-0.4720852311538864,-0.47208523115388584
2016-07-14,air_baf28ac9f13a307d,0,0,0,0,1,0,0,1.0940452442400164,1.1339520271721277,0.0,0.2216974762719772,1.1792986580829,1,13.0,1,1,-0.251521930768164,-0.25152193076816337
2016-07-15,air_baf28ac9f13a307d,1,0,0,0,0,0,0,0.8767135624424349,0.6499149508252721,0.0,-1.4398667669453664,1.038822126897693,1,20.0,1,1,0.9581299197847826,0.9581299197847833
2016-07-16,air_baf28ac9f13a307d,0,0,1,0,0,0,0,1.0288457397007418,1.0103680927856962,0.0,-0.22138632191931454,0.9739868048122129,1,5.0,1,1,1.420700174760395,1.4207001747603958
2016-07-19,air_baf28ac9f13a307d,0,0,0,0,0,1,0,1.191844501048928,1.2369386391608201,0.0,1.8555689821023649,1.1144633359974196,1,10.0,1,1,-0.9051704615987685,-0.905170461598768
2016-07-20,air_baf28ac9f13a307d,0,0,0,0,0,0,1,1.1375115805995326,1.2987306063540351,0.0,2.2432673055197454,0.9955985788407062,1,26.0,1,1,-0.4134981044889289,-0.4134981044889283
2016-07-21,air_baf28ac9f13a307d,0,0,0,0,1,0,0,1.1049118283298955,1.1339520271721277,0.0,0.9694013857197818,1.0064044658549527,1,21.0,1,1,-0.18795681294866756,-0.18795681294866698
2016-07-22,air_baf28ac9f13a307d,1,0,0,0,0,0,0,1.1375115805995326,1.3090292675529047,0.0,1.246328759589339,1.0064044658549527,1,22.0,1,1,1.0232267271902908,1.0232267271902917
2016-07-23,air_baf28ac9f13a307d,0,0,1,0,0,0,0,1.0831786601501372,1.1442506883709964,0.0,1.3017142343632504,1.0496280139119396,1,11.0,1,1,1.3460303074423117,1.3460303074423126
2016-07-25,air_baf28ac9f13a307d,0,1,0,0,0,0,0,1.0505789078805003,0.917680141995873,0.0,-1.162939393075809,1.2225222061398864,1,9.0,1,1,-1.1360726666900718,-1.1360726666900713
2016-07-26,air_baf28ac9f13a307d,0,0,0,0,0,1,0,0.9527796510715884,0.763200224012834,0.0,-1.4952522417192777,1.0928515619689263,1,22.0,1,1,-0.3889910711127375,-0.38899107111273695
2016-07-27,air_baf28ac9f13a307d,0,0,0,0,0,0,1,1.1266449965096537,1.1339520271721277,0.0,0.4155466379806673,1.0820456749546798,1,23.0,1,1,-0.18106420981161375,-0.18106420981161314
2016-07-28,air_baf28ac9f13a307d,0,0,0,0,1,0,0,1.2353108374084445,1.206042655564212,0.0,-0.22138632191931454,1.2225222061398864,1,14.0,1,1,0.04907215048668345,0.049072150486684084
2016-07-29,air_baf28ac9f13a307d,1,0,0,0,0,0,0,1.2244442533185653,1.2163413167630814,0.0,0.7755522240110915,1.1792986580829,1,26.0,1,1,1.2751896640892586,1.2751896640892593
2016-07-30,air_baf28ac9f13a307d,0,0,1,0,0,0,0,1.3113769260375978,1.453210524337074,0.0,1.8278762447154093,1.3413869632966002,1,7.0,1,1,1.3961931413842035,1.3961931413842044
2016-08-02,air_baf28ac9f13a307d,0,0,0,0,0,1,0,1.333110094217356,1.319327928751774,0.0,0.2216974762719772,1.3738046243393403,1,4.0,1,1,-0.8282030599016674,-0.828203059901667
2016-08-03,air_baf28ac9f13a307d,0,0,0,0,0,0,1,1.3222435101274772,1.3708212347461204,0.0,0.7755522240110915,1.2657457541968735,1,8.0,1,1,-0.36678157211556406,-0.3667815721155635
2016-08-04,air_baf28ac9f13a307d,0,0,0,0,1,0,0,1.4091761828465095,1.51500249153029,0.0,1.2186360222023835,1.2981634152396135,1,10.0,1,1,-0.23620503490804437,-0.23620503490804376
2016-08-05,air_baf28ac9f13a307d,1,0,0,0,0,0,0,1.4091761828465095,1.5047038303314204,0.0,1.080172335267605,1.4386399464248203,1,18.0,1,1,0.8470824247989154,0.847082424798916
2016-08-06,air_baf28ac9f13a307d,0,0,1,0,0,0,0,1.3765764305768726,1.5664957975246363,0.0,0.4709321127545786,1.4710576074675603,1,4.0,1,1,0.5974170222789656,0.5974170222789663
2016-08-09,air_baf28ac9f13a307d,0,0,0,0,0,1,0,1.4200427669363886,1.4017172183427278,0.0,1.3847924465241177,1.4386399464248203,1,21.0,1,1,-0.31508704858766035,-0.3150870485876598
2016-08-10,air_baf28ac9f13a307d,0,0,0,0,0,0,1,1.3005103419477186,1.391418557143859,0.0,1.8278762447154093,1.2549398671826266,1,23.0,1,1,0.7199521891599225,0.7199521891599233
2016-08-17,air_baf28ac9f13a307d,0,0,0,0,0,0,1,1.2461774214983232,1.2266399779619508,0.0,-0.664470120110606,1.2441339801683802,1,14.0,1,1,-0.846583334933811,-0.8465833349338104
2016-08-18,air_baf28ac9f13a307d,0,0,0,0,1,0,0,1.3983095987566305,1.473807846734813,0.0,0.2216974762719772,1.3305810762823533,1,14.0,1,1,-0.5624549167285922,-0.5624549167285916
2016-08-19,air_baf28ac9f13a307d,1,0,0,0,0,0,0,1.474375687385784,1.6900797319110676,0.0,0.6093957996893572,1.4494458334390672,1,16.0,1,1,0.8091731075451193,0.8091731075451201
2016-08-20,air_baf28ac9f13a307d,0,0,1,0,0,0,0,1.5395751919250587,1.6385864259167213,0.0,1.3847924465241177,1.4278340594105738,1,8.0,1,1,0.6881696302501743,0.6881696302501751
2016-08-23,air_baf28ac9f13a307d,0,0,0,0,0,1,0,1.3983095987566305,1.4635091855359437,0.0,0.027848314563287076,1.4494458334390672,1,18.0,1,1,-0.6290834137201124,-0.6290834137201119
2016-08-24,air_baf28ac9f13a307d,0,0,0,0,0,0,1,1.3005103419477186,1.4223145407404667,0.0,-0.41523548362800455,1.3305810762823533,1,21.0,1,1,-0.4334100691070844,-0.43341006910708385
2016-08-25,air_baf28ac9f13a307d,0,0,0,0,1,0,0,1.333110094217356,1.4635091855359437,0.0,0.9417086483328262,1.2981634152396135,1,7.0,1,1,-0.30015307512404377,-0.30015307512404316
2016-08-26,air_baf28ac9f13a307d,1,0,0,0,0,0,0,1.3439766783072353,1.4017172183427278,0.0,1.2740214969762946,1.3197751892681069,1,18.0,1,1,1.1158939471440146,1.1158939471440155
2016-08-27,air_baf28ac9f13a307d,0,0,1,0,0,0,0,1.0940452442400164,1.0824587211777814,0.0,0.19400473888502132,1.1901045450971468,1,9.0,1,1,1.18060783215302,1.1806078321530207
2016-08-29,air_baf28ac9f13a307d,0,1,0,0,0,0,0,0.7680477215436441,0.6705122732230104,0.0,-1.4952522417192777,0.725451403484539,1,2.0,1,1,-1.4707468412336853,-1.4707468412336848
2016-08-30,air_baf28ac9f13a307d,0,0,0,0,0,1,0,0.7897808897234022,0.6705122732230104,0.0,1.3017142343632504,0.7578690645272792,1,11.0,1,1,-0.6562709038718247,-0.6562709038718243
2016-08-31,air_baf28ac9f13a307d,0,0,0,0,0,0,1,1.1049118283298955,1.0309654151834347,0.0,1.9109544568762766,1.1468809970401597,1,16.0,1,1,-0.2147613807038769,-0.21476138070387632
2016-09-01,air_baf28ac9f13a307d,0,0,0,0,1,0,0,1.1483781646894118,1.1236533659732582,0.0,1.4124851839110732,1.0172103528691996,1,23.0,1,1,-0.6191274314110347,-0.6191274314110342
2016-09-02,air_baf28ac9f13a307d,1,0,0,0,0,0,0,1.159244748779291,1.278133283956297,0.0,1.5232561334588963,0.9955985788407062,1,26.0,1,1,0.6180948316901271,0.6180948316901278
2016-09-03,air_baf28ac9f13a307d,0,0,1,0,0,0,0,1.2570440055882026,1.2575359615585584,0.0,0.027848314563287076,1.1901045450971468,1,5.0,1,1,1.216219615027798,1.2162196150277989
2016-09-06,air_baf28ac9f13a307d,0,0,0,0,0,1,0,1.0831786601501372,1.1648480107687351,0.0,-0.4429282210149603,1.2009104321113933,1,17.0,1,1,-0.6562709038718247,-0.6562709038718243
2016-09-07,air_baf28ac9f13a307d,0,0,0,0,0,0,1,1.2353108374084445,1.3399252511495128,0.0,0.8309376987850032,1.1360751100259132,1,19.0,1,1,-0.5570940031775503,-0.5570940031775498
2016-09-08,air_baf28ac9f13a307d,0,0,0,0,1,0,0,0.9853794033412256,0.7323042404162262,0.0,-1.1906321304627647,1.038822126897693,1,13.0,1,1,-0.40583965655886906,-0.4058396565588685
2016-09-09,air_baf28ac9f13a307d,1,0,0,0,0,0,0,0.8767135624424349,0.8764854972003957,0.0,0.2216974762719772,0.9523750307837192,1,27.0,1,1,0.9435788687176689,0.9435788687176697
2016-09-10,air_baf28ac9f13a307d,0,0,1,0,0,0,0,0.8767135624424349,1.0000694315868268,0.0,1.6063343456197632,0.7470631775130323,1,3.0,1,1,1.4651191727547417,1.4651191727547426
2016-09-12,air_baf28ac9f13a307d,0,1,0,0,0,0,0,1.0940452442400164,0.9794721091890883,0.0,-1.1075539183018976,1.0496280139119396,1,18.0,1,1,-1.3554871998862852,-1.3554871998862847
2016-09-13,air_baf28ac9f13a307d,0,0,0,0,0,1,0,0.8115140579031602,0.47483771044449463,0.0,-1.4952522417192777,1.0172103528691996,1,19.0,1,1,-0.8247567583331405,-0.82475675833314
2016-09-14,air_baf28ac9f13a307d,0,0,0,0,0,0,1,0.8441138101727975,0.6602136120241414,0.0,-1.2460176052366763,0.9955985788407062,1,20.0,1,1,-0.42000778522947974,-0.4200077852294792
2016-09-15,air_baf28ac9f13a307d,0,0,0,0,1,0,0,0.8441138101727975,0.6808109344218799,0.0,-0.969090231367119,0.9415691437694728,1,18.0,1,1,-0.08724822266838111,-0.0872482226683805
2016-09-16,air_baf28ac9f13a307d,1,0,0,0,0,0,0,0.9527796510715884,0.9897707703879578,0.0,-0.3875427462410488,0.9199573697409795,1,33.0,1,1,0.8738869925541247,0.8738869925541254
2016-09-17,air_baf28ac9f13a307d,0,0,1,0,0,0,0,1.1483781646894118,1.0206667539845655,0.0,-0.41523548362800455,1.1901045450971468,1,3.0,1,1,1.3475619970283237,1.3475619970283246
2016-09-20,air_baf28ac9f13a307d,0,0,0,0,0,1,0,0.4311836147573926,0.07318992368859321,0.0,-1.4952522417192777,0.6606160813990587,1,13.0,1,1,-1.8544350825296816,-1.8544350825296811
2016-09-21,air_baf28ac9f13a307d,0,0,0,0,0,0,1,0.5833157920156999,0.5160323552399716,0.0,-1.4398667669453664,0.6930337424417988,1,10.0,1,1,0.35349545570656077,0.35349545570656143
2016-09-23,air_baf28ac9f13a307d,1,0,0,0,0,0,0,0.605048960195458,0.5160323552399716,0.0,-1.052168443527986,0.7578690645272792,1,14.0,1,1,0.16433179183408356,0.1643317918340842
2016-09-24,air_baf28ac9f13a307d,0,0,1,0,0,0,0,0.5507160397460625,0.3924484208535405,0.0,-1.162939393075809,0.6498101943848122,1,6.0,1,1,1.1155110247475115,1.1155110247475124
2016-09-26,air_baf28ac9f13a307d,0,1,0,0,0,0,0,0.8767135624424349,0.8764854972003957,0.0,-0.7198555948845176,0.8875397086982394,1,18.0,1,1,-1.121521615622958,-1.1215216156229575
2016-09-27,air_baf28ac9f13a307d,0,0,0,0,0,1,0,1.1049118283298955,1.1133547047743888,0.0,-0.41523548362800455,0.9739868048122129,1,26.0,1,1,-0.48242413585946714,-0.4824241358594666
2016-09-28,air_baf28ac9f13a307d,0,0,0,0,0,0,1,0.9636462351614675,0.8043948688083109,0.0,-1.3567885547844991,1.060433900926186,1,24.0,1,1,-0.36448403773654614,-0.3644840377365456
2016-09-29,air_baf28ac9f13a307d,0,0,0,0,1,0,0,0.605048960195458,0.47483771044449463,0.0,-1.4952522417192777,0.6930337424417988,1,14.0,1,1,-0.24003425887307425,-0.24003425887307367
2016-09-30,air_baf28ac9f13a307d,1,0,0,0,0,0,0,0.5724492079258207,0.6499149508252721,0.0,-0.2767717966932258,0.5525572112565919,1,29.0,1,1,1.185585823307559,1.1855858233075596
2016-10-01,air_baf28ac9f13a307d,0,0,1,0,0,0,0,0.7463145533638861,0.6190189672286641,0.0,-0.969090231367119,0.7686749515415257,1,4.0,1,1,1.220431761389331,1.2204317613893318
2016-10-03,air_baf28ac9f13a307d,0,1,0,0,0,0,0,0.7028482170043695,0.6087203060297951,0.0,-1.4952522417192777,0.725451403484539,1,16.0,1,1,-1.5798797242370375,-1.579879724237037
2016-10-04,air_baf28ac9f13a307d,0,0,0,0,0,1,0,0.6919816329144907,0.7426029016150952,0.0,-0.969090231367119,0.7578690645272792,1,20.0,1,1,-0.7171555649158002,-0.7171555649157997
