visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Niigata-ken Niigata-shi Teraohigashi,total_area_visitors,total_genre_visitors
2016-07-01,air_bb09595bab7d5cfb,1,0,0,0,0,0,0,1.1480831566300096,1.1707194438332402,0.0,1.250071655120672,1.035713472418082,1,29.0,1,1,1.378890736516869,1.3788907365168688
2016-07-02,air_bb09595bab7d5cfb,0,0,1,0,0,0,0,1.3573752046281884,1.6348280022702726,0.0,-0.5849108762086026,1.3234642885225296,1,35.0,1,1,1.535083887016471,1.535083887016471
2016-07-03,air_bb09595bab7d5cfb,0,0,0,1,0,0,0,0.8760034942323771,0.5855390875430694,0.0,-1.0253066837276283,1.131630411119565,1,65.0,1,1,-0.41508848728358333,-0.41508848728358333
2016-07-04,air_bb09595bab7d5cfb,0,1,0,0,0,0,0,0.8760034942323771,0.7368788348594929,0.0,-1.0253066837276283,1.003741159517588,1,37.0,1,1,-1.1728868346835661,-1.1728868346835661
2016-07-05,air_bb09595bab7d5cfb,0,0,0,0,0,1,0,0.760892867833379,0.6460749864696386,0.0,-0.9519073824744575,0.9930837218840901,1,4.0,1,1,-0.5178471389280583,-0.5178471389280583
2016-07-07,air_bb09595bab7d5cfb,0,0,0,0,1,0,0,0.8341450846327415,0.6662536194451619,0.0,-0.9519073824744575,1.0463709100515803,1,7.0,1,1,-0.13222194439315585,-0.13222194439315588
2016-07-08,air_bb09595bab7d5cfb,1,0,0,0,0,0,0,0.917861903832013,0.8276826832493468,0.0,-0.5359780087064886,0.9611114089835958,1,21.0,1,1,1.1763627758212127,1.1763627758212127
2016-07-09,air_bb09595bab7d5cfb,0,0,1,0,0,0,0,0.917861903832013,0.8377719997371085,0.0,-0.9274409487234004,1.1636027240200588,1,42.0,1,1,1.4749233673264328,1.4749233673264328
2016-07-10,air_bb09595bab7d5cfb,0,0,0,1,0,0,0,1.053901735030829,1.0496476459801012,0.0,0.932008016356931,1.184917599287055,1,31.0,1,1,-0.2574006654873345,-0.2574006654873345
2016-07-11,air_bb09595bab7d5cfb,0,1,0,0,0,0,0,0.917861903832013,0.7873254172983006,0.0,0.7852094138505891,1.0783432229520746,1,16.0,1,1,-1.2225846552970758,-1.2225846552970758
2016-07-12,air_bb09595bab7d5cfb,0,0,0,0,0,1,0,1.0015787230312843,0.9588437975902473,0.0,2.3510611739182368,0.8865093455491095,1,10.0,1,1,-0.5029004259615892,-0.5029004259615892
2016-07-17,air_bb09595bab7d5cfb,0,0,0,1,0,0,0,1.1376185542301005,1.0193796965168167,0.0,-0.9763738162255144,1.3128068508890318,1,16.0,1,1,0.4932979932535755,0.49329799325357543
2016-07-18,air_bb09595bab7d5cfb,0,1,0,0,0,0,0,1.032972530231011,0.9790224305657703,1.0,0.32034717258050616,1.2382047874545454,1,44.0,1,1,-1.0282773867329777,-1.0282773867329777
2016-07-19,air_bb09595bab7d5cfb,0,0,0,0,0,1,0,1.0120433254311934,0.9386651646147242,0.0,0.6628772450953041,1.184917599287055,1,8.0,1,1,-0.8534008450252893,-0.8534008450252893
2016-07-20,air_bb09595bab7d5cfb,0,0,0,0,0,0,1,0.9492557110317396,0.8175933667615854,0.0,0.883075148854817,1.1955750369205531,1,13.0,1,1,-0.37361135880163165,-0.37361135880163165
2016-07-21,air_bb09595bab7d5cfb,0,0,0,0,1,0,0,0.9806495182314665,0.8478613162248698,0.0,0.29588073882944926,1.1209729734860667,1,82.0,1,1,-0.1535210103703743,-0.15352101037037433
2016-07-22,air_bb09595bab7d5cfb,1,0,0,0,0,0,0,1.085295542230556,1.029469013004578,0.0,1.861732498897097,1.0570283476850781,1,39.0,1,1,1.0283903174531688,1.0283903174531688
2016-07-23,air_bb09595bab7d5cfb,0,0,1,0,0,0,0,1.064366337430738,1.1505408108577169,0.0,1.9106653663992106,0.9717688466170941,1,53.0,1,1,1.343392293221505,1.3433922932215048
2016-07-24,air_bb09595bab7d5cfb,0,0,0,1,0,0,0,1.210870771029463,1.291791241686379,0.0,1.7883331976439256,1.1103155358525685,1,51.0,1,1,-0.4371348889091253,-0.4371348889091253
2016-07-25,air_bb09595bab7d5cfb,0,1,0,0,0,0,0,1.252729180629099,1.2615232922230943,0.0,0.6628772450953041,1.2701771003550393,1,36.0,1,1,-1.0787225429948109,-1.0787225429948109
