visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Minato-ku Akasaka,total_area_visitors,total_genre_visitors
2016-03-06,air_bb26d6d079594414,0,0,0,1,0,0,0,-0.454860315021913,-0.4833184132395806,0.0,-0.43628260735140006,-0.5117950252014897,1,102.0,1,1,-1.3754842938715863,-1.3754842938715857
2016-03-08,air_bb26d6d079594414,0,0,0,0,0,1,0,-0.11543282918985108,-0.0306753588724022,0.0,0.7965207150276302,-0.0504444917128843,1,11.0,1,1,-1.3264175934869276,-1.3264175934869271
2016-03-09,air_bb26d6d079594414,0,0,0,0,0,0,1,-1.0423309635774045,-0.7937022219485029,0.0,-1.2006206672263988,-1.1601795587530435,1,20.0,1,1,-1.3744347387831444,-1.374434738783144
2016-03-10,air_bb26d6d079594414,0,0,0,0,1,0,0,-1.3817584494094661,-1.6213923785056292,0.0,-1.2006206672263988,-1.1851174254281032,1,13.0,1,1,-1.2498000720306692,-1.2498000720306688
2016-03-11,air_bb26d6d079594414,1,0,0,0,0,0,0,-1.5775819989279634,-1.9317761872145516,0.0,-1.2006206672263988,-1.2599310254532823,1,24.0,1,1,-0.8995110612631863,-0.8995110612631858
2016-03-12,air_bb26d6d079594414,0,0,1,0,0,0,0,-1.4209231593131655,-1.6343250372018343,0.0,-0.8554357369602704,-1.2723999587908121,1,3.0,1,1,-0.7029818709524412,-0.7029818709524408
2016-03-13,air_bb26d6d079594414,0,0,0,1,0,0,0,-1.3034290296020674,-1.5308637676321937,0.0,-1.1759646007788185,-1.1477106254155134,1,5.0,1,1,-1.3235313169937124,-1.323531316993712
2016-03-14,air_bb26d6d079594414,0,1,0,0,0,0,0,-1.4339780626143988,-1.8283149176449107,0.0,-1.2006206672263988,-1.1477106254155134,1,4.0,1,1,-1.5604683782094706,-1.56046837820947
2016-03-15,air_bb26d6d079594414,0,0,0,0,0,1,0,-1.1206603833848032,-0.8971634915181439,0.0,1.6101709077977904,-1.1352416920779835,1,18.0,1,1,-1.2760389492417166,-1.2760389492417161
2016-03-16,air_bb26d6d079594414,0,0,0,0,0,0,1,-1.0423309635774045,-0.9230288089105539,0.0,-0.6088750724844644,-1.2723999587908121,1,24.0,1,1,-1.1836781014588298,-1.1836781014588293
2016-03-17,air_bb26d6d079594414,0,0,0,0,1,0,0,-0.4679152183231461,-0.08240599365722287,0.0,1.6101709077977904,-0.8359872919772664,1,15.0,1,1,-1.134611401074171,-1.1346114010741706
2016-03-18,air_bb26d6d079594414,1,0,0,0,0,0,0,-0.24598186220218252,0.046920593304828104,0.0,0.6732403827897272,-0.6863600919269081,1,30.0,1,1,-0.7462760183506695,-0.746276018350669
2016-03-20,air_bb26d6d079594414,0,0,0,1,0,0,0,-0.42875050841944656,-0.26346321540409406,1.0,0.08149478804779271,-0.5990775585641988,1,3.0,1,1,-0.9477905953315136,-0.9477905953315131
2016-03-23,air_bb26d6d079594414,0,0,0,0,0,0,1,-0.6767936711428764,-0.392789802366145,0.0,0.254087253180857,-0.6988290252644378,1,22.0,1,1,-1.1671476088158699,-1.1671476088158694
2016-03-24,air_bb26d6d079594414,0,0,0,0,1,0,0,-1.3556486428069998,-1.4920657915435782,0.0,-0.8307796705126897,-1.1227727587404537,1,2.0,1,1,-1.2288089702618312,-1.2288089702618308
2016-03-25,air_bb26d6d079594414,1,0,0,0,0,0,0,-1.1206603833848032,-0.8583655154295284,0.0,1.0677374459510167,-1.3222756921409318,1,19.0,1,1,-0.6032741375504611,-0.6032741375504607
2016-03-26,air_bb26d6d079594414,0,0,1,0,0,0,0,-1.1337152866860365,-1.1040860306574254,0.0,0.3280554525235988,-0.9980834253651549,1,16.0,1,1,-0.609309079309002,-0.6093090793090016
