visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Tōkyō-to Chiyoda-ku Kudanminami,total_area_visitors,total_genre_visitors
2016-07-01,air_c88467d88b2c8ecd,1,0,0,0,0,0,0,1.1154708056712652,1.1953213542860717,0.0,-0.19425293928828266,1.0579593765873623,1,12.0,1,1,1.3095984519657233,1.3095984519657224
2016-07-02,air_c88467d88b2c8ecd,0,0,1,0,0,0,0,1.2786213244587383,1.335694471431389,0.0,0.46732279282387373,1.2130572871189333,1,10.0,1,1,1.4871436499427628,1.487143649942762
2016-07-03,air_c88467d88b2c8ecd,0,0,0,1,0,0,0,1.5350007111247674,1.7568138228673404,0.0,0.6525639978152773,1.345998353288852,1,16.0,1,1,-0.7296228291054878,-0.7296228291054885
2016-07-06,air_c88467d88b2c8ecd,0,0,0,0,0,0,1,0.8241305935507772,0.7625042430880097,0.0,-0.27364202714174163,0.8917830438749647,1,8.0,1,1,-0.33333175323807684,-0.33333175323807757
2016-07-07,air_c88467d88b2c8ecd,0,0,0,0,1,0,0,1.325235758398016,1.9088846997747682,0.0,2.028641520608563,1.0468809544065356,1,14.0,1,1,-0.4080876260705145,-0.4080876260705152
2016-07-08,air_c88467d88b2c8ecd,1,0,0,0,0,0,0,1.0805099802168066,1.1017392761891933,0.0,-0.8029026128314666,1.069037798768189,1,15.0,1,1,1.079384343584012,1.0793843435840111
2016-07-09,air_c88467d88b2c8ecd,0,0,1,0,0,0,0,0.7425553341570403,0.5285490478458142,0.0,-1.358626227805678,0.8696261995133117,1,24.0,1,1,1.4187590162721806,1.4187590162721797
2016-07-10,air_c88467d88b2c8ecd,0,0,0,1,0,0,0,1.1154708056712652,1.27720567262084,0.0,1.7375481984792136,0.858547777332485,1,21.0,1,1,-0.5503786340186203,-0.550378634018621
2016-07-12,air_c88467d88b2c8ecd,0,0,0,0,0,1,0,1.2902749329435579,1.335694471431389,0.0,0.308544617116956,1.345998353288852,1,2.0,1,1,-0.8294389093078903,-0.829438909307891
2016-07-13,air_c88467d88b2c8ecd,0,0,0,0,0,0,1,1.0572027632471677,0.8443885614227784,0.0,-1.358626227805678,1.22413570929976,1,6.0,1,1,-0.7474622987586832,-0.7474622987586839
2016-07-14,air_c88467d88b2c8ecd,0,0,0,0,1,0,0,1.1504316311257234,1.464369828814596,0.0,-0.32656808571071405,0.9804104213215769,1,19.0,1,1,-0.5028067149434327,-0.5028067149434333
2016-07-15,air_c88467d88b2c8ecd,1,0,0,0,0,0,0,0.7192481171874013,0.4232692099868264,0.0,-1.358626227805678,0.9471751547790972,1,18.0,1,1,0.8389762525433317,0.838976252543331
2016-07-16,air_c88467d88b2c8ecd,0,0,1,0,0,0,0,0.9406666783989724,0.8560863211848879,0.0,-0.9352177592538979,0.8474693551516587,1,21.0,1,1,1.3520733797114266,1.3520733797114257
2016-07-17,air_c88467d88b2c8ecd,0,0,0,1,0,0,0,1.1504316311257234,0.9847616785680956,0.0,-1.332163198521192,1.2352141314805867,1,19.0,1,1,0.30294266439255724,0.30294266439255646
2016-07-19,air_c88467d88b2c8ecd,0,0,0,0,0,1,0,1.313582149913197,1.3941832702419372,0.0,0.2820815878324699,1.2462925536614131,1,20.0,1,1,-1.2278537315625864,-1.227853731562587
2016-07-20,air_c88467d88b2c8ecd,0,0,0,0,0,0,1,1.1970460650650017,1.1134370359513028,0.0,-0.14132688071931035,1.2019788649381071,1,17.0,1,1,-0.6824756593077572,-0.6824756593077579
2016-07-21,air_c88467d88b2c8ecd,0,0,0,0,1,0,0,0.6726336832481234,0.4583624892731558,0.0,-1.358626227805678,0.9360967325982705,1,20.0,1,1,-0.43229833488556535,-0.432298334885566
2016-07-22,air_c88467d88b2c8ecd,1,0,0,0,0,0,0,0.6260192493088451,0.2711983330793993,0.0,-1.358626227805678,0.880704621694138,1,18.0,1,1,0.9111836297110272,0.9111836297110264
