visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-01-04,air_c9ed65554b6edffb,0,1,0,0,0,0,0,-0.6904985990947654,-0.49328104893469177,0.0,0.41040799113574944,-0.7130555495231746,1,15.0,1,1,-1.5232426256672904,-1.5232426256672904
2016-01-05,air_c9ed65554b6edffb,0,0,0,0,0,1,0,-0.8250176186415504,-0.9721578275215256,0.0,-1.2418100152242282,-0.6055548230238581,1,17.0,1,1,-1.3915536435769553,-1.3915536435769553
2016-01-06,air_c9ed65554b6edffb,0,0,0,0,0,0,1,-0.8739336257494723,-1.0188775132373142,0.0,-1.2418100152242282,-0.7369445998563561,1,15.0,1,1,-1.3266076153725601,-1.3266076153725601
2016-01-07,air_c9ed65554b6edffb,0,0,0,0,1,0,0,-0.9228496328573943,-1.2057562561004689,0.0,-1.1431701342475131,-0.5936102978572675,1,20.0,1,1,-1.2565275137923235,-1.2565275137923235
2016-01-08,air_c9ed65554b6edffb,1,0,0,0,0,0,0,-1.1185136612890816,-1.3926349989636235,0.0,-1.2418100152242282,-0.7966672256893097,1,12.0,1,1,-0.9179353746555753,-0.9179353746555753
2016-01-09,air_c9ed65554b6edffb,0,0,1,0,0,0,0,-1.0695976541811598,-1.3575952346767823,0.0,-1.1924900747358707,-0.7488891250229468,1,36.0,1,1,-0.656611039825242,-0.656611039825242
2016-01-10,air_c9ed65554b6edffb,0,0,0,1,0,0,0,-1.0695976541811598,-1.1473566489557332,0.0,-0.30473114594543504,-0.9519460528549889,1,23.0,1,1,-0.9459160745539116,-0.9459160745539116
2016-01-11,air_c9ed65554b6edffb,0,1,0,0,0,0,0,-1.0206816470732378,-1.007197591808367,1.0,-0.9952103127824405,-0.9877796283547612,1,26.0,1,1,-1.312232209920204,-1.312232209920204
2016-01-12,air_c9ed65554b6edffb,0,0,0,0,0,1,0,-1.1185136612890816,-1.3459153132478352,0.0,-1.1431701342475131,-0.9997241535213518,1,13.0,1,1,-1.366653387704124,-1.366653387704124
2016-01-13,air_c9ed65554b6edffb,0,0,0,0,0,0,1,-1.3264066914977495,-1.5678338203978313,0.0,-0.9952103127824405,-1.1669475058536218,1,31.0,1,1,-1.160263637995295,-1.160263637995295
