visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Adachi-ku Chūōhonchō,total_area_visitors,total_genre_visitors
2016-03-16,air_cadf9cfb510a1d78,0,0,0,0,0,0,1,-1.1810005573362927,-1.0720078976376355,0.0,-0.6638906436097393,-1.3942447184544915,1,12.0,1,1,-1.2217902435731722,-1.221790243573172
2016-03-18,air_cadf9cfb510a1d78,1,0,0,0,0,0,0,-0.37860781396036497,-0.08915700299452248,0.0,0.6297481864244858,-0.8057900360820782,1,6.0,1,1,-0.7791169984892479,-0.7791169984892478
2016-03-19,air_cadf9cfb510a1d78,0,0,1,0,0,0,0,-0.36545383456075964,-0.7050768969708734,0.0,-0.7882789926514917,-0.054571292627933365,1,17.0,1,1,-0.7607939907443224,-0.7607939907443222
2016-03-20,air_cadf9cfb510a1d78,0,0,0,1,0,0,0,-0.5627635255548402,-0.40366928928031853,1.0,0.032684111024074355,-0.7181478493457611,1,22.0,1,1,-0.983060041215375,-0.9830600412153748
2016-03-21,air_cadf9cfb510a1d78,0,1,0,0,0,0,0,-1.0757687221394496,-1.085112576232877,1.0,-0.14145957763437908,-0.893432222818395,1,21.0,1,1,-1.4493673107818845,-1.4493673107818843
2016-03-22,air_cadf9cfb510a1d78,0,0,0,0,0,1,0,-0.8784590311453692,-0.6002394682089413,0.0,0.9282802241246919,-1.0812369086819311,1,13.0,1,1,-1.311015324765853,-1.3110153247658527
2016-03-25,air_cadf9cfb510a1d78,1,0,0,0,0,0,0,-1.259924433733925,-1.006484504661428,0.0,1.0277909033580934,-1.4443259680181013,1,24.0,1,1,-0.6343917923880248,-0.6343917923880247
2016-03-26,air_cadf9cfb510a1d78,0,0,1,0,0,0,0,-1.2730784131335302,-1.2554733979710166,0.0,0.2814608091075792,-1.1187978458546386,1,16.0,1,1,-0.6404994616363333,-0.6404994616363332
2016-03-27,air_cadf9cfb510a1d78,0,0,0,1,0,0,0,-0.9573829075430014,-0.7837049685423222,0.0,0.032684111024074355,-1.0061150343365168,1,10.0,1,1,-1.225507955289534,-1.2255079552895338
2016-03-28,air_cadf9cfb510a1d78,0,1,0,0,0,0,0,-0.838997092946553,-0.6919722183756317,0.0,-0.5643799643763374,-0.6305056626094444,1,11.0,1,1,-1.3484579927663527,-1.3484579927663527
2016-03-29,air_cadf9cfb510a1d78,0,0,0,0,0,1,0,-0.6153794431532618,-0.4560880036612844,0.0,1.1770569222081968,-0.8308306608638829,1,10.0,1,1,-1.0603353347483215,-1.0603353347483215
2016-03-30,air_cadf9cfb510a1d78,0,0,0,0,0,0,1,-0.36545383456075964,-0.27262250332790344,0.0,-0.3653586059095334,-0.5804244130458347,1,16.0,1,1,-1.1498259667778852,-1.149825966777885
2016-03-31,air_cadf9cfb510a1d78,0,0,0,0,1,0,0,-0.36545383456075964,-0.24641314613742052,0.0,1.002913233549743,-0.6430259750003468,1,42.0,1,1,-1.1123832987773854,-1.1123832987773852
2016-04-01,air_cadf9cfb510a1d78,1,0,0,0,0,0,0,-0.6416874019524724,-0.4822973608517678,0.0,-0.19121491725108009,-0.7431884741275662,1,9.0,1,1,-0.8954282650439923,-0.8954282650439921
2016-04-02,air_cadf9cfb510a1d78,0,0,1,0,0,0,0,-0.944228928143396,-1.1506359692090846,0.0,-1.2609547190101509,-0.7932697236911757,1,18.0,1,1,-0.9134857219520348,-0.9134857219520346
2016-04-03,air_cadf9cfb510a1d78,0,0,0,1,0,0,0,-0.6022254637536564,-0.6657628611851487,0.0,-1.2609547190101509,-0.5679041006549322,1,14.0,1,1,-1.4637070559735652,-1.463707055973565
2016-04-04,air_cadf9cfb510a1d78,0,1,0,0,0,0,0,-0.27337597876352215,-0.02363361001831493,0.0,-1.0868110303516973,-0.5428634758731276,1,17.0,1,1,-1.5818771783864904,-1.5818771783864902
2016-04-05,air_cadf9cfb510a1d78,0,0,0,0,0,1,0,-0.9047669899445798,-1.2161593621852922,0.0,-1.2609547190101509,-0.617985350218542,1,19.0,1,1,-1.3673121021850443,-1.367312102185044
2016-04-06,air_cadf9cfb510a1d78,0,0,0,0,0,0,1,-0.40491577275957585,-0.24641314613742052,0.0,0.8038918750829395,-0.8433509732547854,1,11.0,1,1,-1.296941130411055,-1.2969411304110547
2016-04-07,air_cadf9cfb510a1d78,0,0,0,0,1,0,0,-0.5101476079564187,-0.2595178247326618,0.0,-1.1365663699683985,-0.27993691566417667,1,8.0,1,1,-1.418563413703459,-1.4185634137034588
2016-04-08,air_cadf9cfb510a1d78,1,0,0,0,0,0,0,-0.20760608176549505,0.10741317593410017,0.0,-0.16633724744272949,-0.31749785283688403,1,30.0,1,1,-0.8322271658658434,-0.8322271658658433
2016-04-09,air_cadf9cfb510a1d78,0,0,1,0,0,0,0,-0.07606628776944135,0.18604124750554943,0.0,0.6048705166161354,-0.39261972718229843,1,81.0,1,1,-0.7353011104035565,-0.7353011104035564
2016-04-10,air_cadf9cfb510a1d78,0,0,0,1,0,0,0,-0.06291230836983626,0.23845996188651528,0.0,-0.2160925870594305,-0.2298556661005672,1,116.0,1,1,-1.3439436285393422,-1.343943628539342
2016-04-27,air_cadf9cfb510a1d78,0,0,0,0,0,0,1,0.05547350622661236,-0.03673828861355616,0.0,-1.1863217095850995,0.14575370562650522,1,86.0,1,1,-1.2440965138713425,-1.2440965138713422
2016-04-28,air_cadf9cfb510a1d78,0,0,0,0,1,0,0,-0.4312237315587865,-0.8754377187090129,0.0,-1.2609547190101509,-0.09213222980064047,1,39.0,1,1,-0.9896988121374495,-0.9896988121374493
2016-04-29,air_cadf9cfb510a1d78,1,0,0,0,0,0,0,-0.24706801996431127,-0.08915700299452248,1.0,1.0775462429747948,-0.3300181652277864,1,94.0,1,1,-0.8077964888726095,-0.8077964888726094
2016-04-30,air_cadf9cfb510a1d78,0,0,1,0,0,0,0,-0.2207600611651006,-0.049842967208797856,0.0,1.4755889599084024,-0.44270097674590814,1,99.0,1,1,-0.8542678853271306,-0.8542678853271305
2016-05-01,air_cadf9cfb510a1d78,0,0,0,1,0,0,0,0.06862748562621745,0.38261142643417206,0.0,0.9780355637413927,-0.2674166032732743,1,113.0,1,1,-1.1492948651041193,-1.149294865104119
2016-05-02,air_cadf9cfb510a1d78,0,1,0,0,0,0,0,-0.03660434957062561,-0.08915700299452248,0.0,-0.39023627571788394,-0.10465254219154306,1,60.0,1,1,-1.296144477900406,-1.2961444779004059
2016-05-03,air_cadf9cfb510a1d78,0,0,0,0,0,1,0,0.3580150324175355,0.34329739064844744,1.0,0.2317054694908782,0.38363964105365134,1,82.0,1,1,-0.9955409305488749,-0.9955409305488748
2016-05-04,air_cadf9cfb510a1d78,0,0,0,0,0,0,1,0.5816326822108272,0.6447049983390023,1.0,1.0277909033580934,0.5839646393080897,1,129.0,1,1,-1.055289868847545,-1.055289868847545
2016-05-05,air_cadf9cfb510a1d78,0,0,0,0,1,0,0,0.5816326822108272,0.6971237127199682,1.0,1.798998667416959,0.38363964105365134,1,167.0,1,1,-1.2576396065523743,-1.257639606552374
2016-05-06,air_cadf9cfb510a1d78,1,0,0,0,0,0,0,0.05547350622661236,0.054994461553134324,0.0,-1.2360770492018005,0.14575370562650522,1,32.0,1,1,-1.4204222695616397,-1.4204222695616395
2016-05-07,air_cadf9cfb510a1d78,0,0,1,0,0,0,0,0.46324686761437855,0.5660769267675531,0.0,1.5999773089501548,0.17079433040831016,1,99.0,1,1,-0.9700480502081091,-0.9700480502081089
2016-05-08,air_cadf9cfb510a1d78,0,0,0,1,0,0,0,0.4764008470139841,0.6447049983390023,0.0,1.699487988183557,0.39615995344455346,1,124.0,1,1,-1.3296038833476613,-1.329603883347661
2016-05-09,air_cadf9cfb510a1d78,0,1,0,0,0,0,0,0.10808942382503366,-0.03673828861355616,0.0,-1.2609547190101509,0.27095682953552935,1,27.0,1,1,-1.78157140772249,-1.7815714077224898
2016-05-10,air_cadf9cfb510a1d78,0,0,0,0,0,1,0,0.0949354444254281,0.06809914014837602,0.0,-1.2360770492018005,0.2584365171446272,1,40.0,1,1,-1.6100255670960861,-1.610025567096086
2016-05-11,air_cadf9cfb510a1d78,0,0,0,0,0,0,1,0.4895548264135892,0.657809676934244,0.0,-0.8380343322681926,0.2459162047537246,1,61.0,1,1,-1.4092691344125547,-1.4092691344125545
2016-05-12,air_cadf9cfb510a1d78,0,0,0,0,1,0,0,0.5290167646124054,0.7757517842914174,0.0,1.9980200258837628,0.4337208906172608,1,59.0,1,1,-1.2820702835456084,-1.2820702835456081
2016-05-13,air_cadf9cfb510a1d78,1,0,0,0,0,0,0,0.46324686761437855,0.5791816053627947,0.0,1.5004666297167528,0.30851776670823666,1,65.0,1,1,-0.9049880951717795,-0.9049880951717792
2016-05-14,air_cadf9cfb510a1d78,0,0,1,0,0,0,0,0.2790911560199036,0.35640206924368917,0.0,0.9531578939330423,0.04559120649928603,1,57.0,1,1,-0.7353011104035565,-0.7353011104035564
2016-05-15,air_cadf9cfb510a1d78,0,0,0,1,0,0,0,-0.010296390771414496,0.21225060469603235,0.0,1.8487540070336597,-0.19229472892785987,1,107.0,1,1,-1.3848384574193209,-1.3848384574193207
2016-05-16,air_cadf9cfb510a1d78,0,1,0,0,0,0,0,0.17385932082306052,0.1598318903150665,0.0,-0.8131566624598422,0.020550581717481073,1,37.0,1,1,-1.7170425543599264,-1.7170425543599261
2016-05-17,air_cadf9cfb510a1d78,0,0,0,0,0,1,0,0.08178146502582301,-0.2070991103516959,0.0,-1.2609547190101509,0.1081927684537981,1,12.0,1,1,-1.5351402310950863,-1.5351402310950861
2016-05-18,air_cadf9cfb510a1d78,0,0,0,0,0,0,1,0.3053991148191142,0.7233330699104515,0.0,2.0726530353088144,-0.11717285458244543,1,58.0,1,1,-1.3208407057305231,-1.320840705730523
