visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Hyōgo-ken Kōbe-shi Kumoidōri,total_area_visitors,total_genre_visitors
2016-01-03,air_cbe139af83feb388,0,0,0,1,0,0,0,-0.5063579396903493,-0.5348679429126025,1.0,0.47720218044879276,-0.486745878594257,1,4.0,1,1,-1.6117666924075094,-1.6117666924075094
2016-01-04,air_cbe139af83feb388,0,1,0,0,0,0,0,-0.4011519354285148,-0.3124245390404378,0.0,0.1941101658947292,-0.49968841852919577,1,11.0,1,1,-1.4149392994994674,-1.4149392994994674
2016-01-06,air_cbe139af83feb388,0,0,0,0,0,0,1,-0.6115639439521837,-0.7311415345645127,0.0,-0.6294302400807287,-0.486745878594257,1,8.0,1,1,-1.2213965742522785,-1.2213965742522785
2016-01-07,air_cbe139af83feb388,0,0,0,0,1,0,0,-0.756222199812206,-0.8489056895556588,0.0,-0.5522233270205296,-0.6032287380087056,1,16.0,1,1,-1.1524185533743638,-1.1524185533743638
2016-01-08,air_cbe139af83feb388,1,0,0,0,0,0,0,-0.9008804556722282,-1.0059245628771871,0.0,-0.9382578923215253,-0.7844242970978477,1,12.0,1,1,-0.819151119169348,-0.819151119169348
2016-01-09,air_cbe139af83feb388,0,0,1,0,0,0,0,-0.9929357094013332,-0.9535849384366776,0.0,0.8889723834365217,-0.9656198561869898,1,8.0,1,1,-0.5619363746502379,-0.5619363746502379
2016-01-10,air_cbe139af83feb388,0,0,0,1,0,0,0,-0.9008804556722282,-0.8750755017759136,0.0,0.24558144126819537,-0.8879646165773575,1,13.0,1,1,-0.8466917941718853,-0.8466917941718853
2016-01-11,air_cbe139af83feb388,0,1,0,0,0,0,0,-0.8351267030085817,-0.9012453139961683,1.0,-0.29486695015319897,-0.7067690574882153,1,18.0,1,1,-1.207247236636296,-1.207247236636296
2016-01-12,air_cbe139af83feb388,0,0,0,0,0,1,0,-0.9929357094013332,-1.1367736239784605,0.0,0.013960702087597756,-0.9656198561869898,1,6.0,1,1,-1.2608125861825152,-1.2608125861825152
2016-01-13,air_cbe139af83feb388,0,0,0,0,0,0,1,-1.2164984684577314,-1.1760283423088422,0.0,-0.9897291676949914,-1.0562176357315607,1,8.0,1,1,-1.0576685246959099,-1.0576685246959099
2016-01-14,air_cbe139af83feb388,0,0,0,0,1,0,0,-1.2296492189904606,-1.0713490934278238,0.0,-0.037510573285868404,-1.1727004951460094,1,12.0,1,1,-0.9654451634488811,-0.9654451634488811
2016-01-15,air_cbe139af83feb388,1,0,0,0,0,0,0,-1.1507447157940849,-1.123688717868333,0.0,0.9919149341834541,-1.0562176357315607,1,8.0,1,1,-0.690543746909793,-0.690543746909793
2016-01-16,air_cbe139af83feb388,0,0,1,0,0,0,0,-1.1112924641958968,-1.0320943750974416,0.0,0.013960702087597756,-1.0821027156014384,1,9.0,1,1,-0.5437443691439748,-0.5437443691439748
2016-01-17,air_cbe139af83feb388,0,0,0,1,0,0,0,-1.0455387115322503,-1.162943436198715,0.0,-0.5522233270205296,-1.0950452555363768,1,13.0,1,1,-1.1438278841075173,-1.1438278841075173
2016-01-18,air_cbe139af83feb388,0,1,0,0,0,0,0,-0.8088252019431232,-0.8227358773354042,0.0,-0.9897291676949914,-1.1597579552110704,1,8.0,1,1,-1.4258039694545968,-1.4258039694545968
2016-01-20,air_cbe139af83feb388,0,0,0,0,0,0,1,-1.4269104769814,-1.280707591189861,0.0,0.7088229196293901,-1.4703789136495997,1,11.0,1,1,-1.0662591939627564,-1.0662591939627564
2016-01-21,air_cbe139af83feb388,0,0,0,0,1,0,0,-1.2559507200559192,-1.280707591189861,0.0,-0.5779589647072625,-1.237413194820703,1,11.0,1,1,-0.944979157254335,-0.944979157254335
2016-01-22,air_cbe139af83feb388,1,0,0,0,0,0,0,-1.24279996952319,-1.2545377789696064,0.0,0.06543197746106391,-1.0821027156014384,1,16.0,1,1,-0.6384943978224289,-0.6384943978224289
2016-01-23,air_cbe139af83feb388,0,0,1,0,0,0,0,-1.3611567243177536,-1.4769811828417714,0.0,-1.298556819935788,-1.237413194820703,1,13.0,1,1,-0.5657263757973762,-0.5657263757973762
2016-01-24,air_cbe139af83feb388,0,0,0,1,0,0,0,-2.0581465025524066,-2.1050566761278837,0.0,0.1941101658947292,-1.9363103513073936,1,10.0,1,1,-1.25828591875109,-1.25828591875109
