visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Shibuya-ku Jingūmae,total_area_visitors,total_genre_visitors
2016-01-01,air_d97dabf7aae60da5,1,0,0,0,0,0,0,-0.9460097768326313,-0.9323091540293309,1.0,0.91229376850412,-0.919121870778846,1,102.0,1,1,-1.9586058149403456,-1.9586058149403462
2016-01-02,air_d97dabf7aae60da5,0,0,1,0,0,0,0,-0.971081806881828,-0.7702030376059043,1.0,0.5376090665066677,-1.0390147261320752,1,85.0,1,1,-1.8088241552041007,-1.8088241552041013
2016-01-03,air_d97dabf7aae60da5,0,0,0,1,0,0,0,-0.7203615063898614,-0.4210514022323701,1.0,0.7374409075719758,-0.9910575839907835,1,96.0,1,1,-1.6724746916878575,-1.6724746916878581
2016-01-04,air_d97dabf7aae60da5,0,1,0,0,0,0,0,-0.73289752141446,-0.5457484148657752,0.0,0.8873147883709567,-0.8232075864962625,1,84.0,1,1,-1.475046751020286,-1.4750467510202865
2016-01-05,air_d97dabf7aae60da5,0,0,0,0,0,1,0,-0.5197852659962883,-0.520809012339094,0.0,0.7624198877051391,-0.739282587749002,1,43.0,1,1,-1.345033229117251,-1.3450332291172515
2016-01-06,air_d97dabf7aae60da5,0,0,0,0,0,0,1,-0.7705055664882547,-1.0320667641360548,0.0,-1.3358144434805939,-0.49949687704254353,1,41.0,1,1,-1.2809134999915828,-1.2809134999915832
2016-01-07,air_d97dabf7aae60da5,0,0,0,0,1,0,0,-0.7955775965374515,-0.8325515439226068,0.0,-0.1368233970887465,-0.8112183009609396,1,30.0,1,1,-1.211725017575348,-1.2117250175753482
2016-01-08,air_d97dabf7aae60da5,1,0,0,0,0,0,0,-1.0337618820048196,-1.0819455691894169,0.0,0.8373568281046294,-0.9790682984554606,1,39.0,1,1,-0.8774407380624766,-0.8774407380624769
2016-01-09,air_d97dabf7aae60da5,0,0,1,0,0,0,0,-0.971081806881828,-0.9946576603460334,0.0,0.8873147883709567,-1.0150361550614295,1,99.0,1,1,-0.6194411955726334,-0.6194411955726338
2016-01-10,air_d97dabf7aae60da5,0,0,0,1,0,0,0,-0.895865716734238,-0.8325515439226068,0.0,0.9372727486372834,-1.062993297202721,1,104.0,1,1,-0.9050654434960649,-0.9050654434960652
2016-01-11,air_d97dabf7aae60da5,0,1,0,0,0,0,0,-0.9961538369310247,-1.131824374242779,1.0,-0.5115080990861989,-0.8951432997082001,1,75.0,1,1,-1.2667209907779962,-1.2667209907779966
2016-01-12,air_d97dabf7aae60da5,0,0,0,0,0,1,0,-1.4599863928411625,-1.6804912298297614,0.0,-1.3358144434805939,-1.2428325802325648,1,20.0,1,1,-1.320449775658003,-1.3204497756580034
2016-01-13,air_d97dabf7aae60da5,0,0,0,0,0,0,1,-1.3471622576197775,-1.231581984349503,0.0,0.8373568281046294,-1.4586397198683776,1,24.0,1,1,-1.116685893377223,-1.1166858933772235
2016-01-14,air_d97dabf7aae60da5,0,0,0,0,1,0,0,-1.134050002201606,-1.0195970628727145,0.0,0.9372727486372834,-1.3267575789798256,1,57.0,1,1,-1.0241811458243815,-1.0241811458243817
2016-01-15,air_d97dabf7aae60da5,1,0,0,0,0,0,0,-1.1841940622999994,-1.0819455691894169,0.0,0.6874829473056485,-1.1109504393440128,1,21.0,1,1,-0.748440966817555,-0.7484409668175553
2016-01-16,air_d97dabf7aae60da5,0,0,1,0,0,0,0,-1.0713699270786146,-0.9697182578193523,0.0,0.9372727486372834,-1.1349290104146585,1,86.0,1,1,-0.6011936837265934,-0.6011936837265938
2016-01-17,air_d97dabf7aae60da5,0,0,0,1,0,0,0,-1.1591220322508027,-1.3687486982462487,0.0,-0.5614660593525257,-1.0749825827380441,1,94.0,1,1,-1.2031081369813845,-1.203108136981385
2016-01-18,air_d97dabf7aae60da5,0,1,0,0,0,0,0,-1.5352024829887523,-1.668021528566421,0.0,-0.986108721616305,-1.3267575789798256,1,9.0,1,1,-1.4859445705950043,-1.4859445705950047
2016-01-19,air_d97dabf7aae60da5,0,0,0,0,0,1,0,-1.246874137422991,-1.3687486982462487,0.0,0.9372727486372834,-1.2428325802325648,1,41.0,1,1,-1.2499941049191263,-1.2499941049191265
2016-01-20,air_d97dabf7aae60da5,0,0,0,0,0,0,1,-1.3722342876689744,-1.3064001919295463,0.0,0.9622517287704468,-1.4346611487977317,1,47.0,1,1,-1.1253027739711863,-1.1253027739711867
2016-01-21,air_d97dabf7aae60da5,0,0,0,0,1,0,0,-1.209266092349196,-1.2565213868761842,0.0,0.5126300863735043,-1.230843294697242,1,28.0,1,1,-1.0036526949975864,-1.0036526949975868
2016-01-22,air_d97dabf7aae60da5,1,0,0,0,0,0,0,-1.1591220322508027,-1.1567637767694599,0.0,0.6874829473056485,-0.9910575839907835,1,45.0,1,1,-0.6962328079247184,-0.6962328079247186
2016-01-23,air_d97dabf7aae60da5,0,0,1,0,0,0,0,-1.3973063177181708,-1.64308212603974,0.0,-1.285856483214267,-1.0390147261320752,1,47.0,1,1,-0.6232427605405585,-0.6232427605405587
2016-01-24,air_d97dabf7aae60da5,0,0,0,1,0,0,0,-1.4725224078657606,-1.2939304906662057,0.0,0.91229376850412,-1.4946075764743463,1,121.0,1,1,-1.3179153990127195,-1.31791539901272
