visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Suginami-ku Asagayaminami,total_area_visitors,total_genre_visitors
2016-07-01,air_df507aec929ce5f6,1,0,0,0,0,0,0,1.0550751032033585,1.1843055403209155,0.0,-0.5950159326095423,0.9770792992392037,1,11.0,1,1,1.3996112320839922,1.3996112320839922
2016-07-02,air_df507aec929ce5f6,0,0,1,0,0,0,0,1.1761267447703667,1.3053194265011734,0.0,-0.07883415332168817,1.122532668764227,1,12.0,1,1,1.5611903234355378,1.5611903234355378
2016-07-03,air_df507aec929ce5f6,0,0,0,1,0,0,0,1.5392816694713924,1.7673724464621567,0.0,0.4101801638983841,1.2264279327106722,1,68.0,1,1,-0.45622900135804234,-0.45622900135804234
2016-07-04,air_df507aec929ce5f6,0,1,0,0,0,0,0,1.3191877757131951,1.5253446741016419,0.0,0.3286777776950387,1.2368174591053167,1,2.0,1,1,-1.2401581814081248,-1.2401581814081248
2016-07-05,air_df507aec929ce5f6,0,0,0,0,0,1,0,0.592877926311144,0.5022272727594624,0.0,-1.3557048705074324,0.7796782977409574,1,14.0,1,1,-0.5625310351419539,-0.5625310351419539
2016-07-06,air_df507aec929ce5f6,0,0,0,0,0,0,1,0.8129718200693414,0.8102626194001186,0.0,-0.8666905532873602,0.8212364033195358,1,19.0,1,1,-0.0955751921929896,-0.0955751921929896
2016-07-07,air_df507aec929ce5f6,0,0,0,0,1,0,0,1.2641643022736457,1.8553825455023447,0.0,1.4425437224740925,0.9770792992392037,1,10.0,1,1,-0.163608493814693,-0.163608493814693
2016-07-08,air_df507aec929ce5f6,1,0,0,0,0,0,0,1.0220610191396287,1.0852941789007042,0.0,-0.7851881670840148,0.9978583520284926,1,12.0,1,1,1.1900995873171556,1.1900995873171556
2016-07-09,air_df507aec929ce5f6,0,0,1,0,0,0,0,0.6919201785023327,0.41421717371927536,0.0,-1.3557048705074324,0.8420154561088248,1,27.0,1,1,1.4989553145656842,1.4989553145656842
2016-07-10,air_df507aec929ce5f6,0,0,0,1,0,0,0,1.0990938819549978,1.3053194265011734,0.0,1.687050881084128,0.8108468769248911,1,21.0,1,1,-0.2931036986060035,-0.2931036986060035
2016-07-11,air_df507aec929ce5f6,0,1,0,0,0,0,0,1.3081830810252855,1.5363459364816647,0.0,1.4153762604063103,1.0705850367910041,1,8.0,1,1,-1.2915697104745258,-1.2915697104745258
2016-07-12,air_df507aec929ce5f6,0,0,0,0,0,1,0,1.253159607585736,1.3273219512612198,0.0,0.681854784576202,1.2368174591053167,1,15.0,1,1,-0.5470689211370213,-0.5470689211370213
2016-07-13,air_df507aec929ce5f6,0,0,0,0,0,0,1,1.0220610191396287,0.7332537827399547,0.0,-1.3557048705074324,1.1952593535267384,1,38.0,1,1,-0.47246422106322156,-0.47246422106322156
2016-07-14,air_df507aec929ce5f6,0,0,0,0,1,0,0,1.0440704085154484,1.4483358374414776,0.0,-0.18750400159281544,0.9770792992392037,1,13.0,1,1,-0.24980977939219223,-0.24980977939219223
2016-07-15,air_df507aec929ce5f6,1,0,0,0,0,0,0,0.6809154838144227,0.31520581229906425,0.0,-1.3557048705074324,0.966689772844559,1,21.0,1,1,0.9713106741473594,0.9713106741473594
