visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Shizuoka-ken Hamamatsu-shi Motoshirochō,total_area_visitors,total_genre_visitors
2016-02-18,air_df554c4527a1cfe6,0,0,0,0,1,0,0,-0.7542849829410077,-0.4240411393920814,0.0,0.35903435727739735,-0.8480656406375563,1,3.0,1,1,-2.3106845682801076,-2.3106845682801076
2016-11-01,air_df554c4527a1cfe6,0,0,0,0,0,1,0,1.5587529177672055,1.6860933182359057,0.0,-0.5097211539077394,1.6816456880344082,1,2.0,1,1,-0.6973389392195231,-0.697338939219523
2016-11-04,air_df554c4527a1cfe6,1,0,0,0,0,0,0,1.359781915555746,1.4489995589518623,0.0,0.909246181027984,1.4832369563738619,1,63.0,1,1,0.011723526648463411,0.011723526648463637
2016-11-05,air_df554c4527a1cfe6,0,0,1,0,0,0,0,1.658238418872935,1.7572214460211188,0.0,0.967163215106993,1.4832369563738619,1,112.0,1,1,1.0518123923277474,1.0518123923277478
2016-11-06,air_df554c4527a1cfe6,0,0,0,1,0,0,0,2.0561804232958534,2.207699588660802,0.0,0.909246181027984,1.5328391392889986,1,61.0,1,1,-0.481877968928146,-0.48187796892814583
2016-11-07,air_df554c4527a1cfe6,0,1,0,0,0,0,0,1.1856822886207194,1.0459401681689884,0.0,0.3011173231983882,1.2600271332557471,1,10.0,1,1,-1.151765712924973,-1.151765712924973
2016-11-08,air_df554c4527a1cfe6,0,0,0,0,0,1,0,1.285167789726449,1.1170682959542015,0.0,-1.320559631013867,1.4088336820011573,1,30.0,1,1,-0.9953932814559281,-0.995393281455928
2016-11-09,air_df554c4527a1cfe6,0,0,0,0,0,0,1,0.5638979067099095,0.4532057699588795,0.0,0.909246181027984,0.6648009382741086,1,22.0,1,1,-0.7296580847632297,-0.7296580847632295
2016-11-10,air_df554c4527a1cfe6,0,0,0,0,1,0,0,0.5141551561570449,0.1449838828896232,0.0,-1.9576470058829674,0.6399998468165404,1,37.0,1,1,-0.5014653298637257,-0.5014653298637255
2016-11-11,air_df554c4527a1cfe6,1,0,0,0,0,0,0,1.658238418872935,1.8046401978779274,0.0,0.21424177207987455,1.855253328237386,1,66.0,1,1,0.31565407716554233,0.3156540771655426
2016-11-12,air_df554c4527a1cfe6,0,0,1,0,0,0,0,1.5836242930436377,1.7335120700927151,0.0,0.909246181027984,1.65684459657684,1,133.0,1,1,1.5147270224386153,1.5147270224386156
