visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-01-04,air_f911308e19d64236,0,1,0,0,0,0,0,-0.7349231973702384,-0.5427951899182896,0.0,0.8648338064390496,-0.8237677036324091,1,41.0,1,1,-1.5792622523950963,-1.579262252395096
2016-01-05,air_f911308e19d64236,0,0,0,0,0,1,0,-0.5207353804310574,-0.5177157740971273,0.0,0.740665277158497,-0.7396382360273972,1,44.0,1,1,-1.4498282566632914,-1.4498282566632912
2016-01-06,air_f911308e19d64236,0,0,0,0,0,0,1,-0.772721047418329,-1.03184379843095,0.0,-1.3453660147547883,-0.4992683285845058,1,28.0,1,1,-1.3859943367409784,-1.3859943367409782
2016-01-07,air_f911308e19d64236,0,0,0,0,1,0,0,-0.7979196141170564,-0.8312084718616534,0.0,-0.1533481336614825,-0.8117492082602646,1,16.0,1,1,-1.3171142571410122,-1.317114257141012
2016-01-08,air_f911308e19d64236,1,0,0,0,0,0,0,-1.0373059977549643,-1.0820026300732741,0.0,0.8151663947268283,-0.9800081434702886,1,19.0,1,1,-0.984320026399783,-0.9843200263997829
2016-01-09,air_f911308e19d64236,0,0,1,0,0,0,0,-0.9743095810081464,-0.9942246746992071,0.0,0.8648338064390496,-1.0160636295867223,1,18.0,1,1,-0.7274704988072347,-0.7274704988072346
2016-01-10,air_f911308e19d64236,0,0,0,1,0,0,0,-0.8987138809119648,-0.8312084718616534,0.0,0.9145012181512705,-1.0641376110753007,1,77.0,1,1,-1.011821596642993,-1.0118215966429929
2016-01-11,air_f911308e19d64236,0,1,0,0,0,0,0,-0.9995081477068736,-1.1321614617155984,1.0,-0.5258537215031406,-0.8958786758652767,1,38.0,1,1,-1.3718650896435494,-1.3718650896435491
2016-01-12,air_f911308e19d64236,0,0,0,0,0,1,0,-1.465681631633326,-1.6839086097811644,0.0,-1.3453660147547883,-1.244415041657469,1,21.0,1,1,-1.4253543822266734,-1.4253543822266732
2016-01-13,air_f911308e19d64236,0,0,0,0,0,0,1,-1.3522880814890539,-1.232479125000247,0.0,0.8151663947268283,-1.4607479583560716,1,14.0,1,1,-1.2224987631850144,-1.2224987631850142
2016-01-14,air_f911308e19d64236,0,0,0,0,1,0,0,-1.138100264549873,-1.019304090520369,0.0,0.9145012181512705,-1.3285445092624812,1,22.0,1,1,-1.1304063490678433,-1.1304063490678433
2016-01-15,air_f911308e19d64236,1,0,0,0,0,0,0,-1.1884973979473272,-1.0820026300732741,0.0,0.6661641595901652,-1.112211592563879,1,24.0,1,1,-0.8558952626035088,-0.8558952626035087
2016-01-16,air_f911308e19d64236,0,0,1,0,0,0,0,-1.075103847803055,-0.9691452588780448,0.0,0.9145012181512705,-1.136248583308168,1,41.0,1,1,-0.7093043239676832,-0.709304323967683
2016-01-17,air_f911308e19d64236,0,0,0,1,0,0,0,-1.1632988312486001,-1.3704159120166384,0.0,-0.5755211332153616,-1.0761561064474452,1,28.0,1,1,-1.3085357856890016,-1.3085357856890014
2016-01-19,air_f911308e19d64236,0,0,0,0,0,1,0,-1.2514938146941452,-1.3704159120166384,0.0,0.9145012181512705,-1.244415041657469,1,30.0,1,1,-1.3552127627072938,-1.3552127627072936
2016-01-20,air_f911308e19d64236,0,0,0,0,0,0,1,-1.377486648187781,-1.307717372463733,0.0,0.9393349240073811,-1.4367109676117824,1,20.0,1,1,-1.231077234637025,-1.2310772346370247
2016-01-21,air_f911308e19d64236,0,0,0,0,1,0,0,-1.2136959646460543,-1.257558540821409,0.0,0.4923282185973916,-1.2323965462853246,1,35.0,1,1,-1.109969402373348,-1.1099694023733477
2016-01-22,air_f911308e19d64236,1,0,0,0,0,0,0,-1.1632988312486001,-1.1572408775367604,0.0,0.6661641595901652,-0.9920266388424333,1,27.0,1,1,-0.8039198179236808,-0.8039198179236806
2016-01-23,air_f911308e19d64236,0,0,1,0,0,0,0,-1.402685214886508,-1.646289486049421,0.0,-1.295698603042567,-1.0401006203310115,1,60.0,1,1,-0.7312551185654745,-0.7312551185654744
2016-01-24,air_f911308e19d64236,0,0,0,1,0,0,0,-1.4782809149826897,-1.295177664553152,0.0,0.8896675122951601,-1.4968034444725051,1,33.0,1,1,-1.422831302387847,-1.4228313023878467
2016-01-26,air_f911308e19d64236,0,0,0,0,0,1,0,-1.4152844982358719,-1.2450188329108278,0.0,0.7903326888707178,-1.5088219398446499,1,15.0,1,1,-1.2759880557681385,-1.2759880557681382
2016-01-27,air_f911308e19d64236,0,0,0,0,0,0,1,-1.1003024145017823,-0.7685099323087482,0.0,0.9890023357196024,-1.4847849491003606,1,36.0,1,1,-1.1256124973740729,-1.1256124973740727
2016-01-28,air_f911308e19d64236,0,0,0,0,1,0,0,-0.9113131642613285,-0.693271684845262,0.0,0.9890023357196024,-1.1001930971917344,1,29.0,1,1,-1.1311632730194914,-1.1311632730194912
2016-01-29,air_f911308e19d64236,1,0,0,0,0,0,0,-1.2136959646460543,-1.4707335753012865,0.0,-1.3453660147547883,-1.0401006203310115,1,20.0,1,1,-0.9893661860774362,-0.9893661860774361
2016-01-30,air_f911308e19d64236,0,0,1,0,0,0,0,-1.4782809149826897,-1.8218453967975556,0.0,-1.3453660147547883,-1.1723040694246019,1,29.0,1,1,-0.6903812251764836,-0.6903812251764835
2016-01-31,air_f911308e19d64236,0,0,0,1,0,0,0,-1.1255009812005095,-1.0443835063415312,0.0,-0.07884701609315092,-1.1963410601688909,1,38.0,1,1,-1.240664938024566,-1.2406649380245658
2016-02-02,air_f911308e19d64236,0,0,0,0,0,1,0,-1.138100264549873,-1.1070820458944364,0.0,0.7654989830146074,-1.0401006203310115,1,4.0,1,1,-1.346129675287518,-1.3461296752875178
2016-02-03,air_f911308e19d64236,0,0,0,0,0,0,1,-1.2640930980435088,-1.295177664553152,0.0,0.4178271010290598,-1.1723040694246019,1,31.0,1,1,-1.2719511280260158,-1.2719511280260156
2016-02-04,air_f911308e19d64236,0,0,0,0,1,0,0,-1.2514938146941452,-1.257558540821409,0.0,0.11982263075573354,-1.22037805091318,1,12.0,1,1,-1.2346095464113822,-1.234609546411382
2016-02-05,air_f911308e19d64236,1,0,0,0,0,0,0,-0.9491110143094192,-0.7810496402193292,0.0,0.8896675122951601,-1.280470527773903,1,9.0,1,1,-0.8637168101038714,-0.8637168101038711
2016-02-06,air_f911308e19d64236,0,0,1,0,0,0,0,-1.0499052811043277,-1.2073997091790847,0.0,-1.0970289561936828,-0.8237677036324091,1,36.0,1,1,-0.6424427082387781,-0.642442708238778
2016-02-07,air_f911308e19d64236,0,0,0,1,0,0,0,-1.2640930980435088,-1.2700982487319898,0.0,0.8648338064390496,-1.1723040694246019,1,34.0,1,1,-1.2479818695571632,-1.247981869557163
2016-02-09,air_f911308e19d64236,0,0,0,0,0,1,0,-1.0625045644536915,-0.6054937294711947,0.0,0.7903326888707178,-1.280470527773903,1,18.0,1,1,-1.2260310749593717,-1.2260310749593715
2016-02-10,air_f911308e19d64236,0,0,0,0,0,0,1,-1.138100264549873,-1.0945423379838553,0.0,1.113170865000155,-1.1602855740524574,1,13.0,1,1,-0.904843011476745,-0.9048430114767448
2016-02-11,air_f911308e19d64236,0,0,0,0,1,0,0,-1.138100264549873,-1.006764382609788,1.0,1.113170865000155,-1.1482670786803126,1,31.0,1,1,-0.9775077108349511,-0.977507710834951
2016-02-12,air_f911308e19d64236,1,0,0,0,0,0,0,-0.9869088643575099,-0.9566055509674638,0.0,-0.7493570742081354,-1.1723040694246019,1,12.0,1,1,-0.9217476463968832,-0.921747646396883
2016-02-13,air_f911308e19d64236,0,0,1,0,0,0,0,-0.1301575966007864,0.28482553218005935,0.0,-0.20301554537370362,-0.3550463841187708,1,44.0,1,1,-0.7335258904204185,-0.7335258904204184
2016-02-14,air_f911308e19d64236,0,0,0,1,0,0,0,0.4368101541205747,0.43530202710703175,0.0,-0.25268295708592453,0.46221130118706,1,19.0,1,1,-1.2653911204450667,-1.2653911204450665
2016-02-16,air_f911308e19d64236,0,0,0,0,0,1,0,-1.1884973979473272,-1.1948600012685036,0.0,0.9890023357196024,-1.2083595555410356,1,8.0,1,1,-1.2863326831073276,-1.2863326831073274
2016-02-17,air_f911308e19d64236,0,0,0,0,0,0,1,-1.1129016978511457,-0.7685099323087482,0.0,0.7654989830146074,-1.1963410601688909,1,5.0,1,1,-1.118800181809241,-1.1188001818092408
2016-02-18,air_f911308e19d64236,0,0,0,0,1,0,0,-1.1129016978511457,-1.1070820458944364,0.0,0.34332598346072823,-1.22037805091318,1,18.0,1,1,-1.1283878851967821,-1.128387885196782
2016-02-19,air_f911308e19d64236,1,0,0,0,0,0,0,-0.6719267806234205,-0.37977898708073593,0.0,0.9641686298634919,-1.0641376110753007,1,21.0,1,1,-0.8119936734079259,-0.8119936734079258
