visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō,total_area_visitors,total_genre_visitors
2016-01-21,air_fa4ffc9057812fa2,0,0,0,0,1,0,0,-1.3096050806105815,-1.3646821698463354,0.0,0.5528757330597025,-1.3235259641129282,1,9.0,1,1,-1.092588876972333,-1.092588876972333
2016-01-22,air_fa4ffc9057812fa2,1,0,0,0,0,0,0,-1.25875574502342,-1.2630473372262307,0.0,0.7261731004764593,-1.081053620067437,1,13.0,1,1,-0.7858357638505273,-0.7858357638505273
2016-01-23,air_fa4ffc9057812fa2,0,0,1,0,0,0,0,-1.5002900890624373,-1.7585171462492408,0.0,-1.2296114746555127,-1.1295480888765352,1,17.0,1,1,-0.7130040271818711,-0.7130040271818711
2016-01-24,air_fa4ffc9057812fa2,0,0,0,1,0,0,0,-1.5765640924431794,-1.4027952320788748,0.0,0.9489840014408613,-1.5902455425629687,1,4.0,1,1,-1.4061699654068254,-1.4061699654068254
2016-01-26,air_fa4ffc9057812fa2,0,0,0,0,0,1,0,-1.5130024229592276,-1.3519778157688225,0.0,0.8499569343455714,-1.6023691597652434,1,3.0,1,1,-1.2589891642222493,-1.2589891642222493
2016-01-27,air_fa4ffc9057812fa2,0,0,0,0,0,0,1,-1.1951940755394679,-0.8692123608233254,0.0,1.048011068536151,-1.5781219253606942,1,10.0,1,1,-1.1082679313940578,-1.1082679313940578
2016-01-28,air_fa4ffc9057812fa2,0,0,0,0,1,0,0,-1.0045090670876122,-0.792986236358247,0.0,1.048011068536151,-1.190166174887908,1,8.0,1,1,-1.1138314668340246,-1.1138314668340246
2016-01-30,air_fa4ffc9057812fa2,0,0,1,0,0,0,0,-1.5765640924431794,-1.9363781033344238,0.0,-1.2791250082031576,-1.2629078781015555,1,13.0,1,1,-0.6720361753057519,-0.6720361753057519
2016-01-31,air_fa4ffc9057812fa2,0,0,0,1,0,0,0,-1.2206187433330489,-1.1487081505286132,0.0,-0.016529902738213618,-1.2871551125061045,1,19.0,1,1,-1.2235848477860969,-1.2235848477860969
2016-02-02,air_fa4ffc9057812fa2,0,0,0,0,0,1,0,-1.2333310772298391,-1.2122299209161786,0.0,0.8252001675717491,-1.1295480888765352,1,7.0,1,1,-1.329292021145466,-1.329292021145466
2016-02-04,air_fa4ffc9057812fa2,0,0,0,0,1,0,0,-1.3477420823009527,-1.3646821698463354,0.0,0.181524231452366,-1.3114023469106537,1,6.0,1,1,-1.2175155363970422,-1.2175155363970422
2016-02-05,air_fa4ffc9057812fa2,1,0,0,0,0,0,0,-1.0426460687779833,-0.8819167149008384,0.0,0.9489840014408613,-1.3720204329220267,1,6.0,1,1,-0.8457702138174424,-0.8457702138174424
2016-02-06,air_fa4ffc9057812fa2,0,0,1,0,0,0,0,-1.1443447399523066,-1.313864753536283,0.0,-1.0315573404649332,-0.9113229792355929,1,10.0,1,1,-0.6239874601424023,-0.6239874601424023
2016-02-07,air_fa4ffc9057812fa2,0,0,0,1,0,0,0,-1.360454416197743,-1.3773865239238485,0.0,0.9242272346670389,-1.2629078781015555,1,4.0,1,1,-1.2309185990478713,-1.2309185990478713
