visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Kōtō-ku Tōyō,total_area_visitors,total_genre_visitors
2016-07-01,air_fb44f566d4f64a4e,1,0,0,0,0,0,0,0.41153585514806684,0.5777831279830693,0.0,0.9779859618201442,0.33308172562457694,1,41.0,1,1,1.6652262208147481,1.6652262208147486
2016-07-02,air_fb44f566d4f64a4e,0,0,1,0,0,0,0,0.24361268209267484,-0.0024082015594034073,0.0,0.4324566818418578,0.37968905997011476,1,32.0,1,1,1.845544162042808,1.8455441620428084
2016-07-03,air_fb44f566d4f64a4e,0,0,0,1,0,0,0,0.48350292931466365,0.7926688055913926,0.0,0.8831113044326163,0.5428147301794974,1,18.0,1,1,-0.405841807500838,-0.4058418075008373
2016-07-04,air_fb44f566d4f64a4e,0,1,0,0,0,0,0,1.011261473203039,1.3298829996122001,0.0,1.0254232905139085,0.8457624034254945,1,16.0,1,1,-1.2806857903010898,-1.2806857903010889
2016-07-05,air_fb44f566d4f64a4e,0,0,0,0,0,1,0,-0.52403610901769,-0.43217955677604997,0.0,-1.204131158093002,-0.22620628652187919,1,15.0,1,1,-0.5244720319929825,-0.5244720319929819
2016-07-06,air_fb44f566d4f64a4e,0,0,0,0,0,0,1,-0.2841458617957012,-0.3892024212543855,0.0,-0.13679126248331092,-0.20290261934910986,1,11.0,1,1,-0.0033618094965801306,-0.0033618094965795486
2016-07-07,air_fb44f566d4f64a4e,0,0,0,0,1,0,0,0.5554700034812596,1.1149973220038767,0.0,1.5472339061453129,0.2864743912790392,1,24.0,1,1,-0.07928515317155267,-0.07928515317155208
2016-07-08,air_fb44f566d4f64a4e,1,0,0,0,0,0,0,0.1476565832038788,0.19098890828808726,0.0,-0.6348832137678335,0.1466523882424249,1,41.0,1,1,1.4314168329065942,1.4314168329065944
2016-07-09,air_fb44f566d4f64a4e,0,0,1,0,0,0,0,-0.2841458617957012,-0.6255766666235414,0.0,-1.204131158093002,-0.06308061631249562,1,23.0,1,1,1.7760915578855887,1.7760915578855891
2016-07-10,air_fb44f566d4f64a4e,0,0,0,1,0,0,0,0.3155797562592708,0.5777831279830693,0.0,1.4286405844109027,-0.08638428348526495,1,32.0,1,1,-0.2237983357347106,-0.22379833573471
2016-07-11,air_fb44f566d4f64a4e,0,1,0,0,0,0,0,0.675415127092254,1.0935087542430457,0.0,1.8792952070016613,0.23986705693350052,1,22.0,1,1,-1.338059680691836,-1.3380596806918352
2016-07-12,air_fb44f566d4f64a4e,0,0,0,0,0,1,0,0.6514261023700556,0.685225966787231,0.0,1.0254232905139085,0.7525477347344188,1,37.0,1,1,-0.507216726612307,-0.5072167266123063
2016-07-13,air_fb44f566d4f64a4e,0,0,0,0,0,0,1,0.38754683042586763,-0.06687390484190055,0.0,-1.204131158093002,0.6826367332161117,1,12.0,1,1,-0.4239598781505473,-0.4239598781505467
2016-07-14,air_fb44f566d4f64a4e,0,0,0,0,1,0,0,0.5794590282034588,1.0505316187213805,0.0,0.005520723597981152,0.16995605541519423,1,18.0,1,1,-0.175483480668819,-0.17548348066881841
2016-07-15,air_fb44f566d4f64a4e,1,0,0,0,0,0,0,-0.3561129359622972,-0.6470652343843732,0.0,-1.204131158093002,0.030134052378579985,1,38.0,1,1,1.1872542617700346,1.187254261770035
2016-07-16,air_fb44f566d4f64a4e,0,0,1,0,0,0,0,0.05170048431508362,0.08354606948392561,0.0,-0.7297578711553616,-0.15629528500357207,1,29.0,1,1,1.7083644842664372,1.7083644842664374
2016-07-17,air_fb44f566d4f64a4e,0,0,0,1,0,0,0,0.3155797562592708,-0.13133960812439768,0.0,-1.204131158093002,0.636029398870574,1,45.0,1,1,0.6428493770097202,0.6428493770097207
2016-07-18,air_fb44f566d4f64a4e,0,1,0,0,0,0,0,1.011261473203039,1.0505316187213805,1.0,0.5747686679231498,0.9389770721165701,1,9.0,1,1,-1.1137407107430535,-1.1137407107430528
2016-07-19,air_fb44f566d4f64a4e,0,0,0,0,0,1,0,0.9392943990364421,0.986065915438884,0.0,1.1677352765952005,0.6826367332161117,1,20.0,1,1,-0.9118536377891492,-0.9118536377891485
2016-07-20,air_fb44f566d4f64a4e,0,0,0,0,0,0,1,0.507491954036862,0.4703402891789077,0.0,0.2901446957605655,0.26317072410626985,1,22.0,1,1,-0.35795833506946323,-0.3579583350694626
2016-07-21,air_fb44f566d4f64a4e,0,0,0,0,1,0,0,-0.4760580595732916,-0.6255766666235414,0.0,-1.204131158093002,-0.08638428348526495,1,10.0,1,1,-0.10387396333901537,-0.10387396333901477
