visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-01-01,air_fe22ef5a9cbef123,1,0,0,0,0,0,0,-1.1550729867367346,-0.9657370117369339,1.0,0.3893784394965552,-1.2357810756029617,1,21.0,1,1,-1.9783389020518736,-1.9783389020518736
2016-01-02,air_fe22ef5a9cbef123,0,0,1,0,0,0,0,-0.6302463657487706,-0.7197671745217407,1.0,-1.097855527222285,-0.6166402074269743,1,37.0,1,1,-1.828005063003943,-1.828005063003943
2016-01-03,air_fe22ef5a9cbef123,0,0,0,1,0,0,0,-0.6302463657487706,-0.6612029275657423,1.0,-0.8995576649931063,-0.5928270971125134,1,14.0,1,1,-1.6911529387944904,-1.6911529387944904
2016-01-08,air_fe22ef5a9cbef123,1,0,0,0,0,0,0,-1.1306624462256667,-1.4108252886025217,0.0,-1.246578923894169,-0.8071450899426628,1,15.0,1,1,-0.8931880435434617,-0.8931880435434617
2016-01-09,air_fe22ef5a9cbef123,0,0,1,0,0,0,0,-1.0818413652035304,-1.3756867404289228,0.0,-1.1970044583368742,-0.7595188693137407,1,39.0,1,1,-0.6342373698534564,-0.6342373698534564
2016-01-10,air_fe22ef5a9cbef123,0,0,0,1,0,0,0,-1.0818413652035304,-1.1648554513873284,0.0,-0.3046640783055702,-0.9619303069866595,1,37.0,1,1,-0.9209145891546706,-0.9209145891546706
2016-01-11,air_fe22ef5a9cbef123,0,1,0,0,0,0,0,-1.0330202841813942,-1.0243012586929323,1.0,-0.9987065961076956,-0.9976499724583512,1,35.0,1,1,-1.2839034018812303,-1.2839034018812303
2016-01-12,air_fe22ef5a9cbef123,0,0,0,0,0,1,0,-1.1306624462256667,-1.363973891037723,0.0,-1.1474299927795795,-1.0095565276155816,1,11.0,1,1,-1.337830261235141,-1.337830261235141
2016-01-13,air_fe22ef5a9cbef123,0,0,0,0,0,0,1,-1.3381520405697456,-1.5865180294705168,0.0,-0.9987065961076956,-1.176248299816809,1,7.0,1,1,-1.1333151908552153,-1.1333151908552153
2016-01-14,air_fe22ef5a9cbef123,0,0,0,0,1,0,0,-1.2283046082699391,-1.4108252886025217,0.0,-0.8251959666571642,-1.1048089688734257,1,17.0,1,1,-1.0404694188543784,-1.0404694188543784
2016-01-15,air_fe22ef5a9cbef123,1,0,0,0,0,0,0,-1.3381520405697456,-1.1531426019961288,0.0,0.9842720261840914,-1.3191269617035752,1,32.0,1,1,-0.763712706698459,-0.763712706698459
