,Unnamed: 0,Unnamed: 0.1,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,0,0,2016-01-01,6.0,11.0,0.7,0.0,9.1,2.9
1,1,1,2016-01-02,4.7,10.5,0.0,0.0,6.8,1.4
2,2,2,2016-01-03,7.0,13.8,1.9,0.0,8.6,1.4
3,3,3,2016-01-04,8.8,14.7,2.7,0.0,5.3,2.2
4,4,4,2016-01-05,8.9,14.1,3.4,0.0,4.5,2.7
5,5,5,2016-01-06,9.2,12.7,5.3,0.0,2.0,2.5
6,6,6,2016-01-07,8.2,11.6,6.3,0.0,5.7,3.6
7,7,7,2016-01-08,5.9,10.1,1.1,0.0,4.3,1.7
8,8,8,2016-01-09,6.2,9.8,1.9,0.0,9.2,2.9
9,9,9,2016-01-10,5.5,11.1,-0.9,0.0,5.6,2.6
10,10,10,2016-01-11,7.7,11.0,5.2,0.0,5.1,2.6
11,11,11,2016-01-12,6.3,9.7,1.9,0.0,2.8,2.8
12,12,12,2016-01-13,4.8,9.5,1.2,0.0,5.0,2.0
13,13,13,2016-01-14,4.7,9.8,-0.2,0.0,6.4,2.1
14,14,14,2016-01-15,5.2,9.4,1.2,0.0,6.6,3.2
15,15,15,2016-01-16,5.4,9.6,1.2,0.0,9.4,3.4
16,16,16,2016-01-17,4.3,9.2,-1.4,4.0,4.3,1.5
17,17,17,2016-01-18,7.1,10.9,3.6,11.0,0.6,3.2
18,18,18,2016-01-19,2.9,5.8,0.5,0.0,9.1,5.4
19,19,19,2016-01-20,2.4,6.1,-0.7,3.5,4.6,3.5
20,20,20,2016-01-21,3.5,7.5,-0.7,0.0,6.4,2.3
21,21,21,2016-01-22,3.4,8.8,-1.1,0.0,8.1,3.0
22,22,22,2016-01-23,1.3,3.9,-1.9,0.0,0.0,1.4
23,23,23,2016-01-24,0.4,2.4,-2.9,0.0,7.6,5.2
24,24,24,2016-01-25,-1.4,2.5,-4.7,2.5,2.5,1.4
25,25,25,2016-01-26,1.5,7.0,-3.8,0.0,9.1,1.2
26,26,26,2016-01-27,4.4,10.4,-0.2,0.0,8.2,2.5
27,27,27,2016-01-28,5.8,12.3,-1.2,0.0,6.7,1.6
28,28,28,2016-01-29,6.7,7.7,5.5,32.5,0.0,1.5
29,29,29,2016-01-30,7.6,10.1,5.4,3.0,0.7,3.1
30,30,30,2016-01-31,7.2,12.0,3.0,0.0,9.3,2.7
31,31,31,2016-02-01,6.4,7.8,4.6,0.0,0.0,1.7
32,32,32,2016-02-02,5.5,11.1,1.1,0.0,7.1,2.9
33,33,33,2016-02-03,4.0,9.9,-0.7,0.0,10.0,3.3
34,34,34,2016-02-04,4.0,10.2,-2.3,0.0,7.8,1.4
35,35,35,2016-02-05,5.7,11.2,-0.1,0.0,8.7,2.4
36,36,36,2016-02-06,5.5,8.9,1.5,0.0,4.2,3.1
37,37,37,2016-02-07,3.9,8.6,0.3,0.0,10.2,4.0
38,38,38,2016-02-08,3.3,10.0,-3.7,0.0,10.2,1.5
39,39,39,2016-02-09,3.2,7.9,-0.4,1.5,2.9,3.2
40,40,40,2016-02-10,3.6,8.2,0.2,1.5,8.3,3.7
41,41,41,2016-02-11,4.9,12.0,-1.4,0.0,10.3,1.7
42,42,42,2016-02-12,6.5,8.6,3.0,0.0,0.0,1.5
43,43,43,2016-02-13,9.6,11.2,7.3,18.5,0.0,1.4
44,44,44,2016-02-14,12.6,17.6,10.3,24.0,0.5,2.4
45,45,45,2016-02-15,6.8,10.6,2.1,0.0,5.4,5.0
46,46,46,2016-02-16,3.9,7.4,1.1,0.0,5.5,2.5
47,47,47,2016-02-17,4.2,7.8,1.2,0.0,8.5,3.4
48,48,48,2016-02-18,4.3,10.5,-1.5,0.0,10.4,1.3
49,49,49,2016-02-19,7.3,14.8,0.4,0.0,9.0,2.2
50,50,50,2016-02-20,7.0,10.2,5.1,25.5,0.0,2.3
51,51,51,2016-02-21,7.4,10.1,3.8,0.0,5.6,5.5
52,52,52,2016-02-22,6.4,9.9,2.0,0.0,0.2,2.1
53,53,53,2016-02-23,8.4,13.7,3.5,0.0,7.4,2.6
54,54,54,2016-02-24,5.3,8.7,1.0,0.0,10.3,5.1
55,55,55,2016-02-25,4.2,10.0,-0.7,0.0,10.7,2.9
56,56,56,2016-02-26,4.2,9.2,0.0,0.0,8.1,3.5
57,57,57,2016-02-27,5.4,11.0,-0.2,0.0,6.9,1.5
58,58,58,2016-02-28,8.3,15.0,2.4,0.0,10.1,1.6
59,59,59,2016-02-29,6.6,10.3,0.5,2.5,1.1,4.1
60,60,60,2016-03-01,2.5,6.7,-1.3,0.0,7.7,4.0
61,61,61,2016-03-02,4.4,9.7,-0.2,0.0,8.1,2.5
62,62,62,2016-03-03,6.6,14.4,-0.3,0.0,7.0,2.2
63,63,63,2016-03-04,9.5,17.8,2.1,0.0,10.5,1.6
64,64,64,2016-03-05,12.3,17.8,8.2,0.0,3.6,1.9
65,65,65,2016-03-06,14.5,19.7,10.7,1.0,0.7,1.8
66,66,66,2016-03-07,15.3,19.3,11.7,1.0,0.8,1.7
67,67,67,2016-03-08,14.5,20.1,9.5,0.0,6.9,3.4
68,68,68,2016-03-09,9.9,12.5,7.7,23.5,0.0,3.2
69,69,69,2016-03-10,7.5,10.9,4.4,0.0,2.7,3.9
70,70,70,2016-03-11,7.1,12.6,3.0,0.0,10.8,3.8
71,71,71,2016-03-12,6.3,12.5,0.4,0.0,11.4,2.7
72,72,72,2016-03-13,7.1,12.8,0.9,2.5,4.5,1.6
73,73,73,2016-03-14,6.4,7.9,4.8,19.5,0.1,3.3
74,74,74,2016-03-15,7.8,12.3,3.5,0.0,11.2,4.9
75,75,75,2016-03-16,6.9,12.1,0.7,0.0,2.4,1.5
76,76,76,2016-03-17,11.2,20.7,2.6,0.0,11.4,1.9
77,77,77,2016-03-18,12.7,18.6,5.9,12.5,5.2,2.5
78,78,78,2016-03-19,14.7,20.6,10.8,36.5,4.1,4.7
79,79,79,2016-03-20,10.4,13.9,7.7,0.0,11.1,7.0
80,80,80,2016-03-21,8.9,14.2,5.5,0.0,11.6,5.2
81,81,81,2016-03-22,9.6,17.0,2.3,0.0,10.6,1.8
82,82,82,2016-03-23,11.6,17.9,5.9,0.0,8.6,3.3
83,83,83,2016-03-24,9.0,13.2,4.9,0.0,9.7,5.4
84,84,84,2016-03-25,6.9,11.5,3.6,0.0,10.6,5.3
