,Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,0,2016-01-01,6.6,11.2,2.5,0.0,9.4,2.4
1,1,2016-01-02,8.8,12.7,5.5,0.0,8.3,2.1
2,2,2016-01-03,10.8,14.3,5.1,0.0,5.7,1.9
3,3,2016-01-04,12.1,15.9,6.7,0.0,8.8,2.1
4,4,2016-01-05,10.0,14.1,6.4,0.0,5.0,2.3
5,5,2016-01-06,9.4,12.1,6.9,0.0,1.6,2.1
6,6,2016-01-07,8.4,12.3,5.4,0.0,7.9,2.5
7,7,2016-01-08,7.1,10.3,4.0,0.0,4.1,1.9
8,8,2016-01-09,6.8,11.4,3.1,0.0,9.1,2.0
9,9,2016-01-10,7.3,11.5,3.6,0.0,8.7,2.4
10,10,2016-01-11,7.4,11.4,4.9,0.0,6.7,2.0
11,11,2016-01-12,6.9,9.3,4.2,0.0,1.0,2.2
12,12,2016-01-13,6.4,10.5,2.9,0.0,9.0,2.3
13,13,2016-01-14,5.6,9.8,1.8,0.0,7.1,1.9
14,14,2016-01-15,5.4,9.8,2.1,0.0,8.6,2.3
15,15,2016-01-16,5.8,10.5,1.9,0.0,9.4,2.1
16,16,2016-01-17,7.1,10.5,0.9,1.0,5.0,2.2
17,17,2016-01-18,8.6,11.9,5.7,22.0,0.9,4.0
18,18,2016-01-19,2.9,6.3,-0.2,0.0,7.7,4.1
19,19,2016-01-20,1.8,5.4,-0.8,4.5,0.4,2.8
20,20,2016-01-21,4.0,8.1,0.0,0.0,7.3,2.1
21,21,2016-01-22,4.4,10.0,1.2,0.0,8.6,2.4
22,22,2016-01-23,2.8,4.9,0.7,0.0,0.0,2.0
23,23,2016-01-24,0.4,3.3,-3.0,0.0,9.6,3.9
24,24,2016-01-25,0.3,4.9,-5.0,0.0,8.8,2.2
25,25,2016-01-26,3.8,8.0,-0.6,0.0,9.4,1.9
26,26,2016-01-27,6.6,11.1,1.8,0.0,7.1,2.3
27,27,2016-01-28,8.5,13.0,3.6,0.0,8.3,2.2
28,28,2016-01-29,7.8,10.2,5.9,33.0,0.0,0.8
29,29,2016-01-30,8.2,10.4,6.2,6.0,0.5,1.8
30,30,2016-01-31,7.3,11.9,3.6,0.0,9.4,2.4
31,31,2016-02-01,6.6,8.1,5.1,0.0,0.0,1.7
32,32,2016-02-02,6.2,11.4,2.3,0.0,8.7,2.5
33,33,2016-02-03,4.6,10.0,0.9,0.0,10.0,2.6
34,34,2016-02-04,5.5,10.4,-0.5,0.0,9.6,1.9
35,35,2016-02-05,7.4,12.2,3.3,0.0,9.0,2.0
36,36,2016-02-06,6.1,9.0,2.5,0.0,2.6,2.2
37,37,2016-02-07,4.6,9.7,1.7,0.0,10.1,3.8
38,38,2016-02-08,5.0,10.9,-1.1,0.0,9.6,1.6
39,39,2016-02-09,5.5,10.3,2.3,0.0,4.7,2.4
40,40,2016-02-10,4.3,9.1,0.9,0.0,10.0,2.6
41,41,2016-02-11,6.6,12.3,-0.2,0.0,9.1,2.2
42,42,2016-02-12,8.8,12.6,4.3,0.0,0.2,1.2
43,43,2016-02-13,11.9,15.8,7.4,20.0,0.2,1.1
44,44,2016-02-14,15.6,21.0,10.9,11.5,1.0,2.2
45,45,2016-02-15,7.4,11.0,1.4,0.0,5.3,2.9
46,46,2016-02-16,3.7,7.8,0.7,0.0,6.6,1.8
47,47,2016-02-17,4.7,9.9,1.6,0.0,7.6,2.5
48,48,2016-02-18,5.5,11.7,0.4,0.0,9.1,1.9
49,49,2016-02-19,8.8,15.0,2.4,0.0,9.9,1.6
50,50,2016-02-20,9.4,14.2,6.1,60.5,0.0,1.7
51,51,2016-02-21,7.7,10.8,3.7,0.0,9.2,3.6
52,52,2016-02-22,6.5,9.9,2.9,0.0,0.6,1.8
53,53,2016-02-23,9.0,13.4,6.1,0.0,4.2,2.2
54,54,2016-02-24,5.8,10.5,0.4,0.0,10.1,2.5
55,55,2016-02-25,4.3,9.9,-0.1,0.0,10.4,2.1
56,56,2016-02-26,4.3,9.5,0.5,0.0,7.6,2.1
57,57,2016-02-27,6.8,11.7,0.5,0.0,8.8,1.6
58,58,2016-02-28,10.2,15.5,5.7,0.0,10.0,2.2
59,59,2016-02-29,8.9,15.6,1.0,3.5,3.9,2.5
60,60,2016-03-01,2.7,7.1,-0.8,0.0,10.0,2.9
61,61,2016-03-02,5.2,10.5,0.0,0.0,9.3,2.7
62,62,2016-03-03,9.0,14.9,0.7,0.0,10.8,2.2
63,63,2016-03-04,11.4,17.9,4.9,0.0,10.7,1.7
64,64,2016-03-05,12.9,17.6,7.8,0.0,5.5,1.5
65,65,2016-03-06,15.7,19.6,13.2,6.5,3.1,2.5
66,66,2016-03-07,14.8,17.4,12.6,33.5,0.0,1.1
67,67,2016-03-08,15.5,21.8,10.3,0.0,9.9,2.0
68,68,2016-03-09,10.8,13.0,8.6,34.5,0.0,2.5
69,69,2016-03-10,7.7,10.8,4.6,0.0,3.4,2.9
70,70,2016-03-11,7.4,12.9,3.8,0.0,5.8,2.5
71,71,2016-03-12,6.8,12.7,0.8,0.0,11.3,2.1
72,72,2016-03-13,8.4,13.9,4.1,1.0,3.8,1.6
73,73,2016-03-14,6.3,7.1,5.3,27.5,0.0,2.1
74,74,2016-03-15,7.9,13.2,4.1,0.0,11.4,3.3
75,75,2016-03-16,7.7,12.9,1.5,0.0,1.8,1.0
76,76,2016-03-17,12.6,20.8,5.2,0.0,11.4,1.9
77,77,2016-03-18,14.6,20.6,8.7,18.0,6.5,2.5
78,78,2016-03-19,15.6,21.5,11.3,54.0,5.4,2.9
79,79,2016-03-20,11.0,15.8,7.8,0.0,11.2,3.6
80,80,2016-03-21,9.3,14.8,5.5,0.0,10.2,4.0
81,81,2016-03-22,10.1,16.9,2.6,0.0,10.9,2.0
82,82,2016-03-23,12.4,18.5,7.3,0.0,6.7,2.3
83,83,2016-03-24,9.5,14.5,4.9,0.0,10.2,3.0
84,84,2016-03-25,7.1,13.2,3.3,0.0,11.4,3.3
85,85,2016-03-26,8.3,14.5,3.4,0.0,9.9,2.7
86,86,2016-03-27,9.3,16.3,3.0,0.0,7.7,1.6
87,87,2016-03-28,11.6,17.6,7.8,3.0,8.1,2.1
88,88,2016-03-29,12.4,17.9,7.5,0.0,8.2,2.3
89,89,2016-03-30,14.1,18.7,8.6,0.0,5.9,1.6
90,90,2016-03-31,14.9,21.4,9.2,0.0,8.9,2.1
91,91,2016-04-01,13.0,14.7,11.3,2.0,0.0,2.1
92,92,2016-04-02,15.1,19.9,11.3,0.0,1.3,1.6
93,93,2016-04-03,16.8,21.0,14.2,1.0,2.5,3.1
94,94,2016-04-04,16.3,20.3,11.6,22.5,1.1,2.1
95,95,2016-04-05,14.2,18.2,11.1,0.0,4.2,2.2
96,96,2016-04-06,15.1,20.1,10.6,0.0,9.8,2.2
97,97,2016-04-07,14.7,17.6,10.4,26.5,0.0,2.6
98,98,2016-04-08,15.2,18.7,12.3,0.0,3.8,2.8
99,99,2016-04-09,16.6,22.6,12.2,0.0,8.1,1.8
100,100,2016-04-10,15.8,20.2,11.0,0.0,0.9,1.4
101,101,2016-04-11,12.4,16.0,6.5,0.0,10.4,3.3
102,102,2016-04-12,11.3,16.9,4.9,0.0,7.3,2.8
103,103,2016-04-13,15.0,20.5,12.2,16.0,1.4,4.6
104,104,2016-04-14,17.7,25.0,14.3,16.0,6.5,2.1
105,105,2016-04-15,15.8,21.6,10.2,0.0,11.7,2.9
106,106,2016-04-16,15.7,21.8,8.2,0.0,11.5,2.3
107,107,2016-04-17,18.5,23.7,14.7,11.5,4.0,3.8
108,108,2016-04-18,15.8,20.8,12.6,0.0,4.0,2.5
109,109,2016-04-19,14.8,21.1,8.5,0.0,11.9,2.7
110,110,2016-04-20,14.9,20.2,8.7,0.0,10.2,2.3
111,111,2016-04-21,15.8,19.2,13.0,31.5,0.3,2.8
112,112,2016-04-22,18.1,23.8,13.6,2.0,11.0,2.4
113,113,2016-04-23,18.2,23.5,14.8,1.5,5.0,1.5
114,114,2016-04-24,17.2,24.2,13.7,2.0,5.2,2.5
115,115,2016-04-25,17.6,22.8,13.0,0.0,7.7,1.9
116,116,2016-04-26,18.5,23.8,13.0,0.0,10.9,1.7
117,117,2016-04-27,17.2,20.4,13.4,8.5,0.0,2.1
118,118,2016-04-28,16.4,21.5,13.4,1.5,1.5,3.0
119,119,2016-04-29,13.7,18.2,9.7,0.0,12.0,3.3
120,120,2016-04-30,15.1,22.5,8.5,0.0,11.9,2.5
121,121,2016-05-01,19.3,26.2,10.9,0.0,8.9,2.0
122,122,2016-05-02,19.2,24.3,14.0,0.0,11.0,2.3
123,123,2016-05-03,19.1,22.7,16.1,6.5,2.2,5.1
124,124,2016-05-04,19.8,25.2,15.2,31.0,10.8,3.4
125,125,2016-05-05,20.0,24.5,16.7,0.0,11.5,3.2
126,126,2016-05-06,16.1,20.7,12.4,8.0,0.0,1.8
127,127,2016-05-07,17.4,23.4,12.5,3.5,4.9,1.9
128,128,2016-05-08,18.7,24.7,13.8,0.0,11.1,2.3
129,129,2016-05-09,16.6,18.7,14.0,9.5,0.0,2.0
130,130,2016-05-10,18.2,22.0,15.4,19.5,0.1,1.0
131,131,2016-05-11,18.5,21.3,14.5,36.5,0.1,2.1
132,132,2016-05-12,18.8,26.0,12.6,0.0,12.3,2.1
133,133,2016-05-13,19.7,25.9,15.3,0.0,10.8,2.1
134,134,2016-05-14,20.8,26.7,16.2,0.0,11.9,2.4
135,135,2016-05-15,18.9,22.6,16.2,0.0,10.6,2.3
136,136,2016-05-16,18.8,24.3,16.2,15.0,1.3,4.1
137,137,2016-05-17,18.2,22.8,14.2,51.0,2.2,2.3
138,138,2016-05-18,19.4,25.4,15.2,0.0,10.4,1.8
139,139,2016-05-19,19.6,25.9,14.5,0.0,10.9,1.9
140,140,2016-05-20,18.3,23.2,15.6,0.0,6.3,1.6
141,141,2016-05-21,19.7,26.8,13.8,0.0,12.1,2.1
142,142,2016-05-22,21.3,28.4,15.3,0.0,12.1,1.8
143,143,2016-05-23,23.2,31.4,16.8,0.0,11.0,1.6
144,144,2016-05-24,22.8,28.7,17.8,0.0,8.5,2.4
145,145,2016-05-25,21.7,24.3,20.5,0.0,0.0,2.3
146,146,2016-05-26,22.5,26.8,19.6,1.5,1.7,1.8
147,147,2016-05-27,22.5,28.6,19.9,3.0,2.7,1.9
148,148,2016-05-28,20.5,23.4,17.4,0.0,0.0,1.3
149,149,2016-05-29,20.0,25.3,16.3,5.5,6.0,2.0
150,150,2016-05-30,18.3,20.5,15.9,4.5,0.0,1.4
151,151,2016-05-31,21.7,27.8,16.6,0.0,9.2,1.8
152,152,2016-06-01,20.4,24.0,16.4,0.0,7.1,3.6
153,153,2016-06-02,20.2,27.0,15.1,0.0,12.4,3.3
154,154,2016-06-03,19.7,25.5,13.2,0.0,11.7,2.0
155,155,2016-06-04,20.8,24.6,17.4,0.0,3.2,1.9
