,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,0.8,7.6,-3.2,0.0,5.7,1.3
1,2016-01-02,1.2,8.8,-4.3,0.0,4.3,0.9
2,2016-01-03,2.7,12.8,-2.4,0.0,4.8,0.8
3,2016-01-04,4.7,12.4,-2.3,0.0,5.8,1.8
4,2016-01-05,4.5,10.8,-1.3,0.0,4.8,2.0
5,2016-01-06,4.8,9.7,0.9,0.0,0.7,1.3
6,2016-01-07,3.5,8.3,0.0,0.0,2.4,2.1
7,2016-01-08,2.3,7.3,-1.5,0.0,4.7,1.4
8,2016-01-09,1.8,8.0,-2.5,0.0,4.8,1.5
9,2016-01-10,1.7,7.2,-3.5,0.0,4.1,2.2
10,2016-01-11,1.9,8.1,-2.7,0.0,4.9,1.3
11,2016-01-12,1.2,6.0,-3.5,0.0,0.1,1.0
12,2016-01-13,-0.7,6.4,-5.4,0.0,4.8,0.9
13,2016-01-14,0.8,5.8,-3.8,0.0,4.1,1.7
14,2016-01-15,1.1,6.1,-3.4,0.0,5.8,2.3
15,2016-01-16,-0.8,6.6,-5.2,0.0,5.3,1.1
16,2016-01-17,0.8,7.2,-5.9,1.0,3.4,0.6
17,2016-01-18,5.4,8.8,1.9,33.5,0.0,2.2
18,2016-01-19,-1.3,2.0,-3.5,0.0,4.1,2.7
19,2016-01-20,-2.7,0.7,-5.8,3.0,0.0,1.9
20,2016-01-21,-1.9,3.0,-7.5,0.0,5.5,1.6
21,2016-01-22,-0.7,5.5,-4.7,0.0,6.3,1.4
22,2016-01-23,-1.8,2.8,-6.0,4.0,0.0,0.2
23,2016-01-24,-4.6,-0.6,-10.2,0.5,3.6,1.8
24,2016-01-25,-4.1,1.3,-10.2,0.0,5.2,2.1
25,2016-01-26,-2.6,4.6,-7.8,0.0,6.4,0.6
26,2016-01-27,-0.1,5.7,-5.4,0.0,4.7,1.7
27,2016-01-28,1.0,9.4,-5.1,0.0,6.3,1.0
28,2016-01-29,3.6,5.8,0.6,36.0,0.0,0.2
29,2016-01-30,4.7,7.6,2.0,6.5,0.0,0.5
30,2016-01-31,2.2,8.4,-1.6,0.0,6.4,0.9
31,2016-02-01,2.3,5.4,-0.7,0.0,0.0,0.6
32,2016-02-02,1.3,7.6,-3.3,0.0,5.6,1.1
33,2016-02-03,-1.4,6.1,-6.0,0.0,6.6,0.7
34,2016-02-04,-0.5,6.2,-6.4,0.0,6.0,1.2
35,2016-02-05,2.2,8.9,-2.3,0.0,6.6,1.8
36,2016-02-06,0.2,5.5,-3.4,0.0,1.1,1.3
37,2016-02-07,-1.1,5.8,-5.6,0.0,6.8,1.1
38,2016-02-08,-1.5,7.3,-7.7,0.0,6.8,0.9
39,2016-02-09,-0.4,3.5,-3.7,1.5,0.3,1.8
40,2016-02-10,0.0,4.3,-4.2,0.0,6.4,3.5
41,2016-02-11,0.1,10.2,-6.9,0.0,6.9,0.8
42,2016-02-12,2.9,8.5,-2.7,0.0,0.0,0.9
43,2016-02-13,7.4,13.4,2.2,26.5,0.3,0.4
44,2016-02-14,13.3,18.1,7.8,48.0,1.9,1.8
45,2016-02-15,4.0,7.9,-1.8,0.0,3.5,2.8
46,2016-02-16,-1.3,3.4,-4.9,0.0,3.7,1.2
47,2016-02-17,-0.5,3.9,-3.8,0.0,0.5,1.4
48,2016-02-18,-0.2,8.5,-5.6,0.0,6.0,0.9
49,2016-02-19,2.7,11.1,-3.2,0.0,7.3,1.3
50,2016-02-20,5.2,13.8,-0.8,47.0,0.0,1.0
51,2016-02-21,4.5,8.6,-1.0,0.0,7.3,4.7
52,2016-02-22,2.8,8.8,-2.7,0.0,3.0,1.0
53,2016-02-23,5.1,10.4,-0.2,0.0,4.8,1.6
54,2016-02-24,2.4,7.1,-3.4,0.0,7.4,2.7
55,2016-02-25,0.0,5.9,-5.5,0.0,7.5,2.3
56,2016-02-26,0.1,5.0,-3.7,0.0,4.8,2.9
57,2016-02-27,1.7,8.4,-5.0,0.0,5.4,1.0
58,2016-02-28,4.8,13.9,-1.8,0.0,7.4,1.0
59,2016-02-29,4.5,14.1,-2.0,3.5,2.6,2.4
60,2016-03-01,-1.1,2.8,-3.9,0.0,6.3,4.5
61,2016-03-02,0.1,6.4,-4.9,0.0,6.2,2.4
62,2016-03-03,2.7,11.8,-4.6,0.0,7.6,1.8
63,2016-03-04,4.3,15.8,-3.2,0.0,7.8,1.0
64,2016-03-05,6.8,15.0,-0.5,0.0,0.9,0.8
65,2016-03-06,10.1,16.1,3.2,3.0,0.5,0.9
66,2016-03-07,11.2,14.9,9.2,6.5,0.0,0.3
67,2016-03-08,12.7,19.0,7.7,0.0,4.9,1.2
68,2016-03-09,7.7,10.3,5.9,26.5,0.0,0.5
69,2016-03-10,5.1,7.6,3.4,0.0,0.0,0.9
70,2016-03-11,4.0,9.9,-1.9,0.0,6.7,1.1
71,2016-03-12,1.5,10.1,-3.9,0.0,7.0,1.0
72,2016-03-13,3.7,11.2,-3.4,1.0,5.4,0.9
73,2016-03-14,3.6,5.8,1.0,26.5,0.0,0.7
74,2016-03-15,2.7,9.9,-1.7,0.0,7.9,1.9
75,2016-03-16,4.4,11.7,-2.7,0.0,3.0,1.0
76,2016-03-17,7.1,20.0,-1.6,0.0,8.3,0.9
77,2016-03-18,8.8,16.1,0.4,7.5,3.5,1.0
78,2016-03-19,12.4,18.1,7.5,35.0,1.8,1.5
79,2016-03-20,7.0,13.6,2.0,0.0,7.3,1.5
80,2016-03-21,5.6,13.2,-0.9,0.0,6.2,1.4
81,2016-03-22,4.9,14.2,-2.1,0.0,7.7,1.2
82,2016-03-23,6.2,15.2,-0.8,0.0,6.2,1.4
83,2016-03-24,5.0,11.6,-0.5,0.0,7.5,2.2
84,2016-03-25,3.1,10.4,-2.2,0.0,8.4,1.8
85,2016-03-26,3.7,12.1,-1.7,0.0,6.6,1.0
86,2016-03-27,5.6,13.7,-2.6,1.5,7.9,1.1
87,2016-03-28,6.9,13.9,1.8,0.5,4.5,1.1
88,2016-03-29,7.7,15.8,0.9,0.0,7.6,1.1
89,2016-03-30,9.0,15.8,2.3,0.0,7.1,1.1
90,2016-03-31,9.5,18.3,1.9,0.0,8.2,1.1
91,2016-04-01,8.9,13.9,3.5,1.5,0.0,0.7
92,2016-04-02,11.9,17.0,7.2,0.5,0.1,1.2
93,2016-04-03,12.9,17.8,10.0,0.0,0.5,1.2
94,2016-04-04,13.9,17.0,11.4,36.0,0.3,1.1
95,2016-04-05,10.3,16.6,3.5,0.0,2.0,1.1
96,2016-04-06,9.6,19.4,1.1,0.0,6.5,0.9
97,2016-04-07,12.1,17.5,7.8,34.0,0.0,1.4
98,2016-04-08,11.9,16.3,6.6,0.0,0.8,2.2
99,2016-04-09,11.2,20.4,4.1,0.0,8.5,1.1
100,2016-04-10,10.9,19.7,3.8,0.0,1.7,1.0
101,2016-04-11,8.4,13.5,0.0,0.0,8.4,3.0
102,2016-04-12,6.9,16.0,-1.5,0.0,5.7,1.3
103,2016-04-13,11.7,16.6,9.2,9.5,0.6,2.2
104,2016-04-14,15.8,22.7,10.5,9.5,4.8,1.7
105,2016-04-15,11.6,18.2,3.1,0.0,9.8,3.1
106,2016-04-16,11.9,22.0,1.7,0.0,9.6,1.3
107,2016-04-17,14.8,22.3,9.4,26.5,3.1,2.1
108,2016-04-18,11.3,17.3,7.0,0.0,1.7,2.0
109,2016-04-19,10.1,17.8,2.0,0.0,9.3,2.5
110,2016-04-20,9.8,18.3,0.8,0.0,6.3,1.2
111,2016-04-21,11.9,15.6,8.3,28.0,0.0,1.0
112,2016-04-22,15.7,22.1,11.5,2.5,6.1,1.8
113,2016-04-23,15.1,21.8,9.4,3.0,5.8,0.9
114,2016-04-24,15.3,22.4,11.7,2.0,4.9,1.3
115,2016-04-25,14.3,21.0,10.1,0.0,2.7,0.9
116,2016-04-26,15.3,23.5,7.4,0.0,10.2,1.1
117,2016-04-27,13.6,17.5,10.6,2.5,0.0,0.9
118,2016-04-28,14.5,19.6,11.0,7.5,1.1,2.2
119,2016-04-29,10.2,15.5,3.1,0.0,10.2,3.8
120,2016-04-30,9.9,19.5,0.4,0.0,9.7,1.6
121,2016-05-01,13.4,22.4,4.5,0.0,8.4,1.9
122,2016-05-02,16.3,26.1,6.6,0.0,10.1,1.4
123,2016-05-03,15.8,20.2,9.5,7.0,4.8,1.7
124,2016-05-04,15.9,20.8,8.2,50.0,8.2,2.4
125,2016-05-05,13.4,20.7,6.4,0.0,10.8,2.4
126,2016-05-06,12.0,19.8,7.2,10.5,0.3,1.1
127,2016-05-07,14.0,19.7,10.2,1.5,1.1,1.6
128,2016-05-08,14.5,22.3,7.3,0.0,10.9,1.2
129,2016-05-09,14.1,17.7,10.6,13.0,0.0,0.6
130,2016-05-10,16.9,21.5,13.5,19.0,0.0,0.6
131,2016-05-11,16.9,19.9,12.0,45.5,0.0,1.9
132,2016-05-12,16.1,25.0,9.2,0.0,10.7,1.6
133,2016-05-13,16.7,25.0,9.1,0.0,11.2,1.1
134,2016-05-14,17.3,24.5,10.9,0.0,5.0,1.1
135,2016-05-15,16.1,22.5,12.1,0.0,5.5,1.1
136,2016-05-16,16.0,19.2,13.2,5.5,0.7,1.7
137,2016-05-17,16.2,20.3,10.4,34.0,0.7,1.1
138,2016-05-18,15.8,25.2,7.1,0.0,11.4,1.2
139,2016-05-19,16.5,25.3,9.4,0.0,9.7,1.3
140,2016-05-20,16.6,24.2,11.0,0.0,6.2,1.1
141,2016-05-21,19.0,26.5,13.2,0.0,11.0,1.2
142,2016-05-22,18.1,26.1,11.2,0.0,11.5,1.4
143,2016-05-23,19.1,29.4,10.8,0.0,10.6,1.3
144,2016-05-24,19.8,28.9,10.7,0.0,9.2,1.6
145,2016-05-25,17.9,21.9,14.8,0.0,0.0,0.9
146,2016-05-26,20.4,25.7,16.1,0.0,2.5,1.0
147,2016-05-27,20.0,24.9,16.4,2.5,1.1,1.0
148,2016-05-28,18.0,20.8,14.5,0.0,0.0,0.8
149,2016-05-29,18.4,26.6,12.0,5.5,7.6,1.3
150,2016-05-30,17.1,19.4,13.8,7.0,0.0,0.8
151,2016-05-31,19.3,25.1,16.3,2.0,7.8,1.1
152,2016-06-01,16.7,22.7,10.4,0.0,11.3,2.0
153,2016-06-02,14.7,23.3,7.4,0.0,11.8,1.6
154,2016-06-03,14.8,22.6,6.7,0.0,6.6,1.2
155,2016-06-04,16.2,21.5,10.7,0.0,2.7,1.0
156,2016-06-05,15.3,20.4,12.3,10.5,2.6,0.7
157,2016-06-06,17.3,23.6,11.5,0.0,5.2,0.9
158,2016-06-07,17.4,22.4,14.4,2.5,1.4,1.1
159,2016-06-08,19.0,25.1,13.5,0.0,5.4,0.8
160,2016-06-09,18.7,21.8,16.3,5.5,0.5,0.6
161,2016-06-10,21.3,27.7,16.7,0.0,7.7,1.3
162,2016-06-11,20.1,26.7,14.2,0.0,8.8,1.4
163,2016-06-12,19.4,25.5,13.4,2.0,3.9,1.2
164,2016-06-13,19.4,22.4,17.2,13.5,0.0,0.8
165,2016-06-14,19.6,24.9,17.7,0.0,2.4,1.4
166,2016-06-15,20.2,24.5,17.3,0.0,3.1,1.4
167,2016-06-16,18.9,21.2,17.7,4.0,0.0,1.0
168,2016-06-17,20.6,25.5,15.0,1.0,3.1,2.0
169,2016-06-18,20.9,29.3,12.7,0.0,9.7,1.1
170,2016-06-19,19.4,24.2,16.3,5.0,0.4,0.9
171,2016-06-20,21.3,26.5,17.4,0.0,5.4,1.1
172,2016-06-21,20.5,26.2,17.5,30.5,4.7,1.0
173,2016-06-22,21.1,25.1,18.6,9.0,0.6,0.9
174,2016-06-23,21.4,27.5,16.9,42.0,3.1,1.4
175,2016-06-24,20.0,25.9,16.2,9.0,3.1,1.3
176,2016-06-25,20.6,23.8,15.7,23.5,0.0,1.0
177,2016-06-26,18.1,24.0,14.2,0.0,4.7,1.3
178,2016-06-27,19.2,27.9,12.6,1.0,6.2,1.0
179,2016-06-28,19.5,23.3,15.2,6.5,0.4,1.1
180,2016-06-29,20.4,24.4,18.3,10.0,0.3,0.8
181,2016-06-30,22.0,26.7,18.8,0.0,0.9,0.8
182,2016-07-01,23.5,30.2,18.8,0.0,10.3,1.1
183,2016-07-02,24.3,30.9,19.1,0.0,9.3,1.2
184,2016-07-03,23.2,27.5,19.1,6.5,1.1,1.0
185,2016-07-04,23.5,29.7,19.9,3.5,5.7,1.1
186,2016-07-05,23.7,31.6,19.4,0.0,7.2,1.7
187,2016-07-06,23.1,27.7,20.1,1.0,3.5,1.0
188,2016-07-07,26.0,32.3,20.6,0.0,10.8,2.0
189,2016-07-08,22.8,27.2,19.1,0.0,0.9,0.9
190,2016-07-09,20.4,23.3,17.8,36.5,0.0,1.1
191,2016-07-10,23.1,29.7,19.0,0.0,9.1,1.1
192,2016-07-11,23.3,31.6,17.3,0.0,10.1,1.1
193,2016-07-12,22.5,29.0,16.3,0.0,0.9,1.0
194,2016-07-13,23.3,26.3,20.7,10.5,0.1,0.7
195,2016-07-14,23.8,29.4,19.7,4.0,8.3,1.8
196,2016-07-15,21.6,26.1,19.5,1.0,1.9,1.2
197,2016-07-16,21.9,25.7,18.7,0.0,2.5,0.7
198,2016-07-17,23.7,27.9,20.2,0.0,0.4,0.7
199,2016-07-18,24.8,31.2,19.3,0.0,11.4,1.1
200,2016-07-19,23.7,30.9,17.4,0.0,10.4,1.3
201,2016-07-20,23.9,30.4,18.0,0.0,9.8,1.1
202,2016-07-21,24.3,30.3,19.8,0.0,10.0,1.5
203,2016-07-22,22.6,26.6,19.8,0.0,1.3,1.5
204,2016-07-23,21.4,24.8,19.0,0.0,0.1,1.2
205,2016-07-24,22.1,27.3,18.6,1.5,4.7,0.9
206,2016-07-25,22.8,27.4,19.8,0.0,2.8,1.1
207,2016-07-26,20.0,21.3,19.2,32.0,0.0,0.5
208,2016-07-27,22.9,27.7,19.7,0.0,3.2,1.0
209,2016-07-28,23.2,28.8,20.9,0.0,1.1,0.7
210,2016-07-29,23.4,27.8,19.9,0.0,2.8,0.9
211,2016-07-30,24.5,28.9,20.5,0.0,5.7,1.1
212,2016-07-31,24.6,31.6,21.0,1.0,6.6,0.9
213,2016-08-01,23.1,30.7,20.2,56.0,5.1,0.9
214,2016-08-02,22.7,29.0,19.5,46.5,3.8,0.6
215,2016-08-03,23.2,30.2,20.2,82.5,4.9,0.8
216,2016-08-04,23.6,28.9,20.2,11.5,4.9,0.9
217,2016-08-05,24.3,30.1,20.5,17.0,5.6,0.9
218,2016-08-06,24.4,30.4,21.4,12.5,4.7,0.8
219,2016-08-07,25.8,31.0,22.6,0.0,6.4,0.9
220,2016-08-08,25.9,34.1,21.0,0.0,9.8,1.1
221,2016-08-09,25.3,32.8,19.2,0.0,10.7,1.7
222,2016-08-10,23.8,31.8,18.6,0.0,9.3,1.2
223,2016-08-11,24.1,31.8,17.4,0.0,10.4,1.2
224,2016-08-12,23.4,27.8,20.7,0.0,1.2,0.8
225,2016-08-13,24.2,30.2,20.1,0.0,5.5,1.1
226,2016-08-14,23.8,29.9,21.6,5.0,5.5,1.3
227,2016-08-15,23.3,30.1,20.6,2.0,2.8,0.9
228,2016-08-16,24.8,31.0,20.3,0.0,6.6,0.8
229,2016-08-17,25.5,32.4,19.7,0.0,7.2,0.9
230,2016-08-18,24.9,31.0,22.4,16.5,4.6,0.9
231,2016-08-19,25.0,31.8,21.4,28.5,4.3,0.8
232,2016-08-20,23.8,30.2,20.1,3.0,2.3,0.8
233,2016-08-21,24.6,31.9,19.4,0.0,9.3,1.0
234,2016-08-22,24.5,30.1,21.1,0.0,1.7,1.0
235,2016-08-23,23.5,30.4,20.1,14.5,4.6,1.1
236,2016-08-24,24.1,29.7,20.9,0.0,3.9,1.0
237,2016-08-25,24.2,28.7,20.9,0.0,3.0,0.7
238,2016-08-26,24.2,30.5,19.9,0.0,5.9,0.8
239,2016-08-27,23.2,27.6,20.6,3.5,1.1,0.9
240,2016-08-28,23.6,28.8,21.1,0.0,2.6,0.9
241,2016-08-29,24.6,32.3,19.1,0.0,5.3,1.0
242,2016-08-30,19.7,24.3,15.9,24.5,2.3,1.9
243,2016-08-31,20.8,28.1,14.1,0.0,8.5,1.3
244,2016-09-01,22.0,29.6,16.8,0.0,8.1,0.9
245,2016-09-02,22.2,30.7,16.4,0.0,9.1,1.1
246,2016-09-03,24.0,32.2,18.6,0.0,7.2,1.1
247,2016-09-04,23.9,30.4,20.7,2.0,5.6,1.2
248,2016-09-05,22.8,26.3,19.6,9.5,1.3,1.0
249,2016-09-06,23.0,28.8,21.0,5.0,1.0,0.5
250,2016-09-07,24.1,30.0,20.4,9.5,5.5,1.0
251,2016-09-08,22.5,24.0,20.6,77.5,0.0,1.2
252,2016-09-09,20.8,27.1,16.2,0.0,5.5,1.7
253,2016-09-10,21.1,28.5,15.4,0.0,6.7,1.0
254,2016-09-11,21.8,28.2,16.7,0.0,2.0,0.8
255,2016-09-12,22.2,26.5,19.7,1.0,2.0,0.8
256,2016-09-13,22.3,24.8,20.2,18.5,0.0,0.8
