Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,avg_wind_speed
0,2016-01-01,1.1,4.3,-4.1,0.0,1.2
1,2016-01-02,4.0,7.5,-0.1,15.0,1.2
2,2016-01-03,4.4,7.5,-1.5,0.0,0.9
3,2016-01-04,1.2,3.7,-2.2,6.0,1.3
4,2016-01-05,1.1,3.1,-0.6,0.5,2.5
5,2016-01-06,1.2,5.4,-3.8,0.0,1.3
6,2016-01-07,1.1,3.1,0.0,0.0,1.8
7,2016-01-08,1.2,3.5,-0.2,4.0,1.3
8,2016-01-09,0.5,2.6,-1.0,0.0,1.2
9,2016-01-10,-0.4,2.6,-2.2,7.5,2.3
10,2016-01-11,-2.0,0.5,-3.3,0.0,2.3
11,2016-01-12,-1.9,0.4,-3.5,1.5,1.7
12,2016-01-13,0.2,3.4,-4.4,1.5,1.7
13,2016-01-14,-0.5,1.8,-3.4,0.0,1.8
14,2016-01-15,-0.8,3.0,-4.4,0.0,1.2
15,2016-01-16,-0.7,1.6,-2.1,2.5,1.8
16,2016-01-17,-1.5,2.3,-5.5,0.0,1.3
17,2016-01-18,-0.3,2.5,-4.5,10.5,2.5
18,2016-01-19,1.8,6.2,-2.3,9.0,1.4
19,2016-01-20,0.7,4.3,-4.0,5.0,2.8
20,2016-01-21,0.7,3.7,-1.0,1.0,2.5
21,2016-01-22,-1.3,1.4,-3.5,0.0,2.0
22,2016-01-23,-1.5,1.7,-4.2,2.0,1.1
23,2016-01-24,-1.2,3.1,-5.3,2.0,1.8
24,2016-01-25,-1.0,1.2,-2.4,1.0,2.1
25,2016-01-26,2.4,6.3,-1.0,13.5,1.4
26,2016-01-27,1.7,4.7,-3.2,5.5,1.7
27,2016-01-28,0.8,4.0,-4.1,0.0,1.5
28,2016-01-29,-0.2,2.1,-4.9,0.0,2.3
29,2016-01-30,-0.5,3.7,-3.0,0.0,1.3
30,2016-01-31,-0.8,1.4,-2.6,0.0,1.7
31,2016-02-01,-2.0,0.2,-3.1,0.5,1.8
32,2016-02-02,-1.6,0.8,-3.6,2.0,2.2
33,2016-02-03,-1.6,1.4,-6.3,2.5,1.0
34,2016-02-04,0.6,4.7,-3.5,3.5,1.8
