Unnamed: 0,calendar_date,precipitation
0,2016-01-01,0.5
1,2016-01-02,20.5
2,2016-01-03,0.5
3,2016-01-04,5.5
4,2016-01-05,0.0
5,2016-01-06,0.0
6,2016-01-07,0.5
7,2016-01-08,1.5
8,2016-01-09,0.0
9,2016-01-10,12.0
10,2016-01-11,0.0
11,2016-01-12,2.5
12,2016-01-13,6.0
13,2016-01-14,0.0
14,2016-01-15,0.0
15,2016-01-16,2.0
16,2016-01-17,0.0
17,2016-01-18,13.5
18,2016-01-19,7.5
19,2016-01-20,7.0
20,2016-01-21,0.5
21,2016-01-22,0.0
22,2016-01-23,1.0
23,2016-01-24,2.0
24,2016-01-25,1.5
25,2016-01-26,4.5
26,2016-01-27,1.5
27,2016-01-28,0.0
28,2016-01-29,0.0
29,2016-01-30,0.0
30,2016-01-31,0.0
31,2016-02-01,0.5
32,2016-02-02,1.5
33,2016-02-03,3.0
34,2016-02-04,6.0
35,2016-02-05,0.0
36,2016-02-06,0.0
37,2016-02-07,3.5
38,2016-02-08,17.0
39,2016-02-09,17.5
40,2016-02-10,1.0
41,2016-02-11,0.0
42,2016-02-12,0.0
43,2016-02-13,18.5
44,2016-02-14,36.0
45,2016-02-15,2.5
46,2016-02-16,3.5
47,2016-02-17,2.5
48,2016-02-18,11.5
49,2016-02-19,24.0
50,2016-02-20,9.0
51,2016-02-21,6.5
52,2016-02-22,0.0
53,2016-02-23,16.0
54,2016-02-24,1.0
55,2016-02-25,10.0
56,2016-02-26,2.5
57,2016-02-27,6.5
58,2016-02-28,0.0
59,2016-02-29,3.0
60,2016-03-01,0.5
61,2016-03-02,0.5
62,2016-03-03,14.0
63,2016-03-04,0.0
64,2016-03-05,0.0
65,2016-03-06,16.0
66,2016-03-07,8.0
67,2016-03-08,0.0
68,2016-03-09,0.0
69,2016-03-10,0.0
70,2016-03-11,1.0
71,2016-03-12,0.0
72,2016-03-13,0.0
73,2016-03-14,2.0
74,2016-03-15,0.0
75,2016-03-16,0.0
76,2016-03-17,0.0
77,2016-03-18,1.0
78,2016-03-19,10.0
79,2016-03-20,1.0
80,2016-03-21,3.0
81,2016-03-22,20.5
82,2016-03-23,0.0
83,2016-03-24,2.0
84,2016-03-25,4.0
85,2016-03-26,0.5
86,2016-03-27,0.0
87,2016-03-28,0.5
88,2016-03-29,0.0
89,2016-03-30,16.5
90,2016-03-31,2.5
91,2016-04-01,0.0
92,2016-04-02,0.0
93,2016-04-03,18.0
94,2016-04-04,21.0
95,2016-04-05,0.0
96,2016-04-06,0.0
97,2016-04-07,31.0
98,2016-04-08,2.0
99,2016-04-09,0.0
100,2016-04-10,0.0
101,2016-04-11,4.5
102,2016-04-12,0.0
103,2016-04-13,24.5
104,2016-04-14,13.0
105,2016-04-15,0.5
106,2016-04-16,0.0
107,2016-04-17,12.0
108,2016-04-18,0.0
109,2016-04-19,0.0
110,2016-04-20,0.0
111,2016-04-21,0.0
112,2016-04-22,0.0
113,2016-04-23,0.0
114,2016-04-24,0.0
115,2016-04-25,0.0
116,2016-04-26,0.0
117,2016-04-27,0.0
118,2016-04-28,37.0
119,2016-04-29,7.0
120,2016-04-30,0.0
121,2016-05-01,0.5
122,2016-05-02,0.0
123,2016-05-03,0.0
124,2016-05-04,11.0
125,2016-05-05,0.0
126,2016-05-06,0.0
127,2016-05-07,27.5
128,2016-05-08,0.0
129,2016-05-09,0.0
130,2016-05-10,20.0
131,2016-05-11,47.0
132,2016-05-12,0.0
133,2016-05-13,0.0
134,2016-05-14,0.0
135,2016-05-15,0.0
136,2016-05-16,7.0
137,2016-05-17,8.0
138,2016-05-18,0.0
139,2016-05-19,0.0
140,2016-05-20,0.0
141,2016-05-21,0.0
142,2016-05-22,0.0
143,2016-05-23,0.0
144,2016-05-24,0.0
145,2016-05-25,22.0
146,2016-05-26,9.5
147,2016-05-27,0.5
148,2016-05-28,0.0
149,2016-05-29,0.0
150,2016-05-30,0.0
151,2016-05-31,11.0
152,2016-06-01,11.0
153,2016-06-02,3.0
154,2016-06-03,0.0
155,2016-06-04,4.5
156,2016-06-05,0.5
157,2016-06-06,0.0
158,2016-06-07,0.0
159,2016-06-08,0.0
160,2016-06-09,15.0
161,2016-06-10,0.0
162,2016-06-11,0.0
163,2016-06-12,0.0
164,2016-06-13,6.0
165,2016-06-14,0.0
166,2016-06-15,7.0
167,2016-06-16,23.5
168,2016-06-17,11.0
169,2016-06-18,1.0
170,2016-06-19,1.0
171,2016-06-20,12.0
172,2016-06-21,0.0
173,2016-06-22,0.0
174,2016-06-23,0.0
175,2016-06-24,0.0
176,2016-06-25,24.5
177,2016-06-26,0.5
178,2016-06-27,0.0
179,2016-06-28,0.0
180,2016-06-29,0.0
181,2016-06-30,0.0
182,2016-07-01,0.0
183,2016-07-02,12.5
184,2016-07-03,0.0
185,2016-07-04,0.0
186,2016-07-05,0.0
187,2016-07-06,45.5
188,2016-07-07,0.5
189,2016-07-08,0.0
190,2016-07-09,0.5
191,2016-07-10,0.0
192,2016-07-11,0.0
193,2016-07-12,0.0
194,2016-07-13,0.0
195,2016-07-14,21.0
196,2016-07-15,0.0
197,2016-07-16,0.0
198,2016-07-17,19.5
199,2016-07-18,0.0
200,2016-07-19,1.0
201,2016-07-20,1.0
202,2016-07-21,0.0
203,2016-07-22,0.0
204,2016-07-23,0.0
205,2016-07-24,0.0
206,2016-07-25,0.0
207,2016-07-26,0.0
208,2016-07-27,7.0
209,2016-07-28,3.0
210,2016-07-29,0.0
211,2016-07-30,0.0
212,2016-07-31,0.0
213,2016-08-01,0.0
214,2016-08-02,0.0
215,2016-08-03,0.0
216,2016-08-04,0.0
217,2016-08-05,0.0
218,2016-08-06,0.0
219,2016-08-07,0.0
220,2016-08-08,0.0
221,2016-08-09,0.0
222,2016-08-10,0.0
223,2016-08-11,0.0
224,2016-08-12,0.0
225,2016-08-13,0.0
226,2016-08-14,0.0
227,2016-08-15,2.0
228,2016-08-16,0.5
229,2016-08-17,11.0
230,2016-08-18,0.5
231,2016-08-19,0.0
232,2016-08-20,0.0
233,2016-08-21,0.0
234,2016-08-22,17.5
235,2016-08-23,6.5
236,2016-08-24,0.0
237,2016-08-25,0.0
238,2016-08-26,45.5
239,2016-08-27,0.0
240,2016-08-28,0.0
241,2016-08-29,0.0
242,2016-08-30,12.5
243,2016-08-31,0.5
244,2016-09-01,0.0
245,2016-09-02,0.0
246,2016-09-03,0.0
247,2016-09-04,0.0
248,2016-09-05,0.0
249,2016-09-06,1.5
250,2016-09-07,0.0
251,2016-09-08,36.5
252,2016-09-09,5.0
253,2016-09-10,3.5
254,2016-09-11,0.0
255,2016-09-12,0.0
256,2016-09-13,15.0
257,2016-09-14,3.5
258,2016-09-15,0.0
259,2016-09-16,0.0
260,2016-09-17,0.0
261,2016-09-18,0.0
262,2016-09-19,0.0
263,2016-09-20,0.0
264,2016-09-21,0.0
265,2016-09-22,24.5
266,2016-09-23,12.5
267,2016-09-24,0.0
268,2016-09-25,0.0
269,2016-09-26,0.0
270,2016-09-27,22.5
271,2016-09-28,4.5
272,2016-09-29,0.5
273,2016-09-30,0.0
274,2016-10-01,0.0
275,2016-10-02,0.0
276,2016-10-03,33.0
277,2016-10-04,0.5
278,2016-10-05,30.5
279,2016-10-06,5.5
280,2016-10-07,0.0
281,2016-10-08,111.0
282,2016-10-09,0.5
283,2016-10-10,0.5
284,2016-10-11,8.5
285,2016-10-12,0.0
286,2016-10-13,4.5
287,2016-10-14,6.0
288,2016-10-15,0.0
289,2016-10-16,0.0
290,2016-10-17,17.0
291,2016-10-18,0.0
292,2016-10-19,0.0
293,2016-10-20,0.0
294,2016-10-21,0.0
295,2016-10-22,0.0
296,2016-10-23,2.0
297,2016-10-24,0.0
298,2016-10-25,14.0
299,2016-10-26,0.0
300,2016-10-27,0.0
301,2016-10-28,0.0
302,2016-10-29,8.0
303,2016-10-30,0.0
304,2016-10-31,4.0
305,2016-11-01,14.5
306,2016-11-02,0.5
307,2016-11-03,11.0
308,2016-11-04,0.0
309,2016-11-05,20.5
310,2016-11-06,0.0
311,2016-11-07,0.0
312,2016-11-08,12.0
313,2016-11-09,13.0
314,2016-11-10,0.5
315,2016-11-11,4.5
316,2016-11-12,0.0
317,2016-11-13,5.5
318,2016-11-14,1.0
319,2016-11-15,9.0
320,2016-11-16,3.0
321,2016-11-17,0.5
322,2016-11-18,0.0
323,2016-11-19,0.0
324,2016-11-20,11.5
325,2016-11-21,0.0
326,2016-11-22,8.0
327,2016-11-23,2.5
328,2016-11-24,0.5
329,2016-11-25,0.0
330,2016-11-26,1.0
331,2016-11-27,11.0
332,2016-11-28,4.5
333,2016-11-29,3.0
334,2016-11-30,0.0
335,2016-12-01,21.0
336,2016-12-02,11.5
337,2016-12-03,0.0
338,2016-12-04,0.0
339,2016-12-05,25.0
340,2016-12-06,5.5
341,2016-12-07,1.0
342,2016-12-08,0.0
343,2016-12-09,16.0
344,2016-12-10,0.5
345,2016-12-11,4.0
346,2016-12-12,0.0
347,2016-12-13,4.5
348,2016-12-14,5.5
349,2016-12-15,26.0
350,2016-12-16,1.5
351,2016-12-17,0.5
352,2016-12-18,0.5
353,2016-12-19,0.0
354,2016-12-20,0.0
355,2016-12-21,0.0
356,2016-12-22,26.5
357,2016-12-23,8.0
358,2016-12-24,0.5
359,2016-12-25,0.5
360,2016-12-26,12.0
361,2016-12-27,25.0
362,2016-12-28,6.0
363,2016-12-29,13.0
364,2016-12-30,2.5
365,2016-12-31,0.0
366,2017-01-01,0.0
367,2017-01-02,9.5
368,2017-01-03,0.5
369,2017-01-04,16.5
370,2017-01-05,6.0
371,2017-01-06,0.5
