,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,0.3,3.8,-3.5,4.5,2.2,1.6
1,2016-01-02,1.9,7.2,-4.4,15.5,0.8,
2,2016-01-03,1.4,3.3,0.4,7.0,0.0,0.5
3,2016-01-04,0.9,3.0,-1.2,11.0,0.0,0.9
4,2016-01-05,0.2,1.9,-2.5,10.5,0.0,1.6
5,2016-01-06,-0.8,1.3,-4.1,9.0,0.0,
6,2016-01-07,0.0,1.3,-1.4,10.0,0.3,
7,2016-01-08,-1.0,0.8,-4.6,9.0,0.0,
8,2016-01-09,-0.7,1.6,-2.8,6.5,0.6,
9,2016-01-10,0.0,2.7,-1.5,15.5,0.3,2.5
10,2016-01-11,-1.7,-0.5,-3.6,5.5,0.1,3.5
11,2016-01-12,-2.0,-0.4,-4.6,4.0,0.0,2.2
12,2016-01-13,-1.3,1.0,-3.9,18.0,1.1,1.5
13,2016-01-14,-1.5,2.2,-5.2,7.0,0.0,1.6
14,2016-01-15,-3.6,-0.4,-7.1,2.0,0.0,0.4
15,2016-01-16,-3.0,-0.5,-5.9,4.5,0.0,0.9
16,2016-01-17,-2.6,1.8,-7.4,10.0,4.6,0.8
17,2016-01-18,-0.2,1.9,-6.2,11.0,0.0,2.4
18,2016-01-19,0.2,2.8,-1.5,28.0,0.0,
19,2016-01-20,-0.2,3.2,-6.5,18.5,2.2,2.2
20,2016-01-21,-0.4,1.4,-2.2,7.0,0.3,2.3
21,2016-01-22,-2.4,0.7,-3.8,2.5,0.6,
22,2016-01-23,-2.5,0.3,-7.1,5.0,0.0,1.5
23,2016-01-24,-3.6,1.1,-9.4,4.0,2.7,1.0
24,2016-01-25,-1.5,-0.1,-2.9,6.0,0.7,3.0
25,2016-01-26,0.8,3.2,-1.5,6.5,0.1,0.7
26,2016-01-27,1.3,4.0,-0.8,13.5,0.0,1.6
27,2016-01-28,0.0,0.8,-1.4,11.5,0.0,0.2
28,2016-01-29,-2.1,0.2,-4.8,0.0,0.0,0.4
29,2016-01-30,-1.6,1.2,-3.1,2.0,0.9,0.6
30,2016-01-31,-1.3,1.4,-2.7,14.0,0.6,1.6
31,2016-02-01,-3.5,-2.2,-4.5,12.0,0.0,0.6
32,2016-02-02,-1.9,-0.1,-4.5,12.0,0.0,2.0
33,2016-02-03,-1.8,0.7,-4.8,3.0,1.5,0.8
34,2016-02-04,0.0,3.2,-6.4,1.0,2.7,1.3
35,2016-02-05,0.8,3.4,-1.5,1.0,0.7,1.8
36,2016-02-06,-2.0,0.8,-4.7,2.5,0.4,1.1
37,2016-02-07,-3.6,-1.2,-7.2,7.5,1.4,1.1
38,2016-02-08,-2.4,4.2,-8.4,5.0,6.5,1.0
39,2016-02-09,-0.2,3.5,-5.7,11.0,0.7,1.2
40,2016-02-10,-0.9,1.1,-2.4,10.5,1.5,3.9
41,2016-02-11,-1.7,3.3,-9.3,1.5,4.4,1.5
42,2016-02-12,-2.8,7.7,-12.5,0.0,9.3,0.6
43,2016-02-13,1.0,2.1,-1.3,1.0,0.0,0.3
44,2016-02-14,5.3,13.4,0.6,4.5,0.0,2.6
45,2016-02-15,-1.2,3.7,-4.4,1.5,0.4,4.0
46,2016-02-16,-2.4,-0.6,-4.3,19.0,0.4,1.3
47,2016-02-17,-1.8,0.1,-4.1,10.0,0.0,1.8
