,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,-0.7,2.5,-8.0,4.0,0.5,47,8,2.1
1,2016-01-02,1.6,4.9,-5.9,9.0,0.3,40,1,2.3
2,2016-01-03,1.9,4.1,0.9,5.5,0.0,27,1,1.7
3,2016-01-04,1.0,2.5,0.2,4.5,1.3,18,0,1.4
4,2016-01-05,-0.7,0.9,-3.7,15.0,0.0,37,25,1.5
5,2016-01-06,-1.5,-0.1,-4.5,3.0,0.8,35,4,0.5
6,2016-01-07,-0.5,1.1,-3.0,7.5,0.4,39,11,
7,2016-01-08,-0.9,1.9,-4.0,7.0,0.0,43,11,
8,2016-01-09,-0.8,0.9,-2.5,5.0,1.1,51,15,1.6
9,2016-01-10,-0.6,2.4,-2.1,14.5,0.0,62,26,
10,2016-01-11,-2.9,-0.8,-4.0,4.5,0.0,61,7,
11,2016-01-12,-3.3,-0.9,-5.7,5.5,0.0,62,12,1.5
12,2016-01-13,-2.3,0.5,-5.0,9.0,1.0,64,5,1.3
13,2016-01-14,-1.8,1.3,-5.1,9.0,0.0,68,14,
14,2016-01-15,-3.7,-0.8,-7.3,1.0,2.6,59,4,2.0
15,2016-01-16,-3.3,-0.7,-6.0,2.5,0.0,59,10,2.0
16,2016-01-17,-2.8,1.3,-6.7,8.5,2.4,71,12,0.8
17,2016-01-18,-0.3,2.8,-6.0,16.5,0.0,63,15,2.2
18,2016-01-19,0.0,1.7,-1.3,26.5,0.0,75,25,
19,2016-01-20,-0.5,1.7,-3.0,7.0,2.0,77,7,
20,2016-01-21,-0.8,0.9,-2.8,5.0,0.9,80,13,2.7
21,2016-01-22,-3.0,-1.4,-4.9,11.0,0.4,95,24,
22,2016-01-23,-2.8,-0.1,-6.2,1.0,0.6,94,1,2.0
23,2016-01-24,-3.5,-0.6,-6.1,8.0,5.4,89,11,1.6
24,2016-01-25,-2.4,-0.8,-4.8,4.0,0.9,89,10,3.3
25,2016-01-26,0.4,3.2,-4.5,0.0,0.6,89,3,2.1
26,2016-01-27,0.7,2.9,-1.6,15.0,0.0,78,7,1.3
27,2016-01-28,-0.3,0.9,-1.7,10.0,0.0,82,9,0.4
28,2016-01-29,-1.8,0.0,-4.0,0.0,0.0,75,0,1.0
29,2016-01-30,-1.8,0.2,-3.3,2.0,1.0,75,4,0.9
30,2016-01-31,-1.6,1.5,-3.4,6.0,1.5,81,11,2.0
31,2016-02-01,-3.9,-2.5,-5.0,8.0,0.0,93,17,0.6
32,2016-02-02,-3.3,-1.0,-5.5,6.0,0.2,94,10,1.2
33,2016-02-03,-2.5,-0.5,-4.3,2.5,2.9,92,7,1.2
34,2016-02-04,0.0,3.4,-6.3,0.0,5.7,82,1,2.4
35,2016-02-05,0.7,3.1,-1.3,2.0,4.8,75,2,2.7
36,2016-02-06,-2.6,0.2,-7.0,1.0,1.0,74,7,1.3
37,2016-02-07,-3.8,-1.4,-5.6,3.0,2.8,78,12,2.0
38,2016-02-08,-1.3,4.3,-6.3,1.0,9.6,79,2,2.3
39,2016-02-09,-0.6,3.1,-4.8,9.0,0.7,83,13,1.8
40,2016-02-10,-1.3,1.0,-2.9,5.0,1.9,91,14,
41,2016-02-11,-1.6,2.7,-4.7,1.0,3.7,90,6,1.4
42,2016-02-12,-3.1,2.5,-12.0,0.0,9.5,79,0,1.1
43,2016-02-13,1.3,3.7,-1.9,0.0,0.0,77,3,0.7
44,2016-02-14,6.1,12.0,1.0,2.0,0.7,72,0,3.2
45,2016-02-15,-1.7,3.3,-7.6,5.0,0.0,64,10,4.4
46,2016-02-16,-2.5,0.4,-4.8,8.0,2.4,77,18,1.9
47,2016-02-17,-1.9,0.3,-6.1,7.5,0.2,86,9,3.0
48,2016-02-18,1.6,6.1,-3.4,0.0,6.1,79,0,3.5
49,2016-02-19,2.6,6.6,-2.1,8.5,1.9,70,4,3.2
50,2016-02-20,1.8,3.3,0.5,12.5,0.0,62,0,1.0
51,2016-02-21,2.7,7.2,-0.5,4.5,0.1,59,2,5.7
52,2016-02-22,-0.5,2.3,-4.5,0.0,4.0,54,1,3.6
53,2016-02-23,-0.6,1.6,-3.7,7.5,1.1,58,7,1.4
54,2016-02-24,-3.0,2.0,-5.2,2.0,0.0,64,12,3.1
55,2016-02-25,-3.6,-0.1,-5.6,7.0,1.7,74,15,1.1
56,2016-02-26,-2.1,0.4,-4.9,7.5,0.1,83,18,1.7
57,2016-02-27,-1.0,1.2,-3.3,9.5,4.8,85,20,1.9
58,2016-02-28,-0.2,3.6,-5.9,0.0,9.5,84,0,2.1
59,2016-02-29,3.2,6.2,0.4,3.5,0.0,69,2,4.0
60,2016-03-01,-1.8,0.8,-3.7,1.0,0.5,63,5,7.5
61,2016-03-02,-0.9,3.1,-4.3,3.0,2.8,66,8,3.4
62,2016-03-03,1.9,6.6,-2.4,7.0,2.7,69,6,3.7
63,2016-03-04,0.5,4.6,-3.5,0.0,5.4,60,1,1.8
64,2016-03-05,1.4,6.4,-6.4,0.0,9.7,57,0,2.4
65,2016-03-06,6.5,13.0,2.6,0.0,5.7,54,1,3.1
66,2016-03-07,3.4,5.7,1.0,4.0,0.0,42,5,1.5
67,2016-03-08,2.9,7.4,-0.6,0.0,0.6,38,0,2.3
68,2016-03-09,1.5,3.8,-0.2,0.0,0.0,34,0,2.5
69,2016-03-10,-0.3,1.9,-3.4,0.0,4.3,34,3,1.5
70,2016-03-11,-1.4,1.7,-6.4,4.5,2.7,41,14,1.3
71,2016-03-12,-1.0,3.1,-6.2,0.5,6.7,36,7,1.6
72,2016-03-13,-0.5,5.5,-8.1,0.0,5.4,33,0,1.9
73,2016-03-14,2.7,6.9,-1.9,0.0,7.8,32,0,1.3
74,2016-03-15,2.2,3.9,0.0,0.0,2.6,29,3,4.2
75,2016-03-16,5.6,10.6,-0.2,0.0,6.6,27,0,2.3
76,2016-03-17,5.3,13.4,-1.9,0.0,10.8,22,0,1.9
77,2016-03-18,4.6,16.3,-2.2,0.0,4.7,18,2,1.5
78,2016-03-19,4.9,7.6,2.6,4.5,0.0,13,0,1.5
79,2016-03-20,3.4,6.5,0.6,0.5,0.1,7,3,2.7
80,2016-03-21,2.3,5.8,-1.4,0.0,5.0,2,0,2.8
81,2016-03-22,4.7,8.4,-0.1,5.0,1.6,0,0,2.6
82,2016-03-23,3.1,6.4,0.6,0.0,2.8,0,0,3.3
83,2016-03-24,1.8,5.6,-1.1,0.0,7.9,0,0,3.7
84,2016-03-25,0.7,3.2,-1.5,4.5,1.7,7,7,2.5
85,2016-03-26,2.6,7.6,-1.3,2.5,7.5,1,1,2.1
86,2016-03-27,3.3,11.0,-3.1,0.0,10.1,0,0,2.0
87,2016-03-28,4.9,12.6,-1.9,0.0,11.7,0,0,2.6
88,2016-03-29,6.7,15.1,-1.0,0.0,9.8,0,0,2.0
89,2016-03-30,6.9,16.6,1.8,3.5,2.4,0,0,2.3
90,2016-03-31,6.3,13.5,-0.6,0.0,11.1,0,0,3.8
91,2016-04-01,7.6,16.7,-1.1,0.0,11.9,0,0,4.3
92,2016-04-02,8.7,12.1,6.2,0.0,11.3,0,0,6.2
93,2016-04-03,10.9,15.1,8.0,6.5,1.3,0,0,2.1
94,2016-04-04,6.4,9.3,2.7,22.5,0.0,0,0,1.9
95,2016-04-05,7.0,15.5,0.0,0.0,11.9,0,0,2.5
96,2016-04-06,8.0,13.5,2.5,0.5,12.0,0,0,3.9
97,2016-04-07,7.2,12.2,0.8,20.0,0.0,0,0,1.5
98,2016-04-08,9.9,12.9,6.8,1.0,0.6,0,0,3.3
99,2016-04-09,10.6,17.6,3.6,0.0,11.2,0,0,3.9
100,2016-04-10,7.3,14.9,1.8,0.0,8.3,0,0,2.3
101,2016-04-11,2.3,7.9,0.0,5.5,2.6,0,0,4.2
102,2016-04-12,5.4,11.5,-1.6,0.0,10.3,0,0,1.9
103,2016-04-13,9.7,20.2,1.2,1.0,3.2,0,0,1.9
104,2016-04-14,13.3,20.1,8.4,3.0,6.1,0,0,2.5
105,2016-04-15,6.5,12.3,2.7,3.5,1.3,0,0,6.3
106,2016-04-16,9.1,18.1,0.6,0.0,6.8,0,0,2.0
107,2016-04-17,12.3,18.4,5.9,6.0,1.3,0,0,5.6
108,2016-04-18,12.5,15.6,7.7,0.0,1.1,0,0,4.7
109,2016-04-19,8.2,12.9,3.6,0.0,5.0,0,0,3.2
110,2016-04-20,10.0,16.3,3.1,0.0,8.0,0,0,2.6
111,2016-04-21,13.9,20.5,5.8,0.0,2.3,0,0,1.8
112,2016-04-22,15.0,19.5,10.6,0.5,0.8,0,0,1.5
113,2016-04-23,15.0,23.7,7.2,0.0,9.7,0,0,3.4
114,2016-04-24,11.4,18.4,4.6,0.0,11.7,0,0,2.6
115,2016-04-25,11.0,20.4,0.7,0.0,12.4,0,0,2.6
116,2016-04-26,11.4,21.0,2.7,0.0,9.8,0,0,2.7
117,2016-04-27,12.0,21.0,3.1,0.0,8.8,0,0,2.7
118,2016-04-28,10.4,11.7,8.0,24.0,0.0,0,0,1.5
119,2016-04-29,7.9,10.2,5.3,14.0,1.8,0,0,5.7
120,2016-04-30,8.8,13.3,4.9,3.5,7.4,0,0,4.6
121,2016-05-01,8.5,9.5,7.2,10.0,0.0,0,0,1.3
122,2016-05-02,11.9,17.2,6.7,0.0,0.1,0,0,1.7
123,2016-05-03,18.1,28.7,7.3,0.0,10.5,0,0,4.0
124,2016-05-04,15.6,19.7,11.3,5.5,2.1,0,0,3.7
125,2016-05-05,14.4,16.9,9.0,0.0,1.1,0,0,4.3
126,2016-05-06,15.2,22.7,4.9,0.0,8.7,0,0,2.6
127,2016-05-07,14.3,18.6,10.4,1.5,2.8,0,0,2.9
128,2016-05-08,13.6,18.8,6.6,0.0,11.5,0,0,5.6
129,2016-05-09,14.5,25.3,1.7,0.0,13.0,0,0,1.8
130,2016-05-10,15.4,19.4,11.0,6.0,0.3,0,0,2.0
131,2016-05-11,14.8,17.8,12.8,10.5,0.0,0,0,1.6
132,2016-05-12,12.6,16.1,9.3,0.0,6.4,0,0,4.5
133,2016-05-13,15.9,27.2,6.4,0.0,12.5,0,0,2.4
134,2016-05-14,16.5,24.3,11.4,0.0,8.8,0,0,1.4
135,2016-05-15,16.8,24.7,8.5,0.0,13.2,0,0,4.1
136,2016-05-16,18.1,23.9,9.5,0.0,12.4,0,0,4.9
137,2016-05-17,13.3,17.2,9.8,9.5,1.3,0,0,2.1
138,2016-05-18,15.1,22.6,8.5,0.0,11.9,0,0,2.2
139,2016-05-19,17.4,26.2,8.4,0.0,12.7,0,0,2.7
140,2016-05-20,18.2,26.6,10.8,0.0,10.2,0,0,2.8
141,2016-05-21,17.8,24.5,11.5,0.0,5.1,0,0,1.6
142,2016-05-22,19.3,28.5,11.6,0.0,13.2,0,0,2.3
143,2016-05-23,17.6,26.4,9.3,0.0,12.3,0,0,2.2
144,2016-05-24,20.2,28.7,11.1,0.0,7.6,0,0,2.4
145,2016-05-25,18.8,21.5,17.5,0.0,0.0,0,0,1.8
146,2016-05-26,19.2,22.3,17.1,6.0,0.0,0,0,1.1
147,2016-05-27,18.1,21.7,13.4,8.5,6.5,0,0,3.4
148,2016-05-28,17.2,25.2,11.7,0.0,11.6,0,0,2.5
149,2016-05-29,18.7,25.5,10.6,0.0,10.8,0,0,2.4
