,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,-2.1,-1.1,-3.3,0.0,0.1,2.8
1,2016-01-02,0.9,2.7,-1.8,3.5,0.8,3.5
2,2016-01-03,1.3,2.7,-0.1,0.0,2.5,3.1
3,2016-01-04,-1.3,0.0,-2.9,2.0,0.0,2.7
4,2016-01-05,-3.4,-2.5,-4.9,0.0,1.1,3.7
5,2016-01-06,-2.8,-0.5,-4.7,0.0,3.3,3.2
6,2016-01-07,-2.8,-0.6,-4.1,1.0,4.1,3.8
7,2016-01-08,-2.4,-0.4,-4.0,0.0,5.2,4.1
8,2016-01-09,-3.2,-1.4,-4.5,0.0,4.1,3.2
9,2016-01-10,-3.9,-1.7,-6.3,3.5,1.2,2.7
10,2016-01-11,-6.1,-4.7,-7.2,0.0,1.9,3.8
11,2016-01-12,-6.0,-4.6,-7.7,0.0,1.2,3.8
12,2016-01-13,-4.4,-1.6,-6.6,1.0,5.5,2.2
13,2016-01-14,-4.2,-1.3,-6.3,0.0,4.1,3.5
14,2016-01-15,-5.0,-3.2,-6.0,0.0,2.9,2.8
15,2016-01-16,-5.2,-3.2,-6.2,0.0,0.5,3.1
16,2016-01-17,-5.3,-3.1,-8.4,0.0,1.4,2.4
17,2016-01-18,-2.6,-0.4,-9.0,33.5,0.0,2.8
18,2016-01-19,-2.2,-0.2,-5.7,8.0,0.7,1.7
19,2016-01-20,-2.7,-0.3,-5.0,5.5,2.2,1.8
20,2016-01-21,-3.5,-1.2,-5.9,16.5,0.6,2.7
21,2016-01-22,-5.5,-3.0,-9.1,0.0,2.0,2.7
22,2016-01-23,-5.7,-3.7,-8.6,0.0,2.6,2.5
23,2016-01-24,-5.2,-2.2,-7.9,0.0,2.7,1.6
24,2016-01-25,-4.9,-3.4,-6.1,5.5,0.1,2.8
25,2016-01-26,-1.7,0.2,-4.6,0.0,0.5,2.6
26,2016-01-27,-1.3,0.6,-3.6,2.0,2.1,3.5
27,2016-01-28,-2.5,0.1,-5.1,0.0,4.7,4.1
28,2016-01-29,-4.7,-3.6,-5.3,0.0,0.3,2.1
29,2016-01-30,-4.4,-1.4,-6.5,0.0,4.9,1.5
30,2016-01-31,-5.2,-2.6,-6.7,0.0,3.8,3.6
31,2016-02-01,-6.5,-5.2,-7.9,0.0,1.2,2.5
32,2016-02-02,-5.9,-3.9,-7.4,0.0,0.7,2.6
33,2016-02-03,-4.4,-1.5,-6.4,0.0,3.1,2.7
34,2016-02-04,-2.9,-0.6,-8.7,1.5,1.4,1.6
35,2016-02-05,-2.5,-0.1,-4.5,0.5,5.2,3.4
36,2016-02-06,-5.0,-1.6,-10.9,0.0,4.0,2.7
37,2016-02-07,-6.0,-4.0,-11.8,0.0,2.8,2.7
38,2016-02-08,-2.8,0.1,-5.2,0.0,5.7,1.7
39,2016-02-09,-1.6,1.7,-6.9,3.0,1.5,2.4
40,2016-02-10,-4.1,-2.2,-5.3,0.5,1.1,4.0
41,2016-02-11,-3.5,-0.7,-6.4,1.0,2.8,2.1
42,2016-02-12,-1.0,6.2,-9.4,0.0,7.9,1.2
43,2016-02-13,4.4,7.2,1.4,4.0,0.2,1.6
44,2016-02-14,4.6,10.6,-0.4,27.0,0.0,3.6
45,2016-02-15,-5.4,-0.4,-8.0,1.0,0.2,4.0
46,2016-02-16,-5.5,-3.6,-8.2,1.0,1.1,2.1
47,2016-02-17,-4.9,-2.3,-7.0,1.0,2.2,3.4
48,2016-02-18,-1.2,1.0,-6.1,26.0,0.4,2.6
49,2016-02-19,0.8,2.4,-0.1,19.5,1.1,
50,2016-02-20,0.4,2.6,-0.9,17.0,0.0,1.0
51,2016-02-21,-0.8,2.6,-4.8,4.5,0.8,
52,2016-02-22,-4.3,-2.4,-7.2,0.0,0.4,3.1
53,2016-02-23,-2.4,-0.3,-7.1,1.5,0.6,1.7
54,2016-02-24,-5.8,-1.1,-7.1,1.0,1.1,3.6
55,2016-02-25,-6.3,-3.8,-8.3,0.5,1.1,2.1
56,2016-02-26,-5.6,-2.9,-8.6,0.0,3.5,2.2
57,2016-02-27,-4.5,-2.0,-8.7,4.5,5.4,1.9
58,2016-02-28,-3.2,0.1,-6.1,1.5,6.2,1.0
59,2016-02-29,0.3,2.9,-3.6,24.5,0.0,4.3
60,2016-03-01,-5.1,-3.2,-6.8,1.5,0.0,5.2
61,2016-03-02,-4.6,-1.9,-8.6,1.0,0.0,2.3
62,2016-03-03,-1.6,2.3,-8.0,3.0,,2.5
