,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,2.1,4.9,0.4,0.0,0.9,0.0,0.0,5.2
1,2016-01-02,6.3,7.8,2.9,0.5,0.3,0.0,0.0,8.0
2,2016-01-03,3.6,7.4,2.2,0.0,2.3,0.0,0.0,5.0
3,2016-01-04,1.2,2.8,-0.6,0.0,0.0,0.0,0.0,3.9
4,2016-01-05,-0.3,1.5,-1.4,0.0,3.4,0.0,0.0,6.6
5,2016-01-06,1.3,3.4,-1.2,0.0,1.4,0.0,0.0,7.4
6,2016-01-07,-0.2,1.1,-1.3,0.0,2.4,0.0,0.0,5.8
7,2016-01-08,0.9,2.5,-0.9,1.5,2.1,1.0,1.0,5.9
8,2016-01-09,-0.2,1.4,-1.7,0.0,2.5,1.0,0.0,5.4
9,2016-01-10,-0.3,3.0,-4.5,0.5,1.8,1.0,4.0,5.9
10,2016-01-11,-4.3,-2.6,-5.4,0.0,2.1,1.0,1.0,5.8
11,2016-01-12,-2.5,-0.5,-4.8,0.0,0.7,1.0,1.0,6.0
12,2016-01-13,-1.0,1.4,-3.4,1.0,3.0,2.0,2.0,3.8
13,2016-01-14,-1.3,2.2,-3.1,1.0,0.5,4.0,3.0,5.6
14,2016-01-15,-1.2,0.6,-2.4,0.0,2.3,2.0,0.0,5.4
15,2016-01-16,-2.0,-0.7,-3.1,0.0,0.4,2.0,0.0,4.8
16,2016-01-17,-1.4,0.7,-3.4,0.0,2.9,2.0,0.0,3.0
17,2016-01-18,0.7,3.1,-4.1,19.0,0.0,4.0,5.0,7.2
18,2016-01-19,0.6,1.2,0.0,7.5,0.0,15.0,18.0,4.6
19,2016-01-20,1.4,2.7,0.2,0.0,2.7,13.0,3.0,3.6
20,2016-01-21,0.4,2.1,-0.7,0.0,2.6,12.0,4.0,3.0
21,2016-01-22,-0.1,2.4,-1.8,0.0,4.4,12.0,2.0,4.7
22,2016-01-23,-1.2,0.7,-2.5,1.5,1.0,13.0,6.0,5.2
23,2016-01-24,0.0,2.5,-1.8,0.0,0.2,12.0,1.0,4.7
24,2016-01-25,-1.4,0.5,-3.5,2.5,4.0,18.0,6.0,3.9
25,2016-01-26,2.4,4.1,-0.5,3.0,0.1,15.0,1.0,7.3
26,2016-01-27,2.0,4.2,0.7,0.0,3.8,10.0,0.0,6.6
27,2016-01-28,0.4,3.1,-2.3,0.0,1.0,9.0,0.0,7.1
28,2016-01-29,-2.0,-0.8,-3.5,0.0,1.9,9.0,1.0,3.8
29,2016-01-30,-2.0,-0.1,-3.6,1.5,2.0,11.0,3.0,2.1
30,2016-01-31,-2.6,-1.2,-3.5,0.0,0.5,11.0,1.0,5.3
31,2016-02-01,-3.1,-2.0,-4.5,0.0,1.6,10.0,3.0,4.8
32,2016-02-02,-2.4,-0.5,-3.4,0.5,0.9,9.0,0.0,4.9
33,2016-02-03,-0.5,1.2,-3.0,0.0,0.4,9.0,0.0,4.8
34,2016-02-04,1.7,3.6,0.2,6.0,1.1,12.0,4.0,5.0
35,2016-02-05,0.5,2.7,-1.3,0.5,2.7,11.0,4.0,6.0
36,2016-02-06,-1.9,-0.1,-4.0,0.0,0.6,11.0,1.0,4.5
37,2016-02-07,-1.9,0.3,-4.5,0.0,3.9,11.0,3.0,5.9
38,2016-02-08,0.9,3.5,-0.4,0.0,5.9,11.0,1.0,2.4
39,2016-02-09,2.6,5.2,0.5,0.5,2.5,10.0,1.0,5.1
40,2016-02-10,0.3,2.5,-1.3,1.0,4.2,10.0,2.0,4.9
41,2016-02-11,0.7,3.3,-1.7,0.0,8.4,9.0,0.0,3.3
42,2016-02-12,3.7,7.2,0.1,0.0,6.3,9.0,0.0,1.8
43,2016-02-13,7.7,10.6,2.0,5.5,0.0,8.0,0.0,3.7
44,2016-02-14,7.6,12.5,1.4,13.5,0.0,0.0,0.0,6.7
45,2016-02-15,-3.1,1.7,-5.5,0.5,2.2,0.0,0.0,7.3
46,2016-02-16,-2.3,0.3,-4.9,0.0,1.4,0.0,0.0,6.8
47,2016-02-17,-1.4,0.9,-3.7,0.0,2.1,0.0,0.0,6.5
48,2016-02-18,3.9,7.1,-1.0,0.0,4.7,0.0,0.0,7.5
