Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,deepest_snowfall,total_snowfall
0,2016-01-01,0.5,2.4,-3.7,0.0,9,2
1,2016-01-02,3.2,7.9,-1.8,0.0,8,0
2,2016-01-03,2.4,5.7,-1.5,0.0,6,0
3,2016-01-04,-0.6,3.8,-4.3,0.5,8,3
4,2016-01-05,-0.9,1.0,-6.0,0.0,8,0
5,2016-01-06,0.5,3.3,-1.4,0.0,7,0
6,2016-01-07,-0.4,1.8,-2.5,0.0,7,2
7,2016-01-08,0.6,3.4,-1.1,0.0,7,2
8,2016-01-09,-0.8,1.5,-4.8,0.0,6,0
9,2016-01-10,-1.6,2.6,-4.2,1.0,11,9
10,2016-01-11,-3.6,-0.6,-7.2,0.0,9,1
11,2016-01-12,-2.5,0.5,-5.6,0.0,8,0
12,2016-01-13,-1.5,2.2,-6.0,0.0,8,1
13,2016-01-14,-1.9,0.2,-6.3,0.0,8,4
14,2016-01-15,-2.6,1.4,-6.1,0.0,8,1
15,2016-01-16,-2.9,1.1,-6.3,0.0,8,2
16,2016-01-17,-3.8,1.2,-8.8,0.0,7,0
17,2016-01-18,-1.8,1.7,-8.1,30.5,20,14
18,2016-01-19,-1.6,2.4,-11.4,7.5,35,20
19,2016-01-20,-1.5,2.0,-10.3,0.0,28,7
20,2016-01-21,-2.5,0.3,-11.3,0.0,28,2
21,2016-01-22,-3.0,0.2,-11.2,0.0,27,0
22,2016-01-23,-3.5,-0.1,-8.8,0.0,25,0
23,2016-01-24,-3.0,1.4,-9.4,0.0,25,1
24,2016-01-25,-3.8,-1.5,-10.7,2.0,33,10
25,2016-01-26,-1.9,4.5,-10.5,0.0,31,0
26,2016-01-27,0.8,3.0,-5.4,0.0,26,3
27,2016-01-28,-0.2,3.7,-4.8,0.0,25,0
28,2016-01-29,-1.9,0.0,-3.8,0.0,23,1
29,2016-01-30,-2.9,0.0,-5.6,0.0,23,0
30,2016-01-31,-3.0,0.0,-7.0,0.0,23,2
31,2016-02-01,-5.1,-1.2,-11.1,0.0,22,0
32,2016-02-02,-5.4,0.6,-14.3,0.0,23,1
33,2016-02-03,-3.5,0.5,-12.7,0.0,23,1
34,2016-02-04,-2.4,3.7,-14.1,0.0,23,1
35,2016-02-05,-0.2,3.9,-6.5,0.0,23,2
36,2016-02-06,-3.0,2.6,-9.1,0.0,22,0
37,2016-02-07,-3.7,-0.2,-9.4,0.0,22,0
38,2016-02-08,-1.7,2.6,-9.1,0.0,22,0
39,2016-02-09,0.7,6.2,-4.7,1.5,27,6
40,2016-02-10,-1.4,1.0,-3.4,1.0,29,3
41,2016-02-11,-1.9,2.8,-8.8,0.0,24,1
42,2016-02-12,0.4,7.9,-10.1,0.0,20,0
43,2016-02-13,6.8,12.8,1.3,0.0,20,0
44,2016-02-14,7.4,14.5,1.8,0.5,11,0
45,2016-02-15,-2.2,2.4,-5.1,0.0,0,0
46,2016-02-16,-2.4,1.0,-5.5,0.0,0,0
47,2016-02-17,-2.8,1.3,-4.6,0.0,1,1
48,2016-02-18,1.1,4.1,-3.5,4.0,0,0
49,2016-02-19,3.4,7.7,1.1,2.5,0,0
50,2016-02-20,2.3,5.6,-0.2,22.0,0,0
51,2016-02-21,1.4,7.7,-1.9,6.0,0,0
52,2016-02-22,-1.2,2.1,-2.9,0.0,0,0
53,2016-02-23,1.0,5.6,-2.7,0.0,0,0
54,2016-02-24,-3.0,-0.1,-5.4,1.0,5,6
55,2016-02-25,-2.9,1.3,-7.2,0.0,2,1
56,2016-02-26,-2.3,2.1,-6.1,0.0,0,0
57,2016-02-27,-1.6,2.1,-5.4,1.5,2,2
58,2016-02-28,-1.3,2.9,-3.9,1.0,4,2
59,2016-02-29,2.7,5.9,-1.8,4.5,0,0
60,2016-03-01,-2.2,0.9,-4.6,0.5,9,10
61,2016-03-02,-1.7,2.7,-6.5,0.0,3,0
62,2016-03-03,0.5,5.8,-3.2,2.5,5,5
63,2016-03-04,0.5,5.4,-2.8,0.0,0,0
64,2016-03-05,-0.1,5.1,-4.8,0.0,0,0
65,2016-03-06,6.2,11.5,-2.2,0.0,0,0
66,2016-03-07,8.1,12.2,2.6,0.0,0,0
67,2016-03-08,6.2,12.3,1.4,0.0,0,0
68,2016-03-09,0.9,3.9,-1.9,0.0,0,0
69,2016-03-10,-0.8,3.0,-4.0,0.0,0,0
70,2016-03-11,-0.5,5.2,-4.2,0.0,0,0
71,2016-03-12,-1.0,5.3,-5.3,0.0,0,0
72,2016-03-13,1.9,9.9,-7.3,0.0,0,0
73,2016-03-14,3.8,10.8,-1.8,0.0,0,0
74,2016-03-15,2.3,6.6,-2.1,0.0,0,0
75,2016-03-16,7.4,12.3,0.3,0.0,0,0
76,2016-03-17,10.4,16.2,3.5,0.0,0,0
77,2016-03-18,10.9,19.9,0.6,0.0,0,0
78,2016-03-19,9.2,12.5,5.1,3.0,0,0
79,2016-03-20,4.2,7.2,-0.1,0.0,0,0
80,2016-03-21,1.6,7.6,-3.9,0.0,0,0
81,2016-03-22,2.9,9.0,-4.4,9.0,4,4
82,2016-03-23,2.4,6.9,-3.1,0.0,3,0
83,2016-03-24,2.0,6.3,-1.4,0.0,0,0
84,2016-03-25,2.2,7.4,-2.7,0.0,0,0
85,2016-03-26,3.1,8.9,-1.8,0.0,0,0
86,2016-03-27,5.0,13.2,-3.0,0.0,0,0
87,2016-03-28,5.6,13.8,-3.2,0.0,0,0
88,2016-03-29,5.6,14.6,-3.7,0.0,0,0
89,2016-03-30,7.5,17.3,-0.8,1.5,0,0
90,2016-03-31,6.6,13.4,-1.6,0.0,0,0
91,2016-04-01,3.5,8.3,-3.2,0.0,0,0
92,2016-04-02,6.0,11.0,0.2,0.0,0,0
93,2016-04-03,9.0,15.4,0.0,7.5,0,0
94,2016-04-04,3.5,8.8,-0.4,13.5,0,0
95,2016-04-05,8.4,15.6,-1.6,0.0,0,0
96,2016-04-06,8.0,13.2,-0.1,0.0,0,0
97,2016-04-07,6.1,13.1,-1.3,25.0,0,0
98,2016-04-08,9.2,13.9,4.7,1.0,0,0
99,2016-04-09,9.2,16.0,0.6,0.5,0,0
100,2016-04-10,5.8,12.5,0.7,0.0,0,0
101,2016-04-11,2.8,6.7,0.4,0.0,0,0
102,2016-04-12,5.9,11.9,1.2,0.0,0,0
