Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation
0,2016-01-01,4.2,11.9,-1.2,0.0
1,2016-01-02,4.3,13.1,-1.7,0.0
2,2016-01-03,7.3,17.7,-0.4,0.0
3,2016-01-04,6.8,16.8,-0.1,0.0
4,2016-01-05,7.6,16.3,-0.2,0.0
5,2016-01-06,7.4,10.9,4.4,0.0
6,2016-01-07,8.0,13.6,1.9,0.0
7,2016-01-08,5.8,13.9,0.2,0.0
8,2016-01-09,3.7,12.2,-2.4,0.0
9,2016-01-10,4.4,13.8,-1.9,0.0
10,2016-01-11,4.6,11.0,-2.3,0.0
11,2016-01-12,2.9,6.8,-0.2,0.0
12,2016-01-13,1.9,10.2,-3.7,0.0
13,2016-01-14,2.7,12.3,-3.8,0.0
14,2016-01-15,4.1,10.9,-3.1,0.0
15,2016-01-16,5.2,11.7,-0.1,0.0
16,2016-01-17,5.4,9.1,-0.7,4.5
17,2016-01-18,5.5,9.6,3.2,55.5
18,2016-01-19,6.4,9.9,2.3,0.0
19,2016-01-20,5.0,10.0,1.2,0.0
20,2016-01-21,4.3,10.4,-3.2,0.0
21,2016-01-22,4.9,11.0,-1.6,0.0
22,2016-01-23,2.8,7.6,-2.6,0.0
23,2016-01-24,2.7,7.6,-3.9,0.0
24,2016-01-25,1.1,8.2,-5.3,0.0
25,2016-01-26,0.9,10.4,-6.4,0.0
26,2016-01-27,3.1,13.3,-4.8,0.0
27,2016-01-28,4.1,14.2,-3.7,0.0
28,2016-01-29,4.0,6.8,0.1,18.5
29,2016-01-30,3.2,4.4,1.7,7.5
30,2016-01-31,4.8,10.6,0.2,0.0
31,2016-02-01,3.6,5.8,-0.2,0.0
32,2016-02-02,4.2,10.5,-1.5,0.0
33,2016-02-03,2.6,7.3,-2.4,0.0
34,2016-02-04,2.3,8.8,-2.9,0.0
35,2016-02-05,4.5,13.4,-3.1,0.0
36,2016-02-06,5.4,11.3,0.3,0.0
37,2016-02-07,4.0,10.0,-1.6,0.0
38,2016-02-08,3.2,12.1,-2.0,0.0
39,2016-02-09,5.4,12.8,-3.5,0.0
40,2016-02-10,5.6,10.5,-0.4,0.0
41,2016-02-11,3.9,10.6,-1.5,0.0
42,2016-02-12,5.1,11.6,-2.8,0.0
43,2016-02-13,15.1,21.0,7.6,0.0
44,2016-02-14,18.7,22.0,16.7,9.5
45,2016-02-15,7.9,18.4,0.9,7.5
46,2016-02-16,4.1,9.8,-0.4,0.0
47,2016-02-17,5.0,13.0,-1.7,0.0
48,2016-02-18,2.8,9.9,-3.6,0.0
49,2016-02-19,7.6,17.1,-1.4,0.0
50,2016-02-20,7.4,12.9,1.7,56.0
51,2016-02-21,10.6,16.3,5.3,0.0
52,2016-02-22,6.2,9.1,3.1,0.0
53,2016-02-23,6.4,11.6,3.2,1.5
54,2016-02-24,4.8,8.0,1.6,0.0
55,2016-02-25,2.2,7.2,-0.3,3.0
56,2016-02-26,3.8,11.9,-2.0,0.0
57,2016-02-27,5.7,12.6,-3.0,0.0
58,2016-02-28,7.9,12.5,0.7,0.0
59,2016-02-29,8.8,16.1,4.4,2.5
60,2016-03-01,5.4,10.0,1.9,0.0
61,2016-03-02,4.5,13.0,-3.0,0.0
62,2016-03-03,7.3,17.1,-2.0,0.0
63,2016-03-04,7.3,13.3,0.1,0.0
64,2016-03-05,10.0,16.1,4.3,0.0
65,2016-03-06,13.2,19.1,8.3,4.0
66,2016-03-07,14.5,16.1,11.9,62.5
