,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,5.5,11.9,1.2,0.0,9.5,1.9
1,2016-01-02,5.7,12.9,1.2,0.0,5.7,1.9
2,2016-01-03,7.8,17.4,0.0,0.0,7.4,1.3
3,2016-01-04,8.0,16.7,1.6,0.0,9.1,1.4
4,2016-01-05,8.7,15.7,1.4,0.0,6.5,1.5
5,2016-01-06,7.9,10.7,4.9,0.0,0.0,1.7
6,2016-01-07,8.7,14.5,3.3,0.0,8.7,1.7
7,2016-01-08,7.0,14.0,2.5,0.0,7.2,1.7
8,2016-01-09,5.6,12.5,-0.3,0.0,9.3,1.6
9,2016-01-10,6.5,14.0,1.8,0.0,9.2,1.7
10,2016-01-11,5.5,10.6,-0.5,0.0,2.3,1.8
11,2016-01-12,3.9,7.0,0.9,0.0,0.0,2.1
12,2016-01-13,3.0,10.2,-2.8,0.0,7.1,1.3
13,2016-01-14,4.1,12.3,-2.1,0.0,9.5,1.4
14,2016-01-15,5.3,11.9,-0.2,0.0,4.5,2.2
15,2016-01-16,6.0,12.3,1.1,0.0,9.5,1.7
16,2016-01-17,5.9,10.3,1.0,3.0,1.7,2.5
17,2016-01-18,7.3,15.4,2.6,94.0,0.7,3.8
18,2016-01-19,6.5,9.7,1.7,0.0,9.0,3.9
19,2016-01-20,3.9,9.0,-1.0,0.0,9.3,3.4
20,2016-01-21,4.1,10.4,-3.4,0.0,7.4,2.0
21,2016-01-22,5.5,11.2,1.0,0.0,8.6,2.2
22,2016-01-23,3.6,6.9,0.2,0.0,0.1,1.7
23,2016-01-24,3.3,9.4,-0.7,0.0,5.3,3.0
24,2016-01-25,2.0,8.5,-2.4,0.0,9.9,2.7
25,2016-01-26,2.6,9.7,-3.4,0.0,7.8,1.3
26,2016-01-27,4.1,13.1,-2.9,0.0,9.6,1.6
27,2016-01-28,5.9,14.0,-1.4,0.0,9.7,1.7
28,2016-01-29,5.3,8.6,1.8,12.5,0.0,3.0
29,2016-01-30,3.9,5.4,2.1,8.0,0.0,2.7
30,2016-01-31,5.4,10.3,1.0,0.0,7.8,1.5
31,2016-02-01,4.8,6.6,2.5,0.0,0.0,2.0
32,2016-02-02,5.2,11.2,1.6,0.0,8.3,2.0
33,2016-02-03,3.1,8.2,-0.4,0.0,3.7,1.8
34,2016-02-04,2.9,8.7,-2.1,0.0,6.6,1.4
35,2016-02-05,5.9,12.8,-0.7,0.0,9.1,1.9
36,2016-02-06,6.2,10.3,2.8,0.0,2.6,2.5
37,2016-02-07,4.5,8.3,0.8,0.0,6.8,2.4
38,2016-02-08,4.4,12.2,-0.3,0.0,6.2,2.0
39,2016-02-09,5.9,13.7,-2.1,0.0,9.1,2.9
40,2016-02-10,5.4,9.9,1.3,0.0,10.2,3.8
41,2016-02-11,3.6,9.8,-2.2,0.0,10.3,1.9
42,2016-02-12,6.8,12.4,-2.0,0.0,3.4,1.5
43,2016-02-13,15.0,22.1,8.4,0.0,7.0,3.3
44,2016-02-14,18.5,23.2,14.3,8.5,3.1,5.1
45,2016-02-15,7.5,19.0,0.8,9.5,0.4,3.2
46,2016-02-16,4.3,9.4,0.5,0.0,9.6,1.5
47,2016-02-17,5.7,13.7,-0.8,0.0,10.0,2.0
48,2016-02-18,3.5,9.0,-2.2,0.0,4.4,1.8
49,2016-02-19,8.3,17.9,0.0,0.0,9.0,1.6
