Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,avg_wind_speed
0,2016-01-01,6.0,11.6,1.3,0.0,1.4
1,2016-01-02,10.3,15.0,3.1,0.0,1.9
2,2016-01-03,10.6,15.2,7.3,0.0,0.8
3,2016-01-04,12.5,16.7,6.9,0.0,2.1
4,2016-01-05,8.3,12.7,4.9,0.0,0.8
5,2016-01-06,8.2,11.1,5.6,0.0,0.6
6,2016-01-07,8.6,11.3,5.5,0.0,2.1
7,2016-01-08,8.0,9.9,6.6,0.0,3.7
8,2016-01-09,6.4,9.5,1.2,0.0,2.1
9,2016-01-10,7.8,11.2,2.0,0.0,2.6
10,2016-01-11,6.9,11.0,2.5,0.0,0.9
11,2016-01-12,7.0,10.4,4.5,1.0,1.6
12,2016-01-13,5.7,8.0,3.7,0.5,3.1
13,2016-01-14,5.7,9.0,1.1,0.0,3.2
14,2016-01-15,4.5,9.1,0.7,0.0,1.1
15,2016-01-16,3.5,9.1,-1.4,0.0,1.3
16,2016-01-17,5.2,8.7,0.4,8.5,2.6
17,2016-01-18,7.2,11.9,2.4,7.5,5.0
18,2016-01-19,2.6,4.4,1.4,0.0,7.5
19,2016-01-20,3.4,6.9,0.2,0.0,3.3
20,2016-01-21,4.7,7.8,-0.4,0.0,1.6
21,2016-01-22,6.4,8.4,4.2,0.0,2.2
22,2016-01-23,4.3,8.5,0.7,0.5,2.0
23,2016-01-24,-1.0,2.6,-2.6,0.0,6.5
24,2016-01-25,2.3,5.1,-1.4,0.0,3.9
25,2016-01-26,5.3,7.6,2.8,0.5,2.8
26,2016-01-27,7.5,10.1,3.1,0.0,3.0
27,2016-01-28,6.7,10.2,2.0,3.5,1.0
28,2016-01-29,8.4,8.8,7.5,39.5,2.4
29,2016-01-30,8.6,9.5,6.4,6.5,3.5
30,2016-01-31,7.9,12.4,4.1,0.0,1.9
31,2016-02-01,7.0,9.7,4.6,0.0,1.7
32,2016-02-02,5.8,9.8,1.5,0.0,1.7
33,2016-02-03,5.6,8.4,2.5,0.0,1.9
