Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,1.2,8.5,-2.2,0.0,7.3
1,2016-01-02,3.7,11.9,-2.6,0.0,3.4
2,2016-01-03,7.6,13.9,3.6,0.0,1.0
3,2016-01-04,6.5,13.8,2.5,0.0,5.3
4,2016-01-05,4.1,8.7,0.0,0.5,0.1
5,2016-01-06,5.1,9.0,0.1,0.0,0.1
6,2016-01-07,4.1,7.6,0.2,0.0,1.2
7,2016-01-08,2.6,4.5,0.6,2.0,0.0
8,2016-01-09,2.4,6.1,-2.2,0.0,3.1
9,2016-01-10,1.7,6.7,-2.0,0.0,0.8
10,2016-01-11,2.6,8.7,-2.4,0.0,2.8
11,2016-01-12,3.0,7.1,-0.4,0.5,5.8
12,2016-01-13,0.8,2.7,-2.6,6.0,0.2
13,2016-01-14,0.3,2.7,-2.7,6.0,0.5
14,2016-01-15,-0.9,4.3,-4.4,0.0,4.1
15,2016-01-16,-1.1,7.6,-6.4,0.0,7.4
16,2016-01-17,1.2,6.8,-4.1,7.0,0.0
17,2016-01-18,3.6,8.5,-2.0,15.0,0.3
18,2016-01-19,-2.7,-1.4,-3.7,49.5,0.0
19,2016-01-20,-1.7,0.5,-4.2,2.5,0.2
20,2016-01-21,-1.3,3.3,-6.4,0.0,2.7
21,2016-01-22,0.4,5.5,-2.9,0.0,4.4
22,2016-01-23,-1.0,3.9,-4.4,6.5,1.9
23,2016-01-24,-6.5,-2.4,-9.8,6.0,0.0
24,2016-01-25,-2.9,-0.3,-6.5,1.5,2.0
25,2016-01-26,0.2,2.8,-2.6,3.5,0.0
26,2016-01-27,2.0,5.4,-1.4,0.0,1.2
27,2016-01-28,1.0,4.6,-1.9,4.0,0.1
28,2016-01-29,2.0,3.5,0.7,37.0,0.0
29,2016-01-30,2.6,6.2,-0.2,4.5,0.1
30,2016-01-31,1.4,8.0,-2.5,0.0,5.6
31,2016-02-01,2.0,5.0,-0.9,0.5,0.0
32,2016-02-02,1.7,6.0,-2.3,0.0,5.0
33,2016-02-03,-0.1,5.9,-4.5,0.0,3.5
34,2016-02-04,1.6,6.8,-1.6,0.0,6.7
35,2016-02-05,1.0,8.4,-3.0,0.0,5.0
36,2016-02-06,-0.1,4.6,-3.9,0.5,1.8
37,2016-02-07,0.4,5.2,-4.7,0.0,7.2
38,2016-02-08,-0.1,6.5,-6.1,0.0,6.8
39,2016-02-09,3.7,6.7,-1.6,0.0,1.7
40,2016-02-10,0.6,8.6,-5.4,0.0,8.9
41,2016-02-11,2.3,13.8,-5.8,0.0,8.9
42,2016-02-12,7.7,11.8,-0.9,0.5,0.4
43,2016-02-13,12.1,14.6,9.0,35.0,0.0
44,2016-02-14,9.4,16.5,3.5,18.0,0.0
45,2016-02-15,0.6,3.6,-1.9,1.0,2.5
46,2016-02-16,-0.5,1.5,-2.1,3.5,0.4
47,2016-02-17,0.8,3.7,-3.9,1.5,3.5
48,2016-02-18,0.7,9.7,-6.3,0.0,9.2
49,2016-02-19,3.7,13.0,-3.4,0.0,6.1
50,2016-02-20,5.1,6.7,3.8,17.0,0.4
51,2016-02-21,2.3,6.0,-1.7,0.0,5.2
52,2016-02-22,2.8,10.3,-3.1,0.0,2.9
53,2016-02-23,2.9,6.6,0.5,3.5,0.0
54,2016-02-24,2.3,7.2,-1.6,0.0,3.6
55,2016-02-25,0.7,4.8,-3.6,0.0,4.3
56,2016-02-26,-0.1,6.9,-5.2,0.0,8.2
57,2016-02-27,2.6,11.3,-4.3,0.5,5.4
58,2016-02-28,6.3,15.3,0.3,0.0,7.1
59,2016-02-29,2.2,9.5,-2.7,4.0,0.1
60,2016-03-01,-0.8,3.9,-4.8,0.0,4.6
61,2016-03-02,1.8,9.6,-3.0,0.0,6.6
62,2016-03-03,2.9,13.5,-5.5,0.0,9.9
63,2016-03-04,5.7,16.4,-1.5,0.0,2.5
64,2016-03-05,9.7,15.9,2.1,0.0,2.2
65,2016-03-06,13.8,17.1,9.6,0.5,0.0
66,2016-03-07,12.9,20.5,7.0,0.0,7.8
67,2016-03-08,11.0,19.0,5.0,0.0,5.4
68,2016-03-09,7.7,11.2,2.8,39.5,0.3
69,2016-03-10,4.3,9.1,1.0,0.0,1.9
70,2016-03-11,3.4,8.1,0.9,0.0,4.3
71,2016-03-12,2.6,8.9,-1.4,0.0,8.8
72,2016-03-13,3.9,11.2,-2.6,6.5,1.3
73,2016-03-14,4.1,5.9,2.2,5.5,0.2
74,2016-03-15,4.0,11.1,-0.5,0.0,9.8
75,2016-03-16,6.2,15.3,-0.7,0.0,6.9
76,2016-03-17,8.8,18.1,1.6,0.0,5.8
77,2016-03-18,10.3,13.4,4.2,22.0,0.0
