Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,4.9,11.9,-0.1,0.0,5.6,1.0
1,2016-01-02,9.8,14.2,5.9,0.0,0.8,0.9
2,2016-01-03,11.0,15.4,6.9,0.0,0.4,1.0
3,2016-01-04,9.5,16.5,4.9,0.0,5.6,0.9
4,2016-01-05,8.8,11.3,7.0,7.5,0.0,1.0
5,2016-01-06,8.0,11.0,4.4,0.0,0.0,1.3
6,2016-01-07,8.2,10.7,4.8,0.0,4.2,2.9
7,2016-01-08,6.8,7.8,5.2,0.0,0.1,3.0
8,2016-01-09,4.9,9.0,-0.1,0.0,1.9,1.9
9,2016-01-10,5.8,11.1,1.4,0.0,8.3,1.6
10,2016-01-11,7.0,11.4,2.6,0.0,0.9,1.8
11,2016-01-12,6.5,10.2,2.5,0.0,2.0,1.9
12,2016-01-13,5.1,7.3,1.4,0.0,0.4,2.6
13,2016-01-14,5.4,9.4,0.7,0.0,5.9,2.5
14,2016-01-15,3.4,9.7,-0.8,0.0,5.3,1.2
15,2016-01-16,4.1,12.4,-2.7,0.0,9.4,1.3
16,2016-01-17,5.3,8.6,1.1,15.0,0.0,1.6
17,2016-01-18,6.5,10.4,1.4,2.5,1.9,4.9
18,2016-01-19,2.4,5.1,0.4,0.0,5.6,5.8
19,2016-01-20,2.2,5.9,-2.1,0.0,6.4,2.9
20,2016-01-21,1.4,4.2,-2.7,0.0,0.1,1.1
21,2016-01-22,4.1,8.9,-1.6,0.0,5.1,1.7
22,2016-01-23,3.3,6.2,-0.4,0.5,1.0,3.1
23,2016-01-24,-3.5,-0.3,-7.4,0.5,0.2,4.7
24,2016-01-25,-1.5,2.8,-7.2,0.5,2.4,1.1
25,2016-01-26,3.1,6.5,-0.2,0.0,0.6,0.8
26,2016-01-27,5.6,10.0,0.5,0.0,2.7,0.9
27,2016-01-28,8.1,13.4,5.8,2.5,0.0,0.7
28,2016-01-29,12.2,14.3,10.1,33.0,0.0,2.2
29,2016-01-30,10.9,14.9,7.4,0.5,6.3,3.1
30,2016-01-31,8.5,13.5,4.2,0.0,8.5,1.6
31,2016-02-01,6.2,8.5,4.8,0.0,0.0,2.3
32,2016-02-02,4.6,8.6,1.2,0.0,3.0,1.7
33,2016-02-03,5.9,10.8,1.3,0.0,5.5,1.3
34,2016-02-04,5.2,10.7,-0.1,0.0,7.4,1.5
35,2016-02-05,5.1,10.2,0.7,0.0,5.3,1.8
36,2016-02-06,4.6,8.5,0.7,0.0,4.7,3.2
37,2016-02-07,3.5,9.6,-2.0,0.0,7.8,1.4
38,2016-02-08,4.7,9.6,-1.3,0.0,5.3,1.7
39,2016-02-09,7.9,12.4,2.1,0.0,9.5,3.8
40,2016-02-10,5.6,13.5,-1.2,0.0,10.1,1.4
41,2016-02-11,7.8,16.3,-0.3,0.0,8.1,1.1
42,2016-02-12,12.8,18.9,7.5,2.5,1.0,1.4
43,2016-02-13,16.5,20.9,12.6,50.5,0.7,2.2
44,2016-02-14,10.4,17.5,5.1,0.0,0.0,4.3
45,2016-02-15,3.1,5.2,0.1,0.0,2.5,5.0
46,2016-02-16,3.6,6.7,-0.4,0.0,3.0,2.2
47,2016-02-17,5.2,9.4,0.0,1.0,6.9,2.4
48,2016-02-18,5.5,11.8,-0.8,0.0,7.2,1.5
49,2016-02-19,8.7,14.3,1.8,0.0,4.2,1.1
50,2016-02-20,8.9,11.9,7.0,25.0,0.2,2.7
51,2016-02-21,6.4,9.5,1.5,0.0,9.3,3.6
52,2016-02-22,5.3,9.8,0.2,2.5,0.6,0.9
53,2016-02-23,7.9,12.4,5.2,5.0,2.0,2.2
54,2016-02-24,6.9,11.0,4.5,0.0,5.5,3.4
55,2016-02-25,4.2,7.5,-1.8,0.5,3.0,2.6
56,2016-02-26,3.5,10.6,-3.0,0.0,8.2,1.3
57,2016-02-27,7.6,14.4,1.7,0.0,3.3,1.7
58,2016-02-28,10.8,17.9,3.0,0.0,9.0,1.5
59,2016-02-29,6.1,14.4,0.4,0.0,3.2,6.2
60,2016-03-01,2.1,7.0,-2.5,0.0,7.8,1.9
61,2016-03-02,5.4,12.8,-0.9,0.0,8.6,1.5
62,2016-03-03,9.4,17.3,0.4,0.0,10.0,1.4
63,2016-03-04,14.6,21.0,9.9,0.0,4.9,1.3
64,2016-03-05,15.5,23.1,7.6,0.0,10.3,2.2
65,2016-03-06,18.4,24.5,15.1,0.0,2.5,1.8
66,2016-03-07,16.5,23.1,10.8,0.0,8.9,1.5
67,2016-03-08,14.1,21.0,10.1,0.0,5.3,2.0
68,2016-03-09,9.9,13.9,7.5,34.5,0.5,3.9
69,2016-03-10,9.0,12.2,6.8,0.0,0.3,2.1
70,2016-03-11,6.4,9.9,3.1,0.0,5.6,3.0
71,2016-03-12,6.2,11.3,0.1,0.0,11.0,2.1
72,2016-03-13,6.0,9.8,1.3,6.0,0.1,1.1
73,2016-03-14,8.5,13.1,5.4,3.5,5.7,3.8
74,2016-03-15,8.6,15.1,1.6,0.0,11.1,2.0
75,2016-03-16,10.1,17.6,4.1,0.0,7.2,1.2
76,2016-03-17,12.8,21.8,3.2,0.0,10.8,1.5
77,2016-03-18,13.8,14.9,11.8,26.5,0.0,0.9
78,2016-03-19,14.5,17.8,10.0,0.0,1.4,2.1
79,2016-03-20,11.4,17.5,6.8,0.0,11.2,3.6
80,2016-03-21,9.9,16.7,4.0,0.0,11.4,3.7
81,2016-03-22,9.9,18.9,0.7,0.0,11.6,1.4
82,2016-03-23,10.6,15.7,5.0,0.0,2.2,1.5
83,2016-03-24,10.1,14.4,6.7,0.0,7.5,3.5
84,2016-03-25,8.6,14.4,2.7,0.0,9.3,3.0
85,2016-03-26,8.9,16.2,0.5,0.0,9.4,2.2
86,2016-03-27,8.4,13.8,3.5,0.0,5.6,2.2
87,2016-03-28,9.7,17.0,2.6,0.0,11.5,2.0
88,2016-03-29,12.1,17.6,4.7,0.0,3.3,1.9
89,2016-03-30,14.5,17.9,11.6,0.0,0.2,1.7
90,2016-03-31,13.5,16.8,10.7,8.0,0.1,1.3
91,2016-04-01,15.1,19.1,12.8,0.0,1.5,2.9
92,2016-04-02,16.7,23.9,10.1,0.0,7.2,1.2
93,2016-04-03,16.9,21.2,13.8,4.0,0.1,0.8
94,2016-04-04,16.2,19.6,12.0,13.5,1.4,2.5
95,2016-04-05,14.7,20.3,8.4,0.0,8.9,1.7
96,2016-04-06,15.0,21.5,9.3,6.5,0.9,1.0
97,2016-04-07,18.2,22.5,15.2,23.0,0.0,4.3
98,2016-04-08,16.1,21.0,12.3,0.0,4.6,1.5
99,2016-04-09,16.1,22.8,10.2,0.0,5.4,1.1
100,2016-04-10,16.3,23.3,12.6,0.0,2.1,1.1
101,2016-04-11,14.8,19.2,8.4,0.0,8.9,3.5
102,2016-04-12,14.4,23.1,5.4,0.0,8.5,1.7
103,2016-04-13,16.7,20.7,12.0,4.5,0.3,1.6
104,2016-04-14,19.3,26.1,14.2,0.0,10.1,2.6
105,2016-04-15,18.1,25.4,11.3,0.0,11.9,2.3
106,2016-04-16,17.0,23.2,10.0,8.5,3.8,1.9
107,2016-04-17,16.5,19.4,9.9,6.5,10.3,3.4
108,2016-04-18,12.8,17.0,8.0,0.0,0.0,1.6
109,2016-04-19,14.3,21.9,7.6,0.0,12.2,2.3
110,2016-04-20,15.4,23.3,6.2,0.0,9.2,1.6
111,2016-04-21,17.4,20.5,14.1,58.0,0.0,2.4
112,2016-04-22,18.4,23.6,14.1,0.0,7.3,1.6
113,2016-04-23,15.3,19.0,13.4,1.5,0.5,1.2
114,2016-04-24,15.8,19.8,13.5,0.5,0.1,1.0
115,2016-04-25,16.5,19.6,12.8,0.0,0.0,0.7
116,2016-04-26,19.9,25.8,15.1,1.0,2.9,1.0
117,2016-04-27,18.7,22.6,17.4,16.5,0.2,1.5
118,2016-04-28,16.0,18.2,12.3,0.0,0.0,4.0
119,2016-04-29,14.9,21.5,9.2,0.0,12.6,2.3
120,2016-04-30,15.8,23.7,7.7,0.0,12.6,1.9
121,2016-05-01,18.7,25.6,12.0,0.0,12.3,1.5
122,2016-05-02,20.1,27.0,13.3,0.0,10.1,1.7
123,2016-05-03,17.7,20.2,13.9,30.5,0.5,3.0
124,2016-05-04,17.9,24.1,10.6,0.0,12.4,3.0
125,2016-05-05,18.7,25.2,12.3,0.0,7.8,1.7
126,2016-05-06,17.6,20.9,14.1,10.0,0.0,1.2
127,2016-05-07,20.9,25.6,16.5,1.0,7.4,1.5
128,2016-05-08,18.8,26.1,14.0,13.0,2.0,1.1
129,2016-05-09,19.4,21.4,17.3,24.0,0.0,2.3
130,2016-05-10,19.9,21.5,16.5,32.0,0.0,2.1
